Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2025-06-11 11:57:28,POST,"Post Holdings, Inc.",Dir,P - Purchase,109.12,186740,4852168,20%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/POST_d.png,reports/graphs/POST_w.png
2025-06-11 11:57:28,RFL,"Rafael Holdings, Inc.","Exec COB, CEO, Pres, 10%",P - Purchase,1.28,13080457,14688994,16%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/RFL_d.png,reports/graphs/RFL_w.png
2025-06-11 11:57:28,APPF,Appfolio Inc,Dir,P - Purchase,217.18,22000,22000,4%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/APPF_d.png,reports/graphs/APPF_w.png
2025-06-11 11:57:28,MODG,Topgolf Callaway Brands Corp.,Dir,P - Purchase,6.62,461583,1073205,3%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/MODG_d.png,reports/graphs/MODG_w.png
2025-06-11 11:57:28,CB,Chubb Ltd,"Pres, COO",P - Purchase,292.99,9810,267124,2%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/CB_d.png,reports/graphs/CB_w.png
2025-06-11 11:57:28,QTRX,Quanterix Corp,Dir,P - Purchase,5.4,210000,1706933,1%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/QTRX_d.png,reports/graphs/QTRX_w.png
2025-06-11 11:57:28,PBF,Pbf Energy Inc.,"Add'l Rep. Persons-see Ex.99-1, 10%",P - Purchase,17.99,48500,30823498,872%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/PBF_d.png,reports/graphs/PBF_w.png
2025-06-11 11:57:28,APPF,Appfolio Inc,Dir,P - Purchase,217.73,4000,27856,870%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/APPF_d.png,reports/graphs/APPF_w.png
2025-06-11 11:57:28,RHP,"Ryman Hospitality Properties, Inc.",Exec. COB,P - Purchase,96.92,8356,1429695,809%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/RHP_d.png,reports/graphs/RHP_w.png
2025-06-11 11:57:28,ONTF,On24 Inc.,10%,P - Purchase,5.6,135667,8369664,759%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/ONTF_d.png,reports/graphs/ONTF_w.png
2025-06-11 11:57:28,PLUG,Plug Power Inc,See Remarks,P - Purchase,1.03,650000,2614111,672%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/PLUG_d.png,reports/graphs/PLUG_w.png
2025-06-11 11:57:28,QTRX,Quanterix Corp,Dir,P - Purchase,5.44,93113,139094,506%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/QTRX_d.png,reports/graphs/QTRX_w.png
2025-06-11 11:57:28,SUI,Sun Communities Inc,Dir,P - Purchase,117.99,3665,9265,432%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/SUI_d.png,reports/graphs/SUI_w.png
2025-06-11 11:57:28,MSTR,Microstrategy Inc,Dir,P - Purchase,85.0,5000,43000,425%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/MSTR_d.png,reports/graphs/MSTR_w.png
2025-06-11 11:57:28,MSTR,Microstrategy Inc,"Pres, CEO",P - Purchase,85.0,4500,35290,382%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/MSTR_d.png,reports/graphs/MSTR_w.png
2025-06-11 11:57:28,SHEN,Shenandoah Telecommunications Co/Va/,10%,P - Purchase,13.55,23684,2679421,321%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/SHEN_d.png,reports/graphs/SHEN_w.png
2025-06-11 11:57:28,MSTR,Microstrategy Inc,"EVP, GC",P - Purchase,85.0,3527,16753,299%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/MSTR_d.png,reports/graphs/MSTR_w.png
2025-06-11 11:57:28,QTRX,Quanterix Corp,"Pres, CEO",P - Purchase,5.42,45900,518922,248%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/QTRX_d.png,reports/graphs/QTRX_w.png
2025-06-11 11:57:28,TISI,Team Inc,10%,P - Purchase,18.87,13122,1582422,247%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/TISI_d.png,reports/graphs/TISI_w.png
2025-06-11 11:57:28,VTS,"Vitesse Energy, Inc.",CEO,P - Purchase,23.29,10000,1432603,232%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/VTS_d.png,reports/graphs/VTS_w.png
2025-06-11 11:57:28,GTE,Gran Tierra Energy Inc.,10%,P - Purchase,4.79,48441,6704968,231%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/GTE_d.png,reports/graphs/GTE_w.png
2025-06-11 11:57:28,NNUP,Nocopi Technologies Inc/Md/,10%,P - Purchase,1.1,195852,1467782,215%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/NNUP_d.png,reports/graphs/NNUP_w.png
2025-06-11 11:57:28,NNUP,Nocopi Technologies Inc/Md/,10%,P - Purchase,1.1,195851,1445851,215%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/NNUP_d.png,reports/graphs/NNUP_w.png
2025-06-11 11:57:28,MSTR,Microstrategy Inc,"EVP, CFO",P - Purchase,85.0,2250,28210,191%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/MSTR_d.png,reports/graphs/MSTR_w.png
2025-06-11 11:57:28,EOLS,"Evolus, Inc.",Dir,P - Purchase,9.45,20000,50378,189%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/EOLS_d.png,reports/graphs/EOLS_w.png
2025-06-11 11:57:28,ICFI,"Icf International, Inc.",Dir,P - Purchase,84.4,2000,17754,168%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/ICFI_d.png,reports/graphs/ICFI_w.png
2025-06-11 11:57:28,TLYS,"Tilly'S, Inc.",10%,P - Purchase,1.54,100000,2967422,154%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/TLYS_d.png,reports/graphs/TLYS_w.png
2025-06-11 11:57:28,VRM,"Vroom, Inc.",10%,P - Purchase,27.22,4570,3968979,124%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/VRM_d.png,reports/graphs/VRM_w.png
2025-06-11 11:57:28,DLHC,Dlh Holdings Corp.,10%,P - Purchase,5.47,22303,2194010,121%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/DLHC_d.png,reports/graphs/DLHC_w.png
2025-06-11 11:57:28,NBBK,"Nb Bancorp, Inc.","Pres, CEO",P - Purchase,16.26,7000,425811,113%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/NBBK_d.png,reports/graphs/NBBK_w.png
2025-06-11 11:57:28,NNUP,Nocopi Technologies Inc/Md/,CEO,P - Purchase,1.1,101416,235916,111%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/NNUP_d.png,reports/graphs/NNUP_w.png
2025-06-11 11:57:28,FLWS,1 800 Flowers Com Inc,10%,P - Purchase,5.03,21320,9439673,107%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/FLWS_d.png,reports/graphs/FLWS_w.png
2025-06-11 11:57:28,ICFI,"Icf International, Inc.",Dir,P - Purchase,83.98,1250,7653,104%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/ICFI_d.png,reports/graphs/ICFI_w.png
2025-06-11 11:57:28,CAL,Caleres Inc,"Pres, CEO, Caleres",P - Purchase,13.39,7600,461920,101%,OpenInsider.com,2025-06-11 11:57:28,reports/graphs/CAL_d.png,reports/graphs/CAL_w.png
