ticker,super_score_4d,tier,vcp_score,insiders_score,sector_score,institutional_score,num_whales,top_whales,entry_price,entry_date,snapshot_id,return_7d,exit_price_7d
NCLH,61.9,⭐ BUENA,89.56818181818181,100,50,0.0,0,,23.31999969482422,2026-02-08,20260208_183944,,
INTC,59.1,⭐ BUENA,88.575,90,50,0.0,0,,50.59000015258789,2026-02-08,20260208_183944,,
WRB,56.4,⭐ BUENA,71.375,100,50,0.0,0,,70.41000366210938,2026-02-08,20260208_183944,,
CRM,54.9,🔵 MODERADA,66.33333333333334,100,50,0.0,0,,191.3500061035156,2026-02-08,20260208_183944,,
CVS,54.9,🔵 MODERADA,74.78571428571429,90,50,0.0,0,,78.3499984741211,2026-02-08,20260208_183944,,
BA,54.6,🔵 MODERADA,90.20588235294116,70,50,0.0,0,,243.02999877929688,2026-02-08,20260208_183944,,
BEN,54.4,🔵 MODERADA,89.56521739130434,70,50,0.0,0,,27.200000762939453,2026-02-08,20260208_183944,,
OXY,54.2,🔵 MODERADA,88.97619047619048,70,50,0.0,0,,46.310001373291016,2026-02-08,20260208_183944,,
ALLY,50.3,🔵 MODERADA,0.0,100,50,61.1368,6,"Berkshire Hathaway (Warren Buffett), Berkshire Hathaway (Warren Buffett), Berkshire Hathaway (Warren Buffett)",42.310001373291016,2026-02-08,20260208_183944,,
GPN,50.1,🔵 MODERADA,92.02380952380952,50,50,0.0,0,,72.86000061035156,2026-02-08,20260208_183944,,
CAT,49.6,🔵 MODERADA,90.40625,50,50,0.0,0,,726.2000122070312,2026-02-08,20260208_183944,,
IEX,49.4,🔵 MODERADA,72.89473684210526,70,50,0.0,0,,211.3699951171875,2026-02-08,20260208_183944,,
APTV,49.4,🔵 MODERADA,89.65789473684211,50,50,0.0,0,,82.37999725341797,2026-02-08,20260208_183944,,
MGM,48.9,🔵 MODERADA,87.875,50,50,0.0,0,,37.4900016784668,2026-02-08,20260208_183944,,
DASH,48.9,🔵 MODERADA,87.91666666666667,50,50,0.0,0,,182.47000122070312,2026-02-08,20260208_183944,,
ECL,46.3,🔵 MODERADA,79.42857142857143,50,50,0.0,0,,290.3299865722656,2026-02-08,20260208_183944,,
ALIT,45.0,🔵 MODERADA,0.0,100,50,40.078831446,4,"Appaloosa Management (David Tepper), Appaloosa Management (David Tepper), Appaloosa Management (David Tepper)",1.600000023841858,2026-02-08,20260208_183944,,
PODD,43.6,🔵 MODERADA,70.16666666666667,50,50,0.0,0,,241.92999267578125,2026-02-08,20260208_183944,,
ABT,40.0,🔵 MODERADA,0.0,90,50,30.016092209,3,"Bridgewater Associates (Ray Dalio), BlackRock, BlackRock",110.83000183105467,2026-02-08,20260208_183944,,
FISV,37.5,🔵 MODERADA,0.0,100,50,10.000115392,1,Tiger Global Management,60.0,2026-02-08,20260208_183944,,
TPL,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,366.0299987792969,2026-02-08,20260208_183944,,
CBC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,24.25,2026-02-08,20260208_183944,,
NYC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,9.079999923706056,2026-02-08,20260208_183944,,
MNTR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.0900000035762786,2026-02-08,20260208_183944,,
COSM,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.449999988079071,2026-02-08,20260208_183944,,
DLPN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.590000033378601,2026-02-08,20260208_183944,,
SPG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,199.6000061035156,2026-02-08,20260208_183944,,
IRIX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.4600000381469729,2026-02-08,20260208_183944,,
HYMC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,34.59000015258789,2026-02-08,20260208_183944,,
AVO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,14.029999732971191,2026-02-08,20260208_183944,,
KFS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,13.1899995803833,2026-02-08,20260208_183944,,
LUCY,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.159999966621399,2026-02-08,20260208_183944,,
UUU,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,4.400000095367432,2026-02-08,20260208_183944,,
SPRU,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,4.909999847412109,2026-02-08,20260208_183944,,
CABA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.509999990463257,2026-02-08,20260208_183944,,
ELUT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.9869999885559082,2026-02-08,20260208_183944,,
MAIA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.9700000286102293,2026-02-08,20260208_183944,,
PFBX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,21.0,2026-02-08,20260208_183944,,
SLGL,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,65.77999877929688,2026-02-08,20260208_183944,,
YORW,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,31.809999465942383,2026-02-08,20260208_183944,,
NRDY,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.0399999618530271,2026-02-08,20260208_183944,,
XZO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,17.610000610351562,2026-02-08,20260208_183944,,
HKHC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,27.0,2026-02-08,20260208_183944,,
