Price,Close,High,Low,Open,Volume
Ticker,TPL,TPL,TPL,TPL,TPL
Date,,,,,
2025-08-15,293.0025939941406,303.12309357927234,291.57106575773935,302.99355176843306,557400
2025-08-18,296.2908630371094,297.9582425436915,289.2626419056663,292.2220641583669,372900
2025-08-19,299.65545654296875,299.65545654296875,294.371032900875,295.60992081945284,301500
2025-08-20,297.19427490234375,301.6284363489286,296.3473268944827,299.9278503805378,312300
2025-08-21,292.3814697265625,297.6891561242246,290.06972635341265,296.0782460561836,392400
2025-08-22,302.7942810058594,305.5444293101649,292.8730812384724,293.5805437303141,312600
2025-08-25,299.1439514160156,303.9467897679106,298.93139338788035,303.68107702830457,315600
2025-08-26,302.5982971191406,302.78762277971975,295.2246616944359,298.1873984612566,716400
2025-08-27,301.821044921875,305.7503273919975,299.80825123708706,299.80825123708706,326100
2025-08-28,306.2020568847656,308.640027471243,300.7515400537777,302.60824503013055,429600
2025-08-29,310.0516357421875,311.8352681847047,305.9130793611583,305.9130793611583,320100
2025-09-02,313.5251770019531,323.6464202071349,309.8386853252924,309.8386853252924,511500
2025-09-03,302.5987854003906,310.87009653092775,302.56552189761,310.87009653092775,316800
2025-09-04,309.07012939453125,309.07012939453125,299.90045974133466,299.96366649061923,270900
2025-09-05,295.8479919433594,307.815786873085,295.80141694374737,304.6183781194745,413100
2025-09-08,303.6302185058594,305.1939992379136,298.02726741225064,300.25982127035917,427200
2025-09-09,299.4845886230469,306.40839333964385,299.41139063477596,303.630220504745,322500
2025-09-10,311.9647521972656,311.96807245539287,302.162923750474,302.162923750474,278100
2025-09-11,312.4172668457031,313.4054244503378,308.03869907249094,308.84387693819093,287100
2025-09-12,311.81170654296875,318.0734085759693,310.69710506075626,315.3418109722579,326700
2025-09-15,307.2701110839844,317.7207298353039,303.889722880298,313.5384840877438,346500
2025-09-16,311.3126525878906,314.13072939068854,308.2217053871047,308.27160064407104,328800
2025-09-17,303.76995849609375,313.8612281389849,303.76995849609375,309.55256877587755,450900
2025-09-18,303.85980224609375,310.03499525703523,303.3773595806605,304.69157263517826,386700
2025-09-19,291.1600036621094,303.5569941258529,289.359997370655,302.42244064430696,1280400
2025-09-22,291.77886962890625,294.85315458378835,286.14597541893096,288.94077992336923,460500
2025-09-23,309.85198974609375,311.75513726117026,292.05833114551695,292.05833114551695,657600
2025-09-24,311.0896911621094,319.7303429445948,310.8567857199674,314.75291056657636,392100
2025-09-25,307.95220947265625,311.6852762606678,305.67643141273777,311.0331349095308,296100
2025-09-26,317.50445556640625,320.29929037013443,308.2449870142065,308.2449870142065,382500
2025-09-29,306.3119201660156,314.72630755658565,305.4302240568471,314.72630755658565,285900
2025-09-30,310.63720703125,311.9115160484108,301.3311628901988,302.7485171610908,366300
2025-10-01,318.73553466796875,320.50891812227593,308.3015468717357,308.8372355148949,398400
2025-10-02,321.9828186035156,324.66452098847117,317.4179511306684,318.6822993125959,367500
2025-10-03,314.7129821777344,326.0619290871288,314.05755103784884,322.0859656645001,345000
2025-10-06,324.53143310546875,327.13661722195576,315.1388495712223,317.41794779508155,407400
2025-10-07,319.2778625488281,324.53145541968956,315.17213474445794,324.53145541968956,245700
2025-10-08,317.052001953125,321.3739728883247,309.4261304396783,321.3739728883247,363900
