ticker,target_mean,reco_mean,analyst_count,snapshots,target_change_1d_pct,reco_change_1d,analyst_count_change_1d,target_change_7d_pct,reco_change_7d,analyst_count_change_7d,target_change_30d_pct,reco_change_30d,analyst_count_change_30d,upgrade_days_14d,downgrade_days_14d
FTNT,164.31944,2.77273,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVX,222.16667,1.72,24.0,66.0,0.0,0.0,0.0,-0.22,0.0,0.0,1.87,0.0,0.0,1.0,0.0
AVGO,531.8468,1.26,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSFT,577.26135,1.32727,52.0,66.0,0.0,0.0,0.0,0.76,0.04,0.0,1.37,0.04,0.0,0.0,0.0
ASML,2116.2334,1.40476,16.0,7.0,-0.1,0.0,0.0,-1.01,-0.01,0.0,-1.01,-0.01,0.0,0.0,0.0
WST,407.5625,1.35294,16.0,66.0,0.0,0.0,0.0,0.54,0.06,0.0,0.7,,1.0,1.0,0.0
APH,99.38889,1.44444,18.0,7.0,0.0,0.0,0.0,0.13,0.03,1.0,0.13,0.03,1.0,0.0,0.0
AAPL,328.22205,2.20455,39.0,7.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0
TECK,52.97726,2.52941,4.0,66.0,-0.34,0.0,0.0,-1.22,,0.0,-2.27,,0.0,0.0,0.0
BRK-B,547.6667,2.0,3.0,66.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
NUE,283.625,1.64706,16.0,66.0,0.0,0.0,0.0,-0.59,-0.12,0.0,0.29,-0.12,0.0,1.0,1.0
TNE.AX,31.16062,2.0,16.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CBOE,315.64285,3.05882,14.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
