ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,score,tier,timing_convergence,max_drawdown,win
INTC,2025-08-15,2025-10-08,24.559999465942383,37.43000030517578,52.40228468685583,54,76.3,⭐ BUENA,True,-37.2161373005641,True
NCLH,2025-08-15,2025-10-08,24.299999237060547,23.68000030517578,-2.551436013788797,54,71.9,⭐ BUENA,True,-13.28878935685324,False
WRB,2025-08-15,2025-10-08,69.59160614013672,76.61620330810547,10.094029377369605,54,68.6,⭐ BUENA,True,-9.540661201152451,True
BEN,2025-08-15,2025-10-08,24.64499855041504,23.270692825317383,-5.5764082204602605,54,66.6,⭐ BUENA,True,-11.21630778339527,False
BA,2025-08-15,2025-10-08,235.25999450683594,225.32000732421875,-4.225107291808749,54,66.2,⭐ BUENA,True,-10.653807407834035,False
ECL,2025-08-15,2025-09-26,279.3721923828125,270.2423400878906,-3.2679889208198665,42,64.9,🔵 MODERADA,True,-7.277199203114041,False
CVS,2025-08-15,2025-09-26,67.48845672607422,74.54228210449219,10.451899066307613,42,64.8,🔵 MODERADA,True,-10.32680797348969,True
OXY,2025-08-15,2025-09-26,44.116512298583984,47.19580841064453,6.979917386079007,42,62.9,🔵 MODERADA,True,-8.51196442582846,True
CRM,2025-08-15,2025-09-23,241.62855529785156,244.16587829589844,1.050092359704406,39,62.2,⭐ BUENA,False,-6.683567700101281,True
GPN,2025-08-15,2025-09-26,86.27558898925781,84.06267547607422,-2.5649358516220895,42,61.8,🔵 MODERADA,True,-6.228823935884659,False
APTV,2025-08-15,2025-09-26,74.18000030517578,86.22000122070312,16.23079113776611,42,61.6,🔵 MODERADA,True,-13.964278293974672,True
CAT,2025-08-15,2025-09-26,405.672607421875,463.34161376953125,14.215652053549665,42,61.3,🔵 MODERADA,True,-13.622113021857574,True
MGM,2025-08-15,2025-09-26,35.91999816894531,35.599998474121094,-0.8908677926962563,42,61.1,🔵 MODERADA,True,-13.301485679250627,False
DASH,2025-08-15,2025-09-26,248.0,262.4700012207031,5.8346779115738405,42,61.1,🔵 MODERADA,True,-9.046144416548138,True
