ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
7741.T,WATCH,-3,Caro vs peers en Healthcare (FCF rank 8/9),2026-07-03
ABT,BEST,5,Mejor FCF en Healthcare (3.8% vs media sector 4.8%),2026-07-03
ADP,CAUTION,-3,Thesis drift MEDIUM: Score cayó 15pts en 45d (57→42) | Piotroski fuerte (8.0/9),2026-07-03
AI.PA,WATCH,3,Piotroski fuerte (7.0/9),2026-07-03
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-07-03
ASAZY,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (43.9% vs media sector 5.2%),2026-07-03
ATLKY,BEST,9,Mejor FCF en Industrials (21.9% vs media sector 5.2%) | EPS revision UP: EPS consensus ↑2.2% (0.66→0.67),2026-07-03
AUTO.L,AVOID,-7,Thesis drift HIGH (45d): Score cayó 10pts en 45d (59→49) | Mejor FCF en Communication Services (6.2% vs media sector 5.0%),2026-07-03
AXP,CONFIRM,8,Smart money: 1 HF + 0 insiders (conv 26),2026-07-03
BRK-B,BEST,5,Mejor FCF en Financial Services (5.6% vs media sector 4.5%),2026-07-03
BRO,BEST,5,Mejor FCF en Financial Services (6.4% vs media sector 4.5%),2026-07-03
CBOE,WATCH,3,Piotroski fuerte (8.0/9),2026-07-03
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 13/14) | Piotroski fuerte (7.0/9),2026-07-03
CNI,WATCH,-8,EPS revision STRONG_DOWN: EPS consensus ↓13.6% (0.17→0.15); Revenue estimate ↓2.2%,2026-07-03
CP,WATCH,0,Caro vs peers en Industrials (FCF rank 24/30) | Piotroski fuerte (7.0/9),2026-07-03
CTAS,WATCH,0,Caro vs peers en Industrials (FCF rank 27/30) | Piotroski fuerte (8.0/9),2026-07-03
ETN,WATCH,0,Caro vs peers en Industrials (FCF rank 29/30) | Piotroski fuerte (7.0/9),2026-07-03
EXPN.L,CAUTION,0,Señal salida MEDIUM: Score cayó 15pts (67 → 52) | Piotroski fuerte (9.0/9) | Mejor FCF en Industrials (3.9% vs media sector 5.2%),2026-07-03
FDS,CAUTION,3,Quality decay MEDIUM: Salud financiera cayó 15pts (85 → 70/100) | Short squeeze MEDIUM: 17.2% short · Short elevado (17.2% del float); Piotroski 6/9 — calidad mejorando | Mejor FCF en Financial Services (7.0% vs media sector 4.5%),2026-07-03
FICO,WATCH,6,Caro vs peers en Technology (FCF rank 12/14) | Short squeeze MEDIUM: 10.5% short · Short moderado (10.5% del float); Piotroski 7/9 — calidad mejorando | Piotroski fuerte (7.0/9),2026-07-03
HEI,WATCH,0,Caro vs peers en Industrials (FCF rank 30/30) | Piotroski fuerte (8.0/9),2026-07-03
HESAY,WATCH,-1,EPS revision DOWN: EPS consensus ↓2.7% (6.11→5.95); Analistas: +2 (0→2) | Piotroski fuerte (8.0/9),2026-07-03
IDXX,WATCH,0,Caro vs peers en Healthcare (FCF rank 9/9) | Piotroski fuerte (8.0/9),2026-07-03
IT,BEST,11,Short squeeze MEDIUM: 25.8% short · Short muy alto (25.8% del float); Piotroski 6/9 — calidad mejorando | Mejor FCF en Technology (11.7% vs media sector 11.2%),2026-07-03
ITRK.L,BEST,5,Mejor FCF en Industrials (4.1% vs media sector 5.2%),2026-07-03
JKHY,WATCH,3,Piotroski fuerte (9.0/9),2026-07-03
KO,CONFIRM,8,Caro vs peers en Consumer Defensive (FCF rank 9/10) | Smart money: 1 HF + 0 insiders (conv 32) | Piotroski fuerte (7.0/9),2026-07-03
LSEG.L,WATCH,3,Piotroski fuerte (7.0/9),2026-07-03
MA,WATCH,3,Piotroski fuerte (9.0/9),2026-07-03
MCO,CONFIRM,8,Caro vs peers en Financial Services (FCF rank 14/14) | Smart money: 1 HF + 0 insiders (conv 30) | Piotroski fuerte (7.0/9),2026-07-03
MKC,REVISION_UP,8,EPS revision STRONG_UP: EPS consensus ↑5.3% (3.96→4.17); Analistas: -14 (14→0),2026-07-03
MSCI,WATCH,0,Caro vs peers en Financial Services (FCF rank 13/14) | Piotroski fuerte (8.0/9),2026-07-03
NDAQ,WATCH,3,Piotroski fuerte (9.0/9),2026-07-03
NDSN,WATCH,3,Piotroski fuerte (7.0/9),2026-07-03
PAYX,REVISION_UP,8,EPS revision STRONG_UP: EPS consensus ↑10.8% (6.32→7.00),2026-07-03
RACE,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 10/10) | Piotroski fuerte (9.0/9),2026-07-03
RELX,REVISION_UP,8,EPS revision STRONG_UP: EPS consensus ↑12.2% (1.95→2.19),2026-07-03
ROP,BEST,5,Mejor FCF en Technology (5.9% vs media sector 11.2%),2026-07-03
SAP,WATCH,-8,EPS revision STRONG_DOWN: EPS consensus ↓6.2% (10.40→9.75),2026-07-03
SBGSY,WATCH,-3,Caro vs peers en Industrials (FCF rank 26/30),2026-07-03
SPGI,WATCH,3,Piotroski fuerte (7.0/9),2026-07-03
TJX,WATCH,3,Piotroski fuerte (7.0/9),2026-07-03
TT,WATCH,3,Piotroski fuerte (9.0/9),2026-07-03
V,WATCH,-3,Caro vs peers en Financial Services (FCF rank 12/14),2026-07-03
VRSK,WATCH,3,Piotroski fuerte (7.0/9),2026-07-03
VRSN,CONFIRM,11,Smart money: 1 HF + 0 insiders (conv 34) | Piotroski fuerte (8.0/9),2026-07-03
WM,WATCH,0,Caro vs peers en Industrials (FCF rank 25/30) | Piotroski fuerte (8.0/9),2026-07-03
WMT,WATCH,0,Caro vs peers en Consumer Defensive (FCF rank 10/10) | Piotroski fuerte (7.0/9),2026-07-03
