ticker,origin,verdict,confidence,reasons,blockers,trigger,source
CDNS,momentum,AVOID,90,,sobrevalorado vs analistas (-6%),Espera a que el precio caiga por debajo del target medio,rules
INDT.ST,value_eu,AVOID,75,,score bajo (30),Revisa si el score mejora tras próximo earnings,rules
STMN.SW,value_eu,AVOID,75,,score bajo (30),Revisa si el score mejora tras próximo earnings,rules
SU.PA,value_eu,AVOID,75,,score bajo (30),Revisa si el score mejora tras próximo earnings,rules
DSV.CO,value_eu,AVOID,75,,score bajo (29),Revisa si el score mejora tras próximo earnings,rules
KNEBV.HE,value_eu,AVOID,75,,score bajo (28),Revisa si el score mejora tras próximo earnings,rules
SY1.DE,value_eu,AVOID,75,,score bajo (28),Revisa si el score mejora tras próximo earnings,rules
ERF.PA,value_eu,AVOID,75,,score bajo (27),Revisa si el score mejora tras próximo earnings,rules
BEI.DE,value_eu,AVOID,75,,score bajo (26),Revisa si el score mejora tras próximo earnings,rules
ATLKY,value,ENTRY,80,ROE 22% · FCF yield 22.7% · upside +24% analistas,,Entrada válida ahora,rules
NYT,value,ENTRY,80,ROE 20% · upside +13% analistas · sobre MA50/150/200,,Entrada válida ahora,rules
TEVA,value,ENTRY,80,ROE 22% · FCF yield 6.8% · upside +26% analistas,,Entrada válida ahora,rules
ETN,value,ENTRY,80,ROE 21% · sobre MA50/150/200 · Piotroski 7/9,,Entrada válida ahora,rules
KO,value,ENTRY,80,ROE 43% · sobre MA50/150/200 · Piotroski 7/9,,Entrada válida ahora,rules
AUTO.L,value,WAIT,60,score 83/100 · ROE 60% · margen 47%,,Espera confirmación técnica (MA pass + RS subiendo),rules
ROP,value,WAIT,60,score 65/100 · FCF yield 6.5% · upside +37% analistas,RS débil (3%),Espera confirmación técnica (MA pass + RS subiendo),rules
ADP,value,WAIT,60,score 65/100 · ROE 71% · FCF yield 5.2%,RS débil (10%),Espera confirmación técnica (MA pass + RS subiendo),rules
ASAZY,value,WAIT,60,score 64/100 · ROE 15% · FCF yield 44.8%,,Espera confirmación técnica (MA pass + RS subiendo),rules
MA,value,WAIT,60,score 53/100 · ROE 232% · upside +37% analistas,,Espera confirmación técnica (MA pass + RS subiendo),rules
EXPN.L,value,WAIT,60,score 53/100 · ROE 28% · margen 18%,,Espera confirmación técnica (MA pass + RS subiendo),rules
CTAS,value,WAIT,60,score 53/100 · ROE 41% · upside +22% analistas,RS débil (7%),Espera confirmación técnica (MA pass + RS subiendo),rules
OTIS,value,WAIT,60,score 51/100 · FCF yield 6.3% · upside +35% analistas,RS débil (2%),Espera confirmación técnica (MA pass + RS subiendo),rules
MSFT,value,WAIT,60,ROE 34% · upside +31% analistas · Piotroski 6/9,RS débil (7%),Entra si ROE supera el 40% y RS percentile sube sobre el 20% tras earnings,ai
NDAQ,value,WAIT,60,ROE 16% · upside +23% analistas · Piotroski 9/9,,Espera confirmación técnica (MA pass + RS subiendo),rules
AON,value,WAIT,60,ROE 46% · upside +22% analistas · Piotroski 8/9,RS débil (0%),Entra si ROE supera el 50% y el RS percentile sube por encima del 30% tras earnings,ai
INTU,value,WAIT,60,ROE 22% · FCF yield 6.1% · upside +58% analistas,RS débil (1%),Espera confirmación técnica (MA pass + RS subiendo),rules
NOW,value,WAIT,60,ROE 16% · upside +20% analistas,RS débil (17%),Entra si ROE supera el 18% y RS percentile sube sobre 25% tras earnings,ai
KVUE,value,WAIT,60,ROE 16% · FCF yield 5.8% · upside +16% analistas,RS débil (14%),Espera confirmación técnica (MA pass + RS subiendo),rules
UBER,value,WAIT,60,ROE 35% · upside +46% analistas · Piotroski 6/9,RS débil (3%),Entra si el ROE se mantiene sobre 30% y el RS percentile sube sobre 10% tras los próximos earnings,ai
VEEV,value,WAIT,60,upside +47% analistas · Piotroski 7/9,RS débil (10%),Entra si el RS percentile sube sobre 20% y se confirma un cierre sobre la media móvil de 50 días,ai
CPRT,value,WAIT,60,ROE 18% · upside +37% analistas · Piotroski 6/9,,Espera confirmación técnica (MA pass + RS subiendo),rules
ICE,value,WAIT,60,upside +44% analistas · Piotroski 8/9,,Espera confirmación técnica (MA pass + RS subiendo),rules
HEI,value,WAIT,60,ROE 17% · upside +17% analistas · Piotroski 8/9,,Espera confirmación técnica (MA pass + RS subiendo),rules
DSGX,value,WAIT,60,upside +36% analistas · Piotroski 6/9,RS débil (8%),Entra si el RS percentile sube sobre 20% y se confirma un cierre sobre la media móvil de 50 días,ai
BR,value,WAIT,60,ROE 42% · FCF yield 6.7% · upside +35% analistas,RS débil (5%),Espera confirmación técnica (MA pass + RS subiendo),rules
LRLCY,value,WAIT,60,ROE 18% · upside +17% analistas · Piotroski 6/9,RS débil (6%),Espera confirmación técnica (MA pass + RS subiendo),rules
BRO,value,WAIT,60,FCF yield 8.2% · upside +32% analistas,,Espera confirmación técnica (MA pass + RS subiendo),rules
HESAY,value,WAIT,60,ROE 25% · margen 28% · upside +50% analistas,,Espera confirmación técnica (MA pass + RS subiendo),rules
GVDNY,value,WAIT,60,ROE 23% · upside +25% analistas · Piotroski 7/9,RS débil (3%),Entra si el ROE supera el 25% y el RS percentile sube por encima del 10% tras los próximos earnings,ai
G24.DE,value,WAIT,60,ROE 18% · upside +39% analistas · Piotroski 6/9,,Espera confirmación técnica (MA pass + RS subiendo),rules
CSU.TO,value,WAIT,60,ROE 20% · upside +43% analistas · Piotroski 6/9,RS débil (8%),Entra si ROE supera el 22% y el RS percentile sube por encima del 15% tras los próximos earnings,ai
RELX,value,WAIT,60,ROE 70% · margen 22% · upside +59% analistas,RS débil (8%),Espera confirmación técnica (MA pass + RS subiendo),rules
BAC,value,WAIT,60,upside +20% analistas · sobre MA50/150/200,RS débil (18%),Entra si el RS percentile sube por encima del 30% y se confirma un cierre sobre la MA50 con volumen tras earnings,ai
KR,value,WAIT,60,FCF yield 9.0% · upside +23% analistas · Piotroski 7/9,RS débil (0%),Entra si el RS percentile sube sobre 20% y el precio cierra sobre el promedio móvil de 50 días después de los earnings,ai
JKHY,value,WAIT,60,ROE 25% · upside +42% analistas · Piotroski 9/9,,Espera confirmación técnica (MA pass + RS subiendo),rules
THC,value,WAIT,60,ROE 30% · FCF yield 21.6% · upside +48% analistas,RS débil (2%),Espera confirmación técnica (MA pass + RS subiendo),rules
SAP,value,WAIT,60,ROE 16% · upside +42% analistas · Piotroski 8/9,RS débil (8%),Entra si ROE supera el 18% y el RS percentile sube sobre el 15% tras earnings,ai
PGR,value,WAIT,60,ROE 38% · FCF yield 13.7% · upside +20% analistas,RS débil (2%),Espera confirmación técnica (MA pass + RS subiendo),rules
