ticker,company_name,purchase_count,unique_insiders,total_shares,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
AAL.L,Anglo American plc,31,12,1002,60,2026-06-15,2026-08-14,100,MUY ALTA,FTSE100
BA.L,BAE Systems plc,48,13,10793,70,2026-06-05,2026-08-14,100,MUY ALTA,FTSE100
BARC.L,Barclays PLC,10,10,27498,0,2026-07-28,2026-07-28,100,MUY ALTA,FTSE100
BATS.L,British American Tobacco p.l.c.,44,13,18748,83,2026-06-03,2026-08-25,100,MUY ALTA,FTSE100
BP.L,BP p.l.c.,24,7,26265,61,2026-06-10,2026-08-10,100,MUY ALTA,FTSE100
GSK.L,GSK plc,56,14,20601,63,2026-06-09,2026-08-11,100,MUY ALTA,FTSE100
DGE.L,Diageo plc,28,10,2543,63,2026-06-08,2026-08-10,100,MUY ALTA,FTSE100
MNDI.L,Mondi plc,6,2,116,63,2026-06-05,2026-08-07,100,MUY ALTA,FTSE100
LLOY.L,Lloyds Banking Group plc,20,7,47535,62,2026-06-09,2026-08-10,100,MUY ALTA,FTSE100
LAND.L,Land Securities Group Plc,6,2,136,61,2026-06-04,2026-08-04,100,MUY ALTA,FTSE100
SGE.L,The Sage Group plc,11,9,15777,24,2026-07-10,2026-08-03,100,MUY ALTA,FTSE100
RR.L,Rolls-Royce Holdings plc,14,6,5131,64,2026-06-04,2026-08-07,100,MUY ALTA,FTSE100
RIO.L,Rio Tinto Group,5,4,329,38,2026-06-09,2026-07-17,100,MUY ALTA,FTSE100
RHM.DE,Rheinmetall AG,4,3,0,3,2026-06-22,2026-06-25,100,MUY ALTA,DAX40
PRU.L,Prudential plc,24,8,37356,66,2026-06-05,2026-08-10,100,MUY ALTA,FTSE100
NWG.L,NatWest Group plc,9,9,4589,0,2026-07-01,2026-07-01,100,MUY ALTA,FTSE100
NG.L,National Grid plc,8,3,46435,60,2026-06-08,2026-08-07,100,MUY ALTA,FTSE100
UNA.AS,Unilever PLC,13,9,3441,0,2026-07-01,2026-07-01,100,MUY ALTA,AEX25
SSE.L,SSE plc,27,10,133,62,2026-06-05,2026-08-06,100,MUY ALTA,FTSE100
TSCO.L,Tesco PLC,37,13,56540,73,2026-06-05,2026-08-17,100,MUY ALTA,FTSE100
ULVR.L,Unilever PLC,13,9,3441,0,2026-07-01,2026-07-01,100,MUY ALTA,FTSE100
ZAL.DE,Zalando SE,20,1,0,1,2026-08-06,2026-08-07,100,MUY ALTA,DAX40
VOD.L,Vodafone Group Public Limited Company,9,9,370844,40,2026-06-25,2026-08-04,100,MUY ALTA,FTSE100
SHEL.L,Shell plc,10,8,12678,0,2026-07-02,2026-07-02,100,MUY ALTA,FTSE100
SAP.DE,SAP SE,3,3,0,33,2026-07-24,2026-08-26,90,MUY ALTA,DAX40
WTB.L,Whitbread plc,3,3,1326,39,2026-07-03,2026-08-11,90,MUY ALTA,FTSE100
INF.L,Informa plc,3,2,336,0,2026-07-10,2026-07-10,80,MUY ALTA,FTSE100
BAYN.DE,Bayer Aktiengesellschaft,2,2,0,28,2026-06-02,2026-06-30,60,MUY ALTA,DAX40
HSBA.L,HSBC Holdings plc,2,2,4784,0,2026-06-26,2026-06-26,60,MUY ALTA,FTSE100
IMB.L,Imperial Brands PLC,2,2,40,0,2026-07-03,2026-07-03,60,MUY ALTA,FTSE100
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,2,2,0,0,2026-08-07,2026-08-07,60,MUY ALTA,DAX40
HEIG.DE,276080,2,1,0,1,2026-07-30,2026-07-31,50,ALTA,DAX40
DTE.DE,Deutsche Telekom AG,2,1,0,1,2026-06-29,2026-06-30,50,ALTA,DAX40
