ticker,funds_count,funds_list,total_value_m,avg_portfolio_pct,company_name,latest_date
GOOGL,2,Berkshire Hathaway (Buffett) | Pershing Square (Ackman),28166.9,1.8954,ALPHABET INC,2026-08-14
GOOG,2,Berkshire Hathaway (Buffett) | Pershing Square (Ackman),9695.9,1.931,ALPHABET INC,2026-08-14
AAPL,1,Berkshire Hathaway (Buffett),65950.3,1.8365,APPLE INC,2026-08-14
AXP,1,Berkshire Hathaway (Buffett),51282.3,5.7123333333333335,AMERICAN EXPRESS CO,2026-08-14
KO,1,Berkshire Hathaway (Buffett),32508.0,1.0862,COCA COLA CO,2026-08-14
BAC,1,Berkshire Hathaway (Buffett),27543.8,1.15075,BANK OF AMER CORP,2026-08-14
CVX,1,Berkshire Hathaway (Buffett),13986.1,1.1684999999999999,CHEVRON CORPORATION,2026-08-14
OXY,1,Berkshire Hathaway (Buffett),12868.2,4.3,OCCIDENTAL PETE CORP,2026-08-14
MCO,1,Berkshire Hathaway (Buffett),11173.4,1.2446666666666666,MOODYS CORP,2026-08-14
KHC,1,Berkshire Hathaway (Buffett),7691.5,2.57,KRAFT HEINZ CO,2026-08-14
DVA,1,Berkshire Hathaway (Buffett),6425.3,1.0735000000000001,DAVITA INC,2026-08-14
DAL,1,Berkshire Hathaway (Buffett),5368.6,1.794,DELTA AIR LINES INC,2026-08-14
SIRI,1,Berkshire Hathaway (Buffett),3686.8,0.616,SIRIUSXM HOLDINGS INC,2026-08-14
BN,1,Pershing Square (Ackman),2415.9,17.616,BROOKFIELD CORP,2026-05-15
AMZN,1,Pershing Square (Ackman),2385.1,17.391,AMAZON COM INC,2026-05-15
VRSN,1,Berkshire Hathaway (Buffett),2261.5,0.378,VERISIGN INC,2026-08-14
KR,1,Berkshire Hathaway (Buffett),2165.7,0.181,KROGER CO,2026-08-14
UBER,1,Pershing Square (Ackman),2154.9,15.713,UBER TECHNOLOGIES INC,2026-05-15
MSFT,1,Pershing Square (Ackman),2093.0,15.261,MICROSOFT CORP,2026-05-15
QSR,1,Pershing Square (Ackman),1673.5,12.203,RESTAURANT BRANDS INTL INC,2026-05-15
META,1,Pershing Square (Ackman),1522.4,11.101,META PLATFORMS INC,2026-05-15
ALLY,1,Berkshire Hathaway (Buffett),1240.6,0.06916666666666667,ALLY FINL INC,2026-08-14
HHH,1,Pershing Square (Ackman),1192.6,8.696,HOWARD HUGHES HOLDINGS INC,2026-05-15
LEN,1,Berkshire Hathaway (Buffett),1186.5,0.1985,LENNAR CORP,2026-08-14
LLYVK,1,Berkshire Hathaway (Buffett),1118.4,0.0935,LIBERTY LIVE HOLDINGS INC,2026-08-14
NYT,1,Berkshire Hathaway (Buffett),1098.7,0.1835,NEW YORK TIMES CO MTN BE,2026-08-14
COF,1,Berkshire Hathaway (Buffett),601.9,0.1005,CAPITAL ONE FINL CORP,2026-08-14
GRBK,1,Appaloosa (Tepper),592.4,9.641333333333334,GREEN BRICK PARTNERS INC,2024-02-14
LLYVA,1,Berkshire Hathaway (Buffett),504.9,0.042,LIBERTY LIVE HOLDINGS INC,2026-08-14
LPX,1,Berkshire Hathaway (Buffett),445.6,0.07450000000000001,LOUISIANA PAC CORP,2026-08-14
NUE,1,Berkshire Hathaway (Buffett),413.8,0.138,NUCOR CORP,2026-08-14
CEIXEUR,1,Appaloosa (Tepper),211.7,2.584,CONSOL ENERGY INC NEW,2024-02-14
M,1,Berkshire Hathaway (Buffett),173.0,0.019,MACYS INC,2026-08-14
BHF,1,Appaloosa (Tepper),161.1,1.9665,BRIGHTHOUSE FINL INC,2024-02-14
KD,1,Appaloosa (Tepper),132.1,2.1496666666666666,KYNDRYL HLDGS INC,2024-02-14
SEG,1,Pershing Square (Ackman),107.9,0.787,SEAPORT ENTMT GROUP INC,2026-05-15
THC,1,Appaloosa (Tepper),99.4,1.6186666666666667,TENET HEALTHCARE CORP,2024-02-14
ODP1,1,Appaloosa (Tepper),98.4,1.6016666666666666,THE ODP CORP,2024-02-14
ALIT,1,Appaloosa (Tepper),78.8,0.96225,ALIGHT INC,2024-02-14
NVR,1,Berkshire Hathaway (Buffett),75.7,0.025,NVR INC,2026-08-14
GLD,1,Appaloosa (Tepper),74.0,1.204,SPDR GOLD TR,2024-02-14
HTZ,1,Pershing Square (Ackman),70.3,0.512,HERTZ GLOBAL HLDGS INC,2026-05-15
TECK,1,Appaloosa (Tepper),65.6,1.0679999999999998,TECK RESOURCES LTD,2024-02-14
