ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,tier,quality
META,82.92105263157895,50.0,,,,"Meta Platforms, Inc.",64.2,Communication Services,Internet Content & Information,60.0,50.0,65.0,95.0,65.0,668.69,1691488485376,67.4,33.2,15.0,19.3,2026-02-12 08:34:06,2025-08-08,⭐⭐⭐ EXCELLENT,🟢 Excellent
PLTR,56.738461538461536,50.0,,,,Palantir Technologies Inc.,81.2,Technology,Software - Infrastructure,60.0,100.0,85.0,95.0,70.0,135.68,323384606720,62.1,22.7,15.0,24.4,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
SOFI,58.388888888888886,50.0,,,,"SoFi Technologies, Inc.",73.2,Financial Services,Credit Services,55.0,90.0,85.0,75.0,60.0,20.55,25968164864,60.3,23.4,15.0,22.0,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
TSLA,71.25,50.0,,,,"Tesla, Inc.",52.9,Consumer Cyclical,Auto Manufacturers,50.0,50.0,40.5,75.0,60.0,428.605,1608311111680,59.4,28.5,15.0,15.9,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
SHOP,55.9,50.0,,,,Shopify Inc.,73.0,Technology,Software - Application,55.0,90.0,79.0,75.0,70.0,118.985,155293499392,59.3,22.4,15.0,21.9,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
BNTX,68.4090909090909,50.0,,,,BioNTech SE,55.1,Healthcare,Biotechnology,50.0,50.0,60.5,60.0,65.0,109.38,27446802432,58.9,27.4,15.0,16.5,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
COIN,55.96153846153846,50.0,,,,"Coinbase Global, Inc. - 3",71.0,Financial Services,Financial Data & Stock Exchanges,60.0,70.0,71.0,95.0,70.0,153.2,41311543296,58.7,22.4,15.0,21.3,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
OKTA,66.65,50.0,,,,"Okta, Inc.",56.5,Technology,Software - Infrastructure,50.0,70.0,35.0,70.0,65.0,88.18,15628161024,58.6,26.7,15.0,17.0,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
NFLX,60.65714285714286,50.0,,,,"Netflix, Inc.",62.4,Communication Services,Entertainment,60.0,50.0,60.5,85.0,70.0,79.63,337781653504,58.0,24.3,15.0,18.7,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
SNOW,58.56363636363636,50.0,,,,Snowflake Inc.,64.5,Technology,Software - Application,50.0,90.0,66.5,45.0,70.0,178.83,61195628544,57.8,23.4,15.0,19.3,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
ROKU,60.13333333333334,50.0,,,,"Roku, Inc.",62.2,Communication Services,Entertainment,50.0,70.0,65.0,65.0,70.0,87.89,12985903104,57.7,24.1,15.0,18.7,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
TWLO,59.75,50.0,,,,Twilio Inc.,58.1,Technology,Software - Infrastructure,50.0,70.0,40.5,70.0,70.0,110.44,16945207296,56.3,23.9,15.0,17.4,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
DDOG,53.125,50.0,,,,"Datadog, Inc.",64.8,Technology,Software - Application,50.0,80.0,65.0,65.0,70.0,127.33,44650905600,55.7,21.2,15.0,19.4,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
LCID,58.040000000000006,50.0,,,,"Lucid Group, Inc.",57.8,Consumer Cyclical,Auto Manufacturers,50.0,90.0,30.0,55.0,60.0,10.05,3257892864,55.6,23.2,15.0,17.3,2026-02-12 08:34:06,2025-08-08,⭐⭐ GOOD,🟡 Good
ADBE,58.65909090909091,50.0,,,,Adobe Inc.,54.0,Technology,Software - Application,60.0,50.0,30.0,70.0,70.0,257.16,107647180800,54.7,23.5,15.0,16.2,2026-02-12 08:34:06,2025-08-08,⭐ AVERAGE,🟡 Average
DOCU,55.45454545454545,50.0,,,,"DocuSign, Inc.",54.2,Technology,Software - Application,50.0,70.0,30.0,65.0,60.0,44.34,8880093184,53.4,22.2,15.0,16.3,2026-02-12 08:34:06,2025-08-08,⭐ AVERAGE,🟡 Average
CRM,53.742105263157896,44.7,26.1,0.0,98.7,"Salesforce, Inc.",57.5,Technology,Software - Application,55.0,70.0,30.0,70.0,70.0,185.0,176120004608,52.2,21.5,13.4,17.2,2026-02-12 08:34:06,2025-08-08,⭐ AVERAGE,🟡 Average
