ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,analyzed_at
CCNE,CNB Financial Corporation,75.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,87.4,60.0,60.0,100.0,97.5,True,up,,,0,31.6,True,2,{'profit_margin_pct': 24.2},"{'revenue_growth_yoy': np.float64(31.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(21.3), 'rs_6m': np.float64(12.7), 'rs_line_percentile': 97.5, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 8.9, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.0}",29.98,883697664,Financial Services,Banks - Regional,1.2,2.5,False,30.84,-2.8,8.0,True,32.67,35.0,29.0,3.0,buy,9.0,,,63.0,110.1,2026-02-23T08:30:55.188354
BBT,Beacon Financial Corporation,74.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,87.4,60.0,60.0,100.0,93.8,True,up,,,0,58.1,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(26.0), 'rs_6m': np.float64(18.9), 'rs_line_percentile': 93.8, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 4.9, 'operating_margin_pct': 46.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.8}",31.78,2666623744,Financial Services,Banks - Regional,4.9,5.2,False,31.95,-0.5,8.0,True,34.57,42.0,31.0,7.0,buy,8.8,,,30.9,-2.8,2026-02-23T08:32:24.867055
PKBK,"Parke Bancorp, Inc.",73.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,91.0,65.0,50.0,100.0,94.2,True,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(30.9), 'rs_6m': np.float64(27.2), 'rs_line_percentile': 94.2, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",28.5,337645120,Financial Services,Banks - Regional,1.0,1.2,False,29.5,-3.4,8.0,True,,,,,none,,,,94.8,232.6,2026-02-23T08:33:33.540654
LPG,Dorian LPG Ltd.,72.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,82.6,80.0,60.0,100.0,99.7,True,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(38.9), 'rs_6m': np.float64(9.9), 'rs_line_percentile': 99.7, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -0.8}",35.52,1518270592,Energy,Oil & Gas Midstream,4.9,3.0,False,35.82,-0.8,8.0,True,35.25,41.0,31.0,4.0,buy,-0.8,100.74,183.6,84.9,139.0,2026-02-23T08:32:46.882120
AEBI,Aebi Schmidt Holding AG,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,100.0,91.0,60.0,50.0,100.0,99.1,True,up,,,0,58.0,True,2,{'profit_margin_pct': 0.8},"{'revenue_growth_yoy': np.float64(58.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(36.1), 'rs_6m': np.float64(25.6), 'rs_line_percentile': 99.1, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'debt_to_equity': 1.0, 'current_ratio': 2.1, 'operating_margin_pct': 3.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 0.9}",15.61,1207305216,Industrials,Farm & Heavy Construction Machinery,,7.2,False,33.0,-52.7,,,15.75,16.5,15.0,2.0,none,0.9,,,1.4,-91.0,2026-02-23T08:30:54.010869
PRIM,Primoris Services Corporation,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,90.0,91.0,70.0,60.0,100.0,100.0,True,up,,,0,25.1,True,2,{'profit_margin_pct': 3.7},"{'revenue_growth_yoy': np.float64(25.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(34.0), 'rs_6m': np.float64(42.7), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 18.6, 'debt_to_equity': 0.59, 'current_ratio': 1.2, 'operating_margin_pct': 6.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -9.7}",169.36,9150918656,Industrials,Engineering & Construction,6.8,3.8,False,174.43,-2.9,8.0,True,152.86,175.0,128.0,14.0,buy,-9.7,363.82,114.8,151.5,-10.5,2026-02-23T08:33:02.112120
FTAI,FTAI Aviation Ltd.,72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,91.0,65.0,60.0,100.0,97.9,True,up,,,0,33.7,False,0,{'profit_margin_pct': 20.8},"{'revenue_growth_yoy': np.float64(33.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(71.3), 'rs_6m': np.float64(89.7), 'rs_line_percentile': 97.9, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 263.0, 'debt_to_equity': 13.81, 'current_ratio': 5.84, 'operating_margin_pct': 31.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 8.6}",289.74,29719478272,Industrials,Rental & Leasing Services,4.1,1.6,False,310.0,-6.5,8.0,True,314.6,350.0,260.0,10.0,strong_buy,8.6,,,131.4,-54.6,2026-02-23T08:32:31.770398
NIC,Nicolet Bankshares Inc.,71.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,87.4,65.0,60.0,100.0,100.0,True,up,,,0,12.8,True,2,{'profit_margin_pct': 38.9},"{'revenue_growth_yoy': np.float64(12.8), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(30.4), 'rs_6m': np.float64(15.9), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 12.4, 'operating_margin_pct': 52.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.4}",161.37,2390122752,Financial Services,Banks - Regional,5.8,4.5,False,162.0,-0.4,8.0,True,175.0,190.0,157.0,5.0,buy,8.4,,,199.51,23.6,2026-02-23T08:34:21.361411
CHUC,"Charlie's Holdings, Inc.",71.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,72.3,75.0,50.0,60.0,68.6,False,up,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(16.5), 'rs_6m': np.float64(29.9), 'rs_line_percentile': 68.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.28,75782912,Consumer Defensive,Tobacco,,0.1,False,0.38,-26.3,6.0,False,,,,,none,,,,0.1,-64.3,2026-02-23T08:31:03.166840
NVT,nVent Electric plc,71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,82.7,80.0,60.0,95.0,95.6,False,up,,,0,40.1,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(40.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(6.4), 'rs_6m': np.float64(24.2), 'rs_line_percentile': 95.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 8.7}",116.87,18858090496,Industrials,Electrical Equipment & Parts,2.3,1.9,False,120.85,-3.3,8.0,True,127.0,148.0,68.04,13.0,strong_buy,8.7,150.93,29.1,77.7,-33.5,2026-02-23T08:32:54.999749
