ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
FTAI,0.0,50.0,31.2,,,FTAI Aviation Ltd.,72.0,Industrials,Rental & Leasing Services,60.0,80.0,91.0,65.0,60.0,291.18,29867184128.0,100.0,99.4,True,up,,,0.0,33.7,False,0.0,4.1,1.6,False,310.0,-6.1,8.0,True,"{'roe_pct': 263.0, 'debt_to_equity': 13.81, 'current_ratio': 5.84, 'operating_margin_pct': 31.2}",{'profit_margin_pct': 20.8},314.6,350.0,260.0,10.0,strong_buy,8.0,,,130.8,-55.1,,,,,,90.0,0.0,0.0,,32.6,0.0,15.0,21.6,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 63% up volume)",HIGH_FLOAT,101.1,35.0,36.6,100.0,True,up,99.4,10.0,,0.0,False,0.0,0.0,7,53.0,88.7,Top 25%,62.9,3.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,1/3,66.8,8.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,
EXEL,0.0,50.0,22.53,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,43.62,11695051776.0,35.0,43.9,False,up,,,0.0,7.8,False,0.0,14.4,11.4,True,49.62,-12.1,6.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},47.17,60.0,35.0,18.0,buy,8.1,103.06,136.3,83.4,91.2,,,,,,70.0,0.0,0.0,,18.0,0.0,15.0,18.1,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,211.4,43.0,33.1,35.0,False,up,43.9,2.0,,0.0,False,0.0,0.0,17,53.0,69.8,Medio,36.7,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,False,0/3,62.12,8.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
NVT,0.0,50.0,37.1,,,nVent Electric plc,71.0,Industrials,Electrical Equipment & Parts,55.0,80.0,82.7,80.0,60.0,115.59,18651549696.0,95.0,94.4,False,up,,,0.0,40.1,False,0.0,2.3,1.9,False,120.85,-4.4,8.0,True,"{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}",{'profit_margin_pct': 18.2},127.0,148.0,68.04,13.0,strong_buy,9.9,150.93,30.6,77.7,-32.8,,,,,,90.0,0.0,0.0,,46.3,0.0,15.0,21.3,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",HIGH_FLOAT,160.9,15.0,36.3,95.0,False,up,94.4,5.0,,0.0,False,0.0,0.0,16,53.0,71.7,Medio,40.2,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,2/3,58.4,8.0,0.0,🔵 DECENT,🟡 Good,AVOID,25.0,Near ATH (-3.3% from high) - poor entry point | Elevated P/E (45.1) - watch valuation,-3.3,NEUTRAL,STRONG_BUY,True
MTDR,0.0,50.0,19.13,,,Matador Resources Company,56.3,Energy,Oil & Gas E&P,60.0,40.0,66.6,60.0,60.0,51.91,6462505472.0,60.0,57.1,False,up,,,0.0,-6.5,True,1.0,9.6,5.8,True,59.22,-12.3,5.0,False,"{'roe_pct': 16.1, 'debt_to_equity': 0.57, 'current_ratio': 0.73, 'operating_margin_pct': 35.9}",{'profit_margin_pct': 22.0},57.0,85.0,47.0,19.0,strong_buy,9.8,6.06,-88.3,62.4,20.2,,,,,,100.0,0.0,0.0,,18.0,0.0,15.0,16.9,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,False,66,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 59% up volume)",HIGH_FLOAT,116.2,35.0,31.9,60.0,False,up,57.1,2.0,,0.0,True,1.0,2.0,18,53.0,67.9,Medio,35.3,0.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0,False,1/3,57.519999999999996,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
MWA,0.0,50.0,31.03,,,MUELLER WATER PRODUCTS,55.3,Industrials,Specialty Industrial Machinery,55.0,30.0,66.6,80.0,60.0,29.705,4645425664.0,60.0,58.1,False,up,,,0.0,-12.7,False,0.0,3.7,3.9,False,30.21,-1.7,7.0,True,"{'roe_pct': 21.6, 'debt_to_equity': 0.44, 'current_ratio': 4.02, 'operating_margin_pct': 18.9}",{'profit_margin_pct': 13.8},30.33,35.0,25.0,6.0,buy,2.1,31.27,5.3,28.83,-2.9,,,,,,90.0,0.0,0.0,,38.6,0.0,15.0,16.6,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,154.1,15.0,31.6,60.0,False,up,58.1,2.0,,0.0,False,0.0,0.0,12,53.0,79.2,Top 25%,53.6,3.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,False,2/3,57.12,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
HQI,0.0,50.0,11.18,,,"HireQuest, Inc.",66.8,Industrials,Staffing & Employment Services,60.0,70.0,61.4,90.0,55.0,11.74,165534000.0,35.0,42.1,False,up,,,0.0,5.1,True,2.0,3.2,7.9,False,15.75,-25.5,5.0,False,"{'roe_pct': 11.1, 'debt_to_equity': 0.03, 'current_ratio': 2.4, 'operating_margin_pct': 31.5}",{'profit_margin_pct': 21.9},14.0,15.0,13.0,2.0,none,19.3,11.79,0.4,5.2,-55.7,,,,,,100.0,0.0,0.0,,12.0,0.0,15.0,20.0,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MICRO_FLOAT,5.6,40.0,35.0,35.0,False,up,42.1,2.0,,0.0,True,2.0,2.0,37,53.0,32.1,Bajo 50%,22.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,False,0/3,56.72,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
PACS,0.0,50.0,30.05,,,"PACS Group, Inc.",60.5,Healthcare,Medical Care Facilities,50.0,70.0,89.0,35.0,50.0,38.7,6005369344.0,95.0,91.2,False,up,,,0.0,11.3,True,1.0,8.3,3.3,True,43.08,-10.2,8.0,True,"{'roe_pct': 21.7, 'debt_to_equity': 4.17, 'current_ratio': 0.94, 'operating_margin_pct': 6.4}",{'profit_margin_pct': 3.3},44.2,48.0,40.0,5.0,none,14.2,122.78,217.3,31.5,-18.6,,,,,,70.0,0.0,0.0,,46.2,0.0,15.0,18.2,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",MEDIUM_FLOAT,45.3,15.0,33.2,95.0,False,up,91.2,5.0,,0.0,True,1.0,2.0,15,53.0,73.6,Medio,50.4,0.0,3.0,3.0,10.0,0.0,0.0,5.0,0.0,False,2/3,55.2,8.0,0.0,🔵 DECENT,🟡 Good,HOLD,40.0,Close to ATH (-10.2% from high) - wait for pullback | Elevated P/E (36.8) - watch valuation,-10.2,NEUTRAL,NONE,False
CNS,0.0,50.0,0.0,,,Cohen & Steers Inc,61.7,Financial Services,Asset Management,60.0,70.0,38.7,90.0,50.0,66.3,3381799936.0,15.0,13.9,False,up,,,0.0,1.4,True,2.0,6.7,5.1,False,88.77,-25.3,1.0,False,"{'roe_pct': 27.3, 'debt_to_equity': 0.24, 'operating_margin_pct': 28.0}",{'profit_margin_pct': 27.6},72.0,77.0,64.0,3.0,hold,8.6,,,29.7,-55.2,,,,,,100.0,0.0,0.0,,5.0,0.0,15.0,18.5,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEDIUM_FLOAT,27.2,35.0,33.5,15.0,False,up,13.9,2.0,,0.0,True,2.0,2.0,31,53.0,43.4,Bajo 50%,25.6,0.0,1.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,54.68,0.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
NRIM,0.0,50.0,13.61,,,Northrim BanCorp Inc,61.1,Financial Services,Banks - Regional,60.0,60.0,60.3,70.0,55.0,25.255,558429376.0,60.0,51.7,False,flat,,,0.0,19.4,False,0.0,1.7,1.7,False,30.82,-18.1,6.0,False,"{'roe_pct': 21.8, 'operating_margin_pct': 34.5}",{'profit_margin_pct': 30.9},31.0,31.0,31.0,1.0,none,22.7,,,36.16,43.2,,,,,,100.0,0.0,0.0,,33.3,0.0,15.0,18.3,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 51% up volume)",LOW_FLOAT,21.5,15.0,33.3,60.0,False,flat,51.7,0.0,,0.0,False,0.0,0.0,3,53.0,96.2,Top 10%,73.7,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,False,2/3,54.44,0.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
EPD,0.0,50.0,31.1,,,Enterprise Products Partners L.,56.0,Energy,Oil & Gas Midstream,55.0,40.0,68.7,65.0,60.0,36.52,79074836480.0,60.0,63.1,False,up,,,0.0,-15.3,True,1.0,3.2,5.6,False,37.31,-2.1,7.0,True,"{'roe_pct': 19.7, 'debt_to_equity': 1.13, 'operating_margin_pct': 14.1}",{'profit_margin_pct': 11.1},36.65,41.0,32.0,20.0,buy,0.4,,,26.6,-27.2,,,,,,90.0,0.0,0.0,,24.0,0.0,15.0,16.8,2026-02-23 07:48:38,2026-02-23,CORRECTION,AVOID,False,0,Error: Too Many Requests. Rate limited. Try after a while.,STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 58% up volume)",MEGA_FLOAT,1449.8,38.0,31.8,60.0,False,up,63.1,2.0,,0.0,True,1.0,2.0,8,53.0,86.8,Top 25%,62.5,3.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,False,1/3,54.400000000000006,8.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
