ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,analyzed_at
LPG,Dorian LPG Ltd.,73.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,87.4,80.0,60.0,100.0,100.0,True,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(52.6), 'rs_6m': np.float64(14.8), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -4.7}",36.99,1581104512,Energy,Oil & Gas Midstream,4.6,2.6,False,37.115,-0.3,8.0,True,35.25,41.0,31.0,4.0,buy,-4.7,100.74,172.3,84.9,129.5,6.42,2.38,6.62,86.6,2.45,,True,-0.43,5.4,121.6,80.0,2026-05-21,False,False,2026-03-02T07:50:53.580305
MSGM,Motorsport Games Inc.,73.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,75.0,100.0,50.0,60.0,73.8,False,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(36.6), 'rs_6m': np.float64(27.7), 'rs_line_percentile': 73.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.9,19805960,Communication Services,Electronic Gaming & Multimedia,1.9,0.6,False,5.409,-27.9,7.0,True,,,,,none,,,,4.2,7.7,-0.02,-0.0,,,,,False,,64.7,,17.0,2026-03-19,False,True,2026-03-02T07:54:08.758519
AMRZ,Amrize Ltd,72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,87.4,80.0,60.0,100.0,95.7,True,up,,,0,36.4,False,0,{'profit_margin_pct': 10.0},"{'revenue_growth_yoy': np.float64(36.4), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(28.2), 'rs_6m': np.float64(18.5), 'rs_line_percentile': 95.7, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 10.2, 'debt_to_equity': 0.48, 'current_ratio': 1.64, 'operating_margin_pct': 17.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 2.4}",64.99,36699992064,Basic Materials,Building Materials,,2.9,False,65.94,-1.4,,,66.57,76.0,57.0,20.0,buy,2.4,43.18,-33.6,21.4,-67.1,4.31,2.86,,,,,False,,5.2,3.6,56.0,2026-04-27,False,False,2026-03-02T07:50:08.288518
NVT,nVent Electric plc,71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,86.3,80.0,60.0,95.0,95.2,False,up,,,0,31.8,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(31.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(10.1), 'rs_6m': np.float64(22.0), 'rs_line_percentile': 95.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 7.6}",118.36,19142299648,Industrials,Electrical Equipment & Parts,3.0,1.7,False,122.92,-3.7,8.0,True,127.39,148.0,68.04,13.0,strong_buy,7.6,150.58,27.2,78.0,-34.1,3.0,3.55,0.71,30.8,0.84,1.49,True,-1.32,8.3,1112.4,60.0,2026-05-01,False,False,2026-03-02T07:51:05.138655
PKBK,"Parke Bancorp, Inc.",71.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,79.4,65.0,50.0,80.0,88.2,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(21.2), 'rs_6m': np.float64(19.1), 'rs_line_percentile': 88.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",27.86,330062912,Financial Services,Banks - Regional,1.0,1.1,False,29.5,-5.6,8.0,True,,,,,none,,,,94.8,240.3,,,2.58,22.8,0.72,3.41,True,-2.64,,26.4,45.0,2026-04-16,False,False,2026-03-02T07:52:22.423253
CCNE,CNB Financial Corporation,70.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,60.3,60.0,65.0,60.0,72.5,False,flat,,,0,31.6,True,2,{'profit_margin_pct': 24.2},"{'revenue_growth_yoy': np.float64(31.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(7.2), 'rs_6m': np.float64(1.5), 'rs_line_percentile': 72.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 60}","{'roe_pct': 8.9, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.6}",28.01,825629504,Financial Services,Banks - Regional,1.0,1.8,False,30.84,-9.2,8.0,True,32.67,35.0,29.0,3.0,buy,16.6,,,63.0,124.9,,,2.6,34.3,0.73,3.04,True,-0.04,,65.7,43.0,2026-04-14,False,False,2026-03-02T07:47:40.315063
FTAI,FTAI Aviation Ltd.,70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,91.0,65.0,60.0,100.0,98.6,True,up,,,0,33.7,False,0,{'profit_margin_pct': 20.0},"{'revenue_growth_yoy': np.float64(33.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(78.5), 'rs_6m': np.float64(90.9), 'rs_line_percentile': 98.6, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 9.3}",305.8,31366799360,Industrials,Rental & Leasing Services,3.8,1.8,False,323.51,-5.5,8.0,True,334.2,375.0,266.0,10.0,strong_buy,9.3,,,130.23,-57.4,-2.46,-7.53,0.44,27.5,1.35,3.38,True,-0.4,3.3,29.8,59.0,2026-04-30,False,False,2026-03-02T07:50:25.249448
RBKB,"Rhinebeck Bancorp, Inc.",70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,87.4,60.0,50.0,100.0,100.0,True,up,,,0,75.0,True,1,{'profit_margin_pct': 19.4},"{'revenue_growth_yoy': np.float64(75.0), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(43.7), 'rs_6m': np.float64(11.8), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 7.8, 'operating_margin_pct': 23.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",16.0,178330912,Financial Services,Banks - Regional,1.9,5.2,False,16.44,-2.7,8.0,True,,,,,none,,,,9.2,-42.5,,,,,,,True,-0.07,,,,,False,False,2026-03-02T07:56:08.592248
AEBI,Aebi Schmidt Holding AG,70.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,100.0,76.7,60.0,60.0,80.0,78.8,False,up,,,0,58.0,True,2,{'profit_margin_pct': 0.8},"{'revenue_growth_yoy': np.float64(58.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(19.1), 'rs_6m': np.float64(13.0), 'rs_line_percentile': 78.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'debt_to_equity': 1.0, 'current_ratio': 2.1, 'operating_margin_pct': 3.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.2}",14.42,1115268480,Industrials,Farm & Heavy Construction Machinery,,7.2,False,33.0,-56.3,,,15.75,16.5,15.0,2.0,buy,9.2,,,1.4,-90.3,,,0.69,18.4,0.1,,False,,1.3,-42.6,17.0,2026-03-19,False,True,2026-03-02T07:47:42.238905
CHUC,"Charlie's Holdings, Inc.",70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,66.6,75.0,50.0,60.0,71.3,False,up,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(55.3), 'rs_6m': np.float64(4.5), 'rs_line_percentile': 71.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.286,77406832,Consumer Defensive,Tobacco,,0.1,False,0.38,-24.7,8.0,True,,,,,none,,,,0.1,-65.0,-7.0,-0.02,,,,,False,,5.4,,,,False,False,2026-03-02T07:49:09.472816
