ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,22.53,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,44.06,11813021696,35.0,46.0,False,up,,,0,7.8,False,0,15.5,11.2,True,49.62,-11.2,6.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},47.17,60.0,35.0,18.0,buy,7.1,103.06,133.9,83.4,89.3,5.34,2.43,,,,True,-8.02,88.9,58.9,71.0,2026-05-12,False,False,,,,,,70.0,0.0,0.0,,23.1,0.0,15.0,18.1,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,False,66,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,210.9,28.0,33.1,35.0,False,up,46.0,2.0,,0,False,0,0.0,16,40.0,62.5,Medio,41.8,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,False,1/3,70.12,5.0,0.0,6.0,0.0,3.0,5.0,0.89,-3.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
NRIM,0.0,50.0,10.43,,,Northrim BanCorp Inc,59.3,Financial Services,Banks - Regional,60.0,60.0,44.0,70.0,70.0,23.49,519402336,35.0,32.6,False,down,,,0,19.4,False,0,2.1,1.9,False,30.82,-23.8,5.0,False,"{'roe_pct': 21.8, 'operating_margin_pct': 34.5}",{'profit_margin_pct': 30.9},31.0,31.0,31.0,2.0,strong_buy,32.0,,,36.16,53.9,,,2.73,22.3,3.72,True,-0.0,,6.3,58.0,2026-04-29,False,False,,,,,,100.0,0.0,0.0,,13.0,0.0,15.0,17.8,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,False,83,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 45% up volume)",LOW_FLOAT,21.5,35.0,32.8,35.0,False,down,32.6,0.0,,0,False,0,0.0,3,40.0,95.0,Top 10%,61.1,5.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,False,1/3,65.72,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,⭐ GOOD,🟢 Excellent,,,,,,,
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,59.0,Technology,Software - Infrastructure,60.0,70.0,15.0,90.0,70.0,392.74,2918992052224,15.0,3.2,False,down,,,0,16.0,True,1,0.8,1.3,False,555.45,-29.3,2.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},596.0,730.0,392.0,53.0,strong_buy,51.8,306.34,-22.0,479.4,22.1,1.84,7.22,0.93,21.3,0.79,True,-0.77,56.4,59.8,58.0,2026-04-29,False,False,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,17.7,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 39% up volume)",MEGA_FLOAT,7414.9,38.0,32.7,15.0,False,down,3.2,0.0,,0,True,1,2.0,39,40.0,5.0,Bottom 25%,3.1,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,64.6,0.0,0.0,0.0,0.0,3.0,5.0,6.48,3.0,⭐ GOOD,🟡 Good,,,,,,,
PACS,0.0,50.0,16.759999999999998,,,"PACS Group, Inc.",62.6,Healthcare,Medical Care Facilities,50.0,70.0,80.3,50.0,65.0,36.51,5665530368,80.0,84.6,False,up,,,0,11.3,True,1,8.7,4.0,True,43.08,-15.3,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},45.6,52.0,40.0,5.0,strong_buy,24.9,66.11,81.1,31.5,-13.7,4.27,1.56,,,,False,,9.9,57.2,66.0,2026-05-07,False,False,,,,,,70.0,0.0,0.0,,58.8,0.0,15.0,18.8,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEDIUM_FLOAT,45.5,0.0,33.8,80.0,False,up,84.6,5.0,,0,True,1,2.0,8,40.0,82.5,Top 25%,57.4,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,3/3,64.03999999999999,5.0,0.0,3.0,0.0,0.0,5.0,3.11,3.0,⭐ GOOD,🟡 Good,BUY,100.0,Good pullback (-15.3% from high) - valid VCP setup | Strong upside (+24.9%) - analyst support,-15.3,NEUTRAL,STRONG_BUY,False
MCY,0.0,50.0,25.61,,,Mercury General Corporation,61.1,Financial Services,Insurance - Property & Casualty,50.0,60.0,70.4,70.0,65.0,90.58,5017101824,80.0,82.6,False,down,,,0,10.2,False,0,7.2,7.8,False,100.06,-9.5,7.0,True,"{'roe_pct': 24.8, 'debt_to_equity': 0.24, 'current_ratio': 0.56, 'operating_margin_pct': 16.7}",{'profit_margin_pct': 9.0},110.0,110.0,110.0,1.0,strong_buy,21.4,1931.42,2032.3,293.1,223.6,50.28,45.54,1.4,13.0,3.68,False,,24.2,50.4,70.0,2026-05-11,False,False,,,,,,70.0,0.0,0.0,,52.3,0.0,15.0,18.3,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEDIUM_FLOAT,26.6,0.0,33.3,80.0,False,down,82.6,3.0,,0,False,0,0.0,24,40.0,42.5,Bajo 50%,27.1,0.0,1.0,3.0,7.0,0.0,0.0,5.0,0.0,False,3/3,61.44,0.0,0.0,8.0,0.0,0.0,5.0,2.68,1.0,⭐ GOOD,🟡 Good,,,,,,,
FTAI,0.0,50.0,31.05,,,FTAI Aviation Ltd.,70.5,Industrials,Rental & Leasing Services,55.0,80.0,91.0,65.0,60.0,305.8,31366799360,100.0,98.6,True,up,,,0,33.7,False,0,3.8,1.8,False,323.51,-5.5,8.0,True,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},334.2,375.0,266.0,10.0,strong_buy,9.3,,,130.23,-57.4,-2.46,-7.53,0.44,27.5,3.38,True,-0.4,3.3,29.8,59.0,2026-04-30,False,False,,,,,,90.0,0.0,0.0,,67.2,0.0,15.0,21.2,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,70,"Moderate accumulation (1.5x ratio, 60% up volume)",HIGH_FLOAT,101.1,0.0,36.2,100.0,True,up,98.6,10.0,,0,False,0,0.0,11,40.0,75.0,Top 25%,49.3,3.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,61.2,0.0,0.0,-5.0,0.0,3.0,5.0,1.16,0.0,⭐ GOOD,🟡 Good,HOLD,35.0,Close to ATH (-5.5% from high) - wait for pullback | High P/E (70.0) - valuation risk,-5.5,NEUTRAL,STRONG_BUY,True
ACNB,0.0,50.0,25.98,,,ACNB Corporation,64.8,Financial Services,Banks - Regional,60.0,80.0,60.3,65.0,50.0,50.4,523394528,60.0,67.4,False,down,,,0,50.7,False,0,1.3,3.7,False,53.89,-6.5,7.0,True,"{'roe_pct': 10.2, 'operating_margin_pct': 41.9}",{'profit_margin_pct': 25.3},56.67,57.0,56.0,3.0,none,12.4,,,108.0,114.3,,,3.01,38.3,3.15,True,-1.66,,17.5,52.0,2026-04-23,False,False,,,,,,70.0,0.0,0.0,,54.4,0.0,15.0,19.4,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",MICRO_FLOAT,10.0,0.0,34.4,60.0,False,down,67.4,0.0,,0,False,0,0.0,3,40.0,95.0,Top 10%,61.1,5.0,0.0,3.0,7.0,0.0,0.0,5.0,0.0,False,3/3,60.92,0.0,0.0,0.0,5.0,3.0,5.0,1.55,0.0,⭐ GOOD,🟡 Good,,,,,,,
FULT,0.0,50.0,22.83,,,Fulton Financial Corporation,63.3,Financial Services,Banks - Regional,60.0,70.0,60.3,65.0,60.0,20.45,3678855680,60.0,59.3,False,up,,,0,3.3,True,2,8.0,5.2,True,22.99,-11.0,6.0,False,"{'roe_pct': 11.7, 'operating_margin_pct': 39.3}",{'profit_margin_pct': 30.7},23.0,24.0,22.0,5.0,buy,12.5,,,62.4,205.1,,,3.71,35.1,3.79,True,-1.25,,32.7,43.0,2026-04-14,False,False,,,,,,90.0,0.0,0.0,,59.0,0.0,15.0,19.0,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 52% up volume)",HIGH_FLOAT,177.4,0.0,34.0,60.0,False,up,59.3,2.0,,0,True,2,2.0,3,40.0,95.0,Top 10%,61.1,5.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,False,3/3,60.32,0.0,0.0,0.0,5.0,3.0,5.0,1.56,0.0,⭐ GOOD,🟡 Good,HOLD,55.0,Close to ATH (-11.0% from high) - wait for pullback,-11.0,NEUTRAL,BUY,False
SGU,0.0,50.0,21.509999999999998,,,Star Group L.P.,50.1,Energy,Oil & Gas Refining & Marketing,50.0,50.0,50.3,50.0,50.0,12.85,422495872,35.0,27.3,False,up,,,0,-27.4,True,2,0.2,1.7,False,13.75,-6.5,6.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 1.11, 'current_ratio': 0.73, 'operating_margin_pct': 9.9}",{'profit_margin_pct': 4.1},,,,,none,,27.83,116.6,25.92,101.7,9.54,1.23,5.76,37.9,5.6,True,-4.72,8.1,6.8,65.0,2026-05-06,False,False,,,,,,90.0,0.0,0.0,,47.0,0.0,15.0,15.0,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.5x ratio, 56% up volume)",MEDIUM_FLOAT,26.6,0.0,30.0,35.0,False,up,27.3,2.0,,0,True,2,2.0,,40.0,,Sin datos suficientes,27.3,0.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,3/3,59.53399999999999,8.0,0.0,8.0,5.0,3.0,3.0,,0.0,🔵 DECENT,🟡 Good,,,,,,,
THFF,0.0,50.0,22.58,,,First Financial Corporation,60.8,Financial Services,Banks - Regional,60.0,60.0,60.3,65.0,60.0,63.36,752764928,60.0,65.3,False,down,,,0,6.4,True,1,2.0,2.4,False,69.21,-8.5,6.0,False,"{'roe_pct': 13.2, 'operating_margin_pct': 34.2}",{'profit_margin_pct': 31.2},71.5,75.0,68.0,2.0,buy,12.8,,,200.4,216.3,,,3.3,31.3,2.95,True,-0.11,,15.7,50.0,2026-04-21,False,False,,,,,,70.0,0.0,0.0,,38.2,0.0,15.0,18.2,2026-03-02 07:56:29,2026-03-02,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 45% up volume)",LOW_FLOAT,11.3,15.0,33.2,60.0,False,down,65.3,0.0,,0,True,1,2.0,3,40.0,95.0,Top 10%,61.1,5.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,2/3,59.32,0.0,0.0,0.0,5.0,3.0,5.0,1.6,0.0,🔵 DECENT,🟡 Good,,,,,,,
