ticker,company,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,total_qty,confidence_score
TPL,Texas Pacific Land Corp,177,2,88,2025-12-05,2026-03-03,1071.0,3560
WRB,Berkley W R Corp,65,1,70,2025-12-23,2026-03-03,35758725.0,1310
MNTR,"Mentor Capital, Inc.",52,1,88,2025-12-05,2026-03-03,130350.0,1050
DLPN,"Dolphin Entertainment, Inc.",49,1,84,2025-12-09,2026-03-03,155908.0,990
NYC,American Strategic Investment Co.,42,1,63,2025-12-05,2026-02-06,166581.0,850
IRIX,Iridex Corp,39,2,75,2025-12-05,2026-02-18,97953.0,800
COSM,Cosmos Health Inc.,39,1,62,2025-12-17,2026-02-17,8202446.0,790
UUU,"Universal Safety Products, Inc.",38,2,88,2025-12-05,2026-03-03,1284558.0,780
HYMC,Hycroft Mining Holding Corp,38,1,80,2025-12-08,2026-02-26,14451648.0,770
SPG,Simon Property Group Inc.,38,1,23,2025-12-17,2026-01-09,8764.0,770
KFS,Kingsway Financial Services Inc,37,2,74,2025-12-19,2026-03-03,5671.0,760
PFBX,Peoples Financial Corp /Ms/,37,2,74,2025-12-11,2026-02-23,73160.0,760
LUCY,Innovative Eyewear Inc,34,4,50,2025-12-09,2026-01-28,3783029.0,720
CABA,"Cabaletta Bio, Inc.",32,6,5,2026-01-22,2026-01-27,528292.0,700
SLGL,Sol-Gel Technologies Ltd.,34,1,80,2025-12-05,2026-02-23,316169.0,690
AVO,"Mission Produce, Inc.",32,1,30,2025-12-31,2026-01-30,12489232.0,650
ISBA,Isabella Bank Corp,31,2,29,2026-01-22,2026-02-20,8490.0,640
YORW,York Water Co,28,7,29,2025-12-24,2026-01-22,1964.0,630
STEX,Streamex Corp.,28,5,24,2026-01-27,2026-02-20,4654044.0,610
AIRJ,Airjoule Technologies Corp.,27,5,46,2025-12-11,2026-01-26,2470950.0,590
SPRU,Spruce Power Holding Corp,29,1,52,2025-12-05,2026-01-26,696396.0,590
CBKM,Consumers Bancorp Inc /Oh/,26,4,59,2025-12-08,2026-02-05,6208.0,560
LAKE,Lakeland Industries Inc,25,6,30,2025-12-22,2026-01-21,30111.0,560
ELUT,Elutia Inc.,25,4,63,2025-12-05,2026-02-06,891000.0,540
AUBN,"Auburn National Bancorporation, Inc",25,2,84,2025-12-05,2026-02-27,2645.0,520
ONCY,Oncolytics Biotech Inc,22,6,27,2026-01-21,2026-02-17,978464.0,500
CMTV,Community Bancorp /Vt,23,3,43,2026-01-05,2026-02-17,20941.0,490
MIGI,Mawson Infrastructure Group Inc.,24,1,23,2026-01-13,2026-02-05,5721588.0,490
SQNS,Sequans Communications,24,1,22,2026-01-12,2026-02-03,892128.0,490
BUKS,Butler National Corp,23,3,26,2025-12-24,2026-01-19,87210.0,490
TCBI,Texas Capital Bancshares Inc/Tx,23,1,33,2026-01-28,2026-03-02,254770.0,470
MAIA,"Maia Biotechnology, Inc.",22,2,42,2025-12-05,2026-01-16,922228.0,460
NEWT,"Newtekone, Inc.",20,5,44,2025-12-09,2026-01-22,37713.0,450
NRDY,Nerdy Inc.,22,1,17,2025-12-05,2025-12-22,4027533.0,450
IMRX,Immuneering Corp,20,4,12,2026-01-15,2026-01-27,207276.0,440
ANDG,Andersen Group Inc.,20,2,4,2025-12-22,2025-12-26,1593644.0,420
GAIA,"Gaia, Inc",20,2,17,2025-12-09,2025-12-26,50825.0,420
NFJ,"Virtus Dividend, Interest & Premium Strategy Fund",20,1,25,2026-01-30,2026-02-24,1282195.0,410
JYNT,Joint Corp,20,1,76,2025-12-05,2026-02-19,161626.0,410
NAVN,"Navan, Inc.",19,3,27,2025-12-19,2026-01-15,11388964.0,410
ALT,"Altimmune, Inc.",20,1,23,2025-12-23,2026-01-15,124108.0,410
GPUS,"Hyperscale Data, Inc.",20,1,32,2025-12-05,2026-01-06,5846798.0,410
RNXT,"Renovorx, Inc.",19,2,50,2025-12-09,2026-01-28,134000.0,400
EML,Eastern Co,19,2,17,2025-12-05,2025-12-22,23351.0,400
FMBM,F&M Bank Corp,19,1,51,2025-12-22,2026-02-11,3288.0,390
RGCO,Rgc Resources Inc,18,3,66,2025-12-05,2026-02-09,218.0,390
SRZN,"Surrozen, Inc./De",18,2,75,2025-12-05,2026-02-18,706725.0,380
DLHC,Dlh Holdings Corp.,18,1,73,2025-12-13,2026-02-24,287619.0,370
GTE,Gran Tierra Energy Inc.,18,1,59,2025-12-22,2026-02-19,3164000.0,370
CHUC,"Charlie'S Holdings, Inc.",16,4,62,2025-12-18,2026-02-18,3250000.0,360
CCFN,Muncy Columbia Financial Corp,17,2,55,2025-12-16,2026-02-09,5475.0,360
HYPD,"Hyperion Defi, Inc.",17,2,17,2025-12-22,2026-01-08,668866.0,360
BMNM,"Bimini Capital Management, Inc.",16,4,5,2025-12-24,2025-12-29,2137980.0,360
EMBY,"Embassy Bancorp, Inc.",15,6,7,2025-12-05,2025-12-12,14934.0,360
CNVS,Cineverse Corp.,15,5,2,2026-02-18,2026-02-20,607500.0,350
TOFB,Tofutti Brands Inc,17,1,45,2025-12-19,2026-02-02,253900.0,350
AKTS,"Aktis Oncology, Inc.",16,3,7,2026-01-13,2026-01-20,17611476.0,350
