ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,ai_verdict,ai_confidence,ai_reasoning,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,conviction_score,conviction_grade,conviction_reasons,conviction_positives,conviction_red_flags
LYFT,0.0,50.0,0.0,,,"Lyft, Inc.",49.2,Technology,Software - Application,60.0,50.0,15.0,65.0,60.0,13.84,5527051264,15.0,6.2,False,down,,,0,9.8,False,0,17.1,3.6,True,25.54,-45.8,3.0,False,"{'roe_pct': 140.8, 'debt_to_equity': 0.4, 'current_ratio': 0.65, 'operating_margin_pct': -11.2}",{'profit_margin_pct': 45.0},19.73,31.0,13.0,37.0,hold,42.5,126.77,816.0,204.3,1376.2,21.53,2.99,,,,True,-9.05,-1.6,1804.6,63.0,2026-05-07,False,False,,,,,,70.0,0.0,0.0,,0.0,0.0,15.0,14.8,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",MEGA_FLOAT,321.1,38.0,29.8,15.0,False,down,6.2,0.0,,0,False,0,0.0,50.0,50.0,2.0,Bottom 25%,5.9,-3.0,3.0,-5.0,0.0,0.0,0.0,5.0,15.0,False,1/3,53.68000000000001,0.0,0.0,8.0,0.0,3.0,5.0,5.31,3.0,🔵 DECENT,🟡 Average,,,,,,,,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and positive growth, combined with analyst validation and realistic upside",13.56,12.57,21.76,7.3,60.4,BUY NOW - At target entry price,81.0,A,ROE 141% (excelente) | FCF Yield 21.5% (excelente) | DCF dice +816% infravalorada | R:R 5.3:1 (excelente),6,0
EXEL,0.0,50.0,6.029999999999999,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,41.69,11177595904,35.0,33.7,False,down,,,0,7.8,False,0,15.5,11.2,True,49.62,-16.0,4.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,12.3,103.06,147.2,83.4,100.0,5.65,2.43,,,,True,-8.48,88.9,58.9,68.0,2026-05-12,False,False,,,,,,70.0,0.0,0.0,,8.0,0.0,15.0,18.1,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,DISTRIBUTION,30,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,210.9,38.0,33.1,35.0,False,down,33.7,0.0,,0,False,0,0.0,20.0,50.0,62.0,Medio,42.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,73.12,5.0,0.0,6.0,0.0,3.0,5.0,1.54,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,,BUY,90,"Strong fundamentals with high ROE and margin, low debt, and positive growth, combined with realistic upside and validation from 18 analysts",40.86,38.92,53.52,4.75,30.99,BUY ON PULLBACK - Wait for 2-5% dip,77.0,A,ROE 36% (excelente) | Deuda minima (0.09) | FCF Yield 5.7% (bueno) | DCF dice +147% infravalorada,7,0
LIFE,0.0,50.0,6.1,,,Ethos Technologies Inc.,61.0,Financial Services,Insurance - Life,55.0,50.0,54.0,95.0,70.0,13.51,848579392,60.0,52.1,False,down,,,0,,,0,1.6,0.4,False,19.0,-28.9,,,"{'roe_pct': 21.0, 'debt_to_equity': 0.01, 'current_ratio': 2.17, 'operating_margin_pct': 22.2}",{'profit_margin_pct': 18.4},20.25,31.0,14.0,8.0,strong_buy,49.9,70.39,421.0,34.2,153.1,6.01,1.66,,,,False,,100.3,162.5,,,False,False,,,,,,100.0,0.0,0.0,,18.3,0.0,15.0,18.3,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,False,0,Insufficient data,UNKNOWN,50,Insufficient data,MICRO_FLOAT,6.8,20.0,33.3,60.0,False,down,52.1,0.0,,0,,0,0.0,31.0,50.0,40.0,Bajo 50%,27.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,68.4,0.0,0.0,6.0,0.0,0.0,5.0,6.24,3.0,⭐ GOOD,🟢 Excellent,,,,,,,,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and analyst validation with a realistic upside of 49.9%",13.24,12.18,18.63,8.0,40.69,BUY ON PULLBACK - Wait for 2-5% dip,71.0,B,ROE 21% (bueno) | Deuda minima (0.01) | FCF Yield 6.0% (bueno) | DCF dice +421% infravalorada,6,0
MCY,0.0,50.0,30.16,,,Mercury General Corporation,61.6,Financial Services,Insurance - Property & Casualty,50.0,60.0,73.1,70.0,65.0,93.05,5153911808,80.0,89.7,False,flat,,,0,10.2,False,0,7.2,7.8,False,100.06,-7.0,8.0,True,"{'roe_pct': 24.8, 'debt_to_equity': 0.24, 'current_ratio': 0.56, 'operating_margin_pct': 16.7}",{'profit_margin_pct': 9.0},110.0,110.0,110.0,1.0,strong_buy,18.2,1931.42,1975.7,293.1,215.0,48.95,45.54,1.36,13.0,3.68,False,,24.2,50.4,,,False,False,,,,,,70.0,0.0,0.0,,55.5,0.0,15.0,18.5,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 52% up volume)",MEDIUM_FLOAT,26.6,0.0,33.5,80.0,False,flat,89.7,3.0,,0,False,0,0.0,28.0,50.0,46.0,Bajo 50%,30.1,0.0,1.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,61.64,0.0,0.0,8.0,0.0,0.0,5.0,2.28,1.0,⭐ GOOD,🟡 Good,,,,,,,,BUY,80,"Strong fundamentals with high ROE, decent margin, and low debt, combined with realistic upside and analyst validation",91.19,83.89,114.74,8.0,25.83,BUY ON PULLBACK - Wait for 2-5% dip,69.0,B,ROE 25% (bueno) | Deuda minima (0.24) | FCF Yield 49.0% (excelente) | DCF dice +1976% infravalorada || RED FLAGS: Sin cobertura de analistas,5,1
WMG,0.0,50.0,5.16,,,Warner Music Group Corp.,51.6,Communication Services,Entertainment,50.0,70.0,26.7,45.0,70.0,28.29,14777174016,15.0,11.8,False,down,,,0,24.0,False,0,6.8,3.0,False,34.94,-19.0,3.0,False,"{'roe_pct': 39.8, 'debt_to_equity': 5.56, 'current_ratio': 0.7, 'operating_margin_pct': 17.8}",{'profit_margin_pct': 4.4},37.44,46.0,30.0,18.0,buy,32.4,73.19,158.7,5.7,-79.9,4.95,4.97,2.69,129.8,1.99,True,-0.27,3.4,-25.9,63.0,2026-05-07,False,False,,,,,,100.0,0.0,0.0,,6.0,0.0,15.0,15.5,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 40% up volume)",HIGH_FLOAT,145.4,35.0,30.5,15.0,False,down,11.8,0.0,,0,False,0,0.0,37.0,50.0,28.0,Bajo 50%,21.8,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,47.64,0.0,0.0,3.0,-2.0,3.0,-3.0,4.05,3.0,⚪ WEAK,🟡 Average,,,,,,,,BUY,80,"Strong fundamentals with high ROE and growth, upside potential is realistic and supported by 18 analysts, despite high debt/equity ratio",27.72,25.72,36.54,7.21,31.81,BUY ON PULLBACK - Wait for 2-5% dip,69.0,B,ROE 40% (excelente) | DCF dice +159% infravalorada | Buy (18 analistas) | Revenue +24% || RED FLAGS: Deuda alta (5.6),7,1
SPGI,0.0,50.0,0.0,,,S&P Global Inc.,51.5,Financial Services,Financial Data & Stock Exchanges,60.0,50.0,24.0,65.0,65.0,445.5,134897401856,15.0,24.9,False,down,,,0,3.7,False,0,1.6,1.5,False,579.05,-23.1,1.0,False,"{'roe_pct': 13.1, 'debt_to_equity': 0.38, 'current_ratio': 0.82, 'operating_margin_pct': 38.3}",{'profit_margin_pct': 29.2},537.9,625.0,480.0,21.0,strong_buy,20.7,692.29,55.4,439.8,-1.3,3.62,16.32,0.87,26.2,0.81,True,-3.71,22.6,32.0,54.0,2026-04-28,False,False,,,,,,90.0,0.0,0.0,,7.399999999999999,0.0,15.0,15.4,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,298.1,23.0,30.4,15.0,False,down,24.9,0.0,,0,False,0,0.0,,50.0,,Sin datos suficientes,24.9,0.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,2/3,54.6,0.0,0.0,3.0,0.0,3.0,5.0,2.59,1.0,🔵 DECENT,🟡 Average,,,,,,,,BUY,80,"Strong fundamentals with ROE > 10%, margin > 10%, and debt < 2x, combined with analyst validation and realistic upside potential",436.59,401.66,591.83,8.0,35.56,BUY ON PULLBACK - Wait for 2-5% dip,66.0,B,DCF dice +55% infravalorada | Strong Buy (21 analistas) | Buyback activo | Margen 29% (premium),4,0
TPC,0.0,50.0,17.28,,,Tutor Perini Corporation,67.8,Industrials,Engineering & Construction,50.0,80.0,76.7,70.0,70.0,73.71,3887704832,80.0,75.8,False,up,,,0,32.6,False,0,5.8,3.5,False,89.51,-17.7,7.0,True,"{'roe_pct': 11.8, 'debt_to_equity': 0.37, 'current_ratio': 1.27, 'operating_margin_pct': 3.4}",{'profit_margin_pct': 1.5},109.5,120.0,98.0,4.0,strong_buy,48.6,399.06,441.4,,,12.77,9.41,0.33,,3.45,False,,1.8,,62.0,2026-05-06,False,False,,,,,,100.0,0.0,0.0,,53.3,0.0,15.0,20.3,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,45,"No clear pattern (0.9x ratio, 47% up volume)",MEDIUM_FLOAT,45.1,5.0,35.3,80.0,False,up,75.8,5.0,,0,False,0,0.0,1.0,50.0,100.0,Top 10%,71.3,5.0,1.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,53.12,0.0,0.0,8.0,0.0,0.0,0.0,6.08,3.0,🔵 DECENT,🟡 Average,,,,,,,,BUY,80,"Strong fundamentals with ROE > 10%, reasonable debt, and high growth rate, combined with analyst validation and realistic upside potential",72.24,67.16,95.4,7.03,32.07,BUY NOW - At target entry price,62.0,B,FCF Yield 12.8% (excelente) | DCF dice +441% infravalorada | Revenue +33% | R:R 6.1:1 (excelente),4,0
ENR,0.0,50.0,0.0,,,"Energizer Holdings, Inc.",50.6,Industrials,Electrical Equipment & Parts,50.0,60.0,30.3,60.0,55.0,19.03,1304898816,15.0,10.5,False,down,,,0,17.5,False,0,9.4,4.3,True,31.78,-40.1,1.0,False,"{'roe_pct': 151.3, 'debt_to_equity': 24.24, 'current_ratio': 1.99, 'operating_margin_pct': 8.6}",{'profit_margin_pct': 7.1},23.67,28.0,19.0,6.0,none,24.4,43.79,130.1,29.7,56.1,13.47,2.57,6.31,40.4,3.92,True,-2.42,2.6,,61.0,2026-05-05,False,False,,,,,,100.0,0.0,0.0,,8.2,0.0,15.0,15.2,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 51% up volume)",HIGH_FLOAT,60.5,20.0,30.2,15.0,False,down,10.5,0.0,,0,False,0,0.0,24.0,50.0,54.0,Medio,38.4,0.0,3.0,-5.0,-5.0,0.0,0.0,5.0,0.0,False,2/3,57.24,0.0,0.0,8.0,0.0,3.0,0.0,3.05,3.0,🔵 DECENT,🟡 Good,,,,,,,,BUY,80,"Strong fundamentals with high ROE and growth, reasonable debt, and analyst validation, with a realistic upside of 24.4%",19.03,18.56,27.72,2.46,45.67,BUY NOW - At target entry price,61.0,B,ROE 151% (excelente) | FCF Yield 13.5% (excelente) | DCF dice +130% infravalorada | R:R 3.0:1 (bueno) || RED FLAGS: Deuda alta (24.2),5,1
NVT,0.0,50.0,30.98,,,nVent Electric plc,69.8,Industrials,Electrical Equipment & Parts,55.0,80.0,76.7,80.0,60.0,113.83,18409666560,80.0,87.9,False,up,,,0,31.8,False,0,3.0,1.7,False,122.92,-7.4,8.0,True,"{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}",{'profit_margin_pct': 18.2},127.39,148.0,68.04,13.0,strong_buy,11.9,150.58,32.3,78.0,-31.5,3.12,3.55,0.74,30.8,1.49,True,-1.37,8.3,1112.4,57.0,2026-05-01,False,False,,,,,,90.0,0.0,0.0,,58.9,0.0,15.0,20.9,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 52% up volume)",HIGH_FLOAT,160.9,0.0,35.9,80.0,False,up,87.9,5.0,,0,False,0,0.0,24.0,50.0,54.0,Medio,38.4,0.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,60.92,0.0,0.0,3.0,0.0,3.0,5.0,1.49,0.0,⭐ GOOD,🟡 Good,,,,,,,,BUY,90,"Strong fundamentals with ROE>10%, Margin>10%, and Debt/Eq<2x, combined with analyst validation and realistic upside",111.55,102.91,140.6,7.75,26.03,BUY NOW - At target entry price,57.0,B,DCF: +32% margen | Strong Buy (13 analistas) | Revenue +32% | Buyback activo,4,0
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,60.8,Technology,Software - Infrastructure,60.0,70.0,24.0,90.0,70.0,405.2,3011599663104,15.0,9.8,False,down,,,0,16.0,True,1,0.8,1.3,False,555.45,-27.1,1.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},596.0,730.0,392.0,53.0,strong_buy,47.1,306.34,-24.4,478.8,18.2,1.78,7.22,0.9,21.3,0.79,True,-0.74,56.4,59.8,55.0,2026-04-29,False,False,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,18.2,2026-03-05 07:56:54,2026-03-05,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 39% up volume)",MEGA_FLOAT,7414.9,38.0,33.2,15.0,False,down,9.8,0.0,,0,True,1,2.0,49.0,50.0,4.0,Bottom 25%,6.3,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,65.32,0.0,0.0,0.0,0.0,3.0,5.0,5.89,3.0,⭐ GOOD,🟢 Excellent,,,,,,,,BUY,90,"Strong fundamentals with high ROE, margin, and growth, combined with analyst validation and no red flags",397.1,374.08,550.94,5.8,38.74,BUY ON PULLBACK - Wait for 2-5% dip,55.0,B,ROE 34% (excelente) | Strong Buy (53 analistas) | R:R 5.9:1 (excelente) | Buyback activo || RED FLAGS: DCF dice SOBREVALORADA (-24%),5,1
