ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",188.8,HKD,84.0,A,84.0,ROE 22.6% | Potencial +34% analistas | FCF yield 5.2% | Margen 30% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,252.48,33.7,23,5.2,4.22,2.59,,22.6,12.1,15.9,30.0,3.0,-23.9,Regulatory risk due to Chinese tech sector oversight | Geopolitical risk given Hong Kong market exposure,SUSPECT,Low forward P/E and high profit margin may indicate undervaluation or potential for downward revision,2026-03-06
2020.HK,ANTA Sports Products Limited,80.65,HKD,82.0,A,82.0,ROE 25.4% | Potencial +33% analistas | FCF yield 5.6% | Dividendo 3.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.49,33.3,32,5.6,4.16,3.48,,25.4,14.0,13.7,19.7,14.3,-24.1,Cyclical Risk,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-06
000660.KS,SK hynix Inc.,924000.0,KRW,80.0,A,80.0,ROE 49.4% | P/E 4.7x (vs 11x mercado) | Potencial +30% analistas | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1202538.9,30.1,38,,3.77,,,49.4,4.7,,44.2,66.1,-15.9,cyclical | geopolitical,SUSPECT,Anomalous Forward P/E of 4.7x is unusually low for a technology company with high ROE and profit margin,2026-03-06
6690.HK,"Haier Smart Home Co., Ltd.",25.06,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.3x | Potencial +32% analistas | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,32.1,18,0.7,4.01,5.44,,18.2,9.3,9.8,6.8,9.5,-11.1,cyclical risk | governance risk,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-06
0700.HK,Tencent Holdings Limited,519.0,HKD,71.0,A,71.0,ROE 19.8% | Potencial +45% analistas | Crecimiento ingresos +15% | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,754.12,45.3,47,2.8,5.66,0.81,,19.8,14.7,20.6,29.9,15.4,-24.0,regulatory risks due to Chinese tech sector oversight | geopolitical risks due to US-China trade tensions,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-03-06
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",64.75,HKD,70.0,A,70.0,P/E 7.0x (vs 11x mercado) | Potencial +29% | Crecimiento ingresos +36% | Dividendo 4.4% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,83.58,29.1,18,,3.64,4.38,,12.2,7.0,7.5,14.1,35.5,-13.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-03-06
9984.T,SoftBank Group Corp.,3926.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 13.3x | Potencial +41% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5534.59,41.0,16,-0.2,5.12,0.28,,26.0,13.3,7.3,48.2,8.2,-43.3,cyclical | governance,SUSPECT,Negative FCF yield and low dividend yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-06
TOTS3.SA,TOTVS S.A.,36.78,BRL,69.0,A,69.0,ROE 16.1% | Potencial +39% analistas | Crecimiento ingresos +15% | Dividendo 1.7% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.29,39.5,13,1.1,4.93,1.66,,16.1,16.2,26.1,15.4,15.1,-24.0,valuation risk | reporting quality risk,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overvaluation or incorrect reporting",2026-03-06
4568.T,"Daiichi Sankyo Company, Limited",2867.0,JPY,68.0,A,68.0,ROE 18.3% | Potencial +72% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4924.38,71.8,16,-2.0,8.97,2.74,,18.3,20.0,19.2,14.8,15.1,-31.4,Negative FCF Yield | Regulatory Risk in Healthcare Sector,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-03-06
8766.T,"Tokio Marine Holdings, Inc.",6169.0,JPY,68.0,A,68.0,ROE 20.7% | P/E 12.5x | Potencial +11% | Crecimiento ingresos +22% | Dividendo 3.4% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,6852.0,11.1,10,,1.38,3.41,,20.7,12.5,11.2,12.6,21.8,-8.1,FCF no comparable (sector financiero) | Regulatory risk due to Japanese financial regulations | Cyclical risk inherent to insurance industry,CLEAN,"Metrics appear reasonable for an insurance company, with no obvious anomalies",2026-03-06
