ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
MSGM,Motorsport Games Inc.,76.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,91.0,100.0,50.0,100.0,99.5,True,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(89.1), 'rs_6m': np.float64(69.0), 'rs_line_percentile': 99.5, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",4.84,24579704,Communication Services,Electronic Gaming & Multimedia,1.9,0.6,False,5.409,-10.5,7.0,True,,,,,none,,,,4.2,-13.2,-0.02,-0.0,,,,,False,,64.7,,0.0,2026-03-10,True,False,4.0,NEUTRAL,-13.67,-2750.2,,2026-03-10T07:49:53.360055
FPI,Farmland Partners Inc.,72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,71.4,65.0,50.0,60.0,68.4,False,up,,,0,102.1,True,2,{'profit_margin_pct': 60.2},"{'revenue_growth_yoy': np.float64(102.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(28.9), 'rs_6m': np.float64(15.1), 'rs_line_percentile': 68.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 5.7, 'debt_to_equity': 0.3, 'current_ratio': 0.62, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 4.8}",12.41,549600448,Real Estate,REIT - Specialty,7.5,4.9,False,13.225,-6.2,6.0,False,13.0,14.0,12.5,3.0,none,4.8,,,6.1,-50.8,-8.47,-1.07,2.9,39.3,0.36,1.95,True,-6.88,4.3,-29.9,57.0,2026-05-06,False,False,6.0,NEUTRAL,5.45,54.7,,2026-03-10T07:50:24.522932
FTAI,FTAI Aviation Ltd.,71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,83.0,65.0,65.0,80.0,85.6,False,up,,,0,31.9,True,1,{'profit_margin_pct': 20.0},"{'revenue_growth_yoy': np.float64(31.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(56.9), 'rs_6m': np.float64(61.3), 'rs_line_percentile': 85.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 20.9}",276.34,28345100288,Industrials,Rental & Leasing Services,3.8,1.8,False,323.51,-14.6,8.0,True,334.2,375.0,266.0,10.0,strong_buy,20.9,,,136.78,-50.5,-2.73,-7.53,0.49,27.2,1.35,3.38,True,-0.44,3.4,29.8,51.0,2026-04-30,False,False,6.0,NEUTRAL,2.71,25.2,0.84,2026-03-10T07:46:32.382043
LPG,Dorian LPG Ltd.,70.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,74.6,80.0,60.0,80.0,81.8,False,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(41.4), 'rs_6m': np.float64(8.2), 'rs_line_percentile': 81.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.5}",34.34,1467832576,Energy,Oil & Gas Midstream,4.6,2.6,False,38.4,-10.6,8.0,True,37.25,41.0,31.0,4.0,buy,8.5,100.74,193.4,84.9,147.2,6.92,2.38,7.13,86.6,2.45,,True,-0.46,5.4,121.6,72.0,2026-05-21,False,False,4.0,NEUTRAL,6.68,7.6,0.08,2026-03-10T07:44:19.555370
PKBK,"Parke Bancorp, Inc.",70.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,76.7,65.0,50.0,80.0,84.2,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(16.2), 'rs_6m': np.float64(16.7), 'rs_line_percentile': 84.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",27.215,322421472,Financial Services,Banks - Regional,1.0,1.1,False,29.5,-7.7,8.0,True,,,,,none,,,,94.8,248.3,,,2.65,22.8,0.72,3.41,True,-2.7,,26.4,37.0,2026-04-16,False,False,4.0,NEUTRAL,,,0.16,2026-03-10T07:45:43.419476
CCFN,Muncy Columbia Financial Corpor,70.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,88.3,65.0,50.0,100.0,96.7,True,up,,,0,15.1,True,2,{'profit_margin_pct': 34.5},"{'revenue_growth_yoy': np.float64(15.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(16.2), 'rs_6m': np.float64(21.8), 'rs_line_percentile': 96.7, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 13.5, 'operating_margin_pct': 50.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",61.89,218748224,Financial Services,Banks - Regional,,,False,62.8,-1.4,8.0,True,,,,,none,,,,205.5,232.0,,,2.97,26.3,1.84,3.97,False,,,21.1,,,False,False,6.0,NEUTRAL,,,0.21,2026-03-10T07:39:29.708510
BBT,Beacon Financial Corporation,70.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,71.9,60.0,55.0,80.0,75.9,False,up,,,0,142.6,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(142.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(17.8), 'rs_6m': np.float64(5.9), 'rs_line_percentile': 75.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 58.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 18.7}",29.12,2443426304,Financial Services,Banks - Regional,5.1,4.4,False,32.0,-9.0,8.0,True,34.57,42.0,31.0,7.0,none,18.7,,,30.9,6.1,,,4.42,124.9,1.29,4.53,False,,,250.4,44.0,2026-04-23,False,False,4.0,NEUTRAL,,,0.01,2026-03-10T07:47:30.895230
RBKB,"Rhinebeck Bancorp, Inc.",70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,85.4,60.0,50.0,95.0,92.4,False,up,,,0,75.0,True,1,{'profit_margin_pct': 19.4},"{'revenue_growth_yoy': np.float64(75.0), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(36.0), 'rs_6m': np.float64(13.5), 'rs_line_percentile': 92.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 7.8, 'operating_margin_pct': 23.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",15.76,175655952,Financial Services,Banks - Regional,1.9,5.2,False,16.495,-4.5,8.0,True,,,,,none,,,,9.2,-41.6,,,,,,,True,-0.08,,,,,False,False,4.0,NEUTRAL,,,,2026-03-10T07:49:09.606879
BDSX,"Biodesix, Inc.",69.8,⭐⭐ GOOD,🟡 Good,50.0,90.0,89.0,50.0,70.0,95.0,92.7,False,up,,,0,60.1,True,1,{'profit_margin_pct': -39.8},"{'revenue_growth_yoy': np.float64(60.1), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(153.6), 'rs_6m': np.float64(119.4), 'rs_line_percentile': 92.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': -383.1, 'current_ratio': 1.86, 'operating_margin_pct': -6.8}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 54.6}",19.4,191252144,Healthcare,Diagnostics & Research,5.5,0.6,False,19.71,-1.6,8.0,True,30.0,40.0,20.0,4.0,strong_buy,54.6,,,,,-6.18,-1.2,,,,,False,,-3.6,,64.0,2026-05-13,False,False,4.0,NEUTRAL,-11.14,-64.2,,2026-03-10T07:41:54.502044
NVT,nVent Electric plc,69.6,⭐⭐ GOOD,🟡 Good,55.0,80.0,73.1,80.0,65.0,80.0,80.2,False,up,,,0,31.8,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(31.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(1.4), 'rs_6m': np.float64(12.1), 'rs_line_percentile': 80.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 17.8}",108.13,17487806464,Industrials,Electrical Equipment & Parts,3.0,1.7,False,122.92,-12.0,7.0,True,127.39,148.0,68.04,13.0,strong_buy,17.8,150.58,39.3,78.0,-27.9,3.28,3.55,0.78,30.8,0.84,1.49,True,-1.45,8.3,1112.4,52.0,2026-05-01,False,False,6.0,NEUTRAL,3.3,52.1,0.02,2026-03-10T07:44:55.938834
