ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
ALIT,"Alight,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.91,$1.46 - $1.52,2.36,1.42,0.0,2026-03-11,29.3,-57.4,1.49,2.36,-39.1,2.32,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,3.63,$8.36 - $8.71,10.89,8.11,0.0,2026-03-11,12.3,-63.8,8.53,10.89,-57.5,2.04,,,,,,
POOL,POOL,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,208.88,$236.75 - $246.41,269.74,229.5,0.0,2026-03-11,20.8,-23.1,241.58,269.74,-13.5,0.79,,,,,,
ALLY,Ally Financial,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,37.38,$36.82 - $38.32,43.34,35.69,3.53,2026-03-11,30.0,-20.6,37.57,43.34,-0.5,1.18,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,323.94,$316.17 - $329.07,425.96,306.49,5.85,2026-03-11,28.6,-32.1,322.62,425.96,0.4,0.78,,,,,,
ACVA,ACV Auctions,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,5.16,$6.28 - $6.53,8.98,6.08,0.0,2026-03-11,30.0,-42.5,6.4,8.98,-19.4,0.51,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.36,$1.56 - $1.62,2.67,1.51,0.0,2026-03-11,14.6,-82.2,1.59,2.67,-77.5,0.39,,,,,,
SPRU,Spruce Power Holding,Oversold Bounce,⭐⭐ MUY BUENA,70,4.14,$3.93 - $4.09,5.75,3.81,4.87,2026-03-11,45.1,-35.9,4.01,5.75,3.2,1.49,,,,,,
INTZ,Intrusion,Oversold Bounce,⭐⭐ MUY BUENA,70,1.18,$1.13 - $1.17,1.54,1.09,4.11,2026-03-11,69.3,-21.3,1.15,1.54,2.6,1.27,,,,,,
INTC,Intel,Bull Flag Pullback,⭐ BUENA,60,46.78,$45.84 - $47.72,54.32,44.07,2.78,2026-03-11,,,,,,,50.7,-13.9,45.43,45.43,Bearish,False
NG,NovaGold Resources,Bull Flag Pullback,⭐ BUENA,60,12.31,$12.06 - $12.56,14.2,10.3,0.94,2026-03-11,,,,,,,71.1,-13.3,10.62,10.62,Bearish,False
SMRT,"SmartRent,",Bull Flag Pullback,⭐ BUENA,60,1.88,$1.84 - $1.92,2.12,1.69,1.26,2026-03-11,,,,,,,39.5,-11.3,1.74,1.74,Bearish,False
FLYW,Flywire,Bull Flag Pullback,⭐ BUENA,60,13.15,$12.89 - $13.41,14.81,12.45,2.39,2026-03-11,,,,,,,39.2,-11.2,12.84,12.84,Bearish,False
GRND,Grindr,Bull Flag Pullback,⭐ BUENA,60,11.91,$11.67 - $12.15,13.89,11.4,3.89,2026-03-11,,,,,,,41.0,-14.3,11.75,11.75,Bearish,False
GPN,Global Payments,Oversold Bounce,MODERADA,55,73.54,$69.6 - $72.44,82.2,67.47,1.43,2026-03-11,26.9,-10.5,71.02,82.2,3.6,0.82,,,,,,
PRU,"Prudential Financial,",Oversold Bounce,MODERADA,55,95.47,$97.65 - $101.63,116.03,94.66,25.27,2026-03-11,25.5,-18.5,99.64,116.03,-4.2,0.94,,,,,,
APTV,Aptiv PLC,Oversold Bounce,MODERADA,55,72.05,$74.4 - $77.44,86.64,72.12,0.0,2026-03-11,20.4,-18.7,75.92,86.64,-5.1,1.1,,,,,,
MERC,Mercer International,Oversold Bounce,MODERADA,55,1.67,$1.56 - $1.62,2.65,1.51,6.14,2026-03-11,16.4,-40.1,1.59,2.65,5.0,0.41,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,MODERADA,55,8.6,$10.59 - $11.02,15.78,10.26,0.0,2026-03-11,23.7,-14.9,10.81,15.78,-20.4,0.81,,,,,,
NKE,"NIKE,",Oversold Bounce,MODERADA,55,56.08,$59.07 - $61.48,66.6,57.26,0.0,2026-03-11,13.1,-16.7,60.27,66.6,-7.0,0.98,,,,,,
IP,International Paper,Oversold Bounce,MODERADA,55,39.09,$37.15 - $38.67,46.13,36.02,2.29,2026-03-11,13.6,-19.7,37.91,46.13,3.1,0.88,,,,,,
PATK,"Patrick Industries,",Oversold Bounce,MODERADA,55,115.76,$94.29 - $98.14,123.82,91.41,0.33,2026-03-11,6.0,-20.3,96.22,123.82,20.3,0.64,,,,,,
KKR,KKR &,Oversold Bounce,MODERADA,50,89.96,$114.78 - $119.47,135.57,111.27,0.0,2026-03-11,32.3,-36.9,117.13,135.57,-23.2,0.59,,,,,,
CRM,"Salesforce,",Oversold Bounce,MODERADA,50,194.91,$220.51 - $229.51,264.61,213.76,0.0,2026-03-11,56.0,-26.8,225.01,264.61,-13.4,1.01,,,,,,
PODD,Insulet,Oversold Bounce,MODERADA,50,238.24,$299.86 - $312.1,314.2,290.68,0.0,2026-03-11,32.3,-20.4,305.98,314.2,-22.1,0.69,,,,,,
ECL,Ecolab,Oversold Bounce,MODERADA,50,281.39,$247.42 - $257.52,277.48,239.84,-0.09,2026-03-11,22.9,-8.7,252.47,277.48,11.5,1.58,,,,,,
CRL,CRL,Oversold Bounce,MODERADA,50,167.37,$156.62 - $163.02,197.04,151.83,1.91,2026-03-11,57.9,-26.2,159.82,197.04,4.7,0.58,,,,,,
ROP,"Roper Technologies,",Oversold Bounce,MODERADA,50,353.87,$369.59 - $384.68,454.27,358.28,0.0,2026-03-11,72.4,-21.6,377.14,454.27,-6.2,0.71,,,,,,
CSGP,CSGP,Oversold Bounce,MODERADA,50,46.33,$62.35 - $64.89,68.53,60.44,0.0,2026-03-11,41.9,-32.1,63.62,68.53,-27.2,0.67,,,,,,
HUM,HUM,Oversold Bounce,MODERADA,50,173.62,$229.54 - $238.91,283.95,222.52,0.0,2026-03-11,37.8,-38.9,234.23,283.95,-25.9,0.64,,,,,,
SXC,"SunCoke Energy,",Oversold Bounce,MODERADA,50,5.87,$6.07 - $6.32,8.22,5.89,0.0,2026-03-11,32.5,-29.6,6.2,8.22,-5.3,1.07,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,MODERADA,50,3.16,$4.84 - $5.03,6.27,4.69,0.0,2026-03-11,54.5,-49.8,4.93,6.27,-36.0,0.29,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,9.4,$12.64 - $13.16,18.06,12.25,0.0,2026-03-11,45.0,-48.0,12.9,18.06,-27.1,1.04,,,,,,
NRDY,Nerdy,Oversold Bounce,MODERADA,50,0.92,$0.96 - $1.0,1.15,0.93,0.0,2026-03-11,44.1,-32.0,0.98,1.15,-6.3,1.02,,,,,,
WYY,WidePoint,Oversold Bounce,MODERADA,50,4.42,$5.03 - $5.23,7.34,4.87,0.0,2026-03-11,42.2,-40.1,5.13,7.34,-13.8,0.35,,,,,,
RAL,Ralliant,Oversold Bounce,MODERADA,50,44.64,$42.05 - $43.76,52.21,40.76,1.95,2026-03-11,52.7,-20.6,42.9,52.21,4.0,0.63,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,23.95,$29.6 - $30.8,35.75,28.69,0.0,2026-03-11,39.7,-33.0,30.2,35.75,-20.7,0.57,,,,,,
LAW,"CS Disco,",Oversold Bounce,MODERADA,50,4.42,$5.74 - $5.98,8.02,5.57,0.0,2026-03-11,68.8,-50.4,5.86,8.02,-24.6,0.41,,,,,,
CNDT,CNDT,Oversold Bounce,MODERADA,50,1.3,$1.79 - $1.86,2.07,1.73,0.0,2026-03-11,41.0,-37.8,1.82,2.07,-28.8,0.8,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,138.46,$148.91 - $154.99,188.99,144.35,0.0,2026-03-11,58.6,-24.5,151.95,188.99,-8.9,0.88,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,14.26,$18.72 - $19.48,23.28,18.15,0.0,2026-03-11,64.9,-30.8,19.1,23.28,-25.3,0.56,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,MODERADA,50,3.32,$3.93 - $4.09,4.83,3.81,0.0,2026-03-11,35.2,-33.1,4.01,4.83,-17.2,1.17,,,,,,
SONO,"Sonos,",Oversold Bounce,MODERADA,50,14.23,$14.81 - $15.41,17.83,14.35,0.0,2026-03-11,34.3,-23.0,15.11,17.83,-5.8,0.72,,,,,,
BMI,"Badger Meter,",Oversold Bounce,MODERADA,50,147.2,$163.98 - $170.68,184.33,158.96,0.0,2026-03-11,32.8,-20.1,167.33,184.33,-12.0,0.44,,,,,,
SPT,"Sprout Social,",Oversold Bounce,MODERADA,50,5.93,$9.16 - $9.54,11.37,8.88,0.0,2026-03-11,33.7,-49.2,9.35,11.37,-36.6,1.14,,,,,,
TYL,TYL,Oversold Bounce,MODERADA,50,354.24,$441.02 - $459.02,472.77,427.52,0.0,2026-03-11,71.1,-23.8,450.02,472.77,-21.3,0.62,,,,,,
IT,"Gartner,",Oversold Bounce,MODERADA,50,159.06,$219.65 - $228.61,256.38,212.92,0.0,2026-03-11,48.0,-37.5,224.13,256.38,-29.0,1.07,,,,,,
PAR,PAR Technology,Oversold Bounce,MODERADA,50,16.8,$32.51 - $33.83,38.44,31.51,0.0,2026-03-11,35.9,-57.7,33.17,38.44,-49.4,0.98,,,,,,
THRY,"Thryv,",Oversold Bounce,MODERADA,50,3.19,$7.9 - $8.22,6.17,7.66,0.0,2026-03-11,41.6,-48.0,8.06,6.17,-60.4,0.58,,,,,,
CSPI,CSPI,Oversold Bounce,MODERADA,50,8.68,$10.82 - $11.26,14.17,10.49,0.0,2026-03-11,44.6,-41.6,11.04,14.17,-21.4,0.58,,,,,,
LYFT,"Lyft,",Oversold Bounce,MODERADA,50,13.25,$18.86 - $19.64,22.97,18.29,0.0,2026-03-11,45.6,-35.4,19.25,22.97,-31.2,0.75,,,,,,
TENB,"Tenable,",Oversold Bounce,MODERADA,50,20.69,$22.23 - $23.14,26.81,21.55,0.0,2026-03-11,42.7,-22.4,22.68,26.81,-8.8,0.81,,,,,,
IBM,International Business Machines,Oversold Bounce,MODERADA,50,250.2,$281.16 - $292.63,310.65,272.55,0.0,2026-03-11,44.0,-20.1,286.89,310.65,-12.8,0.65,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,50.53,$59.39 - $61.82,66.82,57.58,0.0,2026-03-11,62.5,-24.5,60.61,66.82,-16.6,0.88,,,,,,
UA,"Under Armour,",Oversold Bounce,MODERADA,50,6.47,$3.96 - $4.12,4.92,3.84,-0.59,2026-03-11,27.5,-17.9,4.04,4.92,60.1,1.25,,,,,,
