ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,6.029999999999999,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,41.29,11070351360.0,35.0,34.2,False,down,,,0.0,7.8,False,0.0,15.5,11.2,True,49.62,-16.8,3.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,13.4,103.06,149.6,83.4,102.0,5.7,2.43,,,,True,-8.56,88.9,58.9,62.0,2026-05-12,False,False,6.0,NEUTRAL,9.05,60.4,0.12,,,,,,70.0,0.0,0.0,,8.0,0.0,15.0,18.1,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 39% up volume)",MEGA_FLOAT,211.4,38.0,33.1,35.0,False,down,34.2,0.0,,0.0,False,0.0,0.0,12,41.0,73.2,Medio,47.9,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,80.12,5.0,0.0,6.0,0.0,3.0,5.0,1.68,0.0,2.0,4,0,,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,
INDV,0.0,50.0,26.33,,,"Indivior Pharmaceuticals, Inc.",68.3,Healthcare,Drug Manufacturers - Specialty & Generic,55.0,90.0,74.0,50.0,70.0,33.34,4169675008.0,80.0,87.9,False,down,,,0.0,34.6,True,1.0,8.9,7.0,True,38.0,-12.3,7.0,True,"{'current_ratio': 0.71, 'operating_margin_pct': 37.2}",{'profit_margin_pct': 16.9},46.86,54.0,39.0,7.0,strong_buy,40.5,75.19,125.5,49.2,47.6,5.32,1.77,,,,True,-0.26,6.3,376.2,50.0,2026-04-30,False,False,4.0,NEUTRAL,6.57,167.1,0.03,,,,,,100.0,0.0,0.0,,58.5,0.0,15.0,20.5,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,45,"No clear pattern (0.9x ratio, 47% up volume)",HIGH_FLOAT,107.0,5.0,35.5,80.0,False,down,87.9,3.0,,0.0,True,1.0,2.0,2,41.0,97.6,Top 10%,67.1,5.0,3.0,3.0,7.0,0.0,0.0,5.0,0.0,False,2/3,76.32,5.0,0.0,6.0,0.0,3.0,5.0,5.06,3.0,0.0,8,0,,⭐⭐ STRONG,🟢 Elite,HOLD,65.0,Close to ATH (-12.3% from high) - wait for pullback | Strong upside (+40.5%) - analyst support,-12.3,NEUTRAL,STRONG_BUY,False
LIFE,0.0,50.0,0.0,,,Ethos Technologies Inc.,59.0,Financial Services,Insurance - Life,55.0,50.0,44.0,95.0,70.0,12.79,803355328.0,35.0,43.4,False,down,,,0.0,,,0.0,1.6,0.4,False,19.0,-32.7,,,"{'roe_pct': 21.0, 'debt_to_equity': 0.01, 'current_ratio': 2.17, 'operating_margin_pct': 22.2}",{'profit_margin_pct': 18.4},20.25,31.0,14.0,8.0,strong_buy,58.3,70.39,450.4,34.2,167.4,6.35,1.66,,,,False,,100.3,162.5,,,False,False,5.0,NEUTRAL,11.07,46.5,0.05,,,,,,100.0,0.0,0.0,,12.700000000000003,0.0,15.0,17.7,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,False,0,Insufficient data,UNKNOWN,50,Insufficient data,MICRO_FLOAT,6.8,20.0,32.7,35.0,False,down,43.4,0.0,,0.0,,0.0,0.0,,41.0,,Sin datos suficientes,43.4,0.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.0,False,1/3,72.6,0.0,0.0,6.0,0.0,0.0,5.0,7.29,3.0,0.0,4,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,60.8,Technology,Software - Infrastructure,60.0,70.0,24.0,90.0,70.0,405.76,3015761723392.0,15.0,12.5,False,down,,,0.0,16.0,True,1.0,0.8,1.3,False,555.45,-26.9,0.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},594.62,730.0,392.0,53.0,strong_buy,46.5,306.34,-24.5,479.7,18.2,1.78,7.22,0.9,21.3,0.79,True,-0.74,56.4,59.8,49.0,2026-04-29,False,False,6.0,NEUTRAL,4.14,45.1,0.36,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,18.2,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,7414.9,38.0,33.2,15.0,False,down,12.5,0.0,,0.0,True,1.0,2.0,35,41.0,17.1,Bottom 25%,9.5,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,72.32,0.0,0.0,0.0,0.0,3.0,5.0,5.81,3.0,2.0,33,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
PACS,0.0,50.0,16.31,,,"PACS Group, Inc.",58.1,Healthcare,Medical Care Facilities,50.0,50.0,80.3,50.0,70.0,34.17,5370328576.0,80.0,79.0,False,down,,,0.0,6.3,False,0.0,8.4,3.7,True,43.08,-20.7,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},46.4,52.0,42.0,5.0,strong_buy,35.8,65.27,91.0,36.6,7.1,4.5,1.54,,,,False,,11.0,57.2,57.0,2026-05-07,False,False,8.0,STRONG,3.56,7.4,0.25,,,,,,70.0,0.0,0.0,,38.4,0.0,15.0,17.4,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 45% up volume)",MEDIUM_FLOAT,45.9,15.0,32.4,80.0,False,down,79.0,3.0,,0.0,False,0.0,0.0,6,41.0,87.8,Top 25%,60.8,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,72.24,5.0,0.0,3.0,0.0,0.0,5.0,4.47,3.0,10.0,62,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MWA,0.0,50.0,21.68,,,MUELLER WATER PRODUCTS,51.8,Industrials,Specialty Industrial Machinery,55.0,30.0,53.9,80.0,50.0,28.07,4389735424.0,35.0,46.3,False,up,,,0.0,-12.7,False,0.0,3.9,3.4,False,31.0,-9.5,6.0,False,"{'roe_pct': 21.6, 'debt_to_equity': 0.44, 'current_ratio': 4.02, 'operating_margin_pct': 18.9}",{'profit_margin_pct': 13.8},30.33,35.0,25.0,6.0,none,8.1,31.27,11.4,28.83,2.7,3.43,0.96,0.98,21.3,1.5,True,-0.47,14.9,11.3,54.0,2026-05-04,False,False,8.0,STRONG,6.23,25.4,0.8,,,,,,90.0,0.0,0.0,,48.5,0.0,15.0,15.5,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,154.1,0.0,30.5,35.0,False,up,46.3,2.0,,0.0,False,0.0,0.0,11,41.0,75.6,Top 25%,49.1,3.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,3/3,71.72,0.0,0.0,3.0,0.0,3.0,3.0,1.01,0.0,10.0,23,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
BUKS,0.0,50.0,36.78,,,Butler National Corp.,67.8,Industrials,Aerospace & Defense,55.0,60.0,89.0,90.0,50.0,3.32,213974848.0,95.0,93.9,False,up,,,0.0,9.8,True,1.0,,,False,3.49,-4.9,8.0,True,"{'roe_pct': 25.4, 'debt_to_equity': 0.52, 'current_ratio': 1.96, 'operating_margin_pct': 30.4}",{'profit_margin_pct': 19.0},,,,,none,,10.45,214.8,7.5,125.9,7.4,0.25,,,,True,-2.67,11.4,40.0,,,False,False,7.0,NEUTRAL,8.58,21.8,0.17,,,,,,100.0,0.0,0.0,,57.3,0.0,15.0,20.3,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEDIUM_FLOAT,29.2,5.0,35.3,95.0,False,up,93.9,5.0,,0.0,True,1.0,2.0,24,41.0,43.9,Bajo 50%,31.9,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,2/3,68.952,0.0,0.0,6.0,0.0,3.0,5.0,,0.0,5.0,15,0,,⭐ GOOD,🟢 Excellent,,,,,,,
SGU,0.0,50.0,21.509999999999998,,,Star Group L.P.,50.1,Energy,Oil & Gas Refining & Marketing,50.0,50.0,50.3,50.0,50.0,12.78,420194336.0,35.0,29.0,False,up,,,0.0,-27.4,True,2.0,0.2,1.7,False,13.75,-7.1,6.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 1.11, 'current_ratio': 0.73, 'operating_margin_pct': 9.9}",{'profit_margin_pct': 4.1},,,,,none,,27.83,117.8,25.92,102.8,9.59,1.23,5.79,37.9,5.6,True,-4.75,8.1,6.8,56.0,2026-05-06,False,False,8.0,STRONG,15.63,52.8,1.08,,,,,,90.0,0.0,0.0,,47.0,0.0,15.0,15.0,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 58% up volume)",MEDIUM_FLOAT,26.6,0.0,30.0,35.0,False,up,29.0,2.0,,0.0,True,2.0,2.0,,41.0,,Sin datos suficientes,29.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,3/3,65.484,0.0,0.0,8.0,5.0,3.0,3.0,,0.0,10.0,2,0,,⭐ GOOD,🟢 Excellent,,,,,,,
BDL,0.0,50.0,22.13,,,"Flanigan's Enterprises, Inc.",56.3,Consumer Cyclical,Restaurants,50.0,40.0,71.4,80.0,50.0,33.7442,62718592.0,60.0,58.9,False,up,,,0.0,-2.0,True,1.0,0.5,6.3,False,35.98,-6.2,6.0,False,"{'roe_pct': 31.6, 'debt_to_equity': 0.58, 'current_ratio': 1.97, 'operating_margin_pct': 2.9}",{'profit_margin_pct': 8.6},,,,,none,,43990.62,130265.0,93.3,176.5,3074.05,1037.31,1.63,17.7,4.0,False,,10.9,681.9,,,False,False,9.0,STRONG,9.63,8.0,0.01,,,,,,70.0,0.0,0.0,,28.9,0.0,15.0,16.9,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,False,66,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.4x ratio, 54% up volume)",MICRO_FLOAT,0.6,20.0,31.9,60.0,False,up,58.9,2.0,,0.0,True,1.0,2.0,26,41.0,39.0,Bajo 50%,29.4,0.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,2/3,65.042,0.0,0.0,8.0,3.0,0.0,5.0,,0.0,10.0,27,0,,⭐ GOOD,🟢 Excellent,,,,,,,
FTAI,0.0,50.0,22.18,,,FTAI Aviation Ltd.,71.8,Industrials,Rental & Leasing Services,55.0,90.0,83.0,65.0,65.0,271.44,27842490368.0,80.0,83.3,False,up,,,0.0,31.9,True,1.0,3.8,1.8,False,323.51,-16.1,8.0,True,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},334.2,375.0,266.0,10.0,strong_buy,23.1,,,136.78,-49.6,-2.77,-7.53,0.5,27.2,3.38,True,-0.45,3.4,29.8,50.0,2026-04-30,False,False,6.0,NEUTRAL,2.75,25.2,0.82,,,,,,90.0,0.0,0.0,,58.5,0.0,15.0,21.5,2026-03-11 07:52:41,2026-03-11,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 55% up volume)",HIGH_FLOAT,101.1,0.0,36.5,80.0,False,up,83.3,5.0,,0.0,True,1.0,2.0,18,41.0,58.5,Medio,41.6,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,False,3/3,64.72,0.0,0.0,-5.0,0.0,3.0,5.0,2.89,1.0,2.0,51,0,,⭐ GOOD,🟡 Good,,,,,,,
