ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",182.5,HKD,84.0,A,84.0,ROE 22.6% | Potencial +38% analistas | FCF yield 5.4% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,252.54,38.4,23,5.4,4.8,2.54,,22.6,11.6,15.3,30.0,3.0,-26.4,regulatory risk | geopolitical risk,NTES,SUSPECT,Low forward P/E and high profit margin may indicate potential overstatement of earnings or undervaluation,2026-03-13
000660.KS,SK hynix Inc.,910000.0,KRW,83.0,A,83.0,ROE 44.1% | P/E 4.3x (vs 11x mercado) | Potencial +37% analistas | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1247802.0,37.1,38,2.8,4.64,,,44.1,4.3,,44.2,66.1,-17.2,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.3x and extremely high ROE and profit margin for a technology company,2026-03-13
2020.HK,ANTA Sports Products Limited,77.75,HKD,82.0,A,82.0,ROE 25.4% | Potencial +38% analistas | FCF yield 5.8% | Dividendo 3.4% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.51,38.3,32,5.8,4.78,3.44,,25.4,13.4,13.1,19.7,14.3,-26.9,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-13
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",62.25,HKD,77.0,A,77.0,P/E 6.7x (vs 11x mercado) | Potencial +35% analistas | Crecimiento ingresos +36% | Dividendo 4.5% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.03,35.0,18,,4.37,4.46,,12.2,6.7,7.2,14.1,35.5,-16.7,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,PNGAY,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-03-13
0700.HK,Tencent Holdings Limited,548.5,HKD,71.0,A,71.0,ROE 19.8% | Potencial +38% analistas | Crecimiento ingresos +15% | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,756.07,37.8,46,2.6,4.73,0.77,,19.8,15.4,21.7,29.9,15.4,-19.7,regulatory risks due to Chinese tech sector oversight | geopolitical risks due to US-China trade tensions,TCEHY,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-03-13
6690.HK,"Haier Smart Home Co., Ltd.",25.16,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.4x | Potencial +32% analistas | Dividendo 5.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,31.6,18,0.7,3.94,5.35,,18.2,9.4,9.8,6.8,9.5,-10.8,cyclical risk | governance risk,,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-13
1299.HK,AIA Group Limited,81.7,HKD,71.0,A,71.0,ROE 15.1% | Potencial +23% | Crecimiento ingresos +29% | Margen 24% | Dividendo 2.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,100.51,23.0,18,,2.88,2.13,,15.1,13.7,18.7,23.8,29.4,-11.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk in Hong Kong | Exposure to Chinese real estate market | Geopolitical risk,,SUSPECT,Missing FCF yield and potential exposure to Chinese real estate sector are concerns,2026-03-13
SUZB3.SA,Suzano S.A.,53.47,BRL,69.0,A,69.0,ROE 35.2% | P/E 6.4x (vs 10x mercado) | Potencial +33% analistas | FCF negativo | Margen 27% | Dividendo 2.1% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,71.09,33.0,17,-0.8,4.12,2.09,,35.2,6.4,4.9,26.8,-7.5,-10.4,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative FCF Yield | Cyclical Industry Risks,,RISKY,Negative FCF yield and high debt-to-equity ratio indicate potential liquidity and solvency issues,2026-03-13
9984.T,SoftBank Group Corp.,3578.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 12.1x | Potencial +56% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5568.47,55.6,17,-0.3,6.95,0.31,,26.0,12.1,6.7,48.2,8.2,-48.3,governance risk | cyclical risk,SFTBY,SUSPECT,Negative FCF yield and low dividend yield are anomalous for a company with high profit margin and ROE,2026-03-13
TOTS3.SA,TOTVS S.A.,36.11,BRL,69.0,A,69.0,ROE 16.1% | Potencial +44% analistas | Crecimiento ingresos +15% | Dividendo 1.7% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.83,43.5,13,1.1,5.44,1.69,,16.1,16.0,25.6,15.4,15.1,-25.4,valuation risk | reporting quality risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overvaluation or incorrect reporting",2026-03-13
4568.T,"Daiichi Sankyo Company, Limited",2818.5,JPY,68.0,A,68.0,ROE 18.3% | Potencial +70% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4786.88,69.8,16,-2.0,8.73,2.69,,18.3,19.6,18.8,14.8,15.1,-32.5,Negative FCF Yield | Regulatory Risk in Healthcare Sector,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-03-13
0005.HK,HSBC Holdings plc,123.0,HKD,68.0,A,68.0,P/E 8.9x | Potencial +24% | Crecimiento ingresos +58% | Margen 35% | Dividendo 4.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,152.72,24.2,9,,3.02,4.54,,11.6,8.9,13.1,35.2,58.4,-16.9,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | regulatory risk | real estate exposure,HSBC,SUSPECT,Anomalous profit margin for a bank,2026-03-13
8766.T,"Tokio Marine Holdings, Inc.",5905.0,JPY,68.0,A,68.0,ROE 20.7% | P/E 12.0x | Potencial +18% | Crecimiento ingresos +22% | Dividendo 3.6% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,6982.0,18.2,10,,2.28,3.59,,20.7,12.0,10.7,12.6,21.8,-12.0,FCF no comparable (sector financiero) | Regulatory risk due to Japanese financial regulations | Cyclical risk inherent to insurance industry,TKOMY,CLEAN,"Metrics appear reasonable for an insurance company, with no obvious anomalies",2026-03-13
