ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
9999.HK,"NetEase, Inc.",170.7,HKD,89.0,A,89.0,ROE 22.6% | P/E 10.8x | Potencial +49% analistas | FCF yield 6.1% | Margen 30% | Dividendo 2.7% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,253.82,48.7,22,6.1,6.09,2.7,,22.6,10.8,14.2,30.0,3.0,-31.2,Regulatory Risk | Geopolitical Risk | Cyclical Risk,NTES,SUSPECT,Low forward P/E and high FCF yield may indicate undervaluation or potential for downward revision in estimates,2026-04-24,0,
0700.HK,Tencent Holdings Limited,493.8,HKD,82.0,A,82.0,ROE 20.0% | Potencial +46% analistas | Margen 30% | Dividendo 1.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,723.38,46.5,42,3.1,5.81,1.07,,20.0,12.7,17.8,29.9,12.7,-27.7,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,"Forward P/E seems low compared to the trailing P/E and profit margin, indicating potential undervaluation or upcoming earnings decline",2026-04-24,0,
2020.HK,ANTA Sports Products Limited,83.7,HKD,75.0,A,75.0,ROE 22.5% | Potencial +25% | FCF yield 6.0% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.77,25.2,31,6.0,3.15,2.57,,22.5,13.2,15.2,16.9,12.4,-21.3,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-04-24,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,63.3,HKD,69.0,A,69.0,ROE 17.5% | Potencial +26% | Crecimiento ingresos +21% | Dividendo 1.9% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,79.98,26.3,23,,3.29,1.91,,17.5,12.6,18.4,10.7,21.3,-30.7,Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,Missing FCF Yield metric raises concerns about the company's ability to generate cash flow,2026-04-24,0,
TOTS3.SA,TOTVS S.A.,32.62,BRL,69.0,A,69.0,ROE 16.1% | Potencial +55% analistas | Crecimiento ingresos +15% | Dividendo 2.0% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,50.45,54.6,13,1.2,6.83,1.99,,16.1,14.6,23.1,15.4,15.1,-32.6,Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,"Forward P/E seems low compared to trailing P/E, indicating potential undervaluation or inconsistent earnings growth",2026-04-24,0,
4568.T,"Daiichi Sankyo Company, Limited",2499.0,JPY,68.0,A,68.0,ROE 18.3% | Potencial +86% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.8% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4640.0,85.7,16,-2.3,10.71,2.8,,18.3,17.4,16.7,14.8,15.1,-40.2,Negative FCF Yield | Regulatory Risk in Healthcare Sector,DSNKY,SUSPECT,Negative FCF Yield is anomalous for a healthcare company with positive profitability metrics,2026-04-24,0,
6098.T,"Recruit Holdings Co., Ltd.",7308.0,JPY,67.0,A,67.0,ROE 27.3% | Potencial +34% analistas | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,9780.0,33.8,16,4.1,4.23,0.34,,27.3,24.1,24.6,12.8,5.2,-23.6,regulatory risk in recruitment industry | cyclical risk in Japanese market,RCRUY,SUSPECT,High ROE and analyst upside may indicate overvaluation or unrealistic expectations,2026-04-24,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,412.0,HKD,66.0,A,66.0,ROE 31.5% | Potencial +25% | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,516.12,25.3,17,,3.16,3.16,,31.5,27.3,29.4,61.5,13.8,-11.6,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure | Geopolitical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-04-24,0,
005930.KS,"Samsung Electronics Co., Ltd.",219500.0,KRW,64.0,B,64.0,P/E 5.4x (vs 11x mercado) | Potencial +25% | Crecimiento ingresos +24% | Dividendo 1.0%,0,0,Technology,Korea,🇰🇷,21.2,274603.22,25.1,37,1.7,3.14,1.01,,10.8,5.4,,13.3,23.8,-4.4,cyclical | geopolitical,SSNLF,SUSPECT,Low Forward P/E ratio of 5.4x seems anomalous for a technology company like Samsung Electronics,2026-04-24,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",61.05,HKD,64.0,B,64.0,P/E 5.4x (vs 11x mercado) | Potencial +35% analistas | Dividendo 5.0% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,82.46,35.1,16,,4.38,4.99,,11.6,5.4,7.1,14.1,-11.0,-18.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Ingresos en declive YoY | Regulatory risks in Chinese financial sector | Geopolitical risks in Hong Kong market | Real estate market exposure,PNGAY,RISKY,Negative revenue growth and potential exposure to Chinese real estate sector pose significant risks,2026-04-24,0,
