ticker,vcp_score,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
VRSN,0.0,50.5,"VeriSign, Inc.",61.6,Technology,Software - Infrastructure,85.0,50.0,50.3,50.0,60.0,270.4,24606398464.0,35.0,34.6,False,up,3.4,True,1.0,4.6,False,0.0,1.9,1.9,False,310.6,-12.9,3.0,False,"{'current_ratio': 0.46, 'operating_margin_pct': 68.5}","{'eps_growth_yoy': np.float64(3.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 50.0}",304.5,355.0,265.0,4.0,buy,12.6,185.13,-31.5,103.28,-61.8,3.28,8.87,1.2,34.5,,True,-3.52,15.4,8.0,85.0,2026-07-23,False,False,8.0,STRONG,4.43,512.5,2.23,BULLISH,0.0,70.0,1.0,0.0,25.6,0.0,15.1,18.5,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 58% up volume)",HIGH_FLOAT,90.4,20.0,33.6,35.0,False,up,34.6,2.0,True,1.0,False,0.0,2.0,10,22.0,59.1,Medio,26.7,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,71.565,8.0,3.0,0.0,3.0,3.0,,,0.0,0.0,0.0,1.58,0.0,10.0,22,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),WATCH,3.0,15.16,⭐⭐ STRONG,🟢 Excellent,,,,,,,
EXPN.L,0.0,80.7,EXPERIAN PLC ORD USD0.10,51.8,Industrials,Consulting Services,55.0,50.0,30.0,65.0,70.0,2648.0,23751952384.0,,,,,,,0.0,,,0.0,,,False,4101.0,-35.4,0.0,False,"{'roe_pct': 26.8, 'debt_to_equity': 1.05, 'current_ratio': 0.68, 'operating_margin_pct': 24.9}",{'profit_margin_pct': 17.1},4075.84,4659.68,2850.58,18.0,strong_buy,53.9,6225.0,135.1,3270.0,23.5,5.54,1.47,1.78,42.5,1.36,,,,36.0,21.0,2026-05-20,False,True,5.0,NEUTRAL,5.78,493.1,0.49,,,,,,6.799999999999997,0.0,24.2,15.5,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 57% up volume)",MEGA_FLOAT,912.1,23.0,39.8,,,,,0.0,,0.0,,0.0,0.0,13,22.0,45.5,Bajo 50%,16.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,71.255,0.0,6.0,3.0,0.0,5.0,,,0.0,0.0,0.0,6.74,3.0,0.0,6,0,,0,MIXED/INSUFFICIENT (0),BEST,5.0,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
JKHY,0.0,33.4,"Jack Henry & Associates, Inc.",66.5,Technology,Information Technology Services,85.0,50.0,36.0,95.0,70.0,152.8,11059226624.0,15.0,3.3,False,down,12.2,False,0.0,5.9,False,0.0,8.1,5.5,True,193.39,-21.0,2.0,False,"{'roe_pct': 24.3, 'debt_to_equity': 0.03, 'current_ratio': 1.6, 'operating_margin_pct': 25.7}","{'eps_growth_yoy': np.float64(12.2), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.6}",199.36,216.0,180.0,14.0,buy,30.5,185.96,21.7,197.95,29.5,3.03,4.65,1.54,33.3,1.21,True,-1.3,96.7,28.4,6.0,2026-05-05,True,False,9.0,STRONG,5.39,162.7,0.77,,,,,,5.0,0.0,10.0,19.9,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 50% up volume)",HIGH_FLOAT,71.7,20.0,30.0,15.0,False,down,3.3,0.0,False,0.0,False,0.0,0.0,19,22.0,18.2,Bottom 25%,2.2,-3.0,3.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,70.67,8.0,3.0,3.0,3.0,5.0,,,0.0,0.0,0.0,3.81,3.0,10.0,15,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
AUTO.L,0.0,84.9,AUTOTRADER GROUP PLC ORD 1P,57.0,Communication Services,Internet Content & Information,60.0,50.0,30.0,100.0,55.0,505.8,4135536128.0,,,,,,,0.0,,,0.0,,,False,920.0,-45.0,1.0,False,"{'roe_pct': 51.6, 'debt_to_equity': 0.1, 'current_ratio': 1.77, 'operating_margin_pct': 62.3}",{'profit_margin_pct': 47.7},653.88,890.0,470.0,16.0,hold,29.3,634.0,25.3,360.0,-28.8,6.13,0.31,2.16,31.9,0.99,,,,4.4,22.0,2026-05-21,False,False,8.0,STRONG,8.52,668.8,1.19,,,,,,4.600000000000001,0.0,25.5,17.1,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,859.8,28.0,42.6,,,,,0.0,,0.0,,0.0,0.0,7,22.0,72.7,Medio,30.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,69.645,5.0,6.0,3.0,0.0,1.0,,,0.0,0.0,0.0,3.66,3.0,10.0,1,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,
INTU,0.0,36.6,Intuit Inc.,57.0,Technology,Software - Application,75.0,50.0,15.0,80.0,70.0,400.38,111415377920.0,15.0,5.9,False,flat,-75.4,True,2.0,-40.0,True,2.0,3.9,2.8,False,813.7,-50.8,0.0,False,"{'roe_pct': 23.5, 'debt_to_equity': 0.36, 'current_ratio': 1.32, 'operating_margin_pct': 18.4}","{'eps_growth_yoy': np.float64(-75.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.6}",594.11,916.0,425.0,32.0,strong_buy,48.4,812.95,103.0,461.1,15.2,4.76,19.17,1.16,29.1,0.6,True,-2.95,23.6,48.5,22.0,2026-05-21,False,False,9.0,STRONG,4.43,97.0,0.31,BULLISH,0.0,40.0,1.0,0.0,8.100000000000001,0.0,11.0,17.1,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,270.3,23.0,28.1,15.0,False,flat,5.9,0.0,True,2.0,True,2.0,8.0,16,22.0,31.8,Bajo 50%,9.3,0.0,0.0,-5.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,68.63,8.0,3.0,0.0,3.0,5.0,,,0.0,0.0,0.0,6.05,3.0,10.0,45,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,
WTKWY,0.0,90.1,Wolters Kluwer N.V.,48.0,Industrials,Specialty Business Services,60.0,50.0,15.0,50.0,70.0,77.79,17450844160.0,15.0,2.6,False,flat,,,0.0,,,0.0,,,False,185.47,-58.1,1.0,False,"{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}",{'profit_margin_pct': 21.4},116.9,116.9,116.9,1.0,strong_buy,50.3,186.3,139.5,198.0,154.5,5.65,4.39,3.62,43.5,1.69,,,,18.4,,,False,False,7.0,NEUTRAL,8.16,668.9,0.29,,,,,,8.399999999999999,0.0,27.0,14.4,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",MEGA_FLOAT,225.6,23.0,41.4,15.0,False,flat,2.6,0.0,,0.0,,0.0,0.0,14,22.0,40.9,Bajo 50%,15.4,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,67.95500000000001,0.0,6.0,5.0,0.0,5.0,,,0.0,0.0,0.0,6.29,3.0,5.0,1,0,,0,MIXED/INSUFFICIENT (0),CAUTION,0.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,
SAP,0.0,71.4,SAP  SE,62.2,Technology,Software - Application,90.0,50.0,15.0,85.0,70.0,173.49,204532973568.0,15.0,4.3,False,down,13.8,True,1.0,5.8,False,0.0,0.6,2.5,False,313.28,-44.6,0.0,False,"{'roe_pct': 16.4, 'debt_to_equity': 0.17, 'current_ratio': 1.07, 'operating_margin_pct': 30.0}","{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6}",264.08,340.0,200.0,13.0,buy,52.2,133.62,-23.0,73.0,-57.9,3.98,6.98,1.71,37.2,1.47,True,-2.0,21.9,9.3,85.0,2026-07-23,False,False,8.0,STRONG,5.38,146.7,1.9,,,,,,0.0,0.0,21.4,18.7,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,1038.8,38.0,40.1,15.0,False,down,4.3,0.0,True,1.0,False,0.0,2.0,16,22.0,31.8,Bajo 50%,9.3,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,64.75,8.0,3.0,3.0,3.0,3.0,,,0.0,0.0,0.0,6.52,3.0,10.0,18,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
BR,58.51904761904762,69.6,"Broadridge Financial Solutions,",56.0,Technology,Information Technology Services,90.0,40.0,15.0,60.0,70.0,158.83,18543198208.0,15.0,2.7,False,down,17.1,True,1.0,-5.4,True,1.0,3.2,1.8,False,271.91,-41.6,0.0,False,"{'roe_pct': 41.8, 'debt_to_equity': 1.17, 'current_ratio': 0.97, 'operating_margin_pct': 12.0}","{'eps_growth_yoy': np.float64(17.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.9}",245.88,290.0,213.0,8.0,buy,54.8,434.61,173.6,271.2,70.7,6.45,10.25,2.46,41.0,1.6,True,-1.53,12.5,71.2,1.0,2026-04-30,True,False,8.0,STRONG,5.54,344.9,0.15,,,,,,18.1,23.4,20.9,16.8,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",HIGH_FLOAT,116.2,35.0,61.1,15.0,False,down,2.7,0.0,True,1.0,True,1.0,5.0,19,22.0,18.2,Bottom 25%,2.2,-3.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,64.68,8.0,6.0,3.0,3.0,5.0,,,0.0,0.0,0.0,6.85,3.0,10.0,12,0,,0,MIXED/INSUFFICIENT (0),CAUTION,0.0,12.359523809523807,⭐ GOOD,🟡 Good,,,,,,,
RELX,0.0,60.8,RELX PLC PLC,49.8,Industrials,Specialty Business Services,60.0,50.0,24.0,50.0,70.0,36.01,63984979968.0,15.0,18.0,False,up,,,0.0,,,0.0,0.2,1.0,False,56.33,-36.1,2.0,False,"{'roe_pct': 70.5, 'debt_to_equity': 3.04, 'current_ratio': 0.49, 'operating_margin_pct': 31.4}",{'profit_margin_pct': 21.5},52.45,57.0,47.9,2.0,strong_buy,45.7,31.66,-12.1,25.67,-28.7,3.37,1.21,2.55,57.4,1.99,,,,8.5,85.0,2026-07-23,False,False,7.0,NEUTRAL,4.16,1901.3,0.98,,,,,,2.200000000000003,0.0,18.2,14.9,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 55% up volume)",MEGA_FLOAT,1804.6,23.0,33.2,15.0,False,up,18.0,2.0,,0.0,,0.0,0.0,14,22.0,40.9,Bajo 50%,15.4,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,63.46,0.0,3.0,3.0,0.0,3.0,,,0.0,0.0,0.0,5.71,3.0,5.0,18,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
ROP,0.0,55.7,"Roper Technologies, Inc.",62.0,Technology,Software - Application,100.0,50.0,24.0,55.0,65.0,354.12,36448690176.0,15.0,6.3,False,up,29.4,True,1.0,9.3,False,0.0,4.3,3.0,False,584.03,-39.4,1.0,False,"{'roe_pct': 9.0, 'debt_to_equity': 0.56, 'current_ratio': 0.53, 'operating_margin_pct': 27.2}","{'eps_growth_yoy': np.float64(29.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.1}",453.75,550.0,365.0,16.0,buy,28.1,898.9,153.8,480.3,35.6,5.95,21.2,1.03,21.1,0.57,False,,6.8,41.4,83.0,2026-07-21,False,False,6.0,NEUTRAL,4.88,1441.1,0.25,,,,,,9.299999999999997,0.0,16.7,18.6,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 62% up volume)",HIGH_FLOAT,101.9,20.0,35.3,15.0,False,up,6.3,2.0,True,1.0,False,0.0,2.0,16,22.0,31.8,Bajo 50%,9.3,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,63.185,8.0,6.0,0.0,0.0,5.0,,,0.0,0.0,0.0,3.51,3.0,2.0,12,0,,0,MIXED/INSUFFICIENT (0),BEST,5.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
