ticker,company_name,sentiment,flow_score,quality,current_price,total_premium,put_call_ratio,unusual_calls,unusual_puts,detected_date,expiration_date,days_to_expiration,total_unusual,call_premium,put_premium,sentiment_emoji,top_calls,top_puts
COST,Costco Wholesale Corporation,NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,1002.93,7234504.0,1.0,19,21,2026-05-27,2026-05-29,1,40,3621978.0,3612526.0,🟡,"[{'type': 'CALL', 'strike': 1000.0, 'volume': 675.0, 'oi': 0, 'vol_oi_ratio': 675.0, 'last_price': 18.8, 'premium': 1269000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 1050.0, 'volume': 1004.0, 'oi': 0, 'vol_oi_ratio': 1004.0, 'last_price': 4.04, 'premium': 405616.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 997.5, 'volume': 163.0, 'oi': 0, 'vol_oi_ratio': 163.0, 'last_price': 19.6, 'premium': 319480.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 1000.0, 'volume': 416.0, 'oi': 0, 'vol_oi_ratio': 416.0, 'last_price': 15.2, 'premium': 632320.0, 'itm': False, 'implied_volatility': 0.007822421875}, {'type': 'PUT', 'strike': 1035.0, 'volume': 134.0, 'oi': 0, 'vol_oi_ratio': 134.0, 'last_price': 38.56, 'premium': 516704.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 990.0, 'volume': 412.0, 'oi': 0, 'vol_oi_ratio': 412.0, 'last_price': 10.75, 'premium': 442900.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
MSFT,Microsoft Corporation,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,416.03,8969267.0,0.24,12,10,2026-05-27,2026-05-27,-1,22,7238296.0,1730971.0,🟢,"[{'type': 'CALL', 'strike': 415.0, 'volume': 7312, 'oi': 0, 'vol_oi_ratio': 7312, 'last_price': 2.93, 'premium': 2142416.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 417.5, 'volume': 7872, 'oi': 0, 'vol_oi_ratio': 7872, 'last_price': 1.7, 'premium': 1338240.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'CALL', 'strike': 420.0, 'volume': 12788, 'oi': 0, 'vol_oi_ratio': 12788, 'last_price': 0.93, 'premium': 1189284.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 415.0, 'volume': 3823.0, 'oi': 0, 'vol_oi_ratio': 3823.0, 'last_price': 1.74, 'premium': 665202.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 412.5, 'volume': 2567.0, 'oi': 0, 'vol_oi_ratio': 2567.0, 'last_price': 0.94, 'premium': 241298.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'PUT', 'strike': 417.5, 'volume': 730.0, 'oi': 0, 'vol_oi_ratio': 730.0, 'last_price': 3.06, 'premium': 223380.00000000003, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
INTU,Intuit Inc.,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,304.35,13515349.0,5.74,12,15,2026-05-27,2026-05-29,1,27,2005607.0,11509742.0,🔴,"[{'type': 'CALL', 'strike': 310.0, 'volume': 1700.0, 'oi': 0, 'vol_oi_ratio': 1700.0, 'last_price': 4.78, 'premium': 812600.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 320.0, 'volume': 1331.0, 'oi': 0, 'vol_oi_ratio': 1331.0, 'last_price': 2.17, 'premium': 288827.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 315.0, 'volume': 580.0, 'oi': 0, 'vol_oi_ratio': 580.0, 'last_price': 3.1, 'premium': 179800.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 405.0, 'volume': 251.0, 'oi': 0, 'vol_oi_ratio': 251.0, 'last_price': 97.5, 'premium': 2447250.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 400.0, 'volume': 200.0, 'oi': 0, 'vol_oi_ratio': 200.0, 'last_price': 92.5, 'premium': 1850000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 410.0, 'volume': 176.0, 'oi': 0, 'vol_oi_ratio': 176.0, 'last_price': 103.0, 'premium': 1812800.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
WMT,Walmart Inc.,NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,118.57,3447452.0,0.71,11,12,2026-05-27,2026-05-29,1,23,2020947.0,1426505.0,🟡,"[{'type': 'CALL', 'strike': 119.0, 'volume': 7094.0, 'oi': 0, 'vol_oi_ratio': 7094.0, 'last_price': 1.03, 'premium': 730682.0000000001, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'CALL', 'strike': 120.0, 'volume': 4878.0, 'oi': 0, 'vol_oi_ratio': 4878.0, 'last_price': 0.64, 'premium': 312192.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 118.0, 'volume': 1454.0, 'oi': 0, 'vol_oi_ratio': 1454.0, 'last_price': 1.57, 'premium': 228278.00000000003, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 118.0, 'volume': 3841.0, 'oi': 0, 'vol_oi_ratio': 3841.0, 'last_price': 0.9, 'premium': 345690.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 119.0, 'volume': 1677.0, 'oi': 0, 'vol_oi_ratio': 1677.0, 'last_price': 1.4, 'premium': 234779.99999999997, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 120.0, 'volume': 1085.0, 'oi': 0, 'vol_oi_ratio': 1085.0, 'last_price': 1.95, 'premium': 211575.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
KO,Coca-Cola Company (The),BULLISH,80,🔥🔥🔥 WHALE ACTIVITY,80.46,635112.0,0.15,4,2,2026-05-27,2026-05-29,1,6,552168.0,82944.0,🟢,"[{'type': 'CALL', 'strike': 45.0, 'volume': 116.0, 'oi': 0, 'vol_oi_ratio': 116.0, 'last_price': 35.48, 'premium': 411567.99999999994, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 81.0, 'volume': 2035.0, 'oi': 0, 'vol_oi_ratio': 2035.0, 'last_price': 0.38, 'premium': 77330.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 80.0, 'volume': 460.0, 'oi': 0, 'vol_oi_ratio': 460.0, 'last_price': 1.02, 'premium': 46920.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 80.0, 'volume': 1725.0, 'oi': 0, 'vol_oi_ratio': 1725.0, 'last_price': 0.32, 'premium': 55200.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 81.0, 'volume': 408.0, 'oi': 0, 'vol_oi_ratio': 408.0, 'last_price': 0.68, 'premium': 27744.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
SYK,Stryker Corporation,BEARISH,80,🔥🔥🔥 WHALE ACTIVITY,313.0,2493400.0,999.0,0,3,2026-05-27,2026-06-18,21,3,0.0,2493400.0,🔴,[],"[{'type': 'PUT', 'strike': 410.0, 'volume': 200.0, 'oi': 0, 'vol_oi_ratio': 200.0, 'last_price': 123.14, 'premium': 2462800.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 270.0, 'volume': 300.0, 'oi': 0, 'vol_oi_ratio': 300.0, 'last_price': 0.55, 'premium': 16500.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'PUT', 'strike': 280.0, 'volume': 141.0, 'oi': 0, 'vol_oi_ratio': 141.0, 'last_price': 1.0, 'premium': 14100.0, 'itm': False, 'implied_volatility': 0.12500875}]"
TYL,"Tyler Technologies, Inc.",BEARISH,80,🔥🔥🔥 WHALE ACTIVITY,307.39,14069200.0,999.0,0,2,2026-05-27,2026-06-18,21,2,0.0,14069200.0,🔴,[],"[{'type': 'PUT', 'strike': 460.0, 'volume': 650.0, 'oi': 0, 'vol_oi_ratio': 650.0, 'last_price': 178.0, 'premium': 11570000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 440.0, 'volume': 160.0, 'oi': 0, 'vol_oi_ratio': 160.0, 'last_price': 156.2, 'premium': 2499200.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
FICO,Fair Isaac Corporation,BEARISH,80,🔥🔥🔥 WHALE ACTIVITY,1259.89,3583330.0,999.0,0,4,2026-05-27,2026-06-18,21,4,0.0,3583330.0,🔴,[],"[{'type': 'PUT', 'strike': 1480.0, 'volume': 100.0, 'oi': 0, 'vol_oi_ratio': 100.0, 'last_price': 313.9, 'premium': 3138999.9999999995, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 1000.0, 'volume': 635.0, 'oi': 0, 'vol_oi_ratio': 635.0, 'last_price': 6.3, 'premium': 400050.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'PUT', 'strike': 900.0, 'volume': 138.0, 'oi': 0, 'vol_oi_ratio': 138.0, 'last_price': 2.1, 'premium': 28980.0, 'itm': False, 'implied_volatility': 0.2500075}]"
V,Visa Inc.,BULLISH,70,🔥🔥 STRONG FLOW,326.48,485836.0,0.06,6,1,2026-05-27,2026-05-29,1,7,458530.0,27306.0,🟢,"[{'type': 'CALL', 'strike': 327.5, 'volume': 476.0, 'oi': 0, 'vol_oi_ratio': 476.0, 'last_price': 2.85, 'premium': 135660.0, 'itm': False, 'implied_volatility': 0.007822421875}, {'type': 'CALL', 'strike': 330.0, 'volume': 613.0, 'oi': 0, 'vol_oi_ratio': 613.0, 'last_price': 1.7, 'premium': 104209.99999999999, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 325.0, 'volume': 237.0, 'oi': 0, 'vol_oi_ratio': 237.0, 'last_price': 4.01, 'premium': 95037.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 322.5, 'volume': 222.0, 'oi': 0, 'vol_oi_ratio': 222.0, 'last_price': 1.23, 'premium': 27306.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
MA,Mastercard Incorporated,BULLISH,70,🔥🔥 STRONG FLOW,493.01,190276.0,0.06,4,1,2026-05-27,2026-05-29,1,5,179923.0,10353.0,🟢,"[{'type': 'CALL', 'strike': 495.0, 'volume': 199.0, 'oi': 0, 'vol_oi_ratio': 199.0, 'last_price': 5.27, 'premium': 104873.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'CALL', 'strike': 500.0, 'volume': 158.0, 'oi': 0, 'vol_oi_ratio': 158.0, 'last_price': 2.65, 'premium': 41870.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 505.0, 'volume': 126.0, 'oi': 0, 'vol_oi_ratio': 126.0, 'last_price': 1.65, 'premium': 20789.999999999996, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 480.0, 'volume': 119.0, 'oi': 0, 'vol_oi_ratio': 119.0, 'last_price': 0.87, 'premium': 10353.0, 'itm': False, 'implied_volatility': 0.062509375}]"
