ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': np.float64(-18.2), 'rs_6m': np.float64(-34.5)}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 24.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 52.1}",2572.5012,22976872448,Industrials,Consulting Services,,,False,4101.0,-37.3,0,False,3912.78,4756.68,2346.81,18.0,strong_buy,52.1,3334.0,29.6,2795.0,8.6,3.94,1.01,2.01,39.8,0.52,1.37,,,,23.1,170,2026-11-18,False,False,5,NEUTRAL,6.07,493.1,0.64,26.6,,,,2026-06-01T10:58:32.203674,FTSE100,66.7,3.0,5.0,0.0,5.0,6.51,3.0,15.0,CONFIRMED_UPTREND
WKL.AS,WOLTERS KLUWER,51.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': np.float64(-16.7), 'rs_6m': np.float64(-42.1)}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 70.7}",62.32,13956201472,Industrials,Specialty Business Services,,,False,157.3,-60.4,0,False,106.39,160.0,73.0,14.0,buy,70.7,186.62,199.5,169.2,171.5,7.06,4.4,4.13,43.1,2.52,1.76,,,,36.9,65,2026-08-05,False,False,7,NEUTRAL,9.9,668.9,0.27,51.7,,,,2026-06-01T10:57:26.351712,AEX25,57.4,6.0,8.0,0.0,5.0,8.84,3.0,0.0,CONFIRMED_UPTREND
SAP.DE,SAP SE                        I,65.2,⭐⭐ GOOD,🟡 Good,90.0,50.0,30.0,85.0,70.0,,,,,13.8,True,1,5.8,False,0,"{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6}","{'revenue_growth_yoy': np.float64(5.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-11.1), 'rs_6m': np.float64(-31.5)}","{'roe_pct': 16.4, 'debt_to_equity': 0.17, 'current_ratio': 1.07, 'operating_margin_pct': 30.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 31.4}",163.42,190802493440,Technology,Software - Application,,,False,273.55,-40.3,1,False,214.81,290.0,154.99,26.0,strong_buy,31.4,133.62,-18.2,62.4,-61.8,4.27,6.98,1.61,37.7,2.5,1.45,True,-2.14,21.9,9.3,52,2026-07-23,False,False,8,STRONG,6.02,146.7,2.06,42.4,,,,2026-06-01T10:58:42.188624,DAX40,55.1,3.0,5.0,3.0,3.0,3.92,3.0,0.0,CONFIRMED_UPTREND
NOVO-B.CO,Novo Nordisk B A/S,80.1,🏆 ELITE,🟢 Elite,100.0,90.0,60.5,70.0,50.0,,,,,83.2,True,2,26.0,True,2,"{'eps_growth_yoy': np.float64(83.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.2}","{'revenue_growth_yoy': np.float64(26.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(14.1), 'rs_6m': np.float64(-15.3)}","{'roe_pct': 71.4, 'debt_to_equity': 0.72, 'current_ratio': 0.79, 'operating_margin_pct': 61.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.6}",293.45,1300208156672,Healthcare,Drug Manufacturers - General,,,False,533.4,-45.0,2,False,309.95,454.0,200.0,23.0,hold,5.6,,,822.6,180.3,-0.93,-3.59,5.43,42.7,15.9,1.81,True,-0.18,39.5,26.8,65,2026-08-05,False,False,5,NEUTRAL,9.45,64.7,0.2,37.2,,,,2026-06-01T10:57:47.896093,OMXCPH,55.0,-5.0,8.0,3.0,5.0,0.7,-3.0,0.0,CONFIRMED_UPTREND
RMV.L,RIGHTMOVE PLC ORD 0.1P,57.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,100.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 51.1},{},"{'rs_3m': np.float64(-16.9), 'rs_6m': np.float64(-35.1)}","{'roe_pct': 266.1, 'debt_to_equity': 0.09, 'current_ratio': 1.89, 'operating_margin_pct': 66.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 35.8}",418.8,3123357184,Communication Services,Internet Content & Information,,,False,827.0,-49.4,0,False,568.87,765.0,420.0,15.0,hold,35.8,666.0,59.0,470.0,12.2,6.15,0.26,2.54,36.2,0.11,1.49,,,,6.7,60,2026-07-31,False,False,6,NEUTRAL,9.2,637.5,0.74,33.9,,,,2026-06-01T10:59:16.371921,FTSE100,55.0,6.0,5.0,0.0,3.0,4.47,3.0,0.0,CONFIRMED_UPTREND
AMS.MC,"AMADEUS IT GROUP, S.A.",57.5,⭐ AVERAGE,🟡 Average,65.0,60.0,30.0,70.0,65.0,,,,,-4.1,True,1,3.4,True,1,"{'eps_growth_yoy': np.float64(-4.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': np.float64(3.4), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-2.9), 'rs_6m': np.float64(-24.5)}","{'roe_pct': 26.0, 'debt_to_equity': 0.7, 'current_ratio': 0.77, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.0}",54.94,23699263488,Technology,Information Technology Services,,,False,75.38,-27.1,1,False,67.55,80.0,52.0,22.0,buy,23.0,40.35,-26.6,30.5,-44.5,4.57,2.51,2.81,46.6,1.54,1.73,True,-6.96,21.7,5.1,60,2026-07-31,False,False,7,NEUTRAL,6.98,473.7,2.8,28.4,,,,2026-06-01T10:58:14.414454,IBEX35,53.0,3.0,5.0,3.0,3.0,2.88,1.0,0.0,CONFIRMED_UPTREND
G24.DE,Scout24 SE                    N,67.8,⭐⭐ GOOD,🟡 Good,95.0,60.0,30.0,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': np.float64(37.0), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': np.float64(14.0), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-7.8), 'rs_6m': np.float64(-29.0)}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 43.2}",72.25,5109193216,Communication Services,Internet Content & Information,,,False,122.8,-41.2,1,False,103.44,135.0,86.0,16.0,strong_buy,43.2,,,108.3,49.9,,,2.08,36.6,1.5,1.51,,,44.1,40.6,66,2026-08-06,False,False,6,NEUTRAL,5.23,635.9,0.38,37.2,,,,2026-06-01T10:58:39.507949,DAX40,52.1,0.0,5.0,0.0,5.0,5.4,3.0,0.0,CONFIRMED_UPTREND
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,53.0,⭐ AVERAGE,🟡 Average,60.0,50.0,15.0,90.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': np.float64(-21.4), 'rs_6m': np.float64(-43.6)}","{'roe_pct': 60.2, 'debt_to_equity': 0.51, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 32.9}",439.4,3558216192,Communication Services,Internet Content & Information,,,False,844.4,-48.0,0,False,584.06,830.0,410.0,16.0,hold,32.9,494.0,12.4,340.0,-22.6,6.99,0.31,2.63,32.0,0.12,0.99,,,,2.0,157,2026-11-05,False,False,8,STRONG,9.87,668.8,1.96,44.5,,,,2026-06-01T10:58:34.579117,FTSE100,51.2,6.0,5.0,0.0,1.0,4.11,3.0,0.0,CONFIRMED_UPTREND
PGHN.SW,PARTNERS GROUP N,59.2,⭐ AVERAGE,🟡 Average,60.0,50.0,50.0,85.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': np.float64(-11.1), 'rs_6m': np.float64(-17.2)}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 40.1}",825.2,21276243968,Financial Services,Asset Management,,,False,1158.0,-28.7,0,False,1155.83,1300.0,930.0,12.0,none,40.1,1070.36,29.7,533.17,-35.4,6.32,52.13,5.56,86.7,46.0,3.39,,,,5.5,92,2026-09-01,False,False,7,NEUTRAL,6.71,75.9,1.28,21.1,,,,2026-06-01T10:57:55.494628,SMI20,50.7,6.0,0.0,0.0,3.0,5.01,3.0,0.0,CONFIRMED_UPTREND
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,49.0,⚠️ WEAK,🔴 Weak,55.0,50.0,30.0,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': np.float64(-4.5), 'rs_6m': np.float64(-30.6)}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 26.7}",871.4,7832850944,Technology,Software - Application,,,False,1335.0,-34.7,1,False,1104.16,1334.0,850.0,19.0,buy,26.7,1649.0,89.2,572.0,-34.4,8.07,0.7,2.67,55.0,0.22,2.1,,,,14.3,171,2026-11-19,False,False,6,NEUTRAL,5.79,374.3,1.06,29.4,,,,2026-06-01T10:59:19.278296,FTSE100,50.6,8.0,5.0,0.0,3.0,3.34,3.0,0.0,CONFIRMED_UPTREND
