ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
TECK,Teck Resources Ltd,84.3,🏆 ELITE,🟢 Elite,100.0,90.0,86.3,70.0,40.0,95.0,91.4,False,up,297.6,False,0,94.9,True,1,"{'eps_growth_yoy': np.float64(297.6), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': np.float64(94.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(15.0), 'rs_6m': np.float64(44.5), 'rs_line_percentile': 91.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 5.9, 'debt_to_equity': 0.37, 'operating_margin_pct': 39.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': -28.5}",67.23,32935596032,Basic Materials,Other Industrial Metals & Mining,,2.8,False,71.25,-5.6,8.0,True,48.1,62.92,34.41,3.0,hold,-28.5,,,81.9,21.8,,,0.54,13.3,0.37,0.99,True,-1.92,4.5,51.5,49.0,2026-07-23,False,False,5.0,NEUTRAL,6.2,6.5,0.17,53.1,,,,2026-06-04T08:32:01.405066
CDNS,"Cadence Design Systems, Inc.",79.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,79.4,85.0,60.0,80.0,75.5,False,up,109.7,False,0,15.6,False,0,"{'eps_growth_yoy': np.float64(109.7), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.2}","{'revenue_growth_yoy': np.float64(15.6), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(25.1), 'rs_6m': np.float64(17.0), 'rs_line_percentile': 75.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 20.7, 'debt_to_equity': 0.47, 'current_ratio': 1.47, 'operating_margin_pct': 29.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': -5.9}",408.0,112532930560,Technology,Software - Application,2.0,2.2,False,416.69,-2.1,7.0,True,383.94,440.0,275.0,26.0,strong_buy,-5.9,178.28,-56.3,98.44,-75.9,1.33,5.44,,,,,True,-0.88,14.4,23.0,53.0,2026-07-27,False,False,7.0,NEUTRAL,1.44,44.0,1.89,45.4,0.4,0.01,-45.0,2026-06-04T08:27:51.942799
NUE,Nucor Corporation,79.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,85.0,70.0,91.0,80.0,60.0,100.0,100.0,True,up,23.2,True,1,12.3,True,1,"{'eps_growth_yoy': np.float64(23.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 6.8}","{'revenue_growth_yoy': np.float64(12.3), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(39.3), 'rs_6m': np.float64(49.8), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 12.3, 'debt_to_equity': 0.32, 'current_ratio': 2.9, 'operating_margin_pct': 11.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -4.4}",257.73,58695675904,Basic Materials,Steel,2.8,3.0,False,261.41,-1.4,8.0,True,246.48,285.0,138.17,15.0,buy,-4.4,,,302.4,17.3,-0.65,-1.69,0.87,22.0,2.24,1.41,True,-0.89,22.4,382.1,53.0,2026-07-27,False,False,6.0,NEUTRAL,4.25,11.9,0.04,28.6,0.8,0.03,-27.8,2026-06-04T08:31:08.106900
AON,Aon plc,78.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,36.0,80.0,65.0,15.0,0.3,False,down,109.3,False,0,21.2,True,2,"{'eps_growth_yoy': np.float64(109.3), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}","{'revenue_growth_yoy': np.float64(21.2), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-17.6), 'rs_6m': np.float64(-19.8), 'rs_line_percentile': 0.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 46.4, 'debt_to_equity': 1.55, 'current_ratio': 1.07, 'operating_margin_pct': 35.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.1}",315.6,67404886016,Financial Services,Insurance Brokers,1.4,2.0,False,381.0,-17.2,1.0,False,385.26,436.0,298.0,19.0,buy,22.1,597.35,89.3,493.49,56.4,4.96,15.65,1.04,16.4,3.28,0.76,True,-1.85,7.4,19.0,50.0,2026-07-24,False,False,8.0,STRONG,6.82,141.9,0.54,20.0,0.8,0.04,-19.2,2026-06-04T08:25:31.930970
INTU,Intuit Inc.,77.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,100.0,15.0,85.0,70.0,15.0,0.8,False,down,704.2,True,2,123.4,True,2,"{'eps_growth_yoy': np.float64(704.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}","{'revenue_growth_yoy': np.float64(123.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-44.1), 'rs_6m': np.float64(-62.1), 'rs_line_percentile': 0.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 57.8}",311.44,85190361088,Technology,Software - Application,4.6,4.2,False,813.7,-61.7,0.0,False,491.3,921.0,276.0,32.0,buy,57.8,387.99,24.6,175.27,-43.7,6.14,19.13,1.54,28.3,4.8,0.63,True,-4.8,24.8,10.7,77.0,2026-08-20,False,False,9.0,STRONG,5.96,97.0,1.06,93.4,,,,2026-06-04T08:24:58.751754
CBOE,"Cboe Global Markets, Inc.",76.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,47.6,95.0,55.0,35.0,25.1,False,down,64.1,True,1,8.5,True,2,"{'eps_growth_yoy': np.float64(64.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 25.8}","{'revenue_growth_yoy': np.float64(8.5), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-15.0), 'rs_6m': np.float64(1.3), 'rs_line_percentile': 25.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': 25.1, 'debt_to_equity': 0.29, 'current_ratio': 1.39, 'operating_margin_pct': 39.7}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 15.9}",285.1,29836793856,Financial Services,Financial Data & Stock Exchanges,3.0,2.9,False,371.18,-23.2,6.0,False,330.43,393.0,273.0,14.0,hold,15.9,406.47,42.6,351.6,23.3,3.36,9.58,1.01,23.8,2.88,1.29,True,-0.26,33.8,21.8,57.0,2026-07-31,False,False,8.0,STRONG,5.53,70.3,0.36,53.2,6.3,0.12,-46.9,2026-06-04T08:29:43.322021
HEI,Heico Corporation,76.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,44.0,90.0,65.0,35.0,40.4,False,flat,31.8,True,1,19.9,True,1,"{'eps_growth_yoy': np.float64(31.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': np.float64(19.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-3.9), 'rs_6m': np.float64(-4.5), 'rs_line_percentile': 40.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 35}","{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.3}",329.11,45963264000,Industrials,Aerospace & Defense,1.1,0.8,False,361.69,-9.0,3.0,False,386.1,471.0,290.0,20.0,buy,17.3,544.34,65.4,167.7,-49.0,1.54,12.84,0.07,4.3,0.24,0.1,False,,9.0,48.2,82.0,2026-08-25,False,False,8.0,STRONG,2.09,52.3,1.0,53.5,0.2,0.0,-53.3,2026-06-04T08:27:40.117072
AJG,Arthur J. Gallagher & Co.,75.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,100.0,15.0,70.0,70.0,15.0,3.2,False,down,124.7,True,1,47.7,True,2,"{'eps_growth_yoy': np.float64(124.7), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 11.4}","{'revenue_growth_yoy': np.float64(47.7), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-22.6), 'rs_6m': np.float64(-27.9), 'rs_line_percentile': 3.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 7.0, 'debt_to_equity': 0.56, 'current_ratio': 1.06, 'operating_margin_pct': 28.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 31.3}",202.5,52030754816,Financial Services,Insurance Brokers,2.1,3.0,False,337.33,-40.0,0.0,False,265.79,388.0,211.0,19.0,buy,31.3,106.23,-47.5,100.12,-50.6,2.08,4.2,1.38,42.9,2.8,1.01,True,-0.6,4.2,16.2,56.0,2026-07-30,False,False,6.0,NEUTRAL,3.92,77.9,0.84,31.1,,,,2026-06-04T08:26:17.791286
TW,Tradeweb Markets Inc.,75.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,90.0,27.0,85.0,60.0,15.0,3.8,False,down,33.5,False,0,20.4,True,2,"{'eps_growth_yoy': np.float64(33.5), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 40.3}","{'revenue_growth_yoy': np.float64(20.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-30.2), 'rs_6m': np.float64(-16.5), 'rs_line_percentile': 3.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 14.2, 'debt_to_equity': 0.02, 'current_ratio': 5.93, 'operating_margin_pct': 46.4}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 35.5}",100.43,21896353792,Financial Services,Capital Markets,2.7,2.2,False,147.49,-31.9,1.0,False,136.07,197.0,112.0,14.0,none,35.5,,,121.5,21.0,,,0.56,12.4,0.56,0.4,True,-0.72,636.1,19.6,56.0,2026-07-30,False,False,8.0,STRONG,5.8,57.1,0.56,25.7,,,,2026-06-04T08:25:23.556785
WST,"West Pharmaceutical Services, I",74.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,80.0,70.0,63.9,95.0,60.0,60.0,68.2,False,up,5.3,True,1,10.2,True,1,"{'eps_growth_yoy': np.float64(5.3), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.8}","{'revenue_growth_yoy': np.float64(10.2), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(18.5), 'rs_6m': np.float64(4.7), 'rs_line_percentile': 68.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.71, 'operating_margin_pct': 21.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.4}",316.31,22346539008,Healthcare,Medical Instruments & Supplies,3.8,2.2,False,330.88,-4.4,7.0,True,352.36,400.0,310.0,14.0,strong_buy,11.4,165.47,-47.7,223.8,-29.2,1.23,3.9,0.28,11.5,0.88,0.25,True,-1.35,336.2,56.1,49.0,2026-07-23,False,False,7.0,NEUTRAL,2.72,19.0,0.59,30.3,0.8,0.03,-29.5,2026-06-04T08:26:41.844417
