ticker,company_name,purchase_count,unique_insiders,total_shares,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
AAL.L,Anglo American plc,34,9,133,62,2026-04-14,2026-06-15,100,MUY ALTA,FTSE100
BA.L,BAE Systems plc,47,12,3795,62,2026-04-14,2026-06-15,100,MUY ALTA,FTSE100
BARC.L,Barclays PLC,10,8,7652,28,2026-04-09,2026-05-07,100,MUY ALTA,FTSE100
BAS.DE,BASF SE,5,5,0,4,2026-05-04,2026-05-08,100,MUY ALTA,DAX40
BATS.L,British American Tobacco p.l.c.,46,13,19686,65,2026-04-01,2026-06-05,100,MUY ALTA,FTSE100
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,6,6,0,0,2026-05-29,2026-05-29,100,MUY ALTA,DAX40
BP.L,BP p.l.c.,23,8,23223,70,2026-04-01,2026-06-10,100,MUY ALTA,FTSE100
CON.DE,Continental Aktiengesellschaft,4,4,0,0,2026-06-01,2026-06-01,100,MUY ALTA,DAX40
DB1.DE,Deutsche Börse AG,7,7,0,0,2026-06-01,2026-06-01,100,MUY ALTA,DAX40
DGE.L,Diageo plc,32,12,5899,68,2026-04-10,2026-06-17,100,MUY ALTA,FTSE100
FRE.DE,Fresenius SE & Co. KGaA,6,4,0,58,2026-03-31,2026-05-28,100,MUY ALTA,DAX40
HSBA.L,HSBC Holdings plc,11,9,32403,22,2026-04-30,2026-05-22,100,MUY ALTA,FTSE100
GSK.L,GSK plc,57,14,26216,61,2026-04-09,2026-06-09,100,MUY ALTA,FTSE100
MNDI.L,Mondi plc,7,3,5112,57,2026-04-09,2026-06-05,100,MUY ALTA,FTSE100
LLOY.L,Lloyds Banking Group plc,19,7,4913,61,2026-04-09,2026-06-09,100,MUY ALTA,FTSE100
IMB.L,Imperial Brands PLC,5,4,1560,9,2026-04-01,2026-04-10,100,MUY ALTA,FTSE100
LAND.L,Land Securities Group Plc,6,2,151,58,2026-04-07,2026-06-04,100,MUY ALTA,FTSE100
NWG.L,NatWest Group plc,17,9,9296,34,2026-04-01,2026-05-05,100,MUY ALTA,FTSE100
NG.L,National Grid plc,7,3,48147,69,2026-04-07,2026-06-15,100,MUY ALTA,FTSE100
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,5,5,0,6,2026-05-12,2026-05-18,100,MUY ALTA,DAX40
MTX.DE,MTU Aero Engines AG,4,2,0,43,2026-04-02,2026-05-15,100,MUY ALTA,DAX40
SHEL.L,Shell plc,11,8,6615,0,2026-04-01,2026-04-01,100,MUY ALTA,FTSE100
SSE.L,SSE plc,24,9,109,64,2026-04-02,2026-06-05,100,MUY ALTA,FTSE100
STAN.L,Standard Chartered PLC,8,8,113060,0,2026-05-19,2026-05-19,100,MUY ALTA,FTSE100
SVT.L,Severn Trent PLC,4,4,1646,0,2026-05-01,2026-05-01,100,MUY ALTA,FTSE100
PRU.L,Prudential plc,37,9,448838,62,2026-04-10,2026-06-11,100,MUY ALTA,FTSE100
RHM.DE,Rheinmetall AG,10,5,0,49,2026-05-07,2026-06-25,100,MUY ALTA,DAX40
RIO.L,Rio Tinto Group,21,7,879,54,2026-04-16,2026-06-09,100,MUY ALTA,FTSE100
RR.L,Rolls-Royce Holdings plc,30,6,4004,73,2026-03-30,2026-06-11,100,MUY ALTA,FTSE100
TSCO.L,Tesco PLC,18,6,438,56,2026-04-10,2026-06-05,100,MUY ALTA,FTSE100
ULVR.L,Unilever PLC,15,11,5710,44,2026-04-15,2026-05-29,100,MUY ALTA,FTSE100
UNA.AS,Unilever PLC,15,11,5710,44,2026-04-15,2026-05-29,100,MUY ALTA,AEX25
ZAL.DE,Zalando SE,18,1,0,0,2026-06-15,2026-06-15,100,MUY ALTA,DAX40
DHL.DE,Deutsche Post AG,2,2,0,48,2026-04-01,2026-05-19,60,MUY ALTA,DAX40
INF.L,Informa plc,2,2,444,0,2026-05-20,2026-05-20,60,MUY ALTA,FTSE100
G24.DE,Scout24 SE,2,1,0,13,2026-05-19,2026-06-01,50,ALTA,DAX40
EOAN.DE,E.ON SE,2,1,0,40,2026-05-15,2026-06-24,50,ALTA,DAX40
