ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,oe_ai_adjustment,oe_ai_verdict
DB1.DE,DEUTSCHE BOERSE AG            N,69.7,⭐⭐ GOOD,🟡 Good,95.0,50.0,56.0,80.0,55.0,,,,,11.4,True,1,8.5,False,0,"{'eps_growth_yoy': np.float64(11.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': np.float64(8.5), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-16.5), 'rs_6m': np.float64(2.7)}","{'roe_pct': 19.2, 'debt_to_equity': 0.65, 'current_ratio': 1.01, 'operating_margin_pct': 43.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 18.9}",240.7,43832897536,Financial Services,Financial Data & Stock Exchanges,,,False,276.3,-12.9,4,False,286.08,310.0,240.0,12.0,none,18.9,,,136.76,-43.2,,,1.76,35.7,4.2,1.87,,,,6.1,20,2026-07-22,False,True,5,NEUTRAL,6.32,66.8,1.48,15.5,,,,2026-07-02T07:55:04.028229,DAX40,63.9,0.0,5.0,0.0,3.0,2.36,1.0,15.0,CONFIRMED_UPTREND,0,
G24.DE,Scout24 SE                    N,72.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,60.0,54.5,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': np.float64(37.0), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': np.float64(14.0), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(2.3), 'rs_6m': np.float64(-19.5)}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 39.8}",74.2,5247088640,Communication Services,Internet Content & Information,,,False,122.8,-39.6,1,False,103.76,135.0,86.0,17.0,strong_buy,39.8,,,108.3,46.0,,,2.01,36.6,1.5,1.51,,,44.1,40.6,35,2026-08-06,False,False,6,NEUTRAL,5.06,635.9,0.38,33.8,,,,2026-07-02T07:56:00.132289,DAX40,54.1,0.0,5.0,0.0,5.0,4.97,3.0,8.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
AMS.MC,"AMADEUS IT GROUP, S.A.",58.0,⭐ AVERAGE,🟡 Average,65.0,60.0,30.0,70.0,70.0,,,,,-4.1,True,1,3.4,True,1,"{'eps_growth_yoy': np.float64(-4.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': np.float64(3.4), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-9.3), 'rs_6m': np.float64(-26.3)}","{'roe_pct': 26.0, 'debt_to_equity': 0.7, 'current_ratio': 0.77, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 31.7}",50.88,21811595264,Technology,Information Technology Services,,,False,73.6,-30.9,1,False,67.0,80.0,50.0,22.0,buy,31.7,40.6,-20.2,30.5,-40.1,4.96,2.52,3.0,46.6,1.54,1.73,True,-7.56,21.7,5.1,29,2026-07-31,False,False,7,NEUTRAL,7.4,473.7,2.58,27.0,,,,2026-07-02T07:55:37.121707,IBEX35,58.2,3.0,8.0,3.0,3.0,3.96,3.0,0.0,CONFIRMED_UPTREND,0,
WKL.AS,WOLTERS KLUWER,48.0,⚠️ WEAK,🔴 Weak,60.0,50.0,15.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': np.float64(-25.8), 'rs_6m': np.float64(-46.5)}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 76.7}",56.2,12548578304,Industrials,Specialty Business Services,,,False,144.25,-61.0,0,False,99.32,160.0,71.0,14.0,buy,76.7,187.18,233.1,169.2,201.1,7.85,4.41,4.41,43.1,2.52,1.81,,,,36.9,34,2026-08-05,False,False,7,NEUTRAL,10.4,668.9,0.24,35.7,,,,2026-07-02T07:54:54.885952,AEX25,56.2,6.0,8.0,0.0,5.0,9.59,3.0,0.0,CONFIRMED_UPTREND,0,
SAP.DE,SAP SE                        I,65.2,⭐⭐ GOOD,🟡 Good,90.0,50.0,30.0,85.0,70.0,,,,,13.8,True,1,5.8,False,0,"{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6}","{'revenue_growth_yoy': np.float64(5.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-18.2), 'rs_6m': np.float64(-38.4)}","{'roe_pct': 16.4, 'debt_to_equity': 0.17, 'current_ratio': 1.07, 'operating_margin_pct': 30.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 52.4}",140.4,163925278720,Technology,Software - Application,,,False,269.35,-47.9,0,False,214.04,290.0,154.99,26.0,strong_buy,52.4,133.62,-4.8,62.4,-55.6,4.97,6.98,1.77,37.7,2.5,1.45,True,-2.5,21.9,9.3,21,2026-07-23,False,True,8,STRONG,6.64,146.7,1.79,46.6,,,,2026-07-02T07:56:02.598573,DAX40,55.1,3.0,5.0,3.0,3.0,6.55,3.0,0.0,CONFIRMED_UPTREND,0,
RMV.L,RIGHTMOVE PLC ORD 0.1P,57.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,100.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 51.1},{},"{'rs_3m': np.float64(-6.7), 'rs_6m': np.float64(-20.5)}","{'roe_pct': 266.1, 'debt_to_equity': 0.09, 'current_ratio': 1.89, 'operating_margin_pct': 66.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 23.5}",454.1,3384906496,Communication Services,Internet Content & Information,,,False,827.0,-45.1,1,False,560.62,765.0,404.0,16.0,hold,23.5,667.0,46.9,470.0,3.5,5.68,0.26,2.3,36.2,0.11,1.52,,,,6.7,29,2026-07-31,False,False,6,NEUTRAL,8.35,637.5,0.8,28.8,,,,2026-07-02T07:56:33.705525,FTSE100,52.8,6.0,5.0,0.0,3.0,2.94,1.0,0.0,CONFIRMED_UPTREND,0,
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': np.float64(-17.2), 'rs_6m': np.float64(-32.4)}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 51.8}",2556.0,22713010176,Industrials,Consulting Services,,,False,4101.0,-37.7,0,False,3881.18,4739.06,2369.37,18.0,strong_buy,51.8,3376.0,32.1,2864.0,12.1,4.01,1.03,2.03,39.8,0.52,1.38,,,,23.1,139,2026-11-18,False,False,9,STRONG,7.64,646.3,0.63,25.5,,,,2026-07-02T07:55:53.712526,FTSE100,43.7,3.0,5.0,0.0,5.0,6.48,3.0,0.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
LR.PA,LEGRAND,70.0,⭐⭐ GOOD,🟡 Good,80.0,70.0,56.0,75.0,60.0,,,,,14.2,False,0,11.4,True,1,"{'eps_growth_yoy': np.float64(14.2), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 13.2}","{'revenue_growth_yoy': np.float64(11.4), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-6.7), 'rs_6m': np.float64(4.5)}","{'roe_pct': 16.9, 'debt_to_equity': 0.85, 'current_ratio': 1.96, 'operating_margin_pct': 19.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.2}",143.75,37575548928,Industrials,Electrical Equipment & Parts,,,False,166.95,-13.9,5,False,158.42,190.0,114.0,19.0,buy,10.2,99.99,-30.4,67.07,-53.3,3.03,4.35,1.64,45.3,2.38,1.91,True,-0.41,11.6,9.7,27,2026-07-29,False,False,6,NEUTRAL,4.36,45.7,1.6,37.7,,,,2026-07-02T07:56:17.196523,CAC40,51.0,3.0,5.0,3.0,3.0,1.27,0.0,0.0,CONFIRMED_UPTREND,0,
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,49.0,⚠️ WEAK,🔴 Weak,55.0,50.0,30.0,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': np.float64(-16.5), 'rs_6m': np.float64(-29.8)}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 29.5}",833.2,7478255104,Technology,Software - Application,,,False,1335.0,-37.6,0,False,1079.16,1334.0,850.0,19.0,buy,29.5,1651.0,98.2,572.0,-31.3,8.45,0.7,2.65,55.0,0.22,2.1,,,,14.3,140,2026-11-19,False,False,6,NEUTRAL,5.77,374.3,1.01,34.4,,,,2026-07-02T07:56:36.058069,FTSE100,50.6,8.0,5.0,0.0,3.0,3.69,3.0,0.0,CONFIRMED_UPTREND,0,
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,55.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,90.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': np.float64(-6.3), 'rs_6m': np.float64(-21.2)}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 15.2}",505.8,3981757696,Communication Services,Internet Content & Information,,,False,844.4,-40.1,1,False,582.47,830.0,410.0,17.0,none,15.2,498.0,-1.5,340.0,-32.8,6.12,0.31,2.27,32.0,0.12,0.99,,,,2.5,126,2026-11-05,False,False,5,NEUTRAL,9.07,332.4,2.25,21.9,,,,2026-07-02T07:55:55.781486,FTSE100,52.2,6.0,5.0,0.0,1.0,1.9,0.0,0.0,CONFIRMED_UPTREND,3,MIXED/BUY (+3)
