ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
MA,0.0,,,,38.5,Mastercard Incorporated,57.8,Financial Services,Credit Services,75.0,50.0,44.0,50.0,65.0,539.39,476596305920.0,35.0,31.4,False,flat,4.9,False,0.0,3.3,False,0.0,0.8,1.8,False,601.77,-10.4,3.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': 4.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",643.59,735.0,550.0,37.0,strong_buy,19.3,564.24,4.6,365.91,-32.2,3.39,18.41,0.65,18.2,0.54,True,-2.77,27.7,21.2,26.0,2026-07-30,False,False,9.0,STRONG,3.96,622.8,1.12,BULLISH,0.4,60.0,1.0,1.0,13.899999999999999,0.0,11.5,17.3,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,875.8,23.0,28.9,35.0,False,flat,31.4,0.0,False,0.0,False,0.0,0.0,9,29.0,72.4,Medio,40.4,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,87.04499999999999,0.0,3.0,0.0,3.0,5.0,-0.2,-0.52,0.0,0.0,0.0,2.41,2.0,10.0,26,0,,8,RELIABLE/BUY (+8),WATCH,3.0,45,0.3853,MEDIA,14.78,4.6,33.1,MEDIA,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,
ASAZY,0.0,,,,6.8,Assa Abloy AB,57.0,Industrials,Security & Protection Services,90.0,30.0,36.0,65.0,55.0,17.69,39299268608.0,15.0,9.3,False,down,44.4,False,0.0,-5.8,False,0.0,,,False,21.98,-19.5,2.0,False,"{'roe_pct': 15.0, 'debt_to_equity': 0.61, 'current_ratio': 1.0}","{'eps_growth_yoy': 44.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.5}",21.88,21.88,21.88,1.0,none,23.7,347.64,1865.2,21.9,23.8,43.94,8.2,1.86,41.6,1.7,False,,,22.2,13.0,2026-07-17,False,True,8.0,STRONG,,118.2,0.44,,,,,,0.0,0.0,2.0,17.1,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",MEGA_FLOAT,1999.6,23.0,19.1,15.0,False,down,9.3,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,9.3,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,66.14,8.0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.96,2.0,10.0,,0,,3,MIXED/BUY (+3),CAUTION,2.0,45,0.0676,BAJA,0.0,23.8,-920.8,,⭐ GOOD,🟢 Excellent,,,,,,,
V,0.0,,,,43.5,Visa Inc.,71.1,Financial Services,Credit Services,85.0,70.0,46.7,85.0,60.0,362.13,688678502400.0,35.0,44.0,False,up,14.2,False,0.0,10.4,True,1.0,1.3,2.7,False,362.13,0.0,3.0,False,"{'roe_pct': 60.3, 'debt_to_equity': 0.67, 'current_ratio': 1.09, 'operating_margin_pct': 67.3}","{'eps_growth_yoy': 14.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 51.7}",398.7,450.0,330.0,37.0,strong_buy,10.1,532.49,47.0,344.4,-4.9,3.03,12.56,0.74,22.0,0.7,True,-3.1,43.6,35.5,24.0,2026-07-28,False,False,6.0,NEUTRAL,3.58,356.4,0.69,BEARISH,999.0,40.0,0.0,1.0,12.399999999999999,0.0,13.0,21.3,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,70,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,1688.2,23.0,34.4,35.0,False,up,44.0,2.0,False,0.0,True,1.0,2.0,9,29.0,72.4,Medio,40.4,0.0,0.0,5.0,0.0,-8.0,0.0,0.0,0.0,False,2/3,62.614999999999995,0.0,3.0,0.0,3.0,5.0,-0.03,-0.01,0.0,0.0,0.0,1.26,2.0,2.0,43,0,,3,MIXED/BUY (+3),WATCH,6.0,45,0.4345,MEDIA,22.11,10.1,-11.0,,⭐ GOOD,🟡 Good,,,,,,,
VRSN,0.0,,,,43.7,"VeriSign, Inc.",59.2,Technology,Software - Infrastructure,85.0,50.0,36.0,50.0,65.0,256.43,23335129088.0,15.0,20.1,False,down,3.4,True,1.0,4.6,False,0.0,2.7,3.1,False,312.48,-17.9,3.0,False,"{'current_ratio': 0.46, 'operating_margin_pct': 68.5}","{'eps_growth_yoy': 3.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 50.0}",312.0,355.0,265.0,4.0,buy,21.7,185.13,-27.8,103.17,-59.8,3.46,8.87,1.26,34.5,,True,-3.71,15.4,8.0,19.0,2026-07-23,False,True,8.0,STRONG,4.66,512.5,2.15,,,,,,7.899999999999999,0.0,13.1,17.8,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",HIGH_FLOAT,90.4,22.0,30.9,15.0,False,down,20.1,0.0,True,1.0,False,0.0,2.0,26,29.0,13.8,Bottom 25%,16.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,62.265,0.0,3.0,0.0,3.0,3.0,0.0,1.88,1.0,0.0,0.0,2.71,2.0,10.0,17,1,Berkshire Hathaway (Buffett),-5,MIXED/AVOID (-5),CONFIRM,11.0,45,0.4372,MEDIA,5.920000000000001,-27.8,65.5,ALTA,⭐ GOOD,🟡 Good,,,,,,,
SPGI,0.0,,,,47.6,S&P Global Inc.,68.5,Financial Services,Financial Data & Stock Exchanges,100.0,70.0,24.0,65.0,65.0,439.89,130207440896.0,15.0,23.9,False,flat,30.1,True,1.0,11.1,True,1.0,1.7,2.3,False,547.82404,-19.7,3.0,False,"{'roe_pct': 13.9, 'debt_to_equity': 0.38, 'current_ratio': 0.68, 'operating_margin_pct': 44.3}","{'eps_growth_yoy': 30.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 30.4}",529.24,575.0,454.01,21.0,strong_buy,20.3,759.17,72.6,473.7,7.7,4.07,17.9,0.88,24.4,0.82,True,-4.11,22.7,32.5,26.0,2026-07-30,False,False,7.0,NEUTRAL,4.42,942.7,0.66,,,,,,16.799999999999997,0.0,14.3,20.6,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,70,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,295.3,23.0,34.8,15.0,False,flat,23.9,0.0,True,1.0,True,1.0,5.0,19,29.0,37.9,Bajo 50%,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,60.78,0.0,3.0,0.0,3.0,5.0,-0.67,-0.85,0.0,1.0,0.0,2.54,2.0,5.0,16,0,,-5,MIXED/AVOID (-5),WATCH,3.0,45,0.4757,ALTA,6.8500000000000005,20.3,-19.8,,⭐ GOOD,🟡 Good,,,,,,,
AON,65.41666666666667,Excellent,Stage Unknown,16.497723976732345,8.9,Aon plc,79.3,Financial Services,Insurance Brokers,100.0,90.0,44.0,80.0,60.0,357.46,76345212928.0,35.0,34.6,False,up,109.3,False,0.0,21.2,True,2.0,1.7,2.4,False,381.0,-6.2,3.0,False,"{'roe_pct': 46.4, 'debt_to_equity': 1.55, 'current_ratio': 1.07, 'operating_margin_pct': 35.8}","{'eps_growth_yoy': 109.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}",383.32,436.0,298.0,19.0,buy,7.2,597.35,67.1,494.03,38.2,4.38,15.65,0.92,16.4,0.76,True,-1.64,7.4,19.0,20.0,2026-07-24,False,True,8.0,STRONG,6.14,141.9,0.62,,,,,,36.6,26.2,2.7,23.8,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,210.9,23.0,52.6,35.0,False,up,34.6,2.0,False,0.0,True,2.0,2.0,16,29.0,48.3,Bajo 50%,27.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,60.065,0.0,3.0,0.0,3.0,5.0,0.25,-0.51,0.0,0.0,0.0,0.9,-3.0,10.0,12,0,,-5,MIXED/AVOID (-5),WATCH,3.0,45,0.0893,BAJA,49.638333333333335,38.2,-45.4,,⭐ GOOD,🟡 Good,HOLD,55.0,Close to ATH (-6.2% from high) - wait for pullback,-6.2,NEUTRAL,BUY,False
QSR,0.0,,,,27.6,Restaurant Brands International,60.5,Consumer Cyclical,Restaurants,100.0,30.0,47.6,50.0,60.0,74.79,34129436672.0,35.0,32.9,False,down,77.9,True,1.0,-6.1,False,0.0,6.1,5.5,False,81.96,-8.7,5.0,False,"{'roe_pct': 28.1, 'debt_to_equity': 2.96, 'current_ratio': 0.99, 'operating_margin_pct': 25.9}","{'eps_growth_yoy': 77.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.0}",85.92,100.0,78.0,25.0,buy,14.9,201.66,169.6,93.3,24.7,4.83,4.76,3.48,80.7,3.41,True,-0.09,4.6,100.0,33.0,2026-08-06,False,False,6.0,NEUTRAL,5.23,51.7,0.17,,,,,,29.4,0.0,8.3,18.1,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,298.3,3.0,26.4,35.0,False,down,32.9,0.0,True,1.0,False,0.0,2.0,24,29.0,20.7,Bottom 25%,18.0,-3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,59.58000000000001,0.0,3.0,0.0,3.0,5.0,-0.0,-0.0,0.0,0.0,0.0,1.86,2.0,2.0,48,1,Pershing Square (Ackman),8,RELIABLE/BUY (+8),,0.0,45,0.2757,BAJA,19.55,24.7,-82.2,,🔵 DECENT,🟡 Good,,,,,,,
CBOE,0.0,,,,23.0,"Cboe Global Markets, Inc.",72.7,Financial Services,Financial Data & Stock Exchanges,100.0,70.0,27.0,95.0,55.0,248.99,26057746432.0,15.0,11.9,False,down,64.1,True,1.0,8.5,True,2.0,3.0,2.9,False,371.18,-32.9,3.0,False,"{'roe_pct': 25.1, 'debt_to_equity': 0.29, 'current_ratio': 1.39, 'operating_margin_pct': 39.7}","{'eps_growth_yoy': 64.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 25.8}",319.79,382.0,263.0,14.0,hold,28.4,406.47,63.2,351.0,41.0,3.85,9.58,1.16,23.8,1.29,True,-0.3,33.8,21.8,27.0,2026-07-31,False,False,8.0,STRONG,6.35,70.3,0.31,,,,,,6.699999999999999,0.0,6.9,21.8,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",HIGH_FLOAT,104.2,27.0,28.7,15.0,False,down,11.9,0.0,True,1.0,True,2.0,5.0,19,29.0,37.9,Bajo 50%,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,59.22999999999999,0.0,3.0,0.0,3.0,5.0,0.04,-3.22,0.0,1.0,0.0,3.55,0.0,10.0,23,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,30,0.2297,BAJA,7.27,41.0,-23.7,,🔵 DECENT,🟡 Good,,,,,,,
CTAS,64.96875,Excellent,Stage Unknown,11.838579538325552,14.7,Cintas Corporation,66.7,Industrials,Specialty Business Services,90.0,50.0,36.0,90.0,65.0,181.37,72572829696.0,15.0,17.0,False,flat,12.1,True,1.0,6.5,False,0.0,4.0,5.4,False,226.75,-20.0,2.0,False,"{'roe_pct': 41.3, 'debt_to_equity': 0.61, 'current_ratio': 1.98, 'operating_margin_pct': 23.2}","{'eps_growth_yoy': 12.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.6}",208.69,245.0,160.0,16.0,buy,15.1,73.4,-59.5,47.3,-73.9,2.08,3.77,0.99,36.7,0.9,True,-1.64,24.3,6.8,11.0,2026-07-15,False,True,8.0,STRONG,3.14,64.5,3.44,BULLISH,0.0,50.0,1.0,0.0,29.4,26.0,4.4,20.0,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 58% up volume)",MEGA_FLOAT,342.1,23.0,50.4,15.0,False,flat,17.0,0.0,True,1.0,False,0.0,2.0,21,29.0,31.0,Bajo 50%,22.2,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,59.014999999999986,8.0,0.0,0.0,3.0,3.0,-0.45,-1.75,1.0,2.0,0.0,1.89,2.0,10.0,91,0,,-8,RELIABLE/AVOID (-8),CAUTION,-6.0,45,0.147,BAJA,31.654375,-59.5,81.8,ALTA,🔵 DECENT,🟡 Good,,,,,,,
MKC,0.0,,,,5.5,"McCormick & Company, Incorporat",53.8,Consumer Defensive,Packaged Foods,55.0,70.0,24.0,60.0,60.0,53.45,14370115584.0,15.0,19.0,False,flat,-33.4,False,0.0,12.3,True,1.0,,0.0,False,74.95,-28.7,1.0,False,"{'roe_pct': 24.7, 'debt_to_equity': 0.65, 'current_ratio': 0.78, 'operating_margin_pct': 17.4}","{'eps_growth_yoy': -33.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.9}",60.23,75.0,51.0,13.0,buy,12.7,41.35,-22.6,60.1,12.4,4.97,2.81,3.59,30.9,2.11,True,-0.19,5.5,-9.9,94.0,2026-10-06,False,False,6.0,NEUTRAL,5.67,66.6,,,,,,,0.0,0.0,1.6,16.1,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 59% up volume)",MEGA_FLOAT,265.4,23.0,17.8,15.0,False,flat,19.0,0.0,False,0.0,True,1.0,2.0,18,29.0,41.4,Bajo 50%,26.6,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,58.59499999999999,0.0,3.0,5.0,3.0,0.0,-1.63,-2.25,0.0,1.0,-1.5,1.59,2.0,2.0,33,0,,-8,RELIABLE/AVOID (-8),REVISION_UP,13.0,8,0.0547,BAJA,0.0,12.4,17.8,,🔵 DECENT,🟡 Good,,,,,,,
