ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
MA,0.0,,,,38.5,Mastercard Incorporated,57.8,Financial Services,Credit Services,75.0,50.0,44.0,50.0,65.0,531.62,469730852864.0,35.0,27.1,False,flat,4.9,False,0.0,3.3,False,0.0,0.8,1.8,False,601.77,-11.7,3.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': 4.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",643.84,735.0,550.0,38.0,strong_buy,21.1,564.24,6.1,366.12,-31.1,3.44,18.41,0.65,18.2,0.54,True,-2.81,27.7,21.2,22.0,2026-07-30,False,False,9.0,STRONG,4.02,622.8,1.1,BULLISH,0.08,60.0,3.0,1.0,13.9,0.0,11.5,17.3,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 55% up volume)",MEGA_FLOAT,875.8,23.0,28.9,35.0,False,flat,27.1,0.0,False,0.0,False,0.0,0.0,11.0,29.0,65.5,Medio,36.3,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,96.0,0.0,0.0,3.0,0.0,3.0,5.0,-0.16,-0.48,0.0,0.0,0.0,2.64,2.0,10.0,22.0,0,,8,RELIABLE/BUY (+8),WATCH,9.0,44,0.3853,MEDIA,14.78,6.1,33.6,MEDIA,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,False,1,1.221,False,-11.26,14.45,-15.5,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
V,0.0,,,,58.7,Visa Inc.,71.1,Financial Services,Credit Services,85.0,70.0,46.7,85.0,60.0,352.2,669794172928.0,35.0,34.9,False,up,14.2,False,0.0,10.4,True,1.0,1.3,2.7,False,365.02,-3.5,3.0,False,"{'roe_pct': 60.3, 'debt_to_equity': 0.67, 'current_ratio': 1.09, 'operating_margin_pct': 67.3}","{'eps_growth_yoy': 14.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 51.7}",401.16,450.0,330.0,38.0,strong_buy,13.9,532.49,51.2,339.3,-3.7,3.11,12.56,0.75,22.0,0.7,True,-3.19,43.6,35.5,20.0,2026-07-28,False,True,6.0,NEUTRAL,3.94,381.9,0.67,BULLISH,0.08,100.0,10.0,5.0,29.9,0.0,17.6,21.3,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,1688.2,23.0,38.9,35.0,False,up,34.9,2.0,False,0.0,True,1.0,2.0,11.0,29.0,65.5,Medio,36.3,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,False,2/3,77.375,0.0,0.0,3.0,0.0,3.0,5.0,0.58,0.63,1.0,0.0,0.0,1.74,2.0,2.0,33.0,0,,3,MIXED/BUY (+3),WATCH,-3.0,44,0.587,ALTA,22.11,13.9,-9.8,,⭐⭐ STRONG,🟢 Excellent,,,,,,,,False,2,1.321,False,-3.51,20.09,-9.34,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
TEVA,0.0,,,,53.0,Teva Pharmaceutical Industries ,61.4,Healthcare,Drug Manufacturers - Specialty & Generic,85.0,30.0,68.3,55.0,65.0,34.65,40347398144.0,80.0,76.9,False,up,30.9,False,0.0,-4.7,False,0.0,2.9,5.6,False,37.35,-7.2,8.0,True,"{'roe_pct': 21.6, 'debt_to_equity': 2.06, 'current_ratio': 1.01, 'operating_margin_pct': 19.2}","{'eps_growth_yoy': 30.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.0}",40.9,50.0,33.0,10.0,strong_buy,18.0,95.11,174.5,39.6,14.3,6.47,2.24,,,2.95,False,,2.5,72.2,21.0,2026-07-29,False,True,8.0,STRONG,4.0,43.5,0.16,,,,,,47.3,0.0,15.9,18.4,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,1083.1,5.0,34.3,80.0,False,up,76.9,5.0,False,0.0,False,0.0,0.0,9.0,29.0,72.4,Medio,40.3,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,81.71000000000001,8.0,0.0,6.0,0.0,0.0,5.0,0.0,-0.9,0.0,0.0,0.0,2.25,2.0,10.0,81.0,1,Appaloosa (Tepper),8,RELIABLE/BUY (+8),,0.0,44,0.5301,ALTA,30.14,18.0,-76.4,,⭐⭐ STRONG,🟢 Excellent,HOLD,65.0,Close to ATH (-7.2% from high) - wait for pullback | Strong upside (+18.0%) - analyst support,-7.2,NEUTRAL,STRONG_BUY,False,True,3,1.021,False,-7.23,131.15,2.47,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
ASAZY,0.0,,,,33.2,Assa Abloy AB,57.0,Industrials,Security & Protection Services,90.0,30.0,36.0,65.0,55.0,17.51,38899388416.0,15.0,5.3,False,down,44.4,False,0.0,-5.8,False,0.0,,,False,21.98,-20.3,2.0,False,"{'roe_pct': 15.0, 'debt_to_equity': 0.61, 'current_ratio': 1.0}","{'eps_growth_yoy': 44.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.5}",21.88,21.88,21.88,1.0,none,25.0,347.64,1885.4,21.6,23.4,44.39,8.2,1.86,41.6,1.7,False,,,22.2,9.0,2026-07-17,False,True,8.0,STRONG,,118.2,0.44,,,,,,0.0,0.0,10.0,17.1,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 55% up volume)",MEGA_FLOAT,1999.6,23.0,27.1,15.0,False,down,5.3,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,5.3,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,76.46,5.0,0.0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,10.0,,0,,8,RELIABLE/BUY (+8),BEST,8.0,44,0.3323,MEDIA,0.0,25.0,-929.4,,⭐ GOOD,🟢 Excellent,,,,,,,,False,1,0.817,False,-19.67,14.73,-18.0,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
CME,0.0,,,,28.7,CME Group Inc.,70.2,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,27.0,85.0,65.0,240.75,86988455936.0,15.0,15.2,False,down,12.6,False,0.0,11.1,True,2.0,1.6,1.5,False,329.16,-26.9,1.0,False,"{'roe_pct': 15.9, 'debt_to_equity': 0.14, 'current_ratio': 1.02, 'operating_margin_pct': 69.8}","{'eps_growth_yoy': 12.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 63.3}",297.8,353.0,230.0,15.0,buy,23.7,257.99,7.2,255.81,6.3,3.48,8.39,2.22,95.6,3.54,True,-0.93,32.9,14.9,14.0,2026-07-22,False,True,6.0,NEUTRAL,6.22,101.4,0.88,BULLISH,0.0,60.0,2.0,0.0,5.0,0.0,8.6,21.1,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 39% up volume)",MEGA_FLOAT,357.3,30.0,29.7,15.0,False,down,15.2,0.0,False,0.0,True,2.0,2.0,19.0,29.0,37.9,Bajo 50%,27.0,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,58.515,0.0,0.0,3.0,-2.0,3.0,3.0,-1.59,-2.51,0.0,2.0,-1.5,2.96,2.0,2.0,20.0,0,,-8,RELIABLE/AVOID (-8),WATCH,6.0,37,0.2874,BAJA,0.0,7.2,17.0,,⭐ GOOD,🟢 Excellent,,,,,,,,False,1,1.082,False,-24.72,10.28,-19.22,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
THC,0.0,,,,25.1,Tenet Healthcare Corporation,74.0,Healthcare,Medical Care Facilities,100.0,70.0,44.0,75.0,65.0,208.82,17987129344.0,35.0,45.1,False,up,143.8,True,1.0,9.7,True,2.0,5.5,2.7,False,247.21,-15.5,4.0,False,"{'roe_pct': 30.3, 'debt_to_equity': 1.49, 'current_ratio': 1.36, 'operating_margin_pct': 17.9}","{'eps_growth_yoy': 143.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 7.9}",244.57,288.0,210.0,21.0,strong_buy,17.1,1507.22,621.8,584.4,179.9,17.02,35.54,,,2.75,True,-7.54,4.9,87.6,16.0,2026-07-24,False,True,6.0,NEUTRAL,11.22,33.4,0.13,,,,,,22.7,0.0,7.5,22.2,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",HIGH_FLOAT,85.1,20.0,29.7,35.0,False,up,45.1,2.0,True,1.0,True,2.0,5.0,1.0,29.0,100.0,Top 10%,72.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,52.855,8.0,0.0,8.0,0.0,3.0,5.0,0.57,0.0,1.0,0.0,0.0,2.14,2.0,2.0,35.0,1,Appaloosa (Tepper),-8,RELIABLE/AVOID (-8),,0.0,44,0.2505,BAJA,7.4,179.9,-383.7,,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.789,False,-15.53,42.44,-8.43,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
TMO,0.0,,,,39.1,Thermo Fisher Scientific Inc,57.1,Healthcare,Diagnostics & Research,70.0,50.0,32.0,75.0,60.0,516.62,191987089408.0,35.0,28.7,False,up,2.1,False,0.0,1.4,False,0.0,1.2,1.8,False,643.99,-19.8,3.0,False,"{'roe_pct': 13.5, 'debt_to_equity': 0.83, 'current_ratio': 1.53, 'operating_margin_pct': 17.9}","{'eps_growth_yoy': 2.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.2}",590.77,750.0,490.0,26.0,buy,14.4,308.77,-40.2,204.87,-60.3,2.88,14.86,0.36,9.7,0.26,True,-2.08,6.0,11.3,15.0,2026-07-23,False,True,5.0,NEUTRAL,3.76,36.2,1.68,BULLISH,0.0,60.0,1.0,0.0,12.9,0.0,11.7,17.1,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",MEGA_FLOAT,370.7,23.0,28.9,35.0,False,up,28.7,2.0,False,0.0,False,0.0,0.0,17.0,29.0,44.8,Bajo 50%,28.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,2/3,62.795,8.0,0.0,0.0,0.0,3.0,3.0,-0.92,-1.99,0.0,1.0,0.0,1.8,2.0,0.0,96.0,0,,2,RELIABLE/WATCH (+2),,0.0,43,0.3906,MEDIA,5.710000000000001,-40.2,64.6,ALTA,⭐ GOOD,🟡 Good,,,,,,,,False,1,1.115,False,-19.62,28.55,-24.61,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
NDAQ,0.0,,,,56.1,"Nasdaq, Inc.",58.3,Financial Services,Financial Data & Stock Exchanges,85.0,50.0,24.0,60.0,65.0,86.43,48879689728.0,15.0,24.0,False,down,14.8,False,0.0,2.2,False,0.0,2.3,2.8,False,101.79,-15.1,2.0,False,"{'roe_pct': 16.2, 'debt_to_equity': 0.79, 'current_ratio': 1.0, 'operating_margin_pct': 48.4}","{'eps_growth_yoy': 14.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}",106.13,120.0,82.0,15.0,buy,22.8,116.95,35.3,102.0,18.0,3.19,2.76,1.33,32.5,1.28,True,-2.15,7.8,33.8,15.0,2026-07-23,False,True,9.0,STRONG,4.32,205.3,0.58,,,,,,4.299999999999997,0.0,16.8,17.5,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEGA_FLOAT,503.0,25.0,34.3,15.0,False,down,24.0,0.0,False,0.0,False,0.0,0.0,19.0,29.0,37.9,Bajo 50%,27.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,52.625,0.0,0.0,3.0,0.0,3.0,5.0,0.0,-0.31,0.0,0.0,0.0,2.85,2.0,10.0,22.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,42,0.561,ALTA,0.0,22.8,-3.8,,⭐ GOOD,🟡 Good,,,,,,,,False,1,1.128,False,-14.52,12.91,-20.92,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
CBOE,0.0,,,,50.0,"Cboe Global Markets, Inc.",72.7,Financial Services,Financial Data & Stock Exchanges,100.0,70.0,27.0,95.0,55.0,258.64,27067656192.0,15.0,18.2,False,down,64.1,True,1.0,8.5,True,2.0,3.0,2.9,False,371.18,-30.3,3.0,False,"{'roe_pct': 25.1, 'debt_to_equity': 0.29, 'current_ratio': 1.39, 'operating_margin_pct': 39.7}","{'eps_growth_yoy': 64.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 25.8}",319.79,382.0,263.0,14.0,hold,23.6,406.47,57.2,351.3,35.8,3.71,9.58,1.18,23.8,1.29,True,-0.29,33.8,21.8,23.0,2026-07-31,False,False,8.0,STRONG,6.11,70.3,0.32,,,,,,9.2,0.0,,21.8,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",HIGH_FLOAT,104.2,27.0,31.2,15.0,False,down,18.2,0.0,True,1.0,True,2.0,5.0,19.0,29.0,37.9,Bajo 50%,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,52.08,0.0,0.0,3.0,0.0,3.0,5.0,0.04,-2.5,0.0,1.0,0.0,2.95,2.0,10.0,28.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,35,,,7.27,35.8,-22.9,,⭐ GOOD,🟡 Good,,,,,,,,False,2,1.031,False,-30.17,13.86,-6.24,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
KO,0.0,,,,6.2,Coca-Cola Company (The),66.0,Consumer Defensive,Beverages - Non-Alcoholic,85.0,40.0,62.4,80.0,60.0,84.05,361623650304.0,60.0,66.3,False,up,3.0,True,1.0,-0.5,True,1.0,1.2,3.1,False,85.68,-1.9,6.0,False,"{'roe_pct': 43.4, 'debt_to_equity': 1.25, 'current_ratio': 1.36, 'operating_margin_pct': 35.1}","{'eps_growth_yoy': 3.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.8}",85.97,92.0,71.38,24.0,buy,2.3,19.84,-76.4,58.6,-30.3,0.86,0.73,2.56,64.8,2.89,True,-0.24,11.1,18.2,20.0,2026-07-28,False,True,7.0,NEUTRAL,4.47,91.1,1.33,BULLISH,0.26,80.0,5.0,4.0,43.7,0.0,1.9,19.8,2026-07-08 06:40:54,2026-07-08,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",MEGA_FLOAT,3874.0,3.0,21.7,60.0,False,up,66.3,2.0,True,1.0,True,1.0,5.0,8.0,29.0,75.9,Top 25%,42.5,3.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,False,3/3,50.71000000000001,0.0,0.0,0.0,3.0,3.0,5.0,0.0,-0.1,0.0,0.0,0.0,0.29,-3.0,5.0,45.0,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,8.0,44,0.0623,BAJA,29.1,-30.3,55.6,ALTA,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-1.9% from high) - poor entry point,-1.9,NEUTRAL,BUY,False,True,3,1.279,False,-1.9,31.25,16.07,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
