ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
MCO,0.0,,,,29.6,Moody's Corporation,67.6,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,46.7,65.0,60.0,485.96,84159037440.0,35.0,32.0,False,up,35.9,True,2.0,8.9,False,0.0,2.1,3.1,False,546.88,-11.1,4.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",556.19,610.0,500.0,21.0,buy,14.5,631.57,30.0,486.9,0.2,3.06,14.89,0.87,25.0,0.8,False,,14.5,56.7,85.0,2026-10-21,False,False,8.0,STRONG,3.77,106.3,0.45,BULLISH,0.0,50.0,1.0,0.0,24.2,0.0,8.9,20.3,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",HIGH_FLOAT,158.5,20.0,29.2,35.0,False,up,32.0,2.0,True,2.0,False,0.0,5.0,13.0,29.0,58.6,Medio,34.5,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,90.0,0.0,3.0,0.0,0.0,5.0,1.27,3.67,3.0,0.0,1.5,1.81,2.0,10.0,63.0,1,Berkshire Hathaway (Buffett),2,RELIABLE/WATCH (+2),CONFIRM,4.0,46,0.2964,BAJA,15.76,14.5,-0.6,,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,False,1,1.175,False,-10.74,21.35,-14.35,sideways,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
VRSN,0.0,,,,42.8,"VeriSign, Inc.",61.0,Technology,Software - Infrastructure,75.0,60.0,47.6,50.0,65.0,274.82,24843728896.0,35.0,36.3,False,down,1.7,False,0.0,3.7,True,1.0,2.0,2.2,False,312.48,-12.1,5.0,False,"{'current_ratio': 0.59, 'operating_margin_pct': 68.2}","{'eps_growth_yoy': 1.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 49.8}",318.0,355.0,270.0,5.0,buy,15.7,165.22,-39.9,90.4,-67.1,3.35,9.21,1.16,34.3,,True,-3.62,15.5,7.7,86.0,2026-10-22,False,False,8.0,STRONG,4.39,512.5,3.25,BULLISH,0.36,70.0,1.0,1.0,21.1,0.0,12.8,18.3,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,83,200 MA declining - structural weakness,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 50% up volume)",HIGH_FLOAT,89.7,20.0,31.1,35.0,False,down,36.3,0.0,False,0.0,True,1.0,2.0,23.0,29.0,24.1,Bottom 25%,24.3,-3.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,False,2/3,79.53999999999999,5.0,3.0,0.0,3.0,3.0,1.53,1.92,1.0,0.0,1.5,1.96,2.0,10.0,18.0,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,19.0,46,0.4278,MEDIA,19.6,-39.9,69.2,ALTA,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,False,2,1.176,False,-12.05,32.42,2.69,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ICE,0.0,,,,46.4,Intercontinental Exchange Inc.,74.2,Financial Services,Financial Data & Stock Exchanges,100.0,80.0,32.0,75.0,65.0,148.73,0.0,35.0,27.3,False,down,66.0,True,2.0,12.4,True,2.0,1.8,1.8,False,189.35,-21.5,3.0,False,"{'roe_pct': 13.9, 'debt_to_equity': 0.71, 'current_ratio': 1.01, 'operating_margin_pct': 57.3}","{'eps_growth_yoy': 66.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.7}",181.93,240.0,159.0,15.0,strong_buy,22.3,,,210.3,41.4,,,1.43,28.5,1.23,False,,7.5,79.7,2.0,2026-07-30,True,False,8.0,STRONG,4.94,118.3,0.21,,,,,,14.200000000000005,0.0,13.9,22.3,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",MEGA_FLOAT,561.6,30.0,36.2,35.0,False,down,27.3,0.0,True,2.0,True,2.0,8.0,13.0,29.0,58.6,Medio,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,80.75,0.0,0.0,0.0,0.0,5.0,-0.22,-6.7,0.0,3.0,0.0,2.79,2.0,10.0,28.0,0,,8,RELIABLE/BUY (+8),WATCH,3.0,8,0.4641,ALTA,7.42,31.8,-19.1,,⭐⭐ STRONG,🟢 Excellent,,,,,,,,False,2,0.954,False,-20.45,22.12,-21.73,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
CME,0.0,,,,13.5,CME Group Inc.,73.0,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,44.0,85.0,60.0,255.36,91822161920.0,35.0,28.4,False,down,12.6,False,0.0,11.1,True,2.0,1.8,1.5,False,329.16,-22.4,3.0,False,"{'roe_pct': 15.8, 'debt_to_equity': 0.15, 'current_ratio': 1.02, 'operating_margin_pct': 65.0}","{'eps_growth_yoy': 12.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 63.4}",283.93,330.0,230.0,15.0,buy,11.2,119.04,-53.4,118.0,-53.8,3.17,8.09,2.04,95.4,3.54,True,-0.88,33.5,1.8,85.0,2026-10-21,False,False,6.0,NEUTRAL,5.89,101.4,7.89,BULLISH,0.0,50.0,1.0,0.0,7.0,0.0,4.0,21.9,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,354.5,30.0,25.9,35.0,False,down,28.4,0.0,False,0.0,True,2.0,2.0,13.0,29.0,58.6,Medio,34.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,1/3,65.375,0.0,3.0,-2.0,3.0,1.0,0.88,-6.17,1.0,4.0,0.0,1.4,2.0,2.0,21.0,0,,-5,MIXED/AVOID (-5),WATCH,10.0,43,0.1354,BAJA,7.3,-53.4,64.8,ALTA,⭐⭐ STRONG,🟢 Excellent,,,,,,,,False,2,0.936,False,-20.15,16.97,-14.73,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
ATLKY,0.0,,,,24.6,Atlas Copco AB,68.8,Industrials,Specialty Industrial Machinery,80.0,60.0,56.7,80.0,65.0,20.9,101963169792.0,60.0,61.4,False,up,8.2,True,1.0,9.1,True,1.0,,,False,22.05,-5.2,7.0,True,"{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27}","{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}",26.0,26.0,26.0,1.0,strong_buy,24.4,142.15,580.1,5.6,-73.2,25.47,7.83,2.66,73.8,1.57,False,,126.5,4.0,,,False,False,6.0,NEUTRAL,,53.6,3.33,,,,,,38.0,0.0,7.4,20.6,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",MEGA_FLOAT,3947.5,10.0,28.0,60.0,False,up,61.4,2.0,True,1.0,True,1.0,5.0,5.0,29.0,86.2,Top 25%,51.1,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,2/3,77.0,5.0,8.0,3.0,0.0,1.0,0.0,1.96,1.0,0.0,0.0,3.05,0.0,2.0,,0,,8,RELIABLE/BUY (+8),BEST,5.0,43,0.2458,BAJA,26.38,24.4,-229.0,,⭐ GOOD,🟢 Excellent,,,,,,,,True,3,0.907,False,-3.79,43.58,-7.8,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
AON,0.0,,,,9.4,Aon plc,81.3,Financial Services,Insurance Brokers,100.0,90.0,53.9,80.0,60.0,367.17,78419050496.0,35.0,44.1,False,up,109.3,False,0.0,21.2,True,2.0,2.1,2.7,False,378.7,-3.0,4.0,False,"{'roe_pct': 46.4, 'debt_to_equity': 1.55, 'current_ratio': 1.07, 'operating_margin_pct': 35.8}","{'eps_growth_yoy': 109.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}",393.11,445.0,327.0,19.0,buy,7.1,597.35,62.7,501.62,36.6,4.26,15.65,0.91,16.4,0.76,True,-1.59,7.4,19.0,1.0,2026-07-29,True,False,8.0,STRONG,6.01,141.9,0.63,BULLISH,0.38,60.0,1.0,1.0,18.2,0.0,2.8,24.4,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,210.9,23.0,27.2,35.0,False,up,44.1,2.0,False,0.0,True,2.0,2.0,20.0,29.0,34.5,Bajo 50%,29.4,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,False,2/3,57.88999999999999,0.0,3.0,0.0,3.0,5.0,0.0,2.81,1.0,0.0,0.0,0.89,-3.0,10.0,11.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,46,0.0943,BAJA,23.13,36.6,-42.6,,⭐ GOOD,🟢 Excellent,,,,,,,,False,2,1.011,False,-2.79,20.86,1.38,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
NDAQ,0.0,,,,23.8,"Nasdaq, Inc.",72.6,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,46.7,75.0,65.0,93.94,52510334976.0,35.0,47.2,False,up,19.9,False,0.0,29.3,True,1.0,2.4,1.7,False,101.79,-7.7,4.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.78, 'current_ratio': 1.01, 'operating_margin_pct': 49.3}","{'eps_growth_yoy': 19.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.0}",110.07,135.0,84.0,15.0,buy,17.2,70.38,-25.1,49.21,-47.6,3.22,3.03,1.26,32.7,1.28,True,-2.48,8.3,14.1,86.0,2026-10-22,False,False,9.0,STRONG,4.08,205.3,1.43,,,,,,12.9,0.0,7.1,21.8,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,50,200 MA declining - structural weakness,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,496.4,23.0,28.9,35.0,False,up,47.2,2.0,False,0.0,True,1.0,2.0,13.0,29.0,58.6,Medio,34.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,57.72999999999999,0.0,3.0,0.0,3.0,3.0,3.32,3.71,2.0,1.0,3.0,2.15,2.0,10.0,32.0,0,,-8,RELIABLE/AVOID (-8),REVISION_UP,8.0,46,0.2382,BAJA,16.259999999999998,-25.1,53.6,ALTA,⭐ GOOD,🟢 Excellent,,,,,,,,False,2,1.116,False,-7.09,22.72,-11.62,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
DBOEY,0.0,,,,23.9,Deutsche Boerse AG,69.5,Financial Services,Financial Data & Stock Exchanges,85.0,60.0,52.4,80.0,65.0,29.96,54014181376.0,35.0,47.2,False,up,11.9,False,0.0,11.7,False,0.0,,,False,31.44,-4.7,6.0,False,"{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'eps_growth_yoy': 11.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3}",34.8,34.8,34.8,1.0,strong_buy,16.2,27.69,-7.6,18.5,-38.3,4.04,1.21,1.66,36.0,1.9,,,,6.9,84.0,2026-10-20,False,False,5.0,NEUTRAL,5.19,66.8,1.42,,,,,,37.0,0.0,7.2,20.8,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 60% up volume)",MEGA_FLOAT,1802.8,3.0,28.0,35.0,False,up,47.2,2.0,False,0.0,False,0.0,0.0,13.0,29.0,58.6,Medio,34.5,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,False,3/3,73.245,0.0,3.0,3.0,0.0,3.0,0.07,0.16,2.0,1.0,0.0,2.02,2.0,0.0,42.0,0,,8,RELIABLE/BUY (+8),BEST,9.0,42,0.2388,BAJA,29.45,-7.6,39.2,MEDIA,⭐ GOOD,🟢 Excellent,,,,,,,,True,3,1.084,False,-3.02,31.14,13.25,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
JKHY,0.0,,,,39.0,"Jack Henry & Associates, Inc.",61.6,Technology,Information Technology Services,65.0,60.0,32.0,95.0,65.0,152.98,10869348352.0,35.0,36.0,False,up,-3.7,True,1.0,3.4,True,1.0,7.9,2.8,False,193.39,-20.9,2.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 0.06, 'current_ratio': 1.74, 'operating_margin_pct': 24.4}","{'eps_growth_yoy': -3.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.6}",185.71,208.0,158.0,14.0,buy,21.4,114.65,-25.1,89.38,-41.6,3.44,5.26,1.58,32.8,1.22,True,-2.62,123.3,12.5,21.0,2026-08-18,False,True,9.0,STRONG,5.43,162.7,1.72,,,,,,10.2,0.0,11.7,18.5,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,95,"Strong institutional buying (2.1x ratio, 66% up volume)",HIGH_FLOAT,70.6,20.0,30.2,35.0,False,up,36.0,2.0,True,1.0,True,1.0,5.0,28.0,29.0,6.9,Bottom 25%,14.4,-3.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,56.99000000000001,5.0,3.0,3.0,3.0,3.0,0.78,-0.48,1.0,1.0,0.0,2.68,2.0,10.0,16.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,25,0.3899,MEDIA,0.0,-25.1,54.8,ALTA,⭐ GOOD,🟡 Good,,,,,,,,False,1,1.081,False,-20.25,26.39,-22.96,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
MA,0.0,,,,21.5,Mastercard Incorporated,58.3,Financial Services,Credit Services,75.0,50.0,46.7,50.0,65.0,551.71,0.0,35.0,38.9,False,up,4.9,False,0.0,3.3,False,0.0,1.0,2.3,False,601.77,-8.3,3.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': 4.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",644.05,735.0,550.0,38.0,strong_buy,16.7,,,366.12,-33.6,,,0.64,18.2,0.54,False,,27.7,21.2,2.0,2026-07-30,True,False,9.0,STRONG,3.87,622.8,1.14,BULLISH,0.15,80.0,3.0,1.0,10.9,0.0,6.5,17.5,2026-07-28 06:37:34,2026-07-28,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 57% up volume)",MEGA_FLOAT,875.8,23.0,23.9,35.0,False,up,38.9,2.0,False,0.0,False,0.0,0.0,9.0,29.0,72.4,Medio,39.3,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,69.39500000000001,0.0,0.0,0.0,0.0,5.0,0.03,-0.13,0.0,0.0,0.0,2.09,2.0,10.0,33.0,0,,8,RELIABLE/BUY (+8),CAUTION,-11.0,40,0.2151,BAJA,14.83,-8.5,50.3,ALTA,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.973,False,-7.75,18.97,-2.29,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
