ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
DB1.DE,DEUTSCHE BOERSE AG            N,73.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,85.0,60.0,74.5,80.0,60.0,,,,,11.9,False,0,11.7,False,0,"{'eps_growth_yoy': 11.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': 11.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 5.3, 'rs_6m': 22.6}","{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.9}",265.3,47830315008,Financial Services,Financial Data & Stock Exchanges,,,False,270.5,-1.9,7,True,288.83,312.0,240.0,12,buy,8.9,276.91,4.4,158.78,-40.2,4.56,12.1,1.6,36.2,4.2,1.87,,,,13.7,78,2026-10-20,False,False,5,NEUTRAL,5.85,66.8,1.45,24.4,,,,2026-08-03T11:41:08.412072,DAX40,70.4,3.0,5.0,0.0,3.0,1.11,0.0,15.0,CONFIRMED_UPTREND
EXPN.L,EXPERIAN PLC ORD USD0.10,56.6,⭐ AVERAGE,🟡 Average,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (676,940,251) se aparta del derivado de flujo operativo menos capex (937,285",55.0,50.0,54.5,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': 1.5, 'rs_6m': -5.4}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 31.2}",2826.0,24978210816,Industrials,Consulting Services,,,False,3987.0,-29.1,1,False,3708.25,4694.82,2354.66,18,strong_buy,31.2,,,,,2.71,0.77,1.86,39.8,0.52,1.4,,,,23.1,107,2026-11-18,False,False,9,STRONG,7.17,646.3,0.72,37.8,,,,2026-08-03T11:41:58.674115,FTSE100,65.6,0.0,5.0,0.0,5.0,3.9,3.0,15.0,CONFIRMED_UPTREND
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,54.6,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,60.5,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': 8.3, 'rs_6m': 5.7}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.6}",994.8489,8929108992,Technology,Software - Application,,,False,1211.0,-17.8,3,False,1100.21,1349.0,850.0,19,buy,10.6,,,,,7.08,0.7,2.31,55.0,0.22,2.1,,,,14.3,108,2026-11-19,False,False,6,NEUTRAL,5.13,374.3,1.21,49.1,,,,2026-08-03T11:42:40.008882,FTSE100,62.8,6.0,5.0,0.0,3.0,1.32,0.0,15.0,CONFIRMED_UPTREND
G24.DE,Scout24 SE                    N,72.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,54.5,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': 37.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': 14.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 4.7, 'rs_6m': -6.2}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 39.2}",75.65,5349626368,Communication Services,Internet Content & Information,,,False,121.6,-37.8,1,False,105.28,140.0,80.0,18,buy,39.2,158.18,109.1,108.3,43.2,4.93,3.73,2.02,36.6,1.5,1.51,,,44.1,40.6,3,2026-08-06,True,False,6,NEUTRAL,5.09,635.9,0.39,41.6,,,,2026-08-03T11:42:04.937135,DAX40,60.1,3.0,5.0,0.0,5.0,4.9,3.0,8.0,CONFIRMED_UPTREND
SAP.DE,SAP SE                        I,68.4,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,75.0,60.0,54.5,90.0,65.0,,,,,8.8,False,0,8.8,True,1,"{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 8.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 4.9, 'rs_6m': -8.3}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 22.3}",164.74,190143627264,Technology,Software - Application,,,False,257.7,-36.1,1,False,201.55,290.0,154.99,25,strong_buy,22.3,334.01,102.7,200.7,21.8,4.78,7.88,1.59,37.4,2.5,1.46,True,-1.53,20.7,30.6,79,2026-10-21,False,False,8,STRONG,5.95,146.7,0.64,57.0,,,,2026-08-03T11:42:07.413693,DAX40,56.4,3.0,5.0,3.0,5.0,2.79,1.0,0.0,CONFIRMED_UPTREND
ATCO-B.ST,Atlas Copco AB ser. B,71.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,False,0.3199,"acciones × precio no cuadra con la capitalización (ratio 0.3199): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",80.0,60.0,66.5,90.0,55.0,,,,,8.2,True,1,9.1,True,1,"{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}","{'revenue_growth_yoy': 9.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 10.2, 'rs_6m': 2.5}","{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 26.6}",177.7,866930851840,Industrials,Specialty Industrial Machinery,,,False,183.45,-3.1,7,True,225.0,225.0,225.0,1,none,26.6,,,,,3.0,16.64,1.71,54.9,3.0,1.62,False,,126.5,4.0,80,2026-10-22,False,False,6,NEUTRAL,3.93,53.6,3.02,29.5,,,,2026-08-03T11:41:56.589493,OMXSTO,55.5,3.0,5.0,0.0,1.0,3.32,3.0,0.0,CONFIRMED_UPTREND
WKL.AS,WOLTERS KLUWER,57.1,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (985,500,032) se aparta del derivado de flujo operativo menos capex (1,363,000,000)",60.0,50.0,60.5,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': 12.5, 'rs_6m': -4.6}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 32.0}",69.46,15473777664,Industrials,Specialty Business Services,,,False,134.15,-48.2,1,False,91.7,154.0,50.0,15,buy,32.0,187.61,170.1,169.2,143.6,6.37,4.42,3.71,43.1,2.52,1.85,,,,36.9,2,2026-08-05,True,False,7,NEUTRAL,9.11,668.9,0.3,54.0,,,,2026-08-03T11:40:59.553633,AEX25,54.8,6.0,8.0,0.0,5.0,4.0,3.0,0.0,CONFIRMED_UPTREND
AMS.MC,"AMADEUS IT GROUP, S.A.",55.4,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (2,912,250,112) se aparta del derivado de flujo operativo menos capex (1,380,799,936)",50.0,50.0,54.5,70.0,65.0,,,,,-4.7,False,0,1.0,False,0,"{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 6.5, 'rs_6m': -3.6}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.2}",55.02,23586359296,Technology,Information Technology Services,,,False,73.28,-24.9,3,False,67.26,80.9,50.0,21,buy,22.2,99.96,81.7,30.3,-44.9,12.35,6.79,2.89,50.8,1.54,1.73,True,-6.12,20.4,-2.6,95,2026-11-06,False,False,7,NEUTRAL,7.19,473.7,,34.2,,,,2026-08-03T11:41:41.604245,IBEX35,54.2,8.0,5.0,3.0,0.0,2.78,1.0,0.0,CONFIRMED_UPTREND
RACE.MI,FERRARI,81.9,🏆 ELITE,🟢 Elite,EUR,EUR,False,True,True,1.0,"FCF declarado (1,001,413,632) se aparta del derivado de flujo operativo menos capex (1,463,988,912)",100.0,70.0,74.5,90.0,60.0,,,,,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 16.7, 'rs_6m': 13.3}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.8}",348.55,61267001344,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-19.2,4,False,382.77,430.0,330.0,19,buy,9.8,112.77,-67.6,93.73,-73.1,1.63,5.7,1.06,39.0,3.62,0.67,True,-1.3,63.9,10.1,91,2026-11-03,False,False,9,STRONG,3.42,46.9,3.16,30.6,,,,2026-08-03T11:42:09.588592,FTSEMIB,53.8,0.0,0.0,3.0,3.0,1.23,0.0,0.0,CONFIRMED_UPTREND
RMV.L,RIGHTMOVE PLC ORD 0.1P,61.9,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,54.5,100.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 49.7},{},"{'rs_3m': 5.4, 'rs_6m': -7.7}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 16.7}",473.0,3496280064,Communication Services,Internet Content & Information,,,False,827.0,-42.8,1,False,552.11,765.0,420.0,18,hold,16.7,,,,,5.53,0.26,2.32,37.2,0.11,1.54,,,,1.7,207,2027-02-26,False,False,6,NEUTRAL,8.36,637.5,3.21,39.2,,,,2026-08-03T11:42:37.443723,FTSE100,52.8,6.0,5.0,0.0,1.0,2.09,1.0,0.0,CONFIRMED_UPTREND
