ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes
MSFT,0.0,,,,45.8,Microsoft Corporation,77.6,Technology,Software - Infrastructure,100.0,70.0,46.7,95.0,65.0,464.72,3450799652864.0,35.0,38.2,False,up,28.9,True,1.0,15.9,True,1.0,1.2,2.0,False,553.72,-16.1,4.0,False,"{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'eps_growth_yoy': 28.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3}",563.05,870.0,400.0,54.0,strong_buy,21.2,93.45,-79.9,538.2,15.8,0.47,2.2,0.78,19.8,0.79,True,-0.65,55.4,31.7,86.0,2026-10-28,False,False,6.0,NEUTRAL,4.82,44.9,0.63,BULLISH,0.14,100.0,26.0,15.0,29.0,0.0,13.7,23.3,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,7414.5,23.0,37.0,35.0,False,up,38.2,2.0,True,1.0,True,1.0,5.0,6,29.0,82.8,Top 25%,49.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,2/3,90.82999999999998,0.0,0.0,0.0,3.0,5.0,1.13,0.34,1.0,0.0,1.5,15.8,53.2,ALTA,2.65,2.0,2.0,58,1,Pershing Square (Ackman),3,MIXED/BUY (+3),CONFIRM,13.0,0,0.4579,MEDIA,7.759999999999999,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,SENTIMIENTO,"MSFT cayó desde máximos por temor generalizado del mercado (no específico de la empresa) al ROI del capex en IA de las grandes tecnológicas entre finales de 2025 y mediados de 2026, mientras que los resultados de Q4 FY2026 (julio 2026) batieron expectativas con Azure creciendo 31.6% y guía de capex ",https://www.financemagnates.com/trending/why-microsoft-stock-is-down-msft-share-tests-15-month-low-but-2025-price-predictions-remain-bullish/ | https://www.ebc.com/forex/microsoft-stock-dropping-why-is-msft-falling-after-recent-highs | https://www.tradingkey.com/news/market-movers/261941676-market-movers-msft-20260602 | https://www.fool.com/investing/2026/04/07/microsoft-stock-is-down-30-from-its-
MCO,0.0,,,,47.6,Moody's Corporation,68.1,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,46.7,65.0,65.0,478.38,82846326784.0,35.0,25.0,False,up,35.9,True,2.0,8.9,False,0.0,2.1,3.1,False,546.88,-12.5,4.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",558.81,610.0,500.0,21.0,buy,16.8,631.57,32.0,472.2,-1.3,3.11,14.89,0.86,25.0,0.81,False,,14.5,56.7,79.0,2026-10-21,False,False,8.0,STRONG,3.83,106.3,0.45,,,,,,24.700000000000003,0.0,14.3,20.4,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",HIGH_FLOAT,158.5,20.0,34.7,35.0,False,up,25.0,2.0,True,2.0,False,0.0,5.0,15,29.0,51.7,Medio,34.6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,71.62,0.0,3.0,0.0,0.0,5.0,0.47,4.16,3.0,0.0,0.0,16.8,1.5,,2.1,2.0,10.0,59,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,8.0,45,0.4757,MEDIA,15.809999999999999,⭐⭐ STRONG,🟢 Excellent,,,,,,,,SENTIMIENTO,"En Q3 2025 Moody's reportó ingresos +11% y BPA ajustado +22% con guidance elevado, señal de negocio sólido; la caída desde el máximo de 52 semanas (enero 2026, ~$537) coincide con recortes de precio objetivo de JPMorgan, Barclays y Mizuho y ventas de acciones de ejecutivos, sin evidencia de deterior",https://public.com/stocks/mco/earnings | https://quartr.com/companies/moody-s-corporation_6252 | https://www.marketreportanalytics.com/companies/MCO | https://www.marketbeat.com/instant-alerts/moodys-mco-projected-to-post-quarterly-earnings-on-wednesday-2025-10-15
ADP,0.0,,,,10.5,"Automatic Data Processing, Inc.",79.1,Technology,Software - Application,100.0,80.0,56.6,85.0,50.0,266.46,105997787136.0,35.0,40.9,False,up,49.3,True,1.0,15.8,True,2.0,4.0,5.0,False,310.08,-14.1,5.0,False,"{'roe_pct': 72.2, 'debt_to_equity': 0.9, 'current_ratio': 1.05, 'operating_margin_pct': 23.1}","{'eps_growth_yoy': 49.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}",286.67,322.0,225.0,15.0,hold,7.6,264.46,-0.8,109.5,-58.9,5.03,13.41,2.55,60.7,2.04,True,-1.69,14.2,4.0,86.0,2026-10-28,False,False,8.0,STRONG,5.38,192.0,1.99,NEUTRAL,1.67,60.0,1.0,2.0,14.899999999999999,0.0,3.1,23.7,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,396.9,25.0,26.9,35.0,False,up,40.9,2.0,True,1.0,True,2.0,5.0,22,29.0,27.6,Bajo 50%,23.8,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,1/3,67.16499999999999,0.0,6.0,3.0,3.0,1.0,11.31,16.0,2.0,0.0,3.0,-0.8,37.4,MEDIA,0.95,-3.0,10.0,11,0,,0,MIXED/WATCH (0),REVISION_UP,11.0,45,0.1048,BAJA,21.41,⭐ GOOD,🟢 Excellent,,,,,,,,CICLICO,"Desde octubre 2025 (1T FY26) ADP viene batiendo expectativas de ingresos/EPS y elevando guía (hasta 3T FY26 con EPS guidance $11.01-$11.11 y buyback de $6.000M), pero la acción cae por la desaceleración del mercado laboral estadounidense (Pays Per Control cerca de 0%) y un re-rating de múltiplos ant",https://www.tipranks.com/stocks/adp/earnings | https://public.com/stocks/adp/earnings | https://s205.q4cdn.com/887941133/files/doc_financials/2025/q4/ADP-4Q25-Earnings-Release.pdf | https://www.stockinsights.ai/us/ADP/earnings-transcript/fy25-q3-ef34
ATLKY,0.0,,,,24.7,Atlas Copco AB,68.8,Industrials,Specialty Industrial Machinery,80.0,60.0,56.7,80.0,65.0,21.25,103670685696.0,60.0,63.5,False,up,8.2,True,1.0,9.1,True,1.0,,,False,22.05,-3.6,7.0,True,"{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27}","{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}",26.0,26.0,26.0,1.0,strong_buy,22.4,,,,,2.63,0.82,2.63,73.8,1.57,False,,126.5,4.0,,,False,False,6.0,NEUTRAL,,53.6,3.35,,,,,,45.0,0.0,7.4,20.6,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.8x ratio, 45% up volume)",MEGA_FLOAT,3947.5,5.0,28.0,60.0,False,up,63.5,2.0,True,1.0,True,1.0,5.0,4,29.0,89.7,Top 25%,56.3,3.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,False,2/3,63.004999999999995,5.0,0.0,3.0,0.0,1.0,0.0,1.96,1.0,0.0,0.0,,,,2.8,2.0,2.0,,0,,8,RELIABLE/BUY (+8),BEST,5.0,41,0.2471,BAJA,32.379999999999995,⭐ GOOD,🟡 Good,AVOID,35.0,Near ATH (-3.6% from high) - poor entry point | Elevated P/E (37.3) - watch valuation | Strong upside (+22.4%) - analyst support,-3.6,NEUTRAL,STRONG_BUY,False,,,
NDAQ,0.0,,,,42.6,"Nasdaq, Inc.",72.0,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,44.0,75.0,65.0,94.19,52650078208.0,35.0,45.1,False,up,19.9,False,0.0,29.3,True,1.0,2.4,1.7,False,101.79,-7.5,5.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.78, 'current_ratio': 1.01, 'operating_margin_pct': 49.3}","{'eps_growth_yoy': 19.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.0}",110.07,135.0,84.0,15.0,buy,16.9,70.38,-25.3,48.36,-48.7,3.21,3.03,1.23,32.7,1.28,True,-2.48,8.3,14.1,80.0,2026-10-22,False,False,9.0,STRONG,4.07,205.3,1.44,,,,,,36.4,0.0,12.8,21.6,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,True,66,Passes Minervini Template (4/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,496.5,8.0,34.4,35.0,False,up,45.1,2.0,False,0.0,True,1.0,2.0,15,29.0,51.7,Medio,34.6,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,61.43000000000001,0.0,3.0,0.0,3.0,3.0,0.0,3.71,1.0,0.0,0.0,-25.3,53.9,ALTA,2.11,2.0,10.0,27,0,,8,RELIABLE/BUY (+8),WATCH,3.0,45,0.4258,BAJA,20.7,⭐ GOOD,🟡 Good,,,,,,,,,,
MA,0.0,,,,58.0,Mastercard Incorporated,69.8,Financial Services,Credit Services,95.0,60.0,50.3,65.0,65.0,573.1,502041247744.0,35.0,45.6,False,up,11.7,True,1.0,7.8,True,1.0,1.0,2.3,False,601.77,-4.8,3.0,False,"{'roe_pct': 241.2, 'debt_to_equity': 4.4, 'current_ratio': 1.06, 'operating_margin_pct': 61.1}","{'eps_growth_yoy': 11.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 46.3}",660.34,735.0,550.0,38.0,strong_buy,15.2,618.54,7.9,401.56,-29.9,3.38,19.51,0.61,17.9,0.54,True,-3.15,28.0,22.1,87.0,2026-10-29,False,False,9.0,STRONG,3.75,622.8,1.13,BEARISH,3.33,50.0,1.0,1.0,19.299999999999997,0.0,17.4,20.9,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.5x ratio, 58% up volume)",MEGA_FLOAT,868.2,23.0,38.3,35.0,False,up,45.6,2.0,True,1.0,True,1.0,5.0,12,29.0,62.1,Medio,39.9,0.0,0.0,5.0,0.0,-8.0,0.0,0.0,0.0,False,2/3,61.31999999999999,0.0,3.0,0.0,3.0,5.0,2.53,2.6,2.0,0.0,1.5,7.9,26.2,MEDIA,1.9,2.0,10.0,35,0,,-8,RELIABLE/AVOID (-8),REVISION_UP,11.0,42,0.5801,ALTA,21.98,⭐ GOOD,🟡 Good,,,,,,,,,,
AXP,0.0,,,,35.5,American Express Company,64.1,Financial Services,Credit Services,70.0,60.0,46.7,85.0,60.0,336.25,227072933888.0,35.0,31.6,False,up,7.2,False,0.0,6.6,True,1.0,2.2,3.4,False,387.49,-13.2,3.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",374.54,450.0,315.0,25.0,buy,11.4,486.59,44.7,181.28,-46.1,7.05,23.7,1.13,21.5,1.1,True,-3.29,,7.7,81.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.52,,,,,,13.899999999999999,0.0,10.7,19.2,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",MEGA_FLOAT,522.2,23.0,29.9,35.0,False,up,31.6,2.0,False,0.0,True,1.0,2.0,12,29.0,62.1,Medio,39.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,60.41499999999999,0.0,6.0,0.0,3.0,3.0,0.1,2.17,1.0,0.0,0.0,11.4,12.1,,1.42,2.0,0.0,,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,8.0,45,0.3548,BAJA,15.41,⭐ GOOD,🟡 Good,,,,,,,,SENTIMIENTO,"En 2025 Amex logró resultados récord (ingresos ~72.200M$, +10%; EPS Q3 batiendo estimados con guía elevada; ROE 32.5%), sin señales de deterioro del negocio. La caída bursátil de inicios de 2026 coincidió con un desplome sectorial generalizado (Capital One, Citigroup, Visa y Mastercard también cayer",https://finance.yahoo.com/news/american-express-q3-earnings-beat-154700084.html | https://www.panabee.com/news/american-express-earnings-q3-2025 | https://www.theglobeandmail.com/investing/markets/stocks/AXP-N/pressreleases/35547082/american-express-reports-strong-q3-2025-results/ | https://finance.yahoo.com/news/american-express-axp-q3-earnings-121002180.html
CNI,0.0,,,,13.3,Canadian National Railway Compa,74.1,Industrials,Railroads,85.0,70.0,80.3,60.0,60.0,127.21,76949323776.0,80.0,82.0,False,up,9.7,True,1.0,14.1,True,1.0,,2.0,False,131.55,-3.3,8.0,True,"{'roe_pct': 22.0, 'debt_to_equity': 1.04, 'current_ratio': 0.87, 'operating_margin_pct': 40.3}","{'eps_growth_yoy': 9.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 26.9}",138.62,151.43,113.32,13.0,buy,9.0,70.81,-44.3,56.61,-55.5,2.8,3.56,2.04,46.3,2.04,True,-3.91,7.8,7.1,88.0,2026-10-30,False,False,7.0,NEUTRAL,7.23,14.5,1.95,,,,,,53.2,0.0,4.0,22.2,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.9x ratio, 64% up volume)",MEGA_FLOAT,603.2,3.0,26.2,80.0,False,up,82.0,5.0,True,1.0,True,1.0,5.0,2,29.0,96.6,Top 10%,71.0,5.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,False,3/3,58.10499999999999,5.0,0.0,3.0,3.0,3.0,1.17,16.52,7.0,0.0,1.5,-44.3,58.9,ALTA,1.12,0.0,5.0,61,0,,3,MIXED/BUY (+3),REVISION_UP,11.0,45,0.1332,BAJA,37.41,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-3.3% from high) - poor entry point,-3.3,NEUTRAL,BUY,False,,,
ASAZY,0.0,,,,11.6,Assa Abloy AB,66.0,Industrials,Security & Protection Services,90.0,60.0,44.0,65.0,55.0,18.5,41098723328.0,35.0,25.0,False,flat,15.9,True,1.0,3.3,True,1.0,,,False,21.98,-15.8,4.0,False,"{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01}","{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}",21.74,21.74,21.74,1.0,hold,17.5,,,,,4.69,0.92,1.78,41.9,1.7,False,,,8.0,85.0,2026-10-27,False,False,8.0,STRONG,,118.2,1.3,,,,,,5.300000000000001,0.0,3.5,19.8,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 55% up volume)",MEGA_FLOAT,1999.6,23.0,23.3,35.0,False,flat,25.0,0.0,True,1.0,True,1.0,5.0,,29.0,,Sin datos suficientes,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,57.980000000000004,5.0,3.0,3.0,0.0,3.0,0.0,-0.62,0.0,1.0,0.0,,,,2.19,2.0,10.0,,0,,3,MIXED/BUY (+3),CAUTION,0.0,45,0.1156,BAJA,6.6000000000000005,🔵 DECENT,🟡 Good,,,,,,,,SENTIMIENTO,"En el Q3 2025 (21-oct-2025) Assa Abloy reportó crecimiento orgánico del 3% en un mercado 'mixto', con fuerte viento en contra de divisas (-6%), y en el Q4 2025 (5-feb-2026) logró un margen EBIT récord de 16.8% (+30pb), sin señales de deterioro operativo. La caída desde el máximo de 52 semanas (alcan",https://www.marketscreener.com/news/assa-abloy-q3-report-2025-ce7d5ad3db8bfe2c | https://finance.yahoo.com/news/assa-abloy-quarterly-report-q3-070000742.html | https://www.prnewswire.com/news-releases/assa-abloy-quarterly-report-q3-2025-302589900.html | https://www.morningstar.com/news/pr-newswire/20251021io03016/assa-abloy-quarterly-report-q3-2025
BAC,88.63636363636364,Excellent,Stage 2 Strong,17.489403481761137,35.5,Bank of America Corporation,75.2,Financial Services,Banks - Diversified,95.0,60.0,79.9,65.0,60.0,61.95,0.0,100.0,91.2,True,up,20.6,True,1.0,14.4,False,0.0,0.0,0.0,False,62.99,-1.7,8.0,True,"{'roe_pct': 11.2, 'operating_margin_pct': 38.3}","{'eps_growth_yoy': 20.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.5}",68.68,75.0,62.0,22.0,buy,10.9,,,129.9,109.7,,,2.07,25.9,2.35,False,,,34.1,72.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.34,,,,,,92.7,35.5,10.7,22.6,2026-08-03 11:06:01,2026-08-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 53% up volume)",MEGA_FLOAT,6965.5,3.0,68.7,100.0,True,up,91.2,10.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,91.2,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,False,3/3,55.85499999999999,0.0,0.0,3.0,0.0,5.0,0.63,7.12,2.0,0.0,0.0,60.3,-98.8,,1.36,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),,0.0,45,0.3547,BAJA,81.83818181818181,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-1.7% from high) - poor entry point,-1.7,NEUTRAL,BUY,False,,,
