ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,oe_ai_adjustment,oe_ai_verdict
DB1.DE,DEUTSCHE BOERSE AG            N,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,85.0,60.0,68.5,80.0,60.0,,,,,11.9,False,0,11.7,False,0,"{'eps_growth_yoy': 11.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': 11.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 3.1, 'rs_6m': 19.5}","{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.2}",264.5,47686086656,Financial Services,Financial Data & Stock Exchanges,,,False,270.5,-2.2,7,True,288.83,312.0,240.0,12,buy,9.2,276.91,4.7,158.78,-40.0,4.57,12.1,1.57,36.2,4.2,1.87,,,,13.7,76,2026-10-20,False,False,5,NEUTRAL,5.81,66.8,1.44,24.8,,,,2026-08-05T07:07:21.014043,DAX40,69.9,3.0,5.0,0.0,3.0,1.15,0.0,15.0,CONFIRMED_UPTREND,0,
EXPN.L,EXPERIAN PLC ORD USD0.10,55.2,⭐ AVERAGE,🟡 Average,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (676,821,791) se aparta del derivado de flujo operativo menos capex (936,994",55.0,50.0,50.0,65.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': -1.9, 'rs_6m': -9.9}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 29.6}",2860.0,25278726144,Industrials,Consulting Services,,,False,3987.0,-28.3,1,False,3707.96,4694.0,2354.25,18,strong_buy,29.6,,,,,2.68,0.77,1.84,39.8,0.52,1.4,,,,23.1,105,2026-11-18,False,False,9,STRONG,7.02,646.3,0.73,37.7,,,,2026-08-05T07:08:13.830076,FTSE100,57.099999999999994,0.0,5.0,0.0,5.0,3.7,3.0,15.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,54.6,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,60.5,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': 5.9, 'rs_6m': 2.3}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.4}",1009.5,9060608000,Technology,Software - Application,,,False,1200.0,-15.9,3,False,1114.11,1349.0,850.0,18,buy,10.4,,,,,6.98,0.7,2.25,55.0,0.22,2.1,,,,14.3,106,2026-11-19,False,False,6,NEUTRAL,4.97,374.3,1.23,49.3,,,,2026-08-05T07:08:57.795922,FTSE100,62.8,6.0,5.0,0.0,3.0,1.3,0.0,15.0,CONFIRMED_UPTREND,0,
G24.DE,Scout24 SE                    N,72.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,54.5,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': 37.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': 14.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 1.0, 'rs_6m': -10.8}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 38.2}",76.2,5388519424,Communication Services,Internet Content & Information,,,False,121.6,-37.3,1,False,105.28,140.0,80.0,18,buy,38.2,158.18,107.6,108.3,42.1,4.89,3.73,2.0,36.6,1.5,1.51,,,44.1,40.6,1,2026-08-06,True,False,6,NEUTRAL,4.97,635.9,0.39,41.4,,,,2026-08-05T07:08:20.614286,DAX40,52.1,3.0,5.0,0.0,5.0,4.78,3.0,8.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
SAP.DE,SAP SE                        I,68.4,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,75.0,60.0,54.5,90.0,65.0,,,,,8.8,False,0,8.8,True,1,"{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 8.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 1.9, 'rs_6m': -12.3}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 20.4}",167.38,193190723584,Technology,Software - Application,,,False,257.7,-35.0,1,False,201.55,290.0,154.99,25,strong_buy,20.4,334.01,99.6,200.4,19.7,4.71,7.88,1.52,37.4,2.5,1.46,True,-1.5,20.7,30.6,77,2026-10-21,False,False,8,STRONG,5.6,146.7,0.65,56.9,,,,2026-08-05T07:08:23.016483,DAX40,56.4,3.0,5.0,3.0,5.0,2.55,1.0,0.0,CONFIRMED_UPTREND,0,
WKL.AS,WOLTERS KLUWER,55.4,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (985,500,032) se aparta del derivado de flujo operativo menos capex (1,363,000,000)",60.0,50.0,54.5,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': 9.9, 'rs_6m': -8.3}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 28.1}",71.6,15950510080,Industrials,Specialty Business Services,,,False,134.0,-46.6,1,False,91.7,154.0,50.0,15,buy,28.1,187.61,162.0,169.2,136.3,6.18,4.42,3.62,43.1,2.52,1.85,,,,36.9,0,2026-08-05,True,False,7,NEUTRAL,8.73,668.9,0.31,54.1,,,,2026-08-05T07:07:10.652263,AEX25,54.2,6.0,8.0,0.0,5.0,3.51,3.0,0.0,CONFIRMED_UPTREND,0,
AMS.MC,"AMADEUS IT GROUP, S.A.",55.4,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (2,912,250,112) se aparta del derivado de flujo operativo menos capex (1,380,799,936)",50.0,50.0,54.5,70.0,65.0,,,,,-4.7,False,0,1.0,False,0,"{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 4.2, 'rs_6m': -7.0}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.5}",56.5,23729248256,Technology,Information Technology Services,,,False,73.28,-22.9,3,False,67.5,80.9,51.0,21,buy,19.5,102.03,80.6,30.3,-46.4,12.27,6.93,2.78,50.8,1.54,1.73,True,-6.09,20.4,-2.6,93,2026-11-06,False,False,7,NEUTRAL,6.82,473.7,,34.9,,,,2026-08-05T07:07:56.739060,IBEX35,54.2,8.0,5.0,3.0,0.0,2.44,1.0,0.0,CONFIRMED_UPTREND,0,
RACE.MI,FERRARI,80.3,🏆 ELITE,🟢 Elite,EUR,EUR,False,True,True,1.0,"FCF declarado (1,001,413,632) se aparta del derivado de flujo operativo menos capex (1,463,988,912)",100.0,70.0,66.5,90.0,60.0,,,,,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 13.2, 'rs_6m': 8.7}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.3}",348.2,61201317888,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-19.2,4,False,384.18,430.4,330.0,19,buy,10.3,112.78,-67.6,93.73,-73.1,1.64,5.7,1.04,39.0,3.62,0.67,True,-1.3,63.9,10.1,89,2026-11-03,False,False,9,STRONG,3.34,46.9,3.14,30.2,,,,2026-08-05T07:08:25.285736,FTSEMIB,53.1,0.0,0.0,3.0,3.0,1.29,0.0,0.0,CONFIRMED_UPTREND,0,
RMV.L,RIGHTMOVE PLC ORD 0.1P,61.4,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,54.5,100.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 49.7},{},"{'rs_3m': 2.1, 'rs_6m': -11.9}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 14.7}",474.8,3523860480,Communication Services,Internet Content & Information,,,False,827.0,-42.6,1,False,544.63,745.0,420.0,19,hold,14.7,,,,,5.49,0.26,2.28,37.2,0.11,1.54,,,,1.7,205,2027-02-26,False,False,6,NEUTRAL,8.17,637.5,3.24,39.0,,,,2026-08-05T07:08:55.130327,FTSE100,51.6,6.0,5.0,0.0,1.0,1.84,0.0,0.0,CONFIRMED_UPTREND,0,
DSY.PA,DASSAULT SYSTEMES,68.2,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,95.0,60.0,30.0,85.0,60.0,,,,,16.1,True,1,6.6,True,1,"{'eps_growth_yoy': 16.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 6.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -1.0, 'rs_6m': -20.9}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.3}",21.31,28001292288,Technology,Software - Application,,,False,30.36,-29.8,3,False,23.5,33.35,17.0,19,buy,10.3,40.9,91.9,29.1,36.6,4.53,0.96,1.3,27.8,0.27,0.65,True,-0.64,,22.3,84,2026-10-28,False,False,8,STRONG,5.79,42.9,0.48,43.1,,,,2026-08-05T07:08:52.464532,CAC40,50.3,3.0,0.0,3.0,5.0,1.29,0.0,0.0,CONFIRMED_UPTREND,0,
