ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
BR,0.0,,,,55.4,"Broadridge Financial Solutions,",77.0,Technology,Information Technology Services,100.0,80.0,42.3,80.0,65.0,176.03,20071258112.0,15.0,20.6,False,up,140.7,True,1.0,39.7,False,0.0,4.0,4.0,False,264.1,-33.3,2.0,False,"{'roe_pct': 40.9, 'debt_to_equity': 1.24, 'current_ratio': 1.24, 'operating_margin_pct': 24.6}","{'eps_growth_yoy': 140.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}",213.25,250.0,176.0,8.0,buy,21.1,193.4,9.9,99.5,-43.5,5.95,10.48,2.57,40.6,1.68,True,-3.01,13.9,5.9,75.0,2026-11-03,False,False,8.0,STRONG,6.72,211.6,1.81,BULLISH,0.0,50.0,1.0,0.0,23.700000000000003,0.0,16.6,23.1,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 60% up volume)",HIGH_FLOAT,113.5,20.0,39.7,15.0,False,up,20.6,2.0,True,1.0,False,0.0,2.0,22.0,29.0,27.6,Bajo 50%,25.2,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,93.0,5.0,6.0,3.0,3.0,3.0,0.89,3.27,3.0,0.0,0.0,9.9,37.9,MEDIA,2.64,2.0,10.0,5.0,0,,0,MIXED/INSUFFICIENT (0),BEST,14.0,20,0.5538,ALTA,0.2000000000000001,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,SIN_DATOS,,,False,1,1.025,False,-32.3,31.53,-10.36,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
MCO,0.0,,,,34.2,Moody's Corporation,69.0,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,53.9,65.0,60.0,497.03,86076145664.0,35.0,29.8,False,up,35.9,True,2.0,8.9,False,0.0,2.1,3.4,False,546.88,-9.1,5.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",560.48,610.0,505.0,21.0,buy,12.8,631.57,27.1,483.0,-2.8,3.0,14.89,0.85,25.0,0.81,False,,14.5,56.7,62.0,2026-10-21,False,False,8.0,STRONG,3.69,106.3,0.46,BULLISH,0.0,80.0,4.0,0.0,29.0,0.0,10.3,20.7,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",HIGH_FLOAT,158.5,20.0,31.0,35.0,False,up,29.8,2.0,True,2.0,False,0.0,5.0,12.0,29.0,62.1,Medio,34.4,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,False,2/3,88.0,0.0,3.0,0.0,0.0,5.0,0.0,2.05,0.0,0.0,0.0,12.8,0.7,,1.6,2.0,10.0,65.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,17.0,46,0.3419,BAJA,20.4,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,,,,False,2,0.864,False,-8.51,24.38,4.38,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
INTU,0.0,,,,22.6,Intuit Inc.,81.5,Technology,Software - Application,100.0,100.0,36.0,85.0,65.0,362.47,99148955648.0,15.0,16.8,False,up,704.2,True,2.0,123.4,True,2.0,5.1,2.8,False,705.08,-48.6,2.0,False,"{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'eps_growth_yoy': 704.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}",449.2,921.0,250.0,33.0,buy,23.9,387.99,7.0,181.47,-49.9,5.28,19.13,1.37,28.3,0.67,True,-4.12,24.8,10.7,5.0,2026-08-25,True,False,9.0,STRONG,5.12,97.0,1.24,BULLISH,0.0,100.0,10.0,0.0,18.2,0.0,6.8,24.4,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,267.2,23.0,31.2,15.0,False,up,16.8,2.0,True,2.0,True,2.0,8.0,20.0,29.0,34.5,Bajo 50%,27.6,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,87.22999999999999,5.0,6.0,0.0,3.0,3.0,-1.36,-5.17,0.0,1.0,-1.5,7.0,45.3,ALTA,2.99,2.0,10.0,34.0,0,,0,MIXED/INSUFFICIENT (0),BEST,14.0,6,0.2256,BAJA,0.6499999999999986,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,,,,False,1,0.999,False,-48.02,43.99,-17.24,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
MSFT,0.0,,,,30.4,Microsoft Corporation,79.0,Technology,Software - Infrastructure,100.0,70.0,53.9,95.0,65.0,484.31,3596265979904.0,35.0,47.1,False,up,28.9,True,1.0,15.9,True,1.0,1.1,2.2,False,553.72,-12.5,4.0,False,"{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'eps_growth_yoy': 28.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3}",569.56,870.0,400.0,53.0,strong_buy,17.6,94.49,-80.5,538.8,11.3,0.46,2.23,0.76,19.8,0.79,True,-0.62,55.4,31.7,69.0,2026-10-28,False,False,6.0,NEUTRAL,4.63,44.9,0.65,BULLISH,0.25,100.0,22.0,13.0,27.8,0.0,9.1,23.7,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 62% up volume)",MEGA_FLOAT,7414.5,23.0,32.8,35.0,False,up,47.1,2.0,True,1.0,True,1.0,5.0,7.0,29.0,79.3,Top 25%,41.1,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,70.12,5.0,0.0,0.0,3.0,5.0,0.42,2.11,1.0,0.0,0.0,11.3,52.2,ALTA,2.2,2.0,2.0,67.0,1,Pershing Square (Ackman),0,MIXED/INSUFFICIENT (0),CAUTION,-1.0,17,0.3041,BAJA,16.9,⭐⭐ STRONG,🟢 Excellent,,,,,,,,SENTIMIENTO,"MSFT cayó por preocupación sectorial ante el elevado capex en IA (que comprime márgenes y FCF a corto plazo), no por deterioro del negocio: Azure aceleró a 43-45% de crecimiento y la empresa batió estimaciones cuatro trimestres seguidos entre 2025-2026. El mismo patrón de castigo por capex afectó a ",https://www.theglobeandmail.com/investing/markets/stocks/MSFT/pressreleases/3461314/microsoft-earnings-are-comingbut-azure-and-capex-will-decide-the-reaction/ | https://www.investing.com/analysis/microsoft-earnings-are-comingbut-azure-and-capex-will-decide-the-reaction-200684530 | https://www.geekwire.com/2026/microsoft-earnings-preview-record-ai-spending-and-a-stock-near-a-one-year-low/ | https:/,False,2,0.758,False,-11.98,38.69,8.85,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
VRSN,0.0,,,,34.2,"VeriSign, Inc.",62.0,Technology,Software - Infrastructure,75.0,60.0,52.4,50.0,65.0,273.03,24681912320.0,35.0,35.1,False,down,1.7,False,0.0,3.7,True,1.0,2.1,2.4,False,312.48,-12.6,7.0,True,"{'current_ratio': 0.59, 'operating_margin_pct': 68.2}","{'eps_growth_yoy': 1.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 49.8}",318.0,355.0,270.0,5.0,buy,16.5,165.22,-39.5,90.9,-66.7,3.37,9.21,1.17,34.3,,True,-3.65,15.5,5.4,63.0,2026-10-22,False,False,8.0,STRONG,4.41,512.5,3.23,BULLISH,0.0,80.0,3.0,0.0,46.9,0.0,10.3,18.6,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",HIGH_FLOAT,84.9,2.0,28.9,35.0,False,down,35.1,0.0,False,0.0,True,1.0,2.0,7.0,29.0,79.3,Top 25%,41.1,3.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0,False,2/3,70.00999999999999,5.0,3.0,0.0,3.0,3.0,0.0,1.53,0.0,0.0,0.0,-39.5,69.6,ALTA,2.06,2.0,10.0,18.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,11.0,46,0.3419,BAJA,25.7,⭐⭐ STRONG,🟢 Excellent,HOLD,65.0,Close to ATH (-12.6% from high) - wait for pullback | Strong upside (+16.5%) - analyst support,-12.6,NEUTRAL,BUY,False,,,,False,2,0.849,False,-12.37,31.95,12.87,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
AXP,0.0,,,,44.5,American Express Company,64.1,Financial Services,Credit Services,70.0,60.0,46.7,85.0,60.0,339.9,229537808384.0,35.0,26.6,False,up,7.2,False,0.0,6.6,True,1.0,2.3,3.8,False,387.49,-12.3,4.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",375.86,450.0,315.0,25.0,buy,10.6,486.59,43.2,182.05,-46.4,6.97,23.7,1.12,21.5,1.1,True,-3.25,,7.7,64.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.54,,,,,,16.6,0.0,13.3,19.2,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,522.2,23.0,32.6,35.0,False,up,26.6,2.0,False,0.0,True,1.0,2.0,13.0,29.0,58.6,Medio,33.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,68.86500000000001,0.0,6.0,0.0,3.0,3.0,0.1,0.25,0.0,0.0,0.0,10.6,12.2,,1.32,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,13.0,46,0.4455,BAJA,15.41,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"AXP presentó resultados sólidos en Q3 2025 (ingresos récord, EPS +19% y guidance elevado), pero la acción cayó por shocks macro/sectoriales ajenos a su negocio: la propuesta de Trump de un tope del 10% a las tasas de tarjetas y el contagio por despidos masivos en un competidor (Block).",https://finance.yahoo.com/news/american-express-co-axp-q3-190218433.html | https://www.panabee.com/news/american-express-earnings-q3-2025 | https://finance.yahoo.com/quote/AXP/earnings/AXP-Q3-2025-earnings_call-364433.html | https://www.fool.com/earnings/call-transcripts/2025/10/17/amex-axp-q3-2025-earnings-call-transcript/,False,1,0.761,False,-11.57,17.51,-14.21,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
SAP,0.0,,,,32.2,SAP SE,66.1,Technology,Software - Application,75.0,60.0,50.3,90.0,50.0,215.6,248846450688.0,35.0,36.3,False,up,8.8,False,0.0,8.8,True,1.0,0.7,2.6,False,281.37,-23.4,4.0,False,"{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}",242.92,319.0,177.0,12.0,none,12.7,390.15,81.0,231.6,7.4,4.27,9.2,1.39,37.5,1.48,True,-1.17,20.7,15.3,62.0,2026-10-21,False,False,8.0,STRONG,0.31,146.7,0.73,,,,,,10.5,0.0,9.7,19.8,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 53% up volume)",MEGA_FLOAT,14500.7,23.0,29.5,35.0,False,up,36.3,2.0,False,0.0,True,1.0,2.0,20.0,29.0,34.5,Bajo 50%,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,63.05,5.0,3.0,0.0,3.0,5.0,0.0,-1.76,0.0,0.0,0.0,12.7,-31.5,,1.59,2.0,10.0,82.0,0,,0,MIXED/INSUFFICIENT (0),CAUTION,-3.0,16,0.3224,BAJA,6.609999999999999,⭐ GOOD,🟡 Good,,,,,,,,SENTIMIENTO,"La caída se explica sobre todo por el temor sectorial a que la IA disrumpa el software empresarial (venta masiva en SAP y comparables desde mediados de 2025) y por una desaceleración del crecimiento del backlog de cloud algo mayor de la esperada, comunicada en los resultados y el guidance 2026. Aun ",https://tickeron.com/blogs/sap-se-sap-analyzing-the-recent-16-drop-and-what-lies-ahead-12024/ | https://www.investing.com/news/transcripts/earnings-call-transcript-saps-q4-2025-results-miss-forecasts-shares-drop-93CH-4480859 | https://www.quiverquant.com/news/SAP+slides+5.6%25+as+investors+brace+for+Q1+earnings+amid+fresh+caution+on+cloud+deal+cycles+and+macro+risk | https://capital.com/en-eu/anal,False,1,0.941,False,-22.04,48.72,-3.42,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
OXY,0.0,,,,44.8,Occidental Petroleum Corporation,75.0,Energy,Oil & Gas E&P,100.0,70.0,47.6,80.0,60.0,60.09,60068208640.0,35.0,44.1,False,up,259.2,True,2.0,21.8,False,0.0,0.0,0.0,False,67.45,-10.9,7.0,True,"{'roe_pct': 10.6, 'debt_to_equity': 0.35, 'current_ratio': 1.41, 'operating_margin_pct': 45.4}","{'eps_growth_yoy': 259.2, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 30.3}",66.3,79.0,55.0,23.0,buy,10.3,160.71,167.4,102.3,70.2,6.31,3.79,1.87,29.5,1.14,True,-0.19,6.2,675.4,81.0,2026-11-09,False,False,4.0,NEUTRAL,5.2,6.4,0.02,,,,,,47.9,0.0,13.4,22.5,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,995.6,5.0,35.9,35.0,False,up,44.1,2.0,True,2.0,False,0.0,5.0,,29.0,,Sin datos suficientes,44.1,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,2/3,62.24000000000001,5.0,6.0,3.0,3.0,5.0,0.33,3.18,1.0,0.0,0.0,70.2,-108.5,,1.29,2.0,0.0,91.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),,0.0,28,0.4484,BAJA,27.0,⭐ GOOD,🟡 Good,HOLD,55.0,Close to ATH (-10.9% from high) - wait for pullback,-10.9,NEUTRAL,BUY,False,,,,True,3,0.926,False,-10.5,56.33,4.75,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
JKHY,0.0,,,,38.9,"Jack Henry & Associates, Inc.",64.8,Technology,Information Technology Services,65.0,60.0,50.3,95.0,60.0,163.06,11585541120.0,35.0,40.4,False,up,-3.7,True,1.0,3.4,True,1.0,7.3,3.9,False,193.39,-15.7,5.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 0.06, 'current_ratio': 1.74, 'operating_margin_pct': 24.4}","{'eps_growth_yoy': -3.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.6}",186.67,208.0,158.0,15.0,buy,14.5,114.65,-29.7,87.25,-46.5,3.22,5.26,1.59,32.8,1.22,True,-2.45,123.3,12.5,75.0,2026-11-03,False,False,9.0,STRONG,5.42,162.7,1.67,,,,,,21.1,0.0,11.7,19.4,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,False,66,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,95,"Strong institutional buying (2.1x ratio, 66% up volume)",HIGH_FLOAT,70.6,20.0,31.1,35.0,False,up,40.4,2.0,True,1.0,True,1.0,5.0,22.0,29.0,27.6,Bajo 50%,25.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,False,2/3,61.36500000000001,5.0,3.0,3.0,3.0,3.0,0.0,1.29,1.0,0.0,0.0,-29.7,52.6,ALTA,1.81,2.0,10.0,13.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.3888,BAJA,10.98,⭐ GOOD,🟡 Good,,,,,,,,,,,False,1,1.1,False,-15.0,34.72,-8.04,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
QSR,0.0,,,,35.5,Restaurant Brands International,70.3,Consumer Cyclical,Restaurants,100.0,60.0,47.6,65.0,60.0,77.1,35320356864.0,35.0,32.2,False,up,58.9,True,2.0,2.9,True,1.0,5.9,6.7,False,81.96,-5.9,6.0,False,"{'roe_pct': 34.8, 'debt_to_equity': 2.9, 'current_ratio': 1.01, 'operating_margin_pct': 27.7}","{'eps_growth_yoy': 58.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 13.1}",85.65,104.0,78.0,23.0,buy,11.1,,,,,4.85,4.91,3.4,63.8,3.41,True,-0.48,5.2,151.2,70.0,2026-10-29,False,False,6.0,NEUTRAL,5.13,51.7,0.12,,,,,,43.7,0.0,10.7,21.1,2026-08-20 04:48:02,2026-08-20,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 61% up volume)",MEGA_FLOAT,295.0,3.0,31.7,35.0,False,up,32.2,2.0,True,2.0,True,1.0,8.0,26.0,29.0,13.8,Bottom 25%,16.7,-3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,False,3/3,60.895,0.0,3.0,5.0,3.0,5.0,-0.1,0.42,1.0,0.0,0.0,,,,1.39,2.0,2.0,50.0,1,Pershing Square (Ackman),0,MIXED/INSUFFICIENT (0),,0.0,46,0.3554,BAJA,23.53,⭐ GOOD,🟡 Good,,,,,,,,,,,True,3,1.061,False,-5.07,30.37,1.5,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
