ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
7741.T,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-21
ABT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-21
ADP,AVOID,-12,Thesis drift HIGH (46d): Margen op. cayó 6.7pp (30.2%→23.5%),2026-08-21
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 8/8) | Piotroski fuerte (7.0/9),2026-08-21
AJG,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-21
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-08-21
ASAZY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-21
ATLKY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-21
AUTO.L,BEST,5,Mejor FCF en Communication Services (5.9% vs media sector 6.5%),2026-08-21
AXP,CONFIRM,13,Smart money: 1 HF + 0 insiders (conv 35) | Mejor FCF en Financial Services (7.2% vs media sector 5.0%),2026-08-21
BR,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Technology (5.9% vs media sector 4.5%),2026-08-21
BRK-B,BEST,5,Mejor FCF en Financial Services (6.8% vs media sector 5.0%),2026-08-21
BRO,BEST,5,Mejor FCF en Financial Services (6.8% vs media sector 5.0%),2026-08-21
CBOE,AVOID,-12,Thesis drift HIGH (46d): Score cayó 15pts en 46d (52→37) | Señal salida MEDIUM: Score cayó 15pts (52 → 37) | Caro vs peers en Financial Services (FCF rank 18/18) | Piotroski fuerte (8.0/9),2026-08-21
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 19/20) | Piotroski fuerte (7.0/9),2026-08-21
CHD,WATCH,3,Piotroski fuerte (7.0/9),2026-08-21
CME,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-21
CNI,WATCH,3,Piotroski fuerte (7.0/9),2026-08-21
COST,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-21
CPRT,EXIT,-15,Señal salida HIGH: Score cayó 31pts (80 → 50),2026-08-21
CSU.TO,BEST,5,Mejor FCF en Technology (5.9% vs media sector 4.5%),2026-08-21
CTAS,CAUTION,-12,Thesis drift MEDIUM: Score cayó 25pts en 46d (59→34) | Señal salida MEDIUM: Score cayó 22pts (56 → 34) | Caro vs peers en Industrials (FCF rank 22/22) | Piotroski fuerte (8.0/9),2026-08-21
DBOEY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-21
ETN,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-21
EXPN.L,WATCH,0,Caro vs peers en Industrials (FCF rank 18/22) | Piotroski fuerte (9.0/9),2026-08-21
FICO,WATCH,6,Caro vs peers en Technology (FCF rank 16/20) | Short squeeze MEDIUM: 10.3% short · Short moderado (10.3% del float); Piotroski 7/9 — calidad mejorando | Piotroski fuerte (7.0/9),2026-08-21
GWW,WATCH,-3,Caro vs peers en Industrials (FCF rank 21/22),2026-08-21
HEI,WATCH,3,Piotroski fuerte (8.0/9),2026-08-21
HESAY,WATCH,3,Piotroski fuerte (8.0/9),2026-08-21
ICE,CAUTION,-11,"Thesis drift MEDIUM: Upside analistas cayó 13pp (30%→17%) | Señal salida MEDIUM: Score cayó 54pts (87 → 33) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Piotroski fuerte (8.0/9)",2026-08-21
IDXX,WATCH,0,Caro vs peers en Healthcare (FCF rank 7/8) | Piotroski fuerte (8.0/9),2026-08-21
INTU,CAUTION,6,"Señal salida MEDIUM: Earnings en 4d — alta incertidumbre, considera reducir | Opciones TIER2 (q=45): VALUE strong (84pts), FCF 5.3% | Piotroski fuerte (9.0/9) | Mejor FCF en Technology (5.3% vs media sector 4.5%)",2026-08-21
JKHY,CAUTION,-5,Quality decay MEDIUM: Salud financiera cayó 10pts (95 → 85/100) | Piotroski fuerte (9.0/9),2026-08-21
JNJ,REVISION_UP,8,EPS revision STRONG_UP: EPS consensus ↑21.9% (11.23→13.69),2026-08-21
KO,CONFIRM,8,Caro vs peers en Consumer Defensive (FCF rank 8/8) | Smart money: 1 HF + 0 insiders (conv 33) | Piotroski fuerte (7.0/9),2026-08-21
LIN,WATCH,6,"Opciones TIER2 (q=55): VALUE weak (31pts), INSIDER CONF",2026-08-21
MA,CAUTION,-3,Thesis drift MEDIUM: Score cayó 26pts en 46d (95→69) | Piotroski fuerte (9.0/9),2026-08-21
MCO,CONFIRM,14,"Caro vs peers en Financial Services (FCF rank 15/18) | Smart money: 1 HF + 0 insiders (conv 41) | Opciones TIER2 (q=50): VALUE strong (88pts), DIRECTIONAL (100% calls) | Piotroski fuerte (8.0/9)",2026-08-21
MKC,CAUTION,-1,Thesis drift MEDIUM: Score cayó 12pts en 46d (48→36) | Mejor FCF en Consumer Defensive (4.8% vs media sector 4.3%),2026-08-21
MSCI,EXIT,-12,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-21
MSFT,CAUTION,-1,Thesis drift MEDIUM: Score cayó 11pts en 46d (91→80) | Caro vs peers en Technology (FCF rank 20/20) | Smart money: 1 HF + 0 insiders (conv 39),2026-08-21
MSI,WATCH,-3,Caro vs peers en Technology (FCF rank 18/20),2026-08-21
NDAQ,CAUTION,-11,Thesis drift MEDIUM: Score cayó 12pts en 46d (45→34) | Señal salida MEDIUM: Score cayó 24pts (58 → 34) | Piotroski fuerte (9.0/9),2026-08-21
OTIS,CAUTION,-9,Thesis drift MEDIUM: Score cayó 21pts en 46d (53→32) | Señal salida MEDIUM: Score cayó 21pts (53 → 32) | Mejor FCF en Industrials (5.3% vs media sector 3.3%),2026-08-21
PEP,EXIT,-15,Señal salida HIGH: Score cayó 47pts (79 → 32),2026-08-21
PGR,BEST,5,Mejor FCF en Financial Services (11.8% vs media sector 5.0%),2026-08-21
RACE,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 9/9) | Piotroski fuerte (9.0/9),2026-08-21
ROP,BEST,5,Mejor FCF en Technology (5.6% vs media sector 4.5%),2026-08-21
RSG,WATCH,6,"Opciones TIER2 (q=55): VALUE weak (38pts), INSIDER CONF",2026-08-21
SAP,CAUTION,-3,Thesis drift MEDIUM: Score cayó 16pts en 46d (83→67) | Piotroski fuerte (8.0/9),2026-08-21
SBGSY,BEST,5,Mejor FCF en Industrials (3.2% vs media sector 3.3%),2026-08-21
SHW,BEST,5,Mejor FCF en Basic Materials (3.0% vs media sector 2.3%),2026-08-21
SPGI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-21
