ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,upside_triangulated_pct,upside_divergence_pts,upside_divergence,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
SAP.DE,SAP SE,71.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,75.0,60.0,71.0,90.0,60.0,,,,,8.8,False,0,8.8,True,1,"{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 8.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 20.9, 'rs_6m': 4.8}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 8.3}",191.32,220822372352,Technology,Software - Application,,,False,244.3,-21.7,4,False,207.19,290.0,160.0,26,strong_buy,8.3,334.01,74.6,200.4,4.7,4.12,7.88,1.39,37.4,2.5,1.46,True,-1.32,20.7,30.6,53,2026-10-21,False,False,8,STRONG,4.94,146.7,0.75,32.8,,,,2026-08-28T16:33:51.318396,DAX40,63.5,3.0,0.0,3.0,5.0,1.04,15.0,CONFIRMED_UPTREND,8.3,-31.4,,0,,False,2,0.972,False,-20.36,50.05,11.53,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SGE.L,The Sage Group plc,58.3,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,79.0,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': 26.2, 'rs_6m': 17.3}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 2.6}",1092.0,9801147392,Technology,Software - Application,,,False,1181.0,-7.5,5,False,1119.94,1349.0,850.0,18,buy,2.6,,,,,6.45,0.7,2.03,55.0,22.0,2.1,,,,14.3,82,2026-11-19,False,False,6,NEUTRAL,4.6,374.3,1.33,29.5,,,,2026-08-28T16:34:32.368801,FTSE100,61.3,6.0,5.0,0.0,3.0,0.32,15.0,CONFIRMED_UPTREND,,,,0,,False,2,1.08,False,-7.51,41.53,23.97,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AMS.MC,"Amadeus IT Group, S.A.",57.8,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (2,912,250,112) se aparta del derivado de flujo operativo menos capex (1,380,799,936)",50.0,50.0,66.5,70.0,65.0,,,,,-4.7,False,0,1.0,False,0,"{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 10.8, 'rs_6m': 5.8}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.4}",58.14,24418025472,Technology,Information Technology Services,,,False,72.44,-19.7,3,False,68.28,80.9,51.0,21,buy,17.4,102.03,75.5,30.3,-47.9,11.93,6.93,2.65,50.8,1.54,1.73,True,-5.91,20.4,-2.6,69,2026-11-06,False,False,7,NEUTRAL,6.64,473.7,,23.9,,,,2026-08-28T16:33:21.813794,IBEX35,59.1,8.0,5.0,3.0,0.0,2.17,0.0,CONFIRMED_UPTREND,17.4,3.6,,0,,False,2,0.734,False,-14.26,28.35,12.63,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
WKL.AS,Wolters Kluwer N.V.,56.6,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,60.0,50.0,60.5,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 21.9},{},"{'rs_3m': 14.7, 'rs_6m': -6.9}","{'roe_pct': 146.1, 'debt_to_equity': 5.9, 'current_ratio': 0.69, 'operating_margin_pct': 26.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 26.8}",70.22,15638340608,Industrials,Specialty Business Services,,,False,117.35,-40.2,2,False,89.03,120.0,54.0,15,buy,26.8,105.59,50.4,58.6,-16.5,7.98,5.6,3.71,43.0,2.6,1.85,,,,8.9,179,2027-02-24,False,False,7,NEUTRAL,8.96,668.9,1.27,26.5,,,,2026-08-28T16:32:32.850410,AEX25,54.6,6.0,8.0,0.0,3.0,3.35,0.0,CONFIRMED_UPTREND,26.8,9.9,,0,,False,2,0.898,False,-38.6,28.9,-0.18,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ATCO-B.ST,Atlas Copco AB (publ),70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,False,0.3199,"acciones × precio no cuadra con la capitalización (ratio 0.3199): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",80.0,60.0,60.5,90.0,55.0,,,,,8.2,True,1,9.1,True,1,"{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}","{'revenue_growth_yoy': 9.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 10.1, 'rs_6m': -4.5}","{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 24.3}",181.0,883030360064,Industrials,Specialty Industrial Machinery,,,False,185.2,-2.3,7,True,225.0,225.0,225.0,1,none,24.3,,,,,2.94,16.64,1.65,54.9,3.0,1.62,False,,126.5,4.0,54,2026-10-22,False,False,6,NEUTRAL,3.81,53.6,3.08,16.7,,,,2026-08-28T16:33:38.138704,OMXSTO,54.0,0.0,5.0,0.0,1.0,3.04,0.0,CONFIRMED_UPTREND,,,,0,,True,3,0.79,False,-2.27,39.64,2.25,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
LR.PA,Legrand SA,71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,80.0,80.0,50.0,75.0,65.0,,,,,8.5,True,1,14.7,True,2,"{'eps_growth_yoy': 8.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 14.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -6.7, 'rs_6m': -12.6}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.6}",139.65,36605816832,Industrials,Electrical Equipment & Parts,,,False,166.95,-16.4,3,False,162.84,200.0,114.0,19,buy,16.6,72.91,-47.8,49.6,-64.5,2.82,3.93,1.74,47.9,2.38,1.91,True,-0.3,11.3,5.9,68,2026-11-05,False,False,6,NEUTRAL,4.47,45.7,2.45,24.8,,,,2026-08-28T16:34:09.340607,CAC40,53.7,0.0,5.0,3.0,3.0,2.08,0.0,CONFIRMED_UPTREND,-47.8,72.8,ALTA,0,,False,2,0.892,False,-14.99,16.37,-5.82,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
EXPN.L,Experian plc,57.4,⭐ AVERAGE,🟡 Average,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (673,003,682) se aparta del derivado de flujo operativo menos capex (927,613",55.0,50.0,60.5,65.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': 15.8, 'rs_6m': -3.5}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 21.7}",3044.0,26905075712,Industrials,Consulting Services,,,False,3987.0,-23.7,4,False,3705.48,4667.52,2466.26,18,strong_buy,21.7,,,,,2.5,0.76,1.7,39.8,52.0,1.4,,,,23.1,81,2026-11-18,False,False,9,STRONG,6.66,646.3,0.78,29.2,,,,2026-08-28T16:33:41.156867,FTSE100,53.0,0.0,5.0,0.0,5.0,2.71,0.0,CONFIRMED_UPTREND,,,,0,MIXED/INSUFFICIENT (0),False,2,0.829,False,-23.64,38.19,3.23,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ASSA-B.ST,ASSA ABLOY AB (publ),69.4,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,,,90.0,60.0,54.5,70.0,60.0,,,,,15.9,True,1,3.3,True,1,"{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 6.6, 'rs_6m': -19.3}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.2}",357.2,0,Industrials,Security & Protection Services,,,False,396.9,-10.0,4,False,407.9,500.0,340.0,21,buy,14.2,,,234.68,-34.3,,,1.79,41.7,6.4,1.69,False,,,15.9,59,2026-10-27,False,False,8,STRONG,4.99,118.2,1.24,14.3,,,,2026-08-28T16:33:32.731026,OMXSTO,51.8,0.0,5.0,0.0,5.0,1.78,0.0,CONFIRMED_UPTREND,-10.0,48.5,ALTA,0,,False,1,0.795,False,-9.2,14.79,-12.58,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
DSY.PA,Dassault Systèmes SE,77.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,74.5,85.0,60.0,,,,,16.1,True,1,6.6,True,1,"{'eps_growth_yoy': 16.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 6.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 19.6, 'rs_6m': 14.9}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.8}",23.09,30340579328,Technology,Software - Application,,,False,30.36,-23.9,4,False,23.52,33.35,17.0,19,buy,1.8,40.9,77.1,29.1,26.0,4.18,0.96,1.17,27.8,0.27,0.65,True,-0.59,,22.3,60,2026-10-28,False,False,8,STRONG,5.31,42.9,0.52,29.0,,,,2026-08-28T16:34:26.756066,CAC40,50.9,3.0,0.0,3.0,5.0,0.22,0.0,CONFIRMED_UPTREND,26.0,-49.8,,0,,False,2,0.78,False,-22.92,47.87,21.58,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
RACE.MI,Ferrari N.V.,81.2,🏆 ELITE,🟢 Elite,EUR,EUR,False,True,True,1.0,"FCF declarado (1,001,981,760) se aparta del derivado de flujo operativo menos capex (1,463,988,912)",100.0,70.0,71.0,90.0,60.0,,,,,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 20.2, 'rs_6m': 7.5}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.0}",362.65,63741116416,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-15.9,6,False,388.02,430.4,330.0,19,buy,7.0,112.84,-68.9,93.83,-74.1,1.57,5.7,1.02,39.0,3.62,0.67,True,-1.25,63.9,10.1,66,2026-11-03,False,False,9,STRONG,3.27,46.9,3.26,19.2,,,,2026-08-28T16:33:54.525861,FTSEMIB,50.5,0.0,0.0,3.0,3.0,0.88,0.0,CONFIRMED_UPTREND,-68.9,78.5,ALTA,0,,False,2,0.9,False,-14.94,36.35,14.29,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
