ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
BR,0.0,,,,48.0,"Broadridge Financial Solutions, Inc.",77.0,Technology,Information Technology Services,100.0,80.0,42.3,80.0,65.0,178.06,20594116608.0,15.0,24.5,False,up,140.7,True,1.0,39.7,False,0.0,3.3,2.9,False,255.74,-30.4,3.0,False,"{'roe_pct': 40.9, 'debt_to_equity': 1.24, 'current_ratio': 1.24, 'operating_margin_pct': 24.6}","{'eps_growth_yoy': 140.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}",213.38,250.0,176.0,8.0,buy,19.8,190.66,7.1,94.7,-46.8,5.8,10.33,2.42,40.6,1.69,True,-2.93,13.9,5.9,61.0,2026-11-03,False,False,8.0,STRONG,6.58,211.6,1.83,BEARISH,999.0,50.0,0.0,1.0,13.5,0.0,14.4,23.1,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.9x ratio, 63% up volume)",HIGH_FLOAT,113.5,20.0,37.5,15.0,False,up,24.5,2.0,True,1.0,False,0.0,2.0,21.0,29.0,31.0,Bajo 50%,27.6,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,False,2/3,78.0,5.0,6.0,3.0,3.0,3.0,0.06,3.33,1.0,0.0,0.0,7.1,39.6,MEDIA,2.48,2.0,10.0,5.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,14.0,34,0.4805,MEDIA,7.7,⭐⭐ STRONG,🟢 Elite,,,,,,,,SIN_DATOS,"BR ha superado estimados de ingresos y EPS en trimestres recientes (Q3 FY2026 incluido), pero cayó por compresión de márgenes operativos ajustados, ventas cerradas más débiles, recortes de precio objetivo y venta interna que deterioraron el sentimiento entre 2025-2026.",https://www.sec.gov/Archives/edgar/data/1383312/000138331225000004/ex991earningsrelease2q2025.htm | https://www.sec.gov/Archives/edgar/data/1383312/000138331225000024/ex991earningsrelease4q2025.htm | https://pitchbook.com/profiles/company/42085-99 | https://www.investing.com/news/company-news/broadridge-financial-solutions-stock-hits-52week-low-at-13975-usd-93CH-4748139,174.5,160.54,246.01,8.0,40.98,BUY ON PULLBACK - Wait for 2-5% dip,False,1,0.793,False,-29.22,33.05,-18.48,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
MCO,0.0,,,,55.1,Moody's Corporation,67.6,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,46.7,65.0,60.0,490.0,84858683392.0,35.0,29.6,False,up,35.9,True,2.0,8.9,False,0.0,1.7,3.0,False,546.88,-10.4,5.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",560.48,610.0,505.0,21.0,buy,14.4,631.57,28.9,468.9,-4.3,3.04,14.89,0.83,25.0,0.81,False,,14.5,56.7,48.0,2026-10-21,False,False,8.0,STRONG,3.74,106.3,0.46,,,,,,32.8,0.0,16.5,20.3,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",HIGH_FLOAT,158.5,20.0,36.8,35.0,False,up,29.6,2.0,True,2.0,False,0.0,5.0,8.0,29.0,75.9,Top 25%,39.7,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,77.795,0.0,3.0,0.0,0.0,5.0,0.0,0.3,0.0,0.0,0.0,14.4,2.1,,1.8,2.0,10.0,66.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,8.0,45,0.5515,ALTA,20.26,⭐⭐ STRONG,🟢 Elite,,,,,,,,,,,480.2,460.15,611.43,4.18,27.33,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.848,False,-9.8,22.62,-8.19,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
AXP,0.0,,,,36.0,American Express Company,62.5,Financial Services,Credit Services,70.0,60.0,38.7,85.0,60.0,329.98,222838751232.0,15.0,20.1,False,down,7.2,False,0.0,6.6,True,1.0,2.1,3.9,False,387.49,-14.8,2.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",375.96,450.0,315.0,25.0,buy,13.9,486.59,47.5,184.36,-44.1,7.18,23.7,1.17,21.5,1.1,True,-3.35,,7.7,50.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.49,,,,,,4.5,0.0,10.8,18.8,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,522.2,25.0,29.5,15.0,False,down,20.1,0.0,False,0.0,True,1.0,2.0,13.0,29.0,58.6,Medio,36.3,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,70.8,0.0,6.0,0.0,3.0,3.0,0.0,0.38,0.0,0.0,0.0,13.9,12.2,,1.74,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,13.0,45,0.3599,BAJA,7.75,⭐⭐ STRONG,🟢 Excellent,,,,,,,,SENTIMIENTO,"Amex ha reportado beats de EPS y guidance sostenida (8-10% ingresos, EPS $15-15.50) con métricas de crédito estables/mejorando en 2025, pero las acciones han caído por decepción en expectativas de ingresos/guidance y valoraciones ya exigentes, no por deterioro del negocio.",https://www.fool.com/earnings/call-transcripts/2026/04/22/american-express-axp-q1-2025-earnings-transcript/ | https://finance.yahoo.com/markets/stocks/articles/american-express-shares-slip-despite-124057960.html | https://www.benzinga.com/money/american-express-co-axp-stock-price-prediction | https://simplywall.st/stocks/us/diversified-financials/nyse-axp/american-express,330.4,317.44,419.9,3.92,27.09,BUY NOW - At target entry price,False,1,0.755,False,-14.15,14.08,-4.86,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SPGI,0.0,,,,48.0,S&P Global Inc.,59.0,Financial Services,Financial Data & Stock Exchanges,75.0,50.0,38.7,65.0,65.0,431.71,127268102144.0,15.0,19.4,False,up,3.5,False,0.0,6.6,False,0.0,2.6,3.8,False,522.46924,-17.4,3.0,False,"{'roe_pct': 14.3, 'debt_to_equity': 0.43, 'current_ratio': 0.95, 'operating_margin_pct': 44.8}","{'eps_growth_yoy': 3.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 30.5}",519.3,553.0,485.0,20.0,strong_buy,20.3,495.13,14.7,284.97,-34.0,4.28,18.48,0.88,23.5,0.82,True,-4.09,22.7,17.7,56.0,2026-10-29,False,False,7.0,NEUTRAL,4.52,942.7,1.21,BULLISH,0.08,80.0,4.0,1.0,17.1,0.0,14.4,17.7,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,294.1,25.0,32.1,15.0,False,up,19.4,2.0,False,0.0,False,0.0,0.0,8.0,29.0,75.9,Top 25%,39.7,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,1/3,68.0,0.0,3.0,0.0,3.0,5.0,0.0,0.13,0.0,0.0,0.0,14.7,30.0,MEDIA,2.54,2.0,5.0,14.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,45,0.4805,MEDIA,5.9,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"En febrero de 2026 SPGI cayó ~10% tras publicar resultados del Q4 2025 con un BPA ajustado apenas por debajo del consenso, mientras los ingresos superaron expectativas (+9% interanual) y la guía de BPA ajustado 2026 quedó por encima del consenso de mercado. El resto de la caída desde máximos respond",https://www.kavout.com/market-lens/has-s-p-global-spgi-stock-underperformed-and-why | https://finance.yahoo.com/news/why-p-global-spgi-stock-203049359.html | https://seekingalpha.com/article/4939587-s-and-p-global-investors-await-clarification-in-a-higher-rate-environment | https://www.fool.com/investing/2026/02/10/why-sp-global-stock-tumbled-by-nearly-10-on-tuesda/,423.08,394.5,556.41,6.76,31.51,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.861,False,-16.8,20.4,-11.29,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AON,0.0,,,,63.0,Aon plc,64.2,Financial Services,Insurance Brokers,85.0,50.0,38.7,80.0,65.0,330.88,70188064768.0,15.0,8.7,False,down,20.3,False,0.0,6.2,False,0.0,1.6,2.6,False,382.34,-13.5,3.0,False,"{'roe_pct': 44.7, 'debt_to_equity': 1.63, 'current_ratio': 1.03, 'operating_margin_pct': 23.5}","{'eps_growth_yoy': 20.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.3}",394.38,433.0,341.0,16.0,buy,19.2,221.34,-33.1,184.0,-44.4,4.55,15.04,1.01,16.8,0.77,True,-2.28,7.7,-2.1,57.0,2026-10-30,False,False,8.0,STRONG,6.55,141.9,,BULLISH,0.0,50.0,2.0,0.0,23.200000000000003,0.0,18.9,19.3,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,50,"No clear pattern (0.9x ratio, 45% up volume)",MEGA_FLOAT,209.5,23.0,38.2,15.0,False,down,8.7,0.0,False,0.0,False,0.0,0.0,18.0,29.0,41.4,Bajo 50%,27.9,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,1/3,62.93000000000001,0.0,3.0,0.0,3.0,0.0,-2.4,-1.81,0.0,1.0,-1.5,-33.1,58.0,ALTA,2.4,2.0,10.0,9.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,45,0.6298,ALTA,15.42,⭐ GOOD,🟡 Good,,,,,,,,EVENTO,"Aon reportó resultados sólidos en Q2 y Q3 de 2025 (crecimiento orgánico de 6-7%, expansión de márgenes, EPS +12%), sin deterioro del negocio; la caída coincide con el anuncio de la gran adquisición de USI Insurance Services, un evento corporativo puntual que genera dudas sobre financiación/dilución ",https://www.investing.com/news/transcripts/earnings-call-transcript-aon-plc-q3-2025-beats-eps-expectations-stock-rises-93CH-4324366 | https://finance.yahoo.com/quote/AON/earnings/AON-Q3-2025-earnings_call-367282.html | https://aon.mediaroom.com/2025-10-31-Aon-Reports-Third-Quarter-2025-Results | https://www.theglobeandmail.com/investing/markets/stocks/AON/pressreleases/35830370/aon-q3-2025-earning,324.26,306.66,419.32,5.43,29.31,BUY NOW - At target entry price,False,1,1.12,False,-13.26,9.17,-14.75,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
MA,0.0,,,,32.8,Mastercard Incorporated,69.8,Financial Services,Credit Services,95.0,60.0,53.0,65.0,60.0,588.14,515216474112.0,35.0,47.6,False,up,11.7,True,1.0,7.8,True,1.0,0.8,2.4,False,601.62,-2.2,5.0,False,"{'roe_pct': 241.2, 'debt_to_equity': 4.4, 'current_ratio': 1.06, 'operating_margin_pct': 61.1}","{'eps_growth_yoy': 11.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 46.3}",670.92,740.0,550.0,37.0,strong_buy,14.1,618.54,5.2,406.86,-30.8,3.29,19.51,0.6,17.9,0.55,True,-3.07,28.0,22.1,56.0,2026-10-29,False,False,9.0,STRONG,3.65,622.8,1.16,BULLISH,0.0,50.0,2.0,0.0,27.8,0.0,9.8,20.9,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",MEGA_FLOAT,868.3,23.0,30.8,35.0,False,up,47.6,2.0,True,1.0,True,1.0,5.0,13.0,29.0,58.6,Medio,36.3,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,False,2/3,62.56,0.0,3.0,0.0,3.0,5.0,0.22,1.6,0.0,0.0,0.0,5.2,26.9,MEDIA,1.76,2.0,10.0,37.0,0,,0,UNRELIABLE/INSUFFICIENT (0),CAUTION,-11.0,45,0.3277,BAJA,26.48,⭐ GOOD,🟡 Good,,,,,,,,,,,594.02,546.5,711.53,8.0,19.78,BUY NOW - At target entry price,False,2,0.822,False,-2.18,26.82,-0.42,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
AUTO.L,0.0,,,,49.2,Autotrader Group plc,59.9,Communication Services,Internet Content & Information,60.0,50.0,54.5,90.0,50.0,502.6,3906514176.0,,,,,,,0.0,,,0.0,,,False,828.8,-39.4,0.0,False,"{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}",{'profit_margin_pct': 47.1},562.06,800.0,410.0,18.0,hold,11.8,,,,,6.24,0.31,2.29,32.0,1.38,,,,2.0,63.0,2026-11-05,False,False,5.0,NEUTRAL,9.25,332.4,2.25,,,,,,9.700000000000005,0.0,14.8,18.0,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,803.0,23.0,32.7,,,,,0.0,,0.0,,0.0,0.0,2.0,29.0,96.6,Top 10%,54.5,5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,61.42,5.0,6.0,3.0,0.0,1.0,0.0,-0.05,0.0,0.0,0.0,,,,1.48,2.0,0.0,1.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,5.0,36,0.4921,MEDIA,0.0,⭐ GOOD,🟡 Good,,,,,,,,SENTIMIENTO,"Auto Trader sigue creciendo en ingresos y beneficio (ingresos +4% y beneficio operativo +4% en el año hasta marzo 2026), pero la acción cayó tras advertencias de JPMorgan sobre un 'weak run-rate' y el riesgo de que la IA y la posible entrada de Amazon Autos erosionen su negocio a futuro. Los directi",https://simplywall.st/stocks/gb/media/lse-auto/autotrader-group-shares | https://finance.yahoo.com/news/auto-trader-group-full-2025-133815695.html | https://plc.autotrader.co.uk/investors/results-centre/ | https://walletinvestor.com/lse-stock-forecast/auto-stock-prediction,501.6,484.61,745.81,3.39,48.69,BUY NOW - At target entry price,False,1,1.028,False,-39.37,20.04,-2.87,downtrend,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
HEI,0.0,,,,31.5,HEICO Corporation,76.3,Industrials,Aerospace & Defense,100.0,70.0,44.0,90.0,65.0,322.9,45127667712.0,35.0,35.8,False,down,31.8,True,1.0,19.9,True,1.0,1.4,1.7,False,376.86,-14.3,4.0,False,"{'roe_pct': 17.7, 'debt_to_equity': 0.45, 'current_ratio': 2.72, 'operating_margin_pct': 25.1}","{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.4}",395.74,491.0,294.0,19.0,buy,22.6,,,,,1.87,15.3,0.08,4.2,0.1,False,,9.0,32.5,105.0,2026-12-17,False,False,8.0,STRONG,2.13,52.3,1.38,,,,,,13.299999999999995,0.0,9.4,22.9,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",HIGH_FLOAT,124.0,27.0,32.3,35.0,False,down,35.8,0.0,True,1.0,True,1.0,5.0,,29.0,,Sin datos suficientes,35.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,1/3,60.995000000000005,0.0,0.0,0.0,0.0,5.0,0.84,2.38,2.0,0.0,0.0,,,,2.82,2.0,10.0,110.0,0,,0,UNRELIABLE/INSUFFICIENT (0),REVISION_UP,8.0,45,0.3151,BAJA,16.63,⭐ GOOD,🟡 Good,,,,,,,,EVENTO,"Las acciones cayeron un 12.2% tras los resultados del cuarto trimestre fiscal 2025 (reportados a finales de 2025/inicio de 2026): aunque las ventas crecieron 14.4% y superaron estimaciones, el beneficio por acción GAAP solo batió expectativas gracias a un beneficio fiscal puntual, y el EBITDA ajusta",https://www.sec.gov/Archives/edgar/data/46619/000004661925000042/a04302025ex991earningsrele.htm | https://www.sec.gov/Archives/edgar/data/46619/000004661925000076/a10312025ex991earningsrele.htm | https://www.sec.gov/Archives/edgar/data/46619/000004661925000046/hei-20250430.htm | https://simplywall.st/stocks/us/capital-goods/nyse-hei/heico,327.5,314.66,411.22,3.92,25.56,BUY NOW - At target entry price,False,1,1.126,False,-14.32,26.12,-7.81,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
EXPN.L,0.0,,,,62.5,Experian plc,57.4,Industrials,Consulting Services,55.0,50.0,60.5,65.0,65.0,2917.0,25782558720.0,,,,,,,0.0,,,0.0,,,False,3987.0,-26.8,3.0,False,"{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}",{'profit_margin_pct': 17.8},3719.65,4681.99,2473.91,18.0,strong_buy,27.5,,,,,2.62,0.76,1.74,39.8,1.41,,,,23.1,76.0,2026-11-18,False,False,9.0,STRONG,6.99,646.3,0.74,,,,,,13.0,0.0,18.8,17.2,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,896.8,23.0,36.0,,,,,0.0,,0.0,,0.0,0.0,10.0,29.0,69.0,Medio,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,59.585,0.0,0.0,3.0,0.0,5.0,0.71,0.05,0.0,1.0,0.0,,,,3.44,0.0,10.0,3.0,0,,0,UNRELIABLE/INSUFFICIENT (0),WATCH,3.0,35,0.6251,ALTA,5.739999999999999,🔵 DECENT,🟡 Good,,,,,,,,SENTIMIENTO,"Experian cayó pese a resultados anuales récord (beneficio +26%, ingresos +12%) y un nuevo buyback de $1.000M, castigada por una guía de crecimiento orgánico FY26 del 6-8% ligeramente por debajo del consenso del mercado (8%), en una reacción de tipo 'sell the news'.",https://www.proactiveinvestors.co.uk/companies/news/1092591/experian-slips-to-foot-of-the-ftse-despite-record-results-and-new-share-buyback-1092591.html | https://www.experianplc.com/investors/shareholders/share-price | https://www.experianplc.com/investors/shareholders/share-price/historical-lookup | https://www.google.com/finance/beta/quote/EXPN:LON,2853.76,2735.18,3967.07,4.16,39.01,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.77,False,-26.77,32.52,-0.44,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
VRSN,87.61111111111111,Excellent,Stage 2 Strong,19.2197203755594,23.9,"VeriSign, Inc.",62.5,Technology,Software - Infrastructure,75.0,60.0,57.6,50.0,60.0,289.96,26212382720.0,60.0,53.5,False,up,1.7,False,0.0,3.7,True,1.0,1.7,1.7,False,312.48,-7.2,7.0,True,"{'current_ratio': 0.59, 'operating_margin_pct': 68.2}","{'eps_growth_yoy': 1.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 49.8}",321.4,355.0,270.0,5.0,buy,10.8,165.22,-43.0,92.5,-68.1,3.18,9.21,1.12,34.3,,True,-3.43,15.5,5.4,49.0,2026-10-22,False,False,8.0,STRONG,4.17,512.5,3.43,BEARISH,999.0,50.0,0.0,1.0,72.0,35.0,7.2,18.8,2026-09-03 08:46:35,2026-09-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",HIGH_FLOAT,84.9,0.0,61.0,60.0,False,up,53.5,2.0,False,0.0,True,1.0,2.0,3.0,29.0,93.1,Top 10%,54.2,5.0,0.0,3.0,7.0,-8.0,0.0,0.0,0.0,False,3/3,57.19499999999999,5.0,3.0,0.0,3.0,3.0,1.07,1.07,1.0,0.0,1.5,-43.0,66.4,ALTA,1.35,2.0,10.0,21.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,17.0,45,0.2391,BAJA,69.55555555555556,🔵 DECENT,🟡 Good,HOLD,55.0,Close to ATH (-7.2% from high) - wait for pullback,-7.2,NEUTRAL,BUY,False,,,,284.16,265.4,357.46,6.6,25.79,BUY NOW - At target entry price,True,3,0.882,False,-6.93,40.13,9.25,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
