ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
BR,0.0,,,,53.8,"Broadridge Financial Solutions, Inc.",74.6,Technology,Information Technology Services,100.0,80.0,30.3,80.0,65.0,178.91,20692426752.0,15.0,24.5,False,up,140.7,True,1.0,39.7,False,0.0,3.3,2.9,False,255.74,-30.0,3.0,False,"{'roe_pct': 40.9, 'debt_to_equity': 1.24, 'current_ratio': 1.24, 'operating_margin_pct': 24.6}","{'eps_growth_yoy': 140.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}",213.38,250.0,176.0,8.0,buy,19.3,190.66,6.6,96.4,-46.1,5.77,10.33,2.45,40.6,1.69,True,-2.92,13.9,5.9,60.0,2026-11-03,False,False,8.0,STRONG,6.62,211.6,1.84,BULLISH,0.0,80.0,4.0,0.0,27.5,0.0,16.1,22.4,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,95,"Strong institutional buying (2.1x ratio, 66% up volume)",HIGH_FLOAT,113.5,20.0,38.5,15.0,False,up,24.5,2.0,True,1.0,False,0.0,2.0,17.0,29.0,44.8,Bajo 50%,28.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,2/3,88.0,0.0,0.0,6.0,3.0,3.0,3.0,0.06,3.33,0.0,0.0,0.0,6.6,39.0,MEDIA,2.41,2.0,10.0,5.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,14.0,35,0.5385,MEDIA,7.46,⭐⭐⭐ EXCELLENT,🔥 Legendary,,,,,,,,SIN_DATOS,"BR ha superado estimados de ingresos y EPS en trimestres recientes (Q3 FY2026 incluido), pero cayó por compresión de márgenes operativos ajustados, ventas cerradas más débiles, recortes de precio objetivo y venta interna que deterioraron el sentimiento entre 2025-2026.",https://www.sec.gov/Archives/edgar/data/1383312/000138331225000004/ex991earningsrelease2q2025.htm | https://www.sec.gov/Archives/edgar/data/1383312/000138331225000024/ex991earningsrelease4q2025.htm | https://pitchbook.com/profiles/company/42085-99 | https://www.investing.com/news/company-news/broadridge-financial-solutions-stock-hits-52week-low-at-13975-usd-93CH-4748139,175.33,161.31,245.98,8.0,40.3,BUY NOW - At target entry price,False,1,0.826,False,-28.44,34.51,-23.04,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
MCO,0.0,,,,59.3,Moody's Corporation,67.6,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,46.7,65.0,60.0,504.3,87335174144.0,35.0,35.2,False,up,35.9,True,2.0,8.9,False,0.0,1.7,3.0,False,546.88,-7.8,5.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",560.48,610.0,505.0,21.0,buy,11.1,631.57,25.2,487.2,-3.4,2.95,14.89,0.84,25.0,0.81,False,,14.5,56.7,47.0,2026-10-21,False,False,8.0,STRONG,3.64,106.3,0.47,,,,,,34.1,0.0,17.8,20.3,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,158.5,20.0,38.1,35.0,False,up,35.2,2.0,True,2.0,False,0.0,5.0,5.0,29.0,86.2,Top 25%,43.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,75.005,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.1,0.2,,1.39,2.0,10.0,66.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,8.0,46,0.5932,ALTA,20.26,⭐⭐ STRONG,🟢 Elite,,,,,,,,,,,494.21,461.91,622.3,6.54,25.92,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.914,False,-7.17,26.2,-8.27,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
SPGI,0.0,,,,36.2,S&P Global Inc.,60.6,Financial Services,Financial Data & Stock Exchanges,75.0,50.0,46.7,65.0,65.0,450.58,132830978048.0,35.0,25.7,False,up,3.5,False,0.0,6.6,False,0.0,2.6,3.8,False,522.46924,-13.8,3.0,False,"{'roe_pct': 14.3, 'debt_to_equity': 0.43, 'current_ratio': 0.95, 'operating_margin_pct': 44.8}","{'eps_growth_yoy': 3.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 30.5}",519.3,553.0,485.0,20.0,strong_buy,15.3,495.13,9.9,303.91,-32.6,4.1,18.48,0.9,23.5,0.82,True,-3.91,22.7,17.7,55.0,2026-10-29,False,False,7.0,NEUTRAL,4.35,942.7,1.26,BULLISH,0.0,60.0,1.0,0.0,19.0,0.0,10.9,18.2,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,294.1,23.0,29.0,35.0,False,up,25.7,2.0,False,0.0,False,0.0,0.0,5.0,29.0,86.2,Top 25%,43.6,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,68.05,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.45,0.0,0.0,0.0,9.9,26.6,MEDIA,1.91,2.0,5.0,14.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.3616,BAJA,15.06,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"En febrero de 2026 SPGI cayó ~10% tras publicar resultados del Q4 2025 con un BPA ajustado apenas por debajo del consenso, mientras los ingresos superaron expectativas (+9% interanual) y la guía de BPA ajustado 2026 quedó por encima del consenso de mercado. El resto de la caída desde máximos respond",https://www.kavout.com/market-lens/has-s-p-global-spgi-stock-underperformed-and-why | https://finance.yahoo.com/news/why-p-global-spgi-stock-203049359.html | https://seekingalpha.com/article/4939587-s-and-p-global-investors-await-clarification-in-a-higher-rate-environment | https://www.fool.com/investing/2026/02/10/why-sp-global-stock-tumbled-by-nearly-10-on-tuesda/,441.57,406.24,570.75,8.0,29.25,BUY NOW - At target entry price,False,2,0.941,False,-13.16,25.67,-9.84,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
OXY,0.0,,,,40.5,Occidental Petroleum Corporation,74.8,Energy,Oil & Gas E&P,100.0,70.0,46.7,80.0,60.0,60.61,60588023808.0,35.0,44.6,False,up,259.2,True,2.0,21.8,False,0.0,0.0,0.0,False,67.45,-10.1,7.0,True,"{'roe_pct': 10.6, 'debt_to_equity': 0.35, 'current_ratio': 1.41, 'operating_margin_pct': 45.4}","{'eps_growth_yoy': 259.2, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 30.3}",66.83,79.0,55.0,23.0,buy,10.3,160.71,165.2,101.4,67.3,6.25,3.79,1.84,29.5,1.14,True,-0.19,6.2,675.4,66.0,2026-11-09,False,False,4.0,NEUTRAL,5.16,6.4,0.02,,,,,,48.6,0.0,12.2,22.4,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,995.6,3.0,34.6,35.0,False,up,44.6,2.0,True,2.0,False,0.0,5.0,,29.0,,Sin datos suficientes,44.6,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,3/3,64.945,8.0,0.0,6.0,3.0,3.0,5.0,0.0,3.57,0.0,0.0,0.0,67.3,-106.0,,1.29,2.0,0.0,93.0,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),,0.0,43,0.4047,BAJA,26.98,⭐ GOOD,🟡 Good,HOLD,55.0,Close to ATH (-10.1% from high) - wait for pullback,-10.1,NEUTRAL,BUY,False,,,,59.4,54.65,75.61,8.0,27.29,BUY ON PULLBACK - Wait for 2-5% dip,True,3,0.798,False,-9.73,57.68,-2.7,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
AXP,0.0,,,,45.2,American Express Company,62.5,Financial Services,Credit Services,70.0,60.0,38.7,85.0,60.0,329.82,222730698752.0,15.0,17.2,False,down,7.2,False,0.0,6.6,True,1.0,2.1,3.9,False,387.49,-14.9,2.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",375.96,450.0,315.0,25.0,buy,14.0,486.59,47.5,181.06,-45.1,7.18,23.7,1.15,21.5,1.1,True,-3.35,,7.7,49.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.49,,,,,,7.299999999999997,0.0,13.6,18.8,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,522.2,25.0,32.3,15.0,False,down,17.2,0.0,False,0.0,True,1.0,2.0,12.0,29.0,62.1,Medio,36.0,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,63.25999999999999,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.4,0.0,0.0,0.0,14.0,12.8,,1.75,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CAUTION,5.0,46,0.4521,MEDIA,7.75,⭐ GOOD,🟡 Good,,,,,,,,SENTIMIENTO,"Amex ha reportado beats de EPS y guidance sostenida (8-10% ingresos, EPS $15-15.50) con métricas de crédito estables/mejorando en 2025, pero las acciones han caído por decepción en expectativas de ingresos/guidance y valoraciones ya exigentes, no por deterioro del negocio.",https://www.fool.com/earnings/call-transcripts/2026/04/22/american-express-axp-q1-2025-earnings-transcript/ | https://finance.yahoo.com/markets/stocks/articles/american-express-shares-slip-despite-124057960.html | https://www.benzinga.com/money/american-express-co-axp-stock-price-prediction | https://simplywall.st/stocks/us/diversified-financials/nyse-axp/american-express,330.4,317.44,419.78,3.92,27.05,BUY NOW - At target entry price,False,1,0.733,False,-14.19,14.02,-5.38,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AON,66.69047619047619,Excellent,Stage Unknown,14.92850536692098,52.5,Aon plc,63.7,Financial Services,Insurance Brokers,85.0,50.0,36.0,80.0,65.0,327.0,69365022720.0,15.0,3.1,False,flat,20.3,False,0.0,6.2,False,0.0,1.6,2.6,False,382.34,-14.5,3.0,False,"{'roe_pct': 44.7, 'debt_to_equity': 1.63, 'current_ratio': 1.03, 'operating_margin_pct': 23.5}","{'eps_growth_yoy': 20.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.3}",394.38,433.0,341.0,16.0,buy,20.6,221.34,-32.3,179.2,-45.2,4.6,15.04,0.99,16.8,0.77,True,-2.31,7.7,-2.1,56.0,2026-10-30,False,False,8.0,STRONG,6.62,141.9,,BULLISH,0.0,50.0,1.0,0.0,46.5,26.7,15.8,19.1,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,50,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,209.5,23.0,61.5,15.0,False,flat,3.1,0.0,False,0.0,False,0.0,0.0,19.0,29.0,37.9,Bajo 50%,26.4,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,1/3,62.20500000000001,0.0,0.0,3.0,0.0,3.0,0.0,-2.4,-2.01,0.0,1.0,-1.5,-32.3,59.4,ALTA,2.58,2.0,10.0,9.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.5249,MEDIA,48.71523809523809,⭐ GOOD,🟡 Good,HOLD,65.0,Close to ATH (-14.5% from high) - wait for pullback | Strong upside (+20.6%) - analyst support,-14.5,NEUTRAL,BUY,False,EVENTO,"Aon reportó resultados sólidos en Q2 y Q3 de 2025 (crecimiento orgánico de 6-7%, expansión de márgenes, EPS +12%), sin deterioro del negocio; la caída coincide con el anuncio de la gran adquisición de USI Insurance Services, un evento corporativo puntual que genera dudas sobre financiación/dilución ",https://www.investing.com/news/transcripts/earnings-call-transcript-aon-plc-q3-2025-beats-eps-expectations-stock-rises-93CH-4324366 | https://finance.yahoo.com/quote/AON/earnings/AON-Q3-2025-earnings_call-367282.html | https://aon.mediaroom.com/2025-10-31-Aon-Reports-Third-Quarter-2025-Results | https://www.theglobeandmail.com/investing/markets/stocks/AON/pressreleases/35830370/aon-q3-2025-earning,320.46,306.66,416.37,4.31,29.93,BUY ON PULLBACK - Wait for 2-5% dip,False,1,1.132,False,-14.28,7.89,-19.12,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
HEI,0.0,,,,53.8,HEICO Corporation,76.3,Industrials,Aerospace & Defense,100.0,70.0,44.0,90.0,65.0,325.7,45518991360.0,35.0,35.3,False,down,31.8,True,1.0,19.9,True,1.0,1.4,1.7,False,376.86,-13.6,4.0,False,"{'roe_pct': 17.7, 'debt_to_equity': 0.45, 'current_ratio': 2.72, 'operating_margin_pct': 25.1}","{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.4}",395.74,491.0,294.0,19.0,buy,21.5,,,,,1.86,15.3,,,,False,,9.0,32.5,104.0,2026-12-17,False,False,8.0,STRONG,2.11,52.3,1.39,,,,,,20.0,0.0,16.1,22.9,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 42% up volume)",HIGH_FLOAT,124.0,27.0,39.0,35.0,False,down,35.3,0.0,True,1.0,True,1.0,5.0,,29.0,,Sin datos suficientes,35.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,1/3,62.10999999999999,0.0,0.0,0.0,0.0,0.0,5.0,0.84,2.38,2.0,0.0,0.0,,,,2.69,2.0,10.0,109.0,0,,0,MIXED/INSUFFICIENT (0),REVISION_UP,8.0,46,0.5385,MEDIA,16.63,⭐ GOOD,🟡 Good,,,,,,,,EVENTO,"Las acciones cayeron un 12.2% tras los resultados del cuarto trimestre fiscal 2025 (reportados a finales de 2025/inicio de 2026): aunque las ventas crecieron 14.4% y superaron estimaciones, el beneficio por acción GAAP solo batió expectativas gracias a un beneficio fiscal puntual, y el EBITDA ajusta",https://www.sec.gov/Archives/edgar/data/46619/000004661925000042/a04302025ex991earningsrele.htm | https://www.sec.gov/Archives/edgar/data/46619/000004661925000076/a10312025ex991earningsrele.htm | https://www.sec.gov/Archives/edgar/data/46619/000004661925000046/hei-20250430.htm | https://simplywall.st/stocks/us/capital-goods/nyse-hei/heico,326.62,313.82,413.35,3.92,26.55,BUY NOW - At target entry price,False,1,1.083,False,-13.58,27.22,-8.33,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
MA,0.0,,,,54.1,Mastercard Incorporated,69.3,Financial Services,Credit Services,95.0,60.0,50.3,65.0,60.0,585.71,513087799296.0,35.0,44.5,False,up,11.7,True,1.0,7.8,True,1.0,0.8,2.4,False,601.62,-2.6,5.0,False,"{'roe_pct': 241.2, 'debt_to_equity': 4.4, 'current_ratio': 1.06, 'operating_margin_pct': 61.1}","{'eps_growth_yoy': 11.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 46.3}",670.92,740.0,550.0,37.0,strong_buy,14.5,618.54,5.6,400.01,-31.7,3.31,19.51,0.59,17.9,0.55,True,-3.08,28.0,22.1,55.0,2026-10-29,False,False,9.0,STRONG,3.67,622.8,1.15,NEUTRAL,0.69,50.0,1.0,2.0,29.0,0.0,16.2,20.8,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,868.3,23.0,37.0,35.0,False,up,44.5,2.0,True,1.0,True,1.0,5.0,12.0,29.0,62.1,Medio,36.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,False,2/3,61.425,0.0,0.0,3.0,0.0,3.0,5.0,0.22,1.6,0.0,0.0,0.0,5.6,27.6,MEDIA,1.81,2.0,10.0,35.0,0,,0,MIXED/INSUFFICIENT (0),CAUTION,-3.0,46,0.5406,MEDIA,26.43,⭐ GOOD,🟡 Good,,,,,,,,,,,591.57,544.94,709.68,7.88,19.97,BUY NOW - At target entry price,False,2,0.839,False,-2.58,26.3,-3.09,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
KO,0.0,,,,1.2,The Coca-Cola Company,73.1,Consumer Defensive,Beverages - Non-Alcoholic,85.0,70.0,60.3,80.0,60.0,88.81,382109351936.0,60.0,71.1,False,up,19.7,False,0.0,7.4,True,2.0,0.9,2.4,False,92.49,-4.0,8.0,True,"{'roe_pct': 42.1, 'debt_to_equity': 1.16, 'current_ratio': 1.3, 'operating_margin_pct': 34.9}","{'eps_growth_yoy': 19.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 28.6}",94.7,104.0,75.0,23.0,buy,6.6,31.5,-64.5,56.62,-36.2,1.37,1.21,2.4,62.5,2.86,True,-0.25,12.0,16.9,46.0,2026-10-20,False,False,7.0,NEUTRAL,4.28,91.1,1.49,BULLISH,0.04,70.0,5.0,1.0,43.3,0.0,0.4,21.9,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,3874.0,3.0,22.3,60.0,False,up,71.1,2.0,False,0.0,True,2.0,2.0,10.0,29.0,69.0,Medio,37.7,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,False,3/3,58.3,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,-36.2,57.0,ALTA,0.82,-3.0,5.0,50.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,8.0,46,0.0117,BAJA,37.31,🔵 DECENT,🟡 Good,,,,,,,,,,,89.7,83.95,108.19,6.41,20.62,BUY NOW - At target entry price,True,3,0.776,False,-3.98,38.68,1.22,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
AUTO.L,0.0,,,,57.6,Autotrader Group plc,59.9,Communication Services,Internet Content & Information,60.0,50.0,54.5,90.0,50.0,511.8,3978022144.0,,,,,,,0.0,,,0.0,,,False,828.8,-38.2,0.0,False,"{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}",{'profit_margin_pct': 47.1},562.06,800.0,410.0,18.0,hold,9.8,,,,,6.13,0.31,2.32,32.0,1.38,,,,2.0,62.0,2026-11-05,False,False,5.0,NEUTRAL,9.06,332.4,2.29,,,,,,10.200000000000005,0.0,17.3,18.0,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,803.0,23.0,35.2,,,,,0.0,,0.0,,0.0,0.0,4.0,29.0,89.7,Top 25%,54.5,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,54.84,8.0,0.0,6.0,3.0,0.0,1.0,0.0,-0.05,0.0,0.0,0.0,,,,1.23,0.0,0.0,2.0,0,,0,MIXED/INSUFFICIENT (0),BEST,5.0,37,0.5761,ALTA,0.0,🔵 DECENT,🟡 Average,,,,,,,,SENTIMIENTO,"Auto Trader sigue creciendo en ingresos y beneficio (ingresos +4% y beneficio operativo +4% en el año hasta marzo 2026), pero la acción cayó tras advertencias de JPMorgan sobre un 'weak run-rate' y el riesgo de que la IA y la posible entrada de Amazon Autos erosionen su negocio a futuro. Los directi",https://simplywall.st/stocks/gb/media/lse-auto/autotrader-group-shares | https://finance.yahoo.com/news/auto-trader-group-full-2025-133815695.html | https://plc.autotrader.co.uk/investors/results-centre/ | https://walletinvestor.com/lse-stock-forecast/auto-stock-prediction,504.39,484.61,753.41,3.92,49.37,BUY NOW - At target entry price,False,1,1.112,False,-38.37,22.01,-7.67,downtrend,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
