ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,upside_triangulated_pct,upside_divergence_pts,upside_divergence,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
SAP.DE,SAP SE,70.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,75.0,60.0,65.0,90.0,60.0,,,,,8.8,False,0,8.8,True,1,"{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 8.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 25.5, 'rs_6m': -2.4}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 14.3}",181.76,209788157952,Technology,Software - Application,,,False,244.3,-25.6,3,False,207.77,290.0,160.0,26,strong_buy,14.3,334.01,83.8,200.4,10.3,4.33,7.88,1.35,37.4,2.5,1.46,True,-1.38,20.7,30.6,43,2026-10-21,False,False,8,STRONG,5.13,146.7,0.71,33.2,,,,2026-09-08T09:09:10.450162,DAX40,71.0,3.0,0.0,3.0,5.0,1.79,15.0,CONFIRMED_UPTREND,14.3,-32.8,,178.4,171.3,244.05,3.98,36.8,BUY ON PULLBACK - Wait for 2-5% dip,0,,False,2,1.063,False,-24.12,42.96,1.67,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SGE.L,The Sage Group plc,56.7,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,71.0,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': 23.6, 'rs_6m': 8.5}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.6}",1031.5,9258135552,Technology,Software - Application,,,False,1181.0,-12.7,5,False,1119.94,1349.0,850.0,18,buy,8.6,,,,,6.83,0.7,2.14,55.0,22.0,2.09,,,,14.3,72,2026-11-19,False,False,6,NEUTRAL,4.87,374.3,1.25,30.9,,,,2026-09-08T09:09:49.433729,FTSE100,60.7,6.0,5.0,0.0,3.0,1.08,15.0,CONFIRMED_UPTREND,,,,1030.71,990.29,1304.6,3.92,26.57,BUY NOW - At target entry price,0,,False,2,1.075,False,-12.3,34.2,12.73,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AMS.MC,"Amadeus IT Group, S.A.",55.4,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (2,912,250,112) se aparta del derivado de flujo operativo menos capex (1,380,799,936)",50.0,50.0,54.5,70.0,65.0,,,,,-4.7,False,0,1.0,False,0,"{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 9.8, 'rs_6m': -8.6}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.6}",55.76,23418456064,Technology,Information Technology Services,,,False,69.76,-20.1,4,False,68.36,80.9,51.0,22,buy,22.6,102.03,83.0,30.3,-45.7,12.44,6.93,2.67,50.8,1.54,1.73,True,-6.17,20.4,-2.6,59,2026-11-06,False,False,7,NEUTRAL,6.85,473.7,,24.2,,,,2026-09-08T09:08:41.367819,IBEX35,58.2,8.0,5.0,3.0,0.0,2.82,0.0,CONFIRMED_UPTREND,22.6,4.0,,55.88,54.47,72.3,2.53,29.39,BUY NOW - At target entry price,0,,False,2,0.945,False,-17.07,23.32,-4.61,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
DSY.PA,Dassault Systèmes SE,74.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,60.5,85.0,65.0,,,,,16.1,True,1,6.6,True,1,"{'eps_growth_yoy': 16.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 6.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 7.9, 'rs_6m': 0.8}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.9}",20.46,26884720640,Technology,Software - Application,,,False,30.36,-32.6,3,False,23.71,33.35,17.0,19,buy,15.9,40.9,99.9,29.1,42.2,4.71,0.96,1.28,27.8,0.27,0.67,True,-0.67,,22.3,50,2026-10-28,False,False,8,STRONG,6.02,42.9,0.46,36.2,,,,2026-09-08T09:09:44.037249,CAC40,57.9,3.0,0.0,3.0,5.0,1.99,0.0,CONFIRMED_UPTREND,42.2,-55.2,,20.5,20.03,28.76,2.29,40.3,BUY NOW - At target entry price,0,,False,2,1.012,False,-31.4,31.61,5.1,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
RMV.L,Rightmove plc,62.6,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,60.5,100.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 49.7},{},"{'rs_3m': 12.5, 'rs_6m': -6.0}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 10.8}",492.9,3599611392,Communication Services,Internet Content & Information,,,False,747.2,-34.0,3,False,546.26,745.0,420.0,19,none,10.8,,,,,5.37,0.26,2.19,37.2,11.0,1.57,,,,2.1,171,2027-02-26,False,False,6,NEUTRAL,7.98,637.5,3.34,31.7,,,,2026-09-08T09:09:46.920472,FTSE100,57.0,6.0,5.0,0.0,1.0,1.35,0.0,CONFIRMED_UPTREND,,,,483.63,460.11,703.76,4.86,45.52,BUY ON PULLBACK - Wait for 2-5% dip,0,,False,2,1.003,False,-33.94,26.1,-2.09,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
LR.PA,Legrand SA,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,80.0,80.0,54.5,75.0,60.0,,,,,8.5,True,1,14.7,True,2,"{'eps_growth_yoy': 8.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 14.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 3.3, 'rs_6m': -8.5}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.9}",144.1,37772275712,Industrials,Electrical Equipment & Parts,,,False,166.95,-13.7,5,False,165.5,200.0,114.0,18,buy,14.9,72.91,-49.4,49.7,-65.5,2.73,3.93,1.69,47.9,2.38,1.92,True,-0.29,11.3,5.9,58,2026-11-05,False,False,6,NEUTRAL,4.26,45.7,2.49,27.6,,,,2026-09-08T09:09:26.751000,CAC40,53.9,0.0,5.0,3.0,3.0,1.86,0.0,CONFIRMED_UPTREND,-49.4,72.4,ALTA,141.51,130.19,182.03,8.0,28.63,BUY ON PULLBACK - Wait for 2-5% dip,0,,False,2,1.006,False,-12.01,20.46,-4.39,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
ASSA-B.ST,ASSA ABLOY AB (publ),69.9,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,,,90.0,60.0,54.5,70.0,65.0,,,,,15.9,True,1,3.3,True,1,"{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 2.9, 'rs_6m': -11.8}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.7}",352.5,0,Industrials,Security & Protection Services,,,False,396.9,-11.2,4,False,407.9,500.0,340.0,21,buy,15.7,,,234.68,-33.4,,,1.82,41.7,6.4,1.7,False,,,15.9,49,2026-10-27,False,False,8,STRONG,5.06,118.2,1.22,12.5,,,,2026-09-08T09:08:52.273463,OMXSTO,52.0,0.0,5.0,0.0,5.0,1.96,0.0,CONFIRMED_UPTREND,-8.8,49.1,ALTA,351.19,337.41,441.06,3.92,25.59,BUY NOW - At target entry price,0,,False,1,0.79,False,-10.19,13.53,-7.77,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
RACE.MI,Ferrari N.V.,79.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,"FCF declarado (1,001,981,760) se aparta del derivado de flujo operativo menos capex (1,463,988,912)",100.0,70.0,60.5,90.0,60.0,,,,,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 9.4, 'rs_6m': 7.1}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.8}",353.25,62088925184,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-18.1,7,True,388.02,430.4,330.0,19,buy,9.8,112.84,-68.1,93.83,-73.4,1.61,5.7,1.02,39.0,3.62,0.68,True,-1.28,63.9,10.1,55,2026-11-03,False,False,9,STRONG,3.27,46.9,3.17,19.9,,,,2026-09-08T09:09:13.322406,FTSEMIB,49.6,0.0,0.0,3.0,3.0,1.23,0.0,CONFIRMED_UPTREND,-68.1,80.6,ALTA,353.95,343.54,456.59,2.94,29.0,BUY NOW - At target entry price,0,,True,3,0.882,False,-17.14,32.81,10.89,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
ATCO-B.ST,Atlas Copco AB (publ),70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,False,0.3199,"acciones × precio no cuadra con la capitalización (ratio 0.3199): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",80.0,60.0,60.5,90.0,55.0,,,,,8.2,True,1,9.1,True,1,"{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}","{'revenue_growth_yoy': 9.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 7.6, 'rs_6m': 7.1}","{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 26.0}",178.6,871321698304,Industrials,Specialty Industrial Machinery,,,False,185.2,-3.6,7,True,225.0,225.0,225.0,1,none,26.0,,,,,2.98,16.64,1.71,54.9,3.0,1.63,False,,126.5,4.0,44,2026-10-22,False,False,6,NEUTRAL,3.87,53.6,3.04,18.6,,,,2026-09-08T09:08:58.046843,OMXSTO,49.0,0.0,5.0,0.0,1.0,3.25,0.0,CONFIRMED_UPTREND,,,,180.49,168.12,217.3,6.85,20.4,BUY NOW - At target entry price,0,,True,3,0.887,False,-3.1,36.1,11.44,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
HEXA-B.ST,Hexagon AB (publ),71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,EUR,True,True,True,0.9589,"FCF declarado (7,633,044,215) se aparta del derivado de flujo operativo menos capex (15,464,179,804)",85.0,60.0,60.5,95.0,50.0,,,,,45.8,False,0,4.0,True,1,"{'eps_growth_yoy': 45.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.0}","{'revenue_growth_yoy': 4.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 12.5, 'rs_6m': -16.2}","{'roe_pct': 27.3, 'debt_to_equity': 0.47, 'current_ratio': 1.53, 'operating_margin_pct': 24.0}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 6.9}",94.12,252653649920,Technology,Scientific & Technical Instruments,,,False,122.1,-22.9,3,False,100.66,131.12,80.69,16,hold,6.9,45.53,-51.6,87.4,-7.1,3.02,2.97,1.57,17.8,1.52,1.24,True,-0.01,20.6,,45,2026-10-23,False,False,6,NEUTRAL,0.36,117.8,0.01,22.6,,,,2026-09-08T09:09:32.689892,OMXSTO,48.7,3.0,5.0,3.0,0.0,0.86,0.0,CONFIRMED_UPTREND,-7.1,36.2,MEDIA,94.32,91.88,125.33,2.58,32.88,BUY NOW - At target entry price,0,,False,1,0.886,False,-22.48,32.06,-12.01,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
