ticker,company,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,total_qty,cluster_buy,confidence_score
RSG,"Republic Services, Inc.",36,1,28,2026-08-13,2026-09-10,17071483.0,False,100
CME,Cme Group Inc.,4,1,69,2026-07-02,2026-09-09,1356.0,False,65
SYK,Stryker Corp,4,1,5,2026-09-03,2026-09-08,524.0,False,65
VRSN,Verisign Inc/Ca,4,1,3,2026-09-01,2026-09-04,76.0,False,65
LIN,Linde Plc,4,1,5,2026-08-20,2026-08-25,400.0,False,65
ETN,Eaton Corp Plc,4,1,3,2026-08-17,2026-08-20,800.0,False,65
AME,Ametek Inc/,4,1,5,2026-08-13,2026-08-18,16000.0,False,65
ATO,Atmos Energy Corp,4,1,5,2026-08-13,2026-08-18,1200.0,False,65
MKC,McCormick & Co Inc,4,1,3,2026-07-28,2026-07-31,4400.0,False,65
MSCI,Msci Inc.,3,1,3,2026-09-07,2026-09-10,5358.0,False,55
AON,Aon Plc,3,1,4,2026-09-04,2026-09-08,60000.0,False,55
