ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,ai_confirmation,ai_confidence,ai_reason,historical_win_rate,detected_date,rsi,rsi_tier,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease,bounce_target,bounce_usd,bounce_pct,stop_pct,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,bounce_confidence,bounce_signals,consecutive_down_days,bb_pct_b,below_bb,stoch_k,volume_drying,rsi_weekly,weekly_oversold,cum_rsi2,connors_signal,rsi_divergence,atr14,hammer_candle,engulfing_candle,obv_divergence,market_regime,market_ok,vix,days_to_earnings,earnings_warning,short_interest_shares,short_days_to_cover,short_pct_float,squeeze_potential,finra_short_vol_pct,dark_pool_signal,conviction_tier,value_score,value_grade,pcr,pcr_signal
CBOE,"Cboe Global Markets, Inc.",Bull Flag Pullback,⭐⭐⭐ EXCELENTE,100,281.04,$275.42 - $286.66,313.08,278.76,8.63,YES,90,"R:R alto, soporte sólido",100.0,2026-09-14,36.3,MEDIO,35.6,-10.2,287.38,284.6,Bullish,True,300.71,19.67,7.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTU,Intuit Inc.,Bull Flag Pullback,⭐⭐ MUY BUENA,75,321.57,$315.14 - $328.0,369.92,310.1,1.96,YES,80,"RSI bajo, R:R aceptable",63.2,2026-09-14,26.9,ALTO,45.7,-13.1,319.69,418.14,Bearish,True,344.08,22.51,7.0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAZY,ASSA ABLOY AB (publ),Oversold Bounce,⭐⭐ MUY BUENA,75,17.49,$16.64 - $17.32,19.87,16.58,1.34,CAUTION,65,"R:R bajo, oversold moderado",63.2,2026-09-14,24.0,ALTO,,,,,,,18.71,1.22,7.0,-5.2,-9.3,16.98,19.87,3.0,3.24,88.0,"['RSI muy bajo', 'CumRSI2=0', 'Bajo BB inferior', 'Stoch oversold', '4d bajistas', '✓ Mercado favorable']",4.0,-6.8,True,0.7,False,53.5,False,0.0,True,False,0.27,False,False,False,ALCISTA,True,15.8,,False,,,,False,,,1.0,,,,
ISRG,"Intuitive Surgical, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,75,369.15,$361.77 - $376.53,432.83,366.14,8.58,YES,85,"R:R excelente, RSI razonable",63.2,2026-09-14,43.3,NEUTRAL,30.4,-14.7,377.46,459.85,Bearish,True,394.99,25.84,7.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROP,"Roper Technologies, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,388.52,$380.75 - $396.29,426.2,376.32,2.23,YES,75,"R:R decente, RSI favorable",63.2,2026-09-14,33.3,MEDIO,31.4,-8.8,387.96,373.78,Bullish,True,415.72,27.2,7.0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,"Automatic Data Processing, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,268.26,$262.89 - $273.63,285.65,255.65,1.38,CAUTION,60,"R:R bajo, RSI medio",63.2,2026-09-14,37.0,MEDIO,34.0,-6.1,263.56,233.87,Bullish,True,285.65,17.39,6.5,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYX,"Paychex, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,115.8,$113.48 - $118.12,127.34,113.71,3.88,YES,80,"R:R fuerte, RSI bajo",63.2,2026-09-14,29.3,ALTO,34.1,-9.1,117.22,102.3,Bullish,True,123.91,8.11,7.0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYL,"Tyler Technologies, Inc.",Bull Flag Pullback,⭐ BUENA,60,336.67,$329.94 - $343.4,379.27,319.06,1.34,NO,40,"R:R bajo, RSI alto",71.7,2026-09-14,42.9,NEUTRAL,37.8,-11.2,328.93,355.03,Bearish,False,360.24,23.57,7.0,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD,"Kyndryl Holdings, Inc.",Bull Flag Pullback,⭐ BUENA,60,13.15,$12.89 - $13.41,14.69,12.46,1.33,NO,30,"RSI muy alto, R:R bajo",71.7,2026-09-14,57.8,NEUTRAL,38.3,-10.5,12.85,15.95,Bearish,False,14.07,0.92,7.0,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCN,"Waste Connections, Inc.",Oversold Bounce,MODERADA,55,159.74,$152.71 - $158.95,170.46,151.71,1.33,CAUTION,55,"R:R bajo, oversold leve",55.0,2026-09-14,24.0,ALTO,,,,,,,170.46,10.72,6.7,-5.0,-8.2,155.83,170.46,2.5,0.66,59.0,"['RSI muy bajo', 'CumRSI2=14 (mod)', 'Stoch oversold', 'Vol secándose', '✓ Mercado favorable']",0.0,0.5,False,7.1,True,56.2,False,14.2,False,False,2.75,False,False,False,ALCISTA,True,15.8,,False,,,,False,41.6,NEUTRAL,1.0,,,0.01,NEUTRAL
