ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,ai_confirmation,ai_confidence,ai_reason,historical_win_rate,detected_date,rsi,rsi_tier,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease,bounce_target,bounce_usd,bounce_pct,stop_pct,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,bounce_confidence,bounce_signals,consecutive_down_days,bb_pct_b,below_bb,stoch_k,volume_drying,rsi_weekly,weekly_oversold,cum_rsi2,connors_signal,rsi_divergence,atr14,hammer_candle,engulfing_candle,obv_divergence,market_regime,market_ok,vix,days_to_earnings,earnings_warning,pcr,pcr_signal,short_interest_shares,short_days_to_cover,short_pct_float,squeeze_potential,finra_short_vol_pct,dark_pool_signal,conviction_tier,value_score,value_grade
ABT,Abbott Laboratories,Bull Flag Pullback,⭐⭐⭐ EXCELENTE,100,103.09,$101.03 - $105.15,116.67,102.2,8.11,YES,95,"RSI muy bajo, R:R alto",100.0,2026-09-15,17.2,EXTREMO,33.8,-11.6,105.36,104.69,Bullish,True,110.31,7.22,7.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDS,FactSet Research Systems Inc.,Bull Flag Pullback,⭐⭐⭐ EXCELENTE,85,276.93,$271.39 - $282.47,313.55,267.22,2.0,YES,88,Buen R:R y RSI razonable,83.9,2026-09-15,38.2,MEDIO,50.7,-11.7,275.49,247.71,Bullish,False,296.32,19.39,7.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,Aon plc,Oversold Bounce,⭐⭐ MUY BUENA,75,311.54,$308.07 - $320.65,339.51,298.76,1.71,CAUTION,70,"Drawdown negativo, R:R bajo",63.2,2026-09-15,26.6,MEDIO,,,,,,,333.35,21.81,7.0,-4.1,-18.1,314.36,339.51,-0.9,2.01,67.0,"['Stoch oversold', 'Hammer', 'Div. OBV alcista', '✓ Mercado favorable', 'DP acumulación (24%)']",0.0,20.4,False,15.7,False,41.8,False,101.3,False,False,10.4,True,False,True,ALCISTA,True,17.1,,False,0.11,NEUTRAL,,,,False,23.9,ACCUMULATION,1.0,,
ASAZY,ASSA ABLOY AB (publ),Oversold Bounce,⭐⭐ MUY BUENA,75,17.49,$16.64 - $17.32,19.87,16.59,1.36,CAUTION,68,"Drawdown negativo, R:R bajo",63.2,2026-09-15,27.0,MEDIO,,,,,,,18.71,1.22,7.0,-5.1,-9.3,16.98,19.87,3.0,1.72,45.0,"['⚠ RSI sem 49.2 (sin conf.)', 'CumRSI2=0', 'Stoch oversold', '✓ Mercado favorable']",0.0,1.7,False,8.8,False,49.2,False,0.0,True,False,0.26,False,False,False,ALCISTA,True,17.1,,False,,,,,,False,,,1.0,,
ISRG,"Intuitive Surgical, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,75,377.94,$370.38 - $385.5,432.83,365.2,2.08,YES,80,"RSI neutro, R:R aceptable",63.2,2026-09-15,52.9,NEUTRAL,30.4,-12.7,376.5,458.89,Bearish,True,404.4,26.46,7.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROP,"Roper Technologies, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,394.61,$386.72 - $402.5,426.2,376.93,1.56,YES,78,"RSI bajo, buen R:R",63.2,2026-09-15,35.5,MEDIO,31.4,-7.4,388.58,373.57,Bullish,True,422.23,27.62,7.0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYX,"Paychex, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,118.51,$116.14 - $120.88,127.34,113.97,1.83,YES,78,"RSI bajo, R:R decente",63.2,2026-09-15,33.0,MEDIO,34.1,-6.9,117.49,102.37,Bullish,True,126.81,8.3,7.0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJG,Arthur J. Gallagher & Co.,Bull Flag Pullback,⭐⭐ MUY BUENA,70,253.3,$248.23 - $258.37,271.27,246.61,2.65,YES,80,"RSI bajo, R:R fuerte",63.2,2026-09-15,36.8,MEDIO,30.1,-6.6,254.23,232.45,Bullish,True,271.03,17.73,7.0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOE,"Cboe Global Markets, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,284.5,$278.81 - $290.19,313.08,279.46,3.95,YES,85,"RSI bajo, R:R muy alto",63.2,2026-09-15,32.5,MEDIO,35.6,-9.1,288.11,284.76,Bullish,True,304.42,19.92,7.0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEI,HEICO Corporation,Oversold Bounce,MODERADA,55,303.75,$299.38 - $311.6,354.72,290.59,1.62,CAUTION,60,"Drawdown fuerte, R:R bajo",55.0,2026-09-15,10.5,EXTREMO,,,,,,,325.01,21.26,7.0,-4.3,-18.9,305.49,354.72,-0.6,0.92,89.0,"['RSI extremo <20', 'Stoch oversold', 'Hammer', 'Div. OBV alcista', '✓ Mercado favorable', 'PCR 1.7↑']",1.0,9.7,False,2.2,False,40.9,False,122.3,False,False,9.93,True,False,True,ALCISTA,True,17.1,,False,1.7,CONTRARIAN_BULLISH,,,,False,73.4,DISTRIBUTION,1.0,,
