ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,ai_confirmation,ai_confidence,ai_reason,detected_date,rsi,rsi_tier,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease,bounce_target,bounce_usd,bounce_pct,stop_pct,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,bounce_confidence,bounce_signals,consecutive_down_days,bb_pct_b,below_bb,stoch_k,volume_drying,rsi_weekly,weekly_oversold,cum_rsi2,connors_signal,rsi_divergence,atr14,hammer_candle,engulfing_candle,obv_divergence,market_regime,market_ok,vix,days_to_earnings,earnings_warning,pcr,pcr_signal,short_interest_shares,short_days_to_cover,short_pct_float,squeeze_potential,finra_short_vol_pct,dark_pool_signal,conviction_tier,value_score,value_grade
FDS,FactSet Research Systems Inc.,Bull Flag Pullback,⭐⭐⭐ EXCELENTE,85,277.09,$271.55 - $282.63,313.55,267.73,2.07,NO,30,RSI >25 y R:R bajo,2026-09-16,41.6,NEUTRAL,50.7,-11.6,276.01,247.73,Bullish,False,296.49,19.4,7.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECK,Teck Resources Limited,Bull Flag Pullback,⭐⭐⭐ EXCELENTE,85,64.65,$63.36 - $65.94,71.87,61.73,1.55,NO,30,RSI >25 y R:R bajo,2026-09-16,31.2,MEDIO,32.1,-10.0,63.64,57.29,Bullish,False,69.18,4.53,7.0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEI,HEICO Corporation,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,296.85,$299.38 - $311.6,354.72,290.38,3.21,YES,90,"RSI muy bajo, R:R alto",2026-09-16,9.6,EXTREMO,,,,,,,317.63,20.78,7.0,-2.2,-20.8,305.49,354.72,-2.8,0.88,62.0,"['RSI extremo <20', 'CumRSI2=22 (mod)', 'Stoch oversold', 'Hammer', '⚠ Mercado bajista', 'PCR 1.7↑']",2.0,5.9,False,2.2,False,39.2,False,22.3,False,False,10.07,True,False,False,CORRECCIÓN,False,17.2,,False,1.7,CONTRARIAN_BULLISH,,,,False,50.0,NEUTRAL,1.0,,
INTU,Intuit Inc.,Bull Flag Pullback,⭐⭐ MUY BUENA,75,329.27,$322.68 - $335.86,369.92,312.49,1.37,NO,30,RSI >25 y R:R bajo,2026-09-16,37.2,MEDIO,45.7,-11.0,322.15,415.04,Bearish,True,352.32,23.05,7.0,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKHY,"Jack Henry & Associates, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,75,154.07,$150.99 - $157.15,172.99,152.24,5.89,YES,88,"RSI bajo, R:R excelente",2026-09-16,22.9,ALTO,40.7,-10.9,156.95,158.43,Bearish,True,164.85,10.78,7.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRG,"Intuitive Surgical, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,75,377.16,$369.62 - $384.7,432.83,364.12,2.02,NO,30,RSI >25 y R:R bajo,2026-09-16,53.5,NEUTRAL,30.4,-12.9,375.38,457.89,Bearish,True,403.56,26.4,7.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRI,Herc Holdings Inc.,Oversold Bounce,⭐⭐ MUY BUENA,75,138.95,$133.86 - $139.33,166.91,129.77,1.06,NO,30,RSI >25 y R:R bajo,2026-09-16,28.0,MEDIO,,,,,,,148.68,9.73,7.0,-6.6,-19.5,136.6,166.91,1.7,1.44,54.0,"['⚠ RSI sem 48.1 (sin conf.)', 'CumRSI2=0', 'Stoch oversold', 'Div. RSI alcista', '5d bajistas', '⚠ Mercado bajista', 'PCR 5.4↑']",5.0,22.6,False,15.9,False,48.1,False,0.0,True,True,7.28,False,False,False,CORRECCIÓN,False,17.2,,False,5.43,CONTRARIAN_BULLISH,,,,False,63.3,DISTRIBUTION,1.0,,
ROP,"Roper Technologies, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,383.94,$376.26 - $391.62,426.2,377.33,4.07,NO,30,RSI >25 y R:R bajo,2026-09-16,31.7,MEDIO,31.4,-9.9,389.0,373.28,Bullish,True,410.82,26.88,7.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYX,"Paychex, Inc.",Bull Flag Pullback,⭐⭐ MUY BUENA,70,118.3,$115.93 - $120.67,127.34,114.24,2.04,NO,30,RSI >25 y R:R bajo,2026-09-16,34.3,MEDIO,34.1,-7.1,117.77,102.41,Bullish,True,126.58,8.28,7.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJG,Arthur J. Gallagher & Co.,Bull Flag Pullback,⭐⭐ MUY BUENA,70,248.04,$243.08 - $253.0,271.27,246.58,11.89,NO,30,RSI >25 y R:R bajo,2026-09-16,35.8,MEDIO,30.1,-8.6,254.21,232.46,Bullish,True,265.4,17.36,7.0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAZY,ASSA ABLOY AB (publ),Oversold Bounce,MODERADA,55,17.51,$16.64 - $17.32,19.87,16.59,1.34,CAUTION,60,RSI bajo pero R:R bajo,2026-09-16,19.5,EXTREMO,,,,,,,18.74,1.23,7.0,-5.3,-9.2,16.98,19.87,3.1,1.15,42.0,"['RSI extremo <20', 'Stoch oversold', 'Vol secándose', '⚠ Mercado bajista']",0.0,9.1,False,10.2,True,49.4,False,100.0,False,False,0.26,False,False,False,CORRECCIÓN,False,17.2,,False,,,,,,False,,,1.0,,
