ticker,company_name,fundamental_score,sin_score_motivo,base_periodos,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,dist_ma50_pct,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,pe_eps_usado,pe_ancla,pe_sin_ancla_motivo,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,ai_descartados,piotroski_evaluables,piotroski_motivo,interest_coverage,interest_coverage_base,interest_coverage_ebit,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_fecha_conocida,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,pe_ancla_n,pe_ancla_dispersion,pe_ancla_fragil,dcf_no_aplicable,acciones_efectivas,per_share_no_fiable,pe_ancla_excluidos,shares_change_es_gasto,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,why_cheap,why_cheap_resumen,why_cheap_fuentes,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo
SAP.DE,SAP SE,73.0,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,50.0,90.0,60.0,,,,,28.5,False,0,9.4,True,1,"{'eps_growth_yoy': 28.5, 'op_growth_yoy': 7.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4, 'score_bruto_sin_capar': 95.0, 'satura': False}","{'revenue_growth_yoy': 9.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 12.5}",186.46,215212933120,Technology,Software - Application,,,False,244.3,-23.7,0,False,,209.81,290.0,160.0,26,strong_buy,12.5,164.74,-11.6,224.22,20.3,reportado,múltiplo propio,,4.05,7.55,1.37,37.4,2.5,1.46,True,-1.61,,9,,18.2,Operating Income,20.7,30.6,27.0,2026-10-21,False,True,False,8,STRONG,4.49,131.1,0.73,36.1,,,,2026-09-24T05:18:13.639505,DAX40,3.0,0.63,True,,,,2024-12-31,,72.2,3.0,0.0,3.0,5.0,1.56,15.0,CONFIRMED_UPTREND,31.9,CONTRADICEN,,24.1,MEDIA,,,,0,,False,2,0.983,False,-24.1,43.0,17.21,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 10 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 10% de mediana (peor caso -30%); al año el 60% estaba en positivo (mediana +6%).",10,-10.2,-30.0,60,False,"soporte vivo más cercano en 175.81 (-3.6%), puesto a prueba hace 12 días; aguantó 2 de 2 veces",175.81,-3.6,12,2,0,False
SGE.L,The Sage Group plc,62.5,,anual,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,True,100.0,"acciones × precio no cuadra (ratio 100.0000) pero la divisa sí: son clases múltiples. Se usan 9 M de acciones efectivas (capitalización ÷ precio) en vez de las 898 M declaradas | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000,000)",80.0,60.0,50.0,50.0,60.0,,,,,14.2,False,0,7.8,True,1,"{'eps_growth_yoy': 14.2, 'op_growth_yoy': 17.3, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.6, 'score_bruto_sin_capar': 80.0, 'satura': False}","{'revenue_growth_yoy': 7.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.1}",1000.0,8975410176,Technology,Software - Application,,,False,1181.0,-15.3,0,False,,1131.06,1400.0,850.0,18,buy,13.1,124403.0,12340.3,,,reportado,,múltiplo propio 2959x fuera del rango 8-45,5.25,52.5,2.27,55.0,22.0,2.09,,,,9,,,,,14.3,56.0,2026-11-19,False,True,False,6,NEUTRAL,4.92,368.1,1.22,35.4,,,,2026-09-24T05:18:44.862716,FTSE100,,,,,8975410.0,,,,71.0,6.0,5.0,0.0,3.0,1.64,15.0,CONFIRMED_UPTREND,,,,,,SENTIMIENTO,"<cite index=""8-10"">Sage es valuada como un nombre de software maduro en lugar de una historia de revaluación de crecimiento rápido</cite>. <cite index=""16-3,16-4"">La compañía reportó crecimiento robusto en H1 FY2026 con márgenes operativos en expansión y guidance de crecimiento por encima del 9%</ci",https://www.stockopedia.com/share-prices/sage-group-LON:SGE/ | https://www.stockopedia.com/share-prices/sage-LON:SGE/ | https://finance.yahoo.com/quote/SGE.L/history/ | https://finance.yahoo.com/markets/stocks/articles/sage-group-lse-sge-stock-120719837.html,0,,False,1,1.002,False,-16.19,28.26,12.02,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 12 veces anteriores (RSI normal, sobre su MA200 que baja) o paró casi donde estaba o se desplomó hasta -23% — sin término medio; al año el 58% estaba en positivo (mediana +7%).",12,-10.2,-23.0,58,True,"soporte vivo más cercano en 983.61 (-0.6%), puesto a prueba hace 1 días; aguantó 3 y se rompió 2",983.61,-0.6,1,3,2,False
AZN.L,AstraZeneca PLC,62.2,,trimestral,⭐⭐ GOOD,🟡 Good,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en USD mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (6,044,000,000) se aparta del derivado de flujo operativo menos capex (4,441,376,565)",70.0,60.0,50.0,65.0,65.0,,,,,2.3,False,0,6.4,True,1,"{'eps_growth_yoy': 2.3, 'op_growth_yoy': -9.8, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 17.0, 'score_bruto_sin_capar': 70.0, 'satura': False}","{'revenue_growth_yoy': 6.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 22.0, 'debt_to_equity': 0.64, 'current_ratio': 0.89, 'operating_margin_pct': 23.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 28.4}",12430.0,192776355840,Healthcare,Drug Manufacturers - General,,,False,15732.0,-21.0,0,False,,15965.85,20630.24,11910.86,23,strong_buy,28.4,,,,,reportado,,,2.3,285.89,1.89,47.4,239.0,2.06,False,,,9,,8.0,Operating Income,8.2,2.5,36.0,2026-10-30,False,True,False,8,STRONG,6.05,90.6,5.81,24.1,,,,2026-09-24T05:19:05.216033,FTSE100,,,,"el capex se lleva el 57% del flujo operativo: lo que queda no es lo que gana el dueño, es lo que sobra tras decidir invertir",,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en USD mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables; FCF declarado (6,044,000,000) se aparta del derivado de flujo operativo menos capex (4,441,376,565)",,,65.9,0.0,5.0,0.0,1.0,3.55,15.0,CONFIRMED_UPTREND,,,,,,EVENTO,Caída causada por fracaso de conversaciones de fusión con Bristol-Myers Squibb (agosto 2026) y fallos en ensayos clínicos (Ultomiris no cumplió objetivo principal). Los resultados Q2 superaron expectativas y guidance se mantiene; negocio operativo aguanta.,https://www.bloomberglinea.com/quote/AZN:UN/ | https://www.rava.com/perfil/AZN | https://theofficer.es/las-acciones-de-astrazeneca-se-desploman-688-y-cierran-en-15797-dolares/ | https://theofficer.es/las-acciones-de-astrazeneca-bajan-194-y-cierran-en-17875-dolares/,0,,False,1,0.666,False,-19.44,28.11,-19.22,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 17 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 6% de mediana (peor caso -17%); al año el 82% estaba en positivo (mediana +18%).",17,-6.1,-16.6,82,False,"soporte vivo más cercano en 12639.16 (-0.3%), puesto a prueba hace 54 días; aguantó 3 y se rompió 1",12639.16,-0.3,54,3,1,False
ULVR.L,Unilever PLC,59.2,,anual,⭐ AVERAGE,🟡 Average,GBp,EUR,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en EUR mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",90.0,30.0,50.0,65.0,50.0,,,,,4.7,True,2,-3.8,False,0,"{'eps_growth_yoy': 4.7, 'op_growth_yoy': -1.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 18.3, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': -3.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 31.9, 'debt_to_equity': 1.75, 'current_ratio': 0.74, 'operating_margin_pct': 20.3}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 13.0}",4677.0,100708188160,Consumer Defensive,Household & Personal Products,,,False,5542.11,-15.6,0,False,,5282.9,6038.4,3924.93,15,hold,13.0,,,,,reportado,,,5.79,270.8,3.51,76.1,165.0,3.57,,,,9,,,,,-2.2,138.0,2027-02-09,False,True,False,7,NEUTRAL,7.85,112.6,,16.9,,,,2026-09-24T05:19:02.811290,FTSE100,,,,,,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en EUR mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",,,64.7,6.0,0.0,0.0,0.0,1.62,15.0,CONFIRMED_UPTREND,,,,,,SENTIMIENTO,"<cite index=""5-1"">Unilever ha mostrado una caída del -20.18% en el último año</cite>, pero <cite index=""15-1,15-2"">entregó un sólido desempeño impulsado por volumen en el primer semestre de 2026, con crecimiento de ventas del 4.8%, siendo 4.2% por volumen</cite>. <cite index=""15-14"">Tras este desemp",https://es.tradingview.com/symbols/LSE-ULVR/ | https://www.investing.com/equities/unilever-ord | https://www.stockopedia.com/share-prices/unilever-LON:ULVR/news/ | https://global.morningstar.com/es/inversiones/acciones/0P00007P0W/cotizacion?bolsa=XLON&ticker=ULVR,0,,False,2,0.666,False,-15.21,28.94,-7.21,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 13 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 7% de mediana (peor caso -24%); al año el 62% estaba en positivo (mediana +6%).",13,-7.1,-23.5,62,False,"soporte vivo más cercano en 4653.82 (-0.9%), puesto a prueba hace 19 días; aguantó 9 y se rompió 2",4653.82,-0.9,19,9,2,False
RMV.L,Rightmove plc,73.5,,anual,⭐⭐⭐ EXCELLENT,🟢 Excellent,GBp,GBP,True,True,True,100.0,acciones × precio no cuadra (ratio 100.0000) pero la divisa sí: son clases múltiples. Se usan 7 M de acciones efectivas (capitalización ÷ precio) en vez de las 728 M declaradas,95.0,60.0,50.0,100.0,50.0,,,,,12.6,True,1,9.0,True,1,"{'eps_growth_yoy': 12.6, 'op_growth_yoy': 12.3, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 49.7, 'score_bruto_sin_capar': 95.0, 'satura': False}","{'revenue_growth_yoy': 9.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 14.7}",468.0,3406176000,Communication Services,Internet Content & Information,,,False,726.4,-35.6,0,False,,536.75,745.0,356.0,20,hold,14.7,59577.0,12630.1,,,reportado,,múltiplo propio 2269x fuera del rango 8-45,6.73,31.5,2.22,37.2,11.0,1.57,,,,8,,,,,1.7,155.0,2027-02-26,False,True,False,6,NEUTRAL,8.23,632.8,3.18,37.5,,,,2026-09-24T05:18:42.725229,FTSE100,,,,,7278154.0,,,,61.4,6.0,5.0,0.0,1.0,1.84,0.0,CONFIRMED_UPTREND,,,,,,,,,0,,False,2,1.154,False,-33.27,23.83,4.77,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 18 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 11% de mediana (peor caso -32%); al año el 72% estaba en positivo (mediana +8%).",18,-11.1,-32.0,72,False,"soporte vivo más cercano en 474.43 (-2.1%), puesto a prueba hace 0 días; aguantó 2 y se rompió 1",474.43,-2.1,0,2,1,False
AUTO.L,Autotrader Group plc,64.0,,anual,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,True,100.0,acciones × precio no cuadra (ratio 100.0000) pero la divisa sí: son clases múltiples. Se usan 8 M de acciones efectivas (capitalización ÷ precio) en vez de las 771 M declaradas,75.0,50.0,50.0,90.0,55.0,,,,,4.0,False,0,3.9,False,0,"{'eps_growth_yoy': 4.0, 'op_growth_yoy': 4.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 47.1, 'score_bruto_sin_capar': 75.0, 'satura': False}","{'revenue_growth_yoy': 3.9, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 19.7}",468.1,3610975232,Communication Services,Internet Content & Information,,,False,828.8,-43.5,0,False,,560.16,800.0,410.0,19,hold,19.7,88351.0,18774.4,,,reportado,,sin histórico de múltiplo (beneficio negativo o pocos años),8.18,38.29,2.4,32.0,12.0,1.38,,,,8,,,,,2.0,42.0,2026-11-05,False,True,False,5,NEUTRAL,9.74,328.2,2.1,31.1,,,,2026-09-24T05:18:07.169391,FTSE100,,,,,7714111.0,,,,51.6,8.0,5.0,0.0,1.0,2.46,0.0,CONFIRMED_UPTREND,,,,,,,,,-8,RELIABLE/AVOID (-8),False,1,1.022,False,-41.58,15.66,-5.68,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 17% de mediana (peor caso -47%); al año el 62% estaba en positivo (mediana +5%).",13,-16.8,-47.4,62,False,"soporte vivo más cercano en 478.48 (-1.2%), puesto a prueba hace 0 días; aguantó 6 y se rompió 3",478.48,-1.2,0,6,3,False
ITX.MC,"Industria de Diseño Textil, S.A.",78.2,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,85.0,60.0,,,,,23.0,True,1,33.0,True,1,"{'eps_growth_yoy': 23.0, 'op_growth_yoy': 27.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.5, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 33.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 36.8, 'debt_to_equity': 0.35, 'current_ratio': 1.16, 'operating_margin_pct': 18.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.9}",53.02,165157797888,Consumer Cyclical,Apparel Retail,,,False,59.42,-10.8,0,False,,60.39,67.0,41.5,24,buy,13.9,47.93,-9.6,49.22,-7.2,reportado,múltiplo propio,,4.68,2.48,1.22,56.7,0.65,2.09,,,,9,,37.5,Operating Income,38.5,8.0,69.0,2026-12-02,False,True,False,7,NEUTRAL,5.01,36.3,2.8,22.6,,,,2026-09-24T05:18:24.669603,IBEX35,4.0,0.33,False,,,,,,57.3,3.0,0.0,0.0,3.0,1.74,0.0,CONFIRMED_UPTREND,2.4,COHERENTES,-7.2,22.3,MEDIA,,,,0,,False,1,1.005,False,-10.33,23.96,-3.63,sideways,stage4_ma_alcista,ESPERAR,"Ha perdido la MA200, aunque la media sigue subiendo — corrección dentro de tendencia, espera a que la recupere","las 13 veces anteriores (RSI normal, bajo su MA200 que sube) cayó otro 7% de mediana (peor caso -32%); al año el 77% estaba en positivo (mediana +16%).",13,-7.4,-32.5,77,False,"soporte vivo más cercano en 52.97 (-0.6%), puesto a prueba hace 8 días; aguantó 6 y se rompió 1",52.97,-0.6,8,6,1,False
LR.PA,Legrand SA,77.2,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,75.0,65.0,,,,,23.9,True,1,25.7,True,2,"{'eps_growth_yoy': 23.9, 'op_growth_yoy': 25.6, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 25.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 20.6}",138.15,36210991104,Industrials,Electrical Equipment & Parts,,,False,166.95,-17.3,0,False,,166.56,200.0,114.0,18,buy,20.6,86.04,-37.7,102.25,-26.0,reportado,múltiplo propio,,3.64,5.03,1.69,47.9,2.38,1.92,False,-0.31,,9,,10.9,Operating Income,11.3,5.9,42.0,2026-11-05,False,True,False,6,NEUTRAL,4.31,44.5,2.39,36.9,,,,2026-09-24T05:18:27.127469,CAC40,4.0,0.4,False,,,,,True,55.9,3.0,5.0,0.0,3.0,2.58,0.0,CONFIRMED_UPTREND,11.7,COHERENTES,-26.0,52.4,ALTA,,,,0,,False,2,1.077,False,-14.51,17.04,-3.34,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 46 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -33%); al año el 83% estaba en positivo (mediana +11%).",46,-6.7,-32.8,83,False,"soporte vivo más cercano en 138.65 (-1.3%), puesto a prueba hace 13 días; aguantó 1 y se rompió 4",138.65,-1.3,13,1,4,False
AMS.MC,"Amadeus IT Group, S.A.",54.5,,trimestral,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,50.0,50.0,50.0,70.0,65.0,,,,,-7.6,False,0,1.5,False,0,"{'eps_growth_yoy': -7.6, 'op_growth_yoy': 0.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9, 'score_bruto_sin_capar': 50.0, 'satura': False}","{'revenue_growth_yoy': 1.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.5}",54.18,22754879488,Technology,Information Technology Services,,,False,69.3,-21.8,0,False,,69.06,82.0,51.0,22,buy,27.5,85.82,58.4,73.55,35.8,reportado,múltiplo propio,,6.07,3.29,2.8,50.8,1.54,1.73,True,-4.6,,9,,20.3,Operating Income,20.4,-2.6,43.0,2026-11-06,False,True,False,7,NEUTRAL,6.92,462.9,,27.3,,,,2026-09-24T05:17:49.885512,IBEX35,4.0,0.46,False,,,,,,55.8,6.0,5.0,3.0,0.0,3.44,0.0,CONFIRMED_UPTREND,22.6,DISPERSOS,35.8,-19.6,,,,,0,,False,1,0.976,False,-18.41,21.33,1.11,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 10 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 12% de mediana (peor caso -48%); al año el 60% estaba en positivo (mediana +6%).",10,-11.6,-47.5,60,False,"soporte vivo más cercano en 53.94 (-1.9%), puesto a prueba hace 13 días; aguantó 2 y se rompió 1",53.94,-1.9,13,2,1,False
DSY.PA,Dassault Systèmes SE,73.8,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,100.0,60.0,50.0,85.0,60.0,,,,,42.9,True,1,2.1,True,1,"{'eps_growth_yoy': 42.9, 'op_growth_yoy': 47.3, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3, 'score_bruto_sin_capar': 105.0, 'satura': True}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.8}",21.21,27871084544,Technology,Software - Application,,,False,30.36,-30.1,0,False,,23.71,33.35,17.0,19,buy,11.8,24.75,16.7,40.18,89.4,reportado,múltiplo propio,,5.59,1.19,1.29,27.8,0.27,0.67,False,-0.52,,9,,,,,12.7,34.0,2026-10-28,False,True,False,8,STRONG,5.4,39.8,0.47,34.9,,,,2026-09-24T05:18:40.589194,CAC40,4.0,0.69,False,,,,,,55.5,6.0,0.0,0.0,3.0,1.48,0.0,CONFIRMED_UPTREND,72.7,DISPERSOS,16.7,-41.2,,,,,0,,False,2,0.934,False,-29.97,34.36,14.49,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 9 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 7% de mediana (peor caso -34%); al año el 78% estaba en positivo (mediana +16%).",9,-7.1,-33.8,78,False,"soporte vivo más cercano en 20.81 (-0.8%), puesto a prueba hace 18 días; aguantó 1 y se rompió 1",20.81,-0.8,18,1,1,False
