ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,dist_ma50_pct,health_details,earnings_details,sin_score_motivo,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,pe_ancla,pe_ancla_n,pe_ancla_dispersion,pe_ancla_fragil,pe_ancla_excluidos,pe_sin_ancla_motivo,pe_eps_usado,pe_eps_motivo,dcf_no_aplicable,ai_descartados,per_share_no_fiable,acciones_efectivas,shares_change_es_gasto,dividend_rate,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,interest_coverage_base,interest_coverage_ebit,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_fecha_conocida,earnings_catalyst,piotroski_score,piotroski_label,piotroski_evaluables,piotroski_motivo,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,upside_requiere_verificacion,risk_reward_ratio,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo
VRSN,0.0,,,,43.5,"VeriSign, Inc.",63.1,Technology,Software - Infrastructure,75.0,60.0,60.3,50.0,60.0,291.88,26385952768.0,60.0,58.5,False,up,4.4,False,0.0,6.0,True,1.0,2.2,3.0,False,312.48,-6.6,7.0,True,1.8,"{'current_ratio': 0.59, 'operating_margin_pct': 68.2}","{'eps_growth_yoy': 4.4, 'op_growth_yoy': 5.6, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 49.8, 'score_bruto_sin_capar': 75.0, 'satura': False}",,324.4,355.0,285.0,5.0,buy,11.1,320.71,9.9,243.84,-16.5,múltiplo propio,4.0,0.26,False,,,reportado,,,,,,,3.24,4.09,11.94,1.1,34.3,,True,-3.09,15.3,Operating Income,15.5,5.4,27.0,2026-10-22,False,True,False,8.0,STRONG,9.0,,4.05,501.6,3.43,BULLISH,0.0,60.0,1.0,0.0,56.0,0.0,13.0,18.9,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,70,"Moderate accumulation (1.2x ratio, 54% up volume)",HIGH_FLOAT,84.9,0.0,32.0,60.0,False,up,58.5,2.0,False,0.0,True,1.0,2.0,3.0,32.0,93.8,Top 10%,55.2,5.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0,False,3/3,71.91499999999999,5.0,3.0,0.0,3.0,3.0,0.0,2.01,1.0,0.0,0.0,26.4,CONTRADICEN,,27.6,MEDIA,False,1.39,10.0,29.0,1,Berkshire Hathaway (Buffett),-10,UNRELIABLE/AVOID (-10),CONFIRM,23.0,37,0.4349,BAJA,25.81,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,,,,True,3,0.95,False,-6.32,41.05,-2.92,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 40 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 10% de mediana (peor caso -30%); al año el 75% estaba en positivo (mediana +11%).",40,-10.5,-29.8,75,False,"soporte vivo más cercano en 278.90 (-4.4%), puesto a prueba hace 16 días; aguantó 4 y se rompió 1",278.9,-4.4,16.0,4.0,1.0,False
RMD,73.75238095238095,Excellent,Stage 2 Early,15.958149303048732,55.3,ResMed Inc.,63.9,Healthcare,Medical Instruments & Supplies,75.0,60.0,34.7,90.0,60.0,221.89,32008142848.0,35.0,26.3,False,up,1.0,False,0.0,8.6,True,1.0,10.4,8.3,True,284.87,-22.1,2.0,False,1.1,"{'roe_pct': 24.3, 'debt_to_equity': 0.13, 'current_ratio': 3.1, 'operating_margin_pct': 30.9}","{'eps_growth_yoy': 1.0, 'op_growth_yoy': -1.7, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 26.9, 'score_bruto_sin_capar': 75.0, 'satura': False}",,247.56,320.0,175.0,16.0,buy,11.6,320.43,44.4,,,,,,,,sin histórico de múltiplo (beneficio negativo o pocos años),reportado,,,,,,,2.64,5.09,11.29,1.19,23.0,0.88,True,-1.4,,,,1.7,34.0,2026-10-29,False,True,False,7.0,NEUTRAL,9.0,,6.08,52.1,6.99,,,,,,37.3,29.5,16.6,19.2,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",HIGH_FLOAT,143.4,27.0,65.3,35.0,False,up,26.3,2.0,False,0.0,True,1.0,2.0,10.0,32.0,71.9,Medio,30.5,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,80.925,5.0,6.0,0.0,3.0,1.0,0.46,0.46,0.0,0.0,0.0,,,28.0,-32.8,,False,1.45,5.0,48.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,14.0,7,0.5532,ALTA,35.766190476190474,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,EVENTO,"Caída derivada del recall de Astral (FDA) anunciado en Q4 2026 (agosto): $42M de cargo y $75M de headwind de revenue en FY2027 al suspender ventas nuevas. Negocio base sigue sólido (9% revenue growth, 16% EPS growth en FY2026) y el cargo ya está incorporado en guidance.",https://www.etoro.com/markets/rmd | https://www.investing.com/equities/resmed-inc | https://investor.resmed.com/ | https://robinhood.com/us/en/stocks/RMD/,False,2,0.812,False,-21.28,23.44,-20.91,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 12 veces anteriores (RSI normal, bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -39% — sin término medio; al año el 67% estaba en positivo (mediana +21%).",12,-9.9,-39.4,67,True,"soporte vivo más cercano en 218.08 (-1.7%), puesto a prueba hace 1 días; aguantó 5 y se rompió 2",218.08,-1.7,1.0,5.0,2.0,False
THC,0.0,,,,50.0,Tenet Healthcare Corporation,75.6,Healthcare,Medical Care Facilities,100.0,60.0,66.6,75.0,60.0,249.54,20092710912.0,60.0,72.4,False,up,186.8,False,0.0,14.6,False,0.0,2.9,2.8,False,283.05,-11.8,7.0,True,-1.4,"{'roe_pct': 37.3, 'debt_to_equity': 1.52, 'current_ratio': 1.41, 'operating_margin_pct': 18.2}","{'eps_growth_yoy': 186.8, 'op_growth_yoy': 68.7, 'crecimiento_respaldado': False, 'crecimiento_puntuado': 93.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.3, 'score_bruto_sin_capar': 100.0, 'satura': False}",,284.64,315.0,260.0,22.0,buy,14.1,610.89,144.8,333.6,33.7,múltiplo propio,4.0,0.72,False,,,reportado,,,,,,,,14.96,37.33,,,2.75,True,-8.53,5.4,Operating Income,5.7,213.4,32.0,2026-10-27,False,True,False,6.0,NEUTRAL,9.0,,9.77,31.7,0.06,,,,,,49.4,0.0,,22.7,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",HIGH_FLOAT,79.7,0.0,32.4,60.0,False,up,72.4,2.0,False,0.0,False,0.0,0.0,1.0,32.0,100.0,Top 10%,57.4,5.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,3/3,69.24,5.0,8.0,0.0,3.0,5.0,-0.33,0.76,0.0,0.0,0.0,111.1,DISPERSOS,33.7,-75.2,,False,1.76,2.0,49.0,1,Appaloosa (Tepper),-5,MIXED/AVOID (-5),,0.0,3,,,27.06,⭐⭐ STRONG,🟢 Excellent,,,,,,,,,,,False,2,0.831,False,-11.84,58.36,5.22,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 32 veces anteriores (RSI normal, sobre su MA200 que sube) o paró casi donde estaba o se desplomó hasta -70% — sin término medio; al año el 69% estaba en positivo (mediana +22%).",32,-16.9,-69.9,69,True,"soporte vivo más cercano en 244.44 (-2.0%), puesto a prueba hace 51 días; aguantó 2 de 2 veces",244.44,-2.0,51.0,2.0,0.0,False
ADSK,0.0,,,,33.1,"Autodesk, Inc.",69.6,Technology,Software - Application,100.0,70.0,26.7,65.0,70.0,211.35,44172152832.0,15.0,9.4,False,flat,57.2,False,0.0,16.1,True,1.0,4.4,3.7,False,326.2,-35.2,0.0,False,-9.5,"{'roe_pct': 53.9, 'debt_to_equity': 1.1, 'current_ratio': 0.85, 'operating_margin_pct': 29.2}","{'eps_growth_yoy': 57.2, 'op_growth_yoy': 32.9, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.1, 'score_bruto_sin_capar': 105.0, 'satura': True}",,308.66,375.0,215.0,34.0,buy,46.0,248.97,17.8,,,,,,,,múltiplo propio 59x fuera del rango 8-45,reportado,,,,,,,,6.38,13.48,,,0.48,True,-1.86,,,,59.6,63.0,2026-11-27,False,True,False,7.0,NEUTRAL,9.0,,4.1,645.3,0.25,,,,,,2.8000000000000007,0.0,9.9,20.9,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 48% up volume)",MEGA_FLOAT,208.4,25.0,30.8,15.0,False,flat,9.4,0.0,False,0.0,True,1.0,2.0,13.0,32.0,62.5,Medio,27.7,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,68.995,5.0,6.0,0.0,3.0,5.0,-1.35,-1.35,0.0,1.0,-1.5,,,31.9,28.2,MEDIA,True,5.75,5.0,25.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,8.0,6,0.3312,BAJA,0.0,⭐ GOOD,🟢 Excellent,,,,,,,,SENTIMIENTO,"Autodesk ha caído ~33% en 12 meses a pesar de resultados sólidos: 3 trimestres consecutivos superando EPS, revenue creciendo 16-18% YoY, free cash flow +54% en FY26, y guidance elevada. La caída refleja rotación sector software y compresión de múltiplos tras máximos, no deterioro operativo.",https://www.tikr.com/es/blog/autodesk-stock-is-down-17-ytd-what-the-numbers-say-about-2026 | https://www.sec.gov/Archives/edgar/data/0000769397/000119312526387877/d103766d8k.htm | https://simplywall.st/es/stocks/us/software/nasdaq-adsk/autodesk/news/las-acciones-de-autodesk-adsk-podrian-estar-infravaloradas-e/amp | https://simplywall.st/es/stocks/us/software/nasdaq-adsk/autodesk/news/sigue-siendo-,False,1,0.812,False,-35.24,13.94,-29.75,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 15 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 9% de mediana (peor caso -41%); al año el 73% estaba en positivo (mediana +18%).",15,-8.6,-40.6,73,False,"soporte vivo más cercano en 206.33 (-2.4%), puesto a prueba hace 16 días; aguantó 2 y se rompió 1",206.33,-2.4,16.0,2.0,1.0,False
PAYX,0.0,,,,39.4,"Paychex, Inc.",68.7,Technology,Software - Application,95.0,60.0,38.7,80.0,55.0,101.59,36164055040.0,15.0,20.5,False,down,41.5,False,0.0,12.5,False,0.0,6.4,8.9,False,130.32,-22.0,3.0,False,-14.2,"{'roe_pct': 47.1, 'debt_to_equity': 1.25, 'current_ratio': 1.28, 'operating_margin_pct': 38.5}","{'eps_growth_yoy': 41.5, 'op_growth_yoy': 40.3, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.4, 'score_bruto_sin_capar': 95.0, 'satura': False}",,117.29,150.0,109.0,14.0,hold,15.5,134.93,32.8,111.89,10.1,múltiplo propio,4.0,0.58,False,,,reportado,,,,,,,4.76,5.58,5.67,4.56,90.1,2.83,True,-1.13,9.3,Operating Income,9.6,5.6,84.0,2026-12-18,False,True,False,7.0,NEUTRAL,9.0,,6.3,103.5,1.14,BEARISH,4.57,80.0,2.0,5.0,0.0,0.0,11.8,20.6,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,45,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,319.1,25.0,32.4,15.0,False,down,20.5,0.0,False,0.0,False,0.0,0.0,13.0,32.0,62.5,Medio,27.7,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,False,1/3,56.45,5.0,6.0,-2.0,3.0,3.0,-3.07,5.32,4.0,1.0,-3.0,22.7,DISPERSOS,15.5,-5.9,,False,1.94,5.0,18.0,0,,-8,RELIABLE/AVOID (-8),BEST,14.0,11,0.3939,BAJA,6.870000000000001,⭐ GOOD,🟡 Good,,,,,,,,SIN_DATOS,,,False,1,1.0,False,-20.62,21.67,-8.17,sideways,stage4_ma_alcista,ESPERAR,"Ha perdido la MA200, aunque la media sigue subiendo — corrección dentro de tendencia, espera a que la recupere","las 14 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que sube) cayó otro 5% de mediana (peor caso -36%); al año el 86% estaba en positivo (mediana +21%).",14,-5.0,-36.2,86,False,"el soporte más cercano está en 96.26 (-5.2%), sin visitar desde hace 3 meses; aguantó 4 y se rompió 1",96.26,-5.2,99.0,4.0,1.0,True
LMT,0.0,,,,27.6,Lockheed Martin Corporation,67.8,Industrials,Aerospace & Defense,100.0,70.0,24.0,60.0,65.0,523.7,120865120256.0,15.0,11.8,False,flat,436.8,True,2.0,10.5,True,1.0,1.4,2.7,False,692.0,-24.3,3.0,False,-5.6,"{'roe_pct': 89.2, 'debt_to_equity': 2.34, 'current_ratio': 1.19, 'operating_margin_pct': 12.0}","{'eps_growth_yoy': 436.8, 'op_growth_yoy': 231.4, 'crecimiento_respaldado': False, 'crecimiento_puntuado': 256.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 8.2, 'score_bruto_sin_capar': 115.0, 'satura': True}",,637.84,756.0,503.0,19.0,buy,21.8,897.8,71.4,556.65,6.3,múltiplo propio,4.0,0.33,False,,,reportado,,,,,,,13.8,7.24,37.92,2.63,50.3,2.63,True,-1.37,8.2,Operating Income,7.7,310.7,25.0,2026-10-20,False,True,False,6.0,NEUTRAL,9.0,,5.62,70.9,0.04,,,,,,16.6,0.0,8.3,20.3,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,197.4,20.0,28.6,15.0,False,flat,11.8,0.0,True,2.0,True,1.0,8.0,20.0,32.0,40.6,Bajo 50%,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,64.4,0.0,6.0,3.0,3.0,5.0,-0.37,-0.37,0.0,0.0,0.0,65.1,DISPERSOS,21.8,-17.0,,False,2.72,2.0,32.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,5.0,7,0.2758,BAJA,6.779999999999999,⭐ GOOD,🟡 Good,,,,,,,,SIN_DATOS,,,False,1,0.764,False,-23.35,21.94,-34.56,downtrend,stage4_ma_alcista,ESPERAR,"Ha perdido la MA200, aunque la media sigue subiendo — corrección dentro de tendencia, espera a que la recupere","las 19 veces anteriores (RSI normal, bajo su MA200 que sube) cayó otro 9% de mediana (peor caso -25%); al año el 89% estaba en positivo (mediana +20%).",19,-9.2,-24.6,89,False,"soporte vivo más cercano en 518.10 (-1.1%), puesto a prueba hace 1 días; aguantó 4 y se rompió 4",518.1,-1.1,1.0,4.0,4.0,False
UNP,0.0,,,,38.7,Union Pacific Corporation,70.5,Industrials,Railroads,85.0,80.0,44.0,65.0,65.0,274.07,162818277376.0,35.0,44.1,False,down,6.2,True,1.0,11.5,True,2.0,5.2,11.2,False,315.99,-13.3,5.0,False,-6.4,"{'roe_pct': 39.7, 'debt_to_equity': 1.51, 'current_ratio': 0.99, 'operating_margin_pct': 41.0}","{'eps_growth_yoy': 6.2, 'op_growth_yoy': 9.4, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 28.8, 'score_bruto_sin_capar': 85.0, 'satura': False}",,329.33,375.0,245.0,24.0,buy,20.2,199.57,-27.2,238.32,-13.0,múltiplo propio,4.0,0.27,False,,,reportado,,,,,,,5.68,3.97,10.88,2.06,44.7,2.22,False,-0.13,7.9,Operating Income,8.4,6.6,27.0,2026-10-22,False,True,False,8.0,STRONG,9.0,,5.13,16.2,2.93,,,,,,36.8,0.0,11.6,21.1,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,592.7,10.0,32.8,35.0,False,down,44.1,0.0,True,1.0,True,2.0,5.0,6.0,32.0,84.4,Top 25%,45.1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,61.135000000000005,0.0,3.0,3.0,0.0,3.0,-0.34,-0.34,0.0,0.0,0.0,14.2,COHERENTES,-13.0,40.3,ALTA,False,2.52,10.0,102.0,0,,0,UNRELIABLE/INSUFFICIENT (0),WATCH,3.0,4,0.3874,BAJA,20.55,⭐ GOOD,🟡 Good,,,,,,,,,,,False,2,0.94,False,-12.86,29.84,-4.84,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 43 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 8% de mediana (peor caso -37%); al año el 77% estaba en positivo (mediana +17%).",43,-7.9,-37.4,77,False,"el soporte más cercano está en 260.64 (-4.9%), sin visitar desde hace 3 meses; aguantó 5 de 5 veces",260.64,-4.9,99.0,5.0,0.0,True
CBOE,58.400000000000006,Excellent,Stage Unknown,27.11734691997296,43.6,"Cboe Global Markets, Inc.",78.3,Financial Services,Financial Data & Stock Exchanges,100.0,90.0,26.7,100.0,55.0,267.57,27942606848.0,15.0,19.8,False,down,50.2,False,0.0,22.9,True,2.0,3.0,2.9,False,371.18,-27.9,2.0,False,-7.4,"{'roe_pct': 26.3, 'debt_to_equity': 0.28, 'current_ratio': 1.56, 'operating_margin_pct': 34.6}","{'eps_growth_yoy': 50.2, 'op_growth_yoy': 33.6, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 26.7, 'score_bruto_sin_capar': 105.0, 'satura': True}",,315.64,356.0,258.0,14.0,hold,18.0,496.53,85.6,326.45,22.0,múltiplo propio,4.0,1.22,True,,,reportado,,,,,,,3.44,6.77,18.11,1.28,22.4,1.27,False,-0.19,33.6,Operating Income,36.6,20.1,35.0,2026-10-30,False,True,False,8.0,STRONG,9.0,,5.57,65.7,0.35,,,,,,37.9,23.4,13.1,23.5,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",HIGH_FLOAT,104.0,22.0,59.9,15.0,False,down,19.8,0.0,False,0.0,True,2.0,2.0,9.0,32.0,75.0,Top 25%,32.6,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,52.5,0.0,6.0,0.0,0.0,5.0,0.0,0.16,0.0,0.0,0.0,63.6,DISPERSOS,22.0,-35.8,,False,2.25,10.0,40.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,46,0.4365,BAJA,29.53,⭐ GOOD,🟡 Good,,,,,,,,SIN_DATOS,,,False,1,0.855,False,-27.56,18.12,-22.48,sideways,stage4_ma_alcista,ESPERAR,"Ha perdido la MA200, aunque la media sigue subiendo — corrección dentro de tendencia, espera a que la recupere","las 16 veces anteriores (RSI normal, bajo su MA200 que sube) cayó otro 4% de mediana (peor caso -34%); al año el 88% estaba en positivo (mediana +22%).",16,-3.8,-33.5,88,False,"soporte vivo más cercano en 265.23 (-0.9%), puesto a prueba hace 8 días; aguantó 2 y se rompió 1",265.23,-0.9,8.0,2.0,1.0,False
MCO,0.0,,,,53.1,Moody's Corporation,69.0,Financial Services,Financial Data & Stock Exchanges,100.0,60.0,38.7,65.0,65.0,467.35,80936140800.0,15.0,15.1,False,down,51.9,True,2.0,15.1,False,0.0,1.9,4.2,False,546.88,-14.5,3.0,False,-3.9,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 51.9, 'op_growth_yoy': 27.4, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3, 'score_bruto_sin_capar': 125.0, 'satura': True}",,561.9,610.0,505.0,21.0,buy,20.2,318.41,-31.9,619.8,32.6,múltiplo propio,4.0,0.19,False,,,reportado,,,,,,,4.12,3.7,17.29,0.87,25.0,0.81,False,,14.1,Operating Income,14.5,56.7,26.0,2026-10-21,False,True,False,8.0,STRONG,9.0,,3.97,107.9,0.44,,,,,,20.6,0.0,15.9,20.7,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 42% up volume)",HIGH_FLOAT,158.5,27.0,36.6,15.0,False,down,15.1,0.0,True,2.0,False,0.0,5.0,9.0,32.0,75.0,Top 25%,32.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,1/3,52.255,0.0,3.0,0.0,0.0,5.0,0.0,0.25,0.0,0.0,0.0,64.5,CONTRADICEN,,52.1,ALTA,False,2.52,10.0,60.0,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CAUTION,5.0,46,0.531,MEDIA,15.9,⭐ GOOD,🟡 Good,,,,,,,,SIN_DATOS,,,False,1,0.86,False,-13.97,16.95,-9.86,sideways,stage4_ma_alcista,ESPERAR,"Ha perdido la MA200, aunque la media sigue subiendo — corrección dentro de tendencia, espera a que la recupere","las 13 veces anteriores (RSI normal, bajo su MA200 que sube) o paró casi donde estaba o se desplomó hasta -34% — sin término medio; al año el 62% estaba en positivo (mediana +7%).",13,-12.5,-34.5,62,True,"soporte vivo más cercano en 462.00 (-1.1%), puesto a prueba hace 9 días; aguantó 11 y se rompió 6",462.0,-1.1,9.0,11.0,6.0,False
MSFT,0.0,,,,44.0,Microsoft Corporation,82.5,Technology,Software - Infrastructure,100.0,70.0,71.4,95.0,65.0,497.93,3697401921536.0,60.0,54.2,False,up,31.3,True,1.0,17.7,True,1.0,0.9,3.2,False,553.72,-10.1,6.0,False,5.3,"{'roe_pct': 34.0, 'debt_to_equity': 0.29, 'current_ratio': 1.23, 'operating_margin_pct': 45.1}","{'eps_growth_yoy': 31.3, 'op_growth_yoy': 18.3, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.3, 'score_bruto_sin_capar': 105.0, 'satura': True}",,577.26,870.0,440.0,52.0,strong_buy,15.9,,,632.49,27.0,múltiplo propio,4.0,0.47,False,,,reportado,,"el capex se lleva el 63% del flujo operativo: lo que queda no es lo que gana el dueño, es lo que sobra tras decidir invertir",,,,,3.92,1.81,9.01,0.78,19.8,0.79,False,-0.24,50.9,Operating Income,55.4,31.7,33.0,2026-10-28,False,True,False,6.0,NEUTRAL,9.0,,4.14,41.3,0.66,BULLISH,0.21,100.0,22.0,16.0,40.0,0.0,13.2,24.8,2026-09-25 05:07:54,2026-09-25,CONFIRMED_UPTREND,TRADE,False,66,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 60% up volume)",MEGA_FLOAT,7414.4,23.0,38.0,60.0,False,up,54.2,2.0,True,1.0,True,1.0,5.0,3.0,32.0,93.8,Top 10%,55.2,5.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,False,2/3,59.2,5.0,0.0,0.0,0.0,5.0,0.76,1.37,0.0,0.0,0.0,,,21.4,-11.1,,False,1.99,2.0,98.0,1,Pershing Square (Ackman),0,MIXED/WATCH (0),CAUTION,-9.0,46,0.4402,BAJA,24.75,🔵 DECENT,🟡 Good,,,,,,,,,,,False,2,0.894,False,-9.34,42.86,17.08,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 48 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 4% de mediana (peor caso -36%); al año el 90% estaba en positivo (mediana +25%).",48,-3.5,-35.8,90,False,"soporte vivo más cercano en 490.17 (-1.6%), puesto a prueba hace 9 días; aguantó 8 y se rompió 1",490.17,-1.6,9.0,8.0,1.0,False
