ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
DASH,"DoorDash,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,160.34,$183.98 - $191.48,258.31,178.34,0.0,2026-02-16,12.1,-31.7,187.73,258.31,-14.6,1.45,,,,,,
WYY,WidePoint,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,4.93,$5.2 - $5.42,7.16,5.04,0.0,2026-02-16,9.1,-33.2,5.31,7.16,-7.2,1.75,,,,,,
SAIC,Science Applications International,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,86.61,$88.81 - $92.44,102.11,86.09,29.97,2026-02-16,21.4,-24.0,90.62,102.11,-4.4,1.37,,,,,,
CNXC,Concentrix,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,30.39,$36.65 - $38.15,49.9,35.53,0.0,2026-02-16,29.9,-30.4,37.4,49.9,-18.8,1.75,,,,,,
CRM,"Salesforce,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,189.72,$230.6 - $240.02,264.61,223.54,0.0,2026-02-16,18.7,-28.7,235.31,264.61,-19.4,1.08,,,,,,
PODD,Insulet,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,242.74,$302.79 - $315.14,337.79,293.52,0.0,2026-02-16,24.7,-29.9,308.97,337.79,-21.4,0.72,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.2,$6.51 - $6.77,6.75,6.31,0.0,2026-02-16,28.4,-52.6,6.64,6.75,-51.8,0.41,,,,,,
NAVN,"Navan,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,10.44,$12.64 - $13.16,18.06,12.25,0.0,2026-02-16,24.2,-42.2,12.9,18.06,-19.1,0.66,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.69,$3.93 - $4.09,4.83,3.81,0.0,2026-02-16,19.6,-25.6,4.01,4.83,-8.0,0.55,,,,,,
BLND,"Blend Labs,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.71,$2.93 - $3.05,3.45,2.84,0.0,2026-02-16,7.7,-48.8,2.99,3.45,-42.8,1.1,,,,,,
MYSZ,"My Size,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.57,$0.74 - $0.77,1.26,0.72,0.0,2026-02-16,18.3,-47.7,0.76,1.26,-24.8,0.49,,,,,,
GRND,Grindr,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,10.08,$11.92 - $12.4,15.06,11.55,0.0,2026-02-16,26.6,-27.7,12.16,15.06,-17.1,0.55,,,,,,
RPD,"Rapid7,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,7.18,$15.3 - $15.93,18.76,14.83,0.0,2026-02-16,12.5,-57.0,15.62,18.76,-54.0,1.14,,,,,,
