ticker,ml_score,ml_confidence,ml_win_prob
VRSN,50.5,1.0,0.5048
JKHY,33.4,33.3,0.3337
EXPN.L,80.7,61.4,0.8069
INTU,36.6,26.8,0.3662
AUTO.L,84.9,69.7,0.8487
WTKWY,90.1,80.2,0.9011
BR,69.6,39.3,0.6964
SAP,71.4,42.7,0.7135
RELX,60.8,21.5,0.6076
ROP,55.7,11.3,0.5567
G24.DE,74.8,49.7,0.7484
GVDNY,75.4,50.9,0.7543
IT,31.3,37.3,0.3134
HESAY,45.0,67.1,0.8353
LSEG.L,98.0,96.1,0.9804
TJX,45.0,80.5,0.9026
MSI,52.3,4.5,0.5225
NDAQ,74.6,49.2,0.7462
CLPBY,91.7,83.5,0.9173
ICE,85.1,70.1,0.8505
DSGX,32.9,34.2,0.3289
MA,35.9,28.1,0.3594
MKC,45.0,38.8,0.694
OTIS,72.3,44.6,0.723
FDS,81.1,62.1,0.8106
ITRK.L,30.5,39.1,0.3046
TW,65.9,31.7,0.6586
MSCI,77.7,55.4,0.7771
MCO,64.4,28.9,0.6445
MCD,39.9,6.4,0.5321
TNE.AX,71.2,42.4,0.7118
AON,73.6,47.2,0.7361
VEEV,75.5,51.0,0.7552
NDSN,43.5,13.0,0.4351
ATLKY,79.5,59.0,0.7952
DHR,24.1,51.7,0.2414
ZTS,15.1,69.7,0.1514
NOW,44.5,11.1,0.4447
PG,17.9,52.1,0.2393
IDXX,23.4,53.1,0.2344
COST,45.0,22.4,0.6121
WST,29.0,42.1,0.2896
SBGSY,66.0,32.1,0.6604
CNI,29.3,41.3,0.2934
SXYAY,48.1,3.9,0.4807
WM,85.3,70.5,0.8525
TYL,19.3,61.4,0.193
MTD,50.6,1.1,0.5055
CDNS,51.9,3.8,0.519
CTAS,64.1,28.2,0.6411
ADP,19.6,60.8,0.1961
V,58.3,16.5,0.5826
HEI,24.7,50.7,0.2467
CSU.TO,14.6,70.8,0.1462
CB,34.2,31.6,0.3422
SYK,18.3,63.5,0.1827
AI.PA,82.7,65.5,0.8274
VLTO,39.4,21.1,0.3944
KO,45.0,32.9,0.6643
ABT,46.5,7.0,0.4649
JNJ,78.0,56.1,0.7803
RACE,17.0,54.5,0.2273
ETN,55.6,11.1,0.5556
PAYX,35.7,28.7,0.3566
TMO,17.2,65.6,0.1719
CME,48.4,3.2,0.4841
VRSK,25.4,49.3,0.2537
LRLCY,21.4,42.9,0.2854
ECL,44.7,10.7,0.4467
CP,7.0,86.0,0.0699
AME,18.7,62.6,0.1868
ISRG,54.2,8.4,0.5422
DBOEY,70.2,40.4,0.7018
ORLY,23.0,38.7,0.3065
SPGI,72.6,45.1,0.7256
TT,76.6,53.1,0.7657
