ticker,company_name,sentiment,flow_score,quality,current_price,total_premium,put_call_ratio,unusual_calls,unusual_puts,detected_date,expiration_date,days_to_expiration,total_unusual,call_premium,put_premium,sentiment_emoji,top_calls,top_puts
INTC,Intel,NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,46.18,7865022.0,0.62,22,16,2026-02-18,2026-02-20,1,38,4855915.0,3009107.0,🟡,"[{'type': 'CALL', 'strike': 46.0, 'volume': 6644, 'oi': 0, 'vol_oi_ratio': 6644, 'last_price': 1.23, 'premium': 817212.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 47.0, 'volume': 7855, 'oi': 0, 'vol_oi_ratio': 7855, 'last_price': 0.76, 'premium': 596980.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 29.0, 'volume': 226, 'oi': 0, 'vol_oi_ratio': 226, 'last_price': 17.18, 'premium': 388268.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 46.5, 'volume': 5572, 'oi': 0, 'vol_oi_ratio': 5572, 'last_price': 1.3, 'premium': 724360.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 46.0, 'volume': 6573, 'oi': 0, 'vol_oi_ratio': 6573, 'last_price': 1.03, 'premium': 677019.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 45.0, 'volume': 4932, 'oi': 0, 'vol_oi_ratio': 4932, 'last_price': 0.64, 'premium': 315648.0, 'itm': False, 'implied_volatility': 0.062509375}]"
CRM,"Salesforce,",BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,184.29,225679431.0,46.92,10,21,2026-02-18,2026-02-20,1,31,4709682.0,220969749.0,🔴,"[{'type': 'CALL', 'strike': 125.0, 'volume': 549, 'oi': 0, 'vol_oi_ratio': 549, 'last_price': 68.68, 'premium': 3770532.000000001, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 190.0, 'volume': 2076, 'oi': 0, 'vol_oi_ratio': 2076, 'last_price': 1.28, 'premium': 265728.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 185.0, 'volume': 809, 'oi': 0, 'vol_oi_ratio': 809, 'last_price': 3.1, 'premium': 250790.0, 'itm': False, 'implied_volatility': 0.015634843750000002}]","[{'type': 'PUT', 'strike': 260.0, 'volume': 6760.0, 'oi': 0, 'vol_oi_ratio': 6760.0, 'last_price': 76.35, 'premium': 51612599.99999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 230.0, 'volume': 9871.0, 'oi': 0, 'vol_oi_ratio': 9871.0, 'last_price': 46.31, 'premium': 45712601.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 250.0, 'volume': 6000.0, 'oi': 0, 'vol_oi_ratio': 6000.0, 'last_price': 66.15, 'premium': 39690000.00000001, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
BA,The Boeing,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,244.04,7023720.0,0.33,13,9,2026-02-18,2026-02-20,1,22,5281805.0,1741915.0,🟢,"[{'type': 'CALL', 'strike': 195.0, 'volume': 231.0, 'oi': 0, 'vol_oi_ratio': 231.0, 'last_price': 50.04, 'premium': 1155924.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 240.0, 'volume': 1343.0, 'oi': 0, 'vol_oi_ratio': 1343.0, 'last_price': 5.8, 'premium': 778940.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 245.0, 'volume': 2078.0, 'oi': 0, 'vol_oi_ratio': 2078.0, 'last_price': 2.7, 'premium': 561060.0, 'itm': False, 'implied_volatility': 0.015634843750000002}]","[{'type': 'PUT', 'strike': 280.0, 'volume': 219, 'oi': 0, 'vol_oi_ratio': 219, 'last_price': 46.15, 'premium': 1010685.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 245.0, 'volume': 459, 'oi': 0, 'vol_oi_ratio': 459, 'last_price': 3.56, 'premium': 163404.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 240.0, 'volume': 989, 'oi': 0, 'vol_oi_ratio': 989, 'last_price': 1.62, 'premium': 160218.0, 'itm': False, 'implied_volatility': 0.062509375}]"
DASH,"DoorDash,",BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,162.34,2221125.0,0.47,11,8,2026-02-18,2026-02-20,1,19,1515076.0,706049.0,🟢,"[{'type': 'CALL', 'strike': 200.0, 'volume': 5035.0, 'oi': 0, 'vol_oi_ratio': 5035.0, 'last_price': 1.01, 'premium': 508535.00000000006, 'itm': False, 'implied_volatility': 0.500005}, {'type': 'CALL', 'strike': 160.0, 'volume': 278.0, 'oi': 0, 'vol_oi_ratio': 278.0, 'last_price': 11.59, 'premium': 322202.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 162.5, 'volume': 294.0, 'oi': 0, 'vol_oi_ratio': 294.0, 'last_price': 10.26, 'premium': 301644.0, 'itm': False, 'implied_volatility': 0.0039162109375}]","[{'type': 'PUT', 'strike': 162.5, 'volume': 230.0, 'oi': 0, 'vol_oi_ratio': 230.0, 'last_price': 10.19, 'premium': 234369.99999999997, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 155.0, 'volume': 267.0, 'oi': 0, 'vol_oi_ratio': 267.0, 'last_price': 6.4, 'premium': 170880.00000000003, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'PUT', 'strike': 160.0, 'volume': 194.0, 'oi': 0, 'vol_oi_ratio': 194.0, 'last_price': 8.8, 'premium': 170720.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
USAR,"USA Rare Earth,",BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,19.02,1089455.0,4.97,5,5,2026-02-18,2026-02-20,1,10,182445.0,907010.0,🔴,"[{'type': 'CALL', 'strike': 20.0, 'volume': 1180, 'oi': 0, 'vol_oi_ratio': 1180, 'last_price': 0.52, 'premium': 61360.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 18.5, 'volume': 402, 'oi': 0, 'vol_oi_ratio': 402, 'last_price': 1.08, 'premium': 43416.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 19.0, 'volume': 535, 'oi': 0, 'vol_oi_ratio': 535, 'last_price': 0.75, 'premium': 40125.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 20.0, 'volume': 3343.0, 'oi': 0, 'vol_oi_ratio': 3343.0, 'last_price': 1.36, 'premium': 454648.00000000006, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 18.0, 'volume': 7218.0, 'oi': 0, 'vol_oi_ratio': 7218.0, 'last_price': 0.36, 'premium': 259848.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'PUT', 'strike': 25.0, 'volume': 245.0, 'oi': 0, 'vol_oi_ratio': 245.0, 'last_price': 5.75, 'premium': 140875.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
MSTR,Strategy,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,128.67,274473101.0,14.95,30,48,2026-02-18,2026-02-20,1,78,17208161.0,257264940.0,🔴,"[{'type': 'CALL', 'strike': 130.0, 'volume': 6456.0, 'oi': 0, 'vol_oi_ratio': 6456.0, 'last_price': 3.8, 'premium': 2453280.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 80.0, 'volume': 435.0, 'oi': 0, 'vol_oi_ratio': 435.0, 'last_price': 53.25, 'premium': 2316375.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 135.0, 'volume': 9912.0, 'oi': 0, 'vol_oi_ratio': 9912.0, 'last_price': 1.91, 'premium': 1893191.9999999998, 'itm': False, 'implied_volatility': 0.12500875}]","[{'type': 'PUT', 'strike': 370.0, 'volume': 2620.0, 'oi': 0, 'vol_oi_ratio': 2620.0, 'last_price': 240.79, 'premium': 63086979.99999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 380.0, 'volume': 2255.0, 'oi': 0, 'vol_oi_ratio': 2255.0, 'last_price': 254.17, 'premium': 57315335.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 300.0, 'volume': 2930.0, 'oi': 0, 'vol_oi_ratio': 2930.0, 'last_price': 170.78, 'premium': 50038540.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
ASTS,"AST SpaceMobile,",NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,83.03,7385627.0,1.1,20,20,2026-02-18,2026-02-20,1,40,3513049.0,3872578.0,🟡,"[{'type': 'CALL', 'strike': 75.0, 'volume': 900, 'oi': 0, 'vol_oi_ratio': 900, 'last_price': 9.67, 'premium': 870300.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 85.0, 'volume': 2687, 'oi': 0, 'vol_oi_ratio': 2687, 'last_price': 2.6, 'premium': 698620.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 90.0, 'volume': 3130, 'oi': 0, 'vol_oi_ratio': 3130, 'last_price': 1.11, 'premium': 347430.0, 'itm': False, 'implied_volatility': 0.2500075}]","[{'type': 'PUT', 'strike': 100.0, 'volume': 489.0, 'oi': 0, 'vol_oi_ratio': 489.0, 'last_price': 16.21, 'premium': 792669.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 95.0, 'volume': 568.0, 'oi': 0, 'vol_oi_ratio': 568.0, 'last_price': 12.12, 'premium': 688416.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 90.0, 'volume': 800.0, 'oi': 0, 'vol_oi_ratio': 800.0, 'last_price': 8.1, 'premium': 648000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
CVS,CVS Health,BULLISH,90,🔥🔥🔥 WHALE ACTIVITY,78.2,1591710.0,0.0,8,0,2026-02-18,2026-02-20,1,8,1591710.0,0.0,🟢,"[{'type': 'CALL', 'strike': 57.5, 'volume': 230.0, 'oi': 0, 'vol_oi_ratio': 230.0, 'last_price': 24.8, 'premium': 570400.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 52.5, 'volume': 160.0, 'oi': 0, 'vol_oi_ratio': 160.0, 'last_price': 29.75, 'premium': 476000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 47.5, 'volume': 120.0, 'oi': 0, 'vol_oi_ratio': 120.0, 'last_price': 34.02, 'premium': 408240.00000000006, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]",[]
ENPH,ENPH,BULLISH,90,🔥🔥🔥 WHALE ACTIVITY,45.64,820111.0,0.16,12,4,2026-02-18,2026-02-20,1,16,708806.0,111305.0,🟢,"[{'type': 'CALL', 'strike': 45.0, 'volume': 979, 'oi': 0, 'vol_oi_ratio': 979, 'last_price': 1.64, 'premium': 160556.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 47.0, 'volume': 1222, 'oi': 0, 'vol_oi_ratio': 1222, 'last_price': 0.77, 'premium': 94094.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 46.0, 'volume': 854, 'oi': 0, 'vol_oi_ratio': 854, 'last_price': 1.06, 'premium': 90524.0, 'itm': False, 'implied_volatility': 0.0312596875}]","[{'type': 'PUT', 'strike': 33.5, 'volume': 378.0, 'oi': 0, 'vol_oi_ratio': 378.0, 'last_price': 1.42, 'premium': 53676.0, 'itm': False, 'implied_volatility': 0.500005}, {'type': 'PUT', 'strike': 45.0, 'volume': 315.0, 'oi': 0, 'vol_oi_ratio': 315.0, 'last_price': 1.03, 'premium': 32445.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'PUT', 'strike': 40.0, 'volume': 2595.0, 'oi': 0, 'vol_oi_ratio': 2595.0, 'last_price': 0.05, 'premium': 12975.0, 'itm': False, 'implied_volatility': 0.2500075}]"
ABT,Abbott Laboratories,BEARISH,90,🔥🔥🔥 WHALE ACTIVITY,112.26,17092349.0,1500.3,1,4,2026-02-18,2026-02-20,1,5,11385.0,17080964.0,🔴,"[{'type': 'CALL', 'strike': 115.0, 'volume': 345.0, 'oi': 0, 'vol_oi_ratio': 345.0, 'last_price': 0.33, 'premium': 11385.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 125.0, 'volume': 7380.0, 'oi': 0, 'vol_oi_ratio': 7380.0, 'last_price': 12.63, 'premium': 9320940.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 130.0, 'volume': 4184.0, 'oi': 0, 'vol_oi_ratio': 4184.0, 'last_price': 17.83, 'premium': 7460071.999999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 135.0, 'volume': 126.0, 'oi': 0, 'vol_oi_ratio': 126.0, 'last_price': 22.94, 'premium': 289044.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
