ticker,current_price,position_size_pct,position_value,shares,stop_loss_price,stop_loss_pct,risk_amount,risk_pct_portfolio,volatility,kelly_pct,multipliers,kelly_horizon,kelly_win_rate
PODD,227.08,9.23,9230.77,40,210.53,7.29,662.05,0.66,3.64,10.0,"{'score': 1.2, 'timing': 1.2, 'sector': 1.2, 'volatility': 1.2}",90d,55.1
CVS,71.29,9.23,9230.77,129,67.68,5.06,465.72,0.47,2.53,10.0,"{'score': 1.2, 'timing': 1.2, 'sector': 1.2, 'volatility': 1.2}",90d,55.1
INTC,44.01,8.33,8333.33,189,39.45,10.36,861.71,0.86,5.18,10.0,"{'score': 1.3, 'timing': 1.2, 'sector': 1.2, 'volatility': 1.0}",90d,55.1
KKR,90.84,8.33,8333.33,91,84.63,6.83,564.9,0.56,3.42,10.0,"{'score': 1.3, 'timing': 1.2, 'sector': 1.0, 'volatility': 1.2}",90d,55.1
PRU,94.29,8.33,8333.33,88,90.15,4.39,364.06,0.36,2.19,10.0,"{'score': 1.3, 'timing': 1.2, 'sector': 1.0, 'volatility': 1.2}",90d,55.1
WRB,65.55,7.69,7692.31,117,63.08,3.77,289.3,0.29,1.89,10.0,"{'score': 1.2, 'timing': 1.2, 'sector': 1.0, 'volatility': 1.2}",90d,55.1
ROP,353.48,6.41,6410.26,18,334.7,5.31,337.96,0.34,2.66,10.0,"{'score': 1.0, 'timing': 1.0, 'sector': 1.2, 'volatility': 1.2}",90d,55.1
GPN,71.06,5.38,5384.62,75,66.46,6.48,345.24,0.35,3.24,10.0,"{'score': 1.2, 'timing': 1.2, 'sector': 0.7, 'volatility': 1.2}",90d,55.1
URI,732.05,5.38,5384.62,7,688.29,5.98,306.32,0.31,2.99,10.0,"{'score': 1.2, 'timing': 1.2, 'sector': 0.7, 'volatility': 1.2}",90d,55.1
ALLY,39.22,5.34,5341.88,136,37.09,5.43,289.59,0.29,2.71,10.0,"{'score': 1.0, 'timing': 1.0, 'sector': 1.0, 'volatility': 1.2}",90d,55.1
POOL,205.26,3.74,3739.32,18,192.36,6.29,232.22,0.23,3.14,10.0,"{'score': 1.0, 'timing': 1.0, 'sector': 0.7, 'volatility': 1.2}",90d,55.1
GL,137.38,3.74,3739.32,27,131.92,3.98,147.5,0.15,1.99,10.0,"{'score': 0.7, 'timing': 1.0, 'sector': 1.0, 'volatility': 1.2}",90d,55.1
EXE,107.64,1.87,1869.66,17,101.56,5.65,103.38,0.1,2.82,10.0,"{'score': 0.7, 'timing': 1.0, 'sector': 0.5, 'volatility': 1.2}",90d,55.1
