Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2025-11-21 07:39:47,ET,Energy Transfer LP,Dir,P - Purchase,16.88,2000000,306295818,33%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/ET_d.png,reports/graphs/ET_w.png
2025-11-21 07:39:47,NEXT,Nextdecade Corp,10%,P - Purchase,5.94,1064424,38434991,6%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/NEXT_d.png,reports/graphs/NEXT_w.png
2025-11-21 07:39:47,CNS,"Cohen & Steers, Inc.","Dir, 10%",P - Purchase,59.82,100000,9020666,5%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/CNS_d.png,reports/graphs/CNS_w.png
2025-11-21 07:39:47,ANNX,"Annexon, Inc.",Dir,P - Purchase,3.37,1500000,8906024,5%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/ANNX_d.png,reports/graphs/ANNX_w.png
2025-11-21 07:39:47,BLND,"Blend Labs, Inc.","Dir, 10%",P - Purchase,3.03,1382197,9599116,4%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/BLND_d.png,reports/graphs/BLND_w.png
2025-11-21 07:39:47,VAC,Marriott Vacations Worldwide Corp,"Dir, 10%",P - Purchase,47.44,84000,4130340,3%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/VAC_d.png,reports/graphs/VAC_w.png
2025-11-21 07:39:47,GLOO,"Gloo Holdings, Inc.","Pres, CEO, 10%",P - Purchase,8.0,412500,412500,3%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/GLOO_d.png,reports/graphs/GLOO_w.png
2025-11-21 07:39:47,ALMS,Alumis Inc.,10%,P - Purchase,6.09,507874,15705828,3%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/ALMS_d.png,reports/graphs/ALMS_w.png
2025-11-21 07:39:47,PLUR,Pluri Inc.,"Dir, 10%",P - Purchase,4.61,452702,2396367,2%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/PLUR_d.png,reports/graphs/PLUR_w.png
2025-11-21 07:39:47,GLOO,"Gloo Holdings, Inc.",Dir,P - Purchase,8.0,250000,275000,2%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/GLOO_d.png,reports/graphs/GLOO_w.png
2025-11-21 07:39:47,MSM,Msc Industrial Direct Co Inc,"Dir, 10%",P - Purchase,84.96,22870,8107605,1%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/MSM_d.png,reports/graphs/MSM_w.png
2025-11-21 07:39:47,ALMS,Alumis Inc.,Dir,P - Purchase,6.34,241338,5009248,1%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/ALMS_d.png,reports/graphs/ALMS_w.png
2025-11-21 07:39:47,CNS,"Cohen & Steers, Inc.","Exec COB, 10%",P - Purchase,59.88,25000,11990682,1%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/CNS_d.png,reports/graphs/CNS_w.png
2025-11-21 07:39:47,LAB,Standard Biotools Inc.,"Dir, 10%",P - Purchase,1.28,1075000,83634918,1%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/LAB_d.png,reports/graphs/LAB_w.png
2025-11-21 07:39:47,ALRM,"Alarm.Com Holdings, Inc.",CEO,P - Purchase,48.36,26000,1853751,1%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/ALRM_d.png,reports/graphs/ALRM_w.png
2025-11-21 07:39:47,BEN,Franklin Resources Inc,10%,P - Purchase,21.49,50000,94172436,1%,OpenInsider.com,2025-11-21 07:39:47,reports/graphs/BEN_d.png,reports/graphs/BEN_w.png
