Ticker,Insider,Title,Date,InsiderName,TradeDate,FilingDate,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-08-24 05:27:11,JEF,Jefferies Financial Group Inc.,Dir,"Sumitomo Mitsui Financial Group, Inc.",2026-07-15,2026-08-21,P - Purchase,54.86,5906542,8566379,324%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/JEF_d.png,reports/graphs/JEF_w.png
2026-08-24 05:27:11,RSG,"Republic Services, Inc.",10%,"Cascade Investment, L.L.C.",2026-08-18,2026-08-20,P - Purchase,220.08,378969,112403625,83%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/RSG_d.png,reports/graphs/RSG_w.png
2026-08-24 05:27:11,RSG,"Republic Services, Inc.",10%,"Cascade Investment, L.L.C.",2026-08-14,2026-08-18,P - Purchase,215.26,356050,112024656,76%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/RSG_d.png,reports/graphs/RSG_w.png
2026-08-24 05:27:11,MLPT,"Maplight Therapeutics, Inc.",10%,"Catalyst4, Inc.",2026-08-14,2026-08-18,P - Purchase,11.38,4400000,25306689,50%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/MLPT_d.png,reports/graphs/MLPT_w.png
2026-08-24 05:27:11,ET,Energy Transfer LP,Dir,Warren Kelcy L,2026-08-18,2026-08-20,P - Purchase,21.26,1000000,455659009,21%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/ET_d.png,reports/graphs/ET_w.png
2026-08-24 05:27:11,ZNTL,"Zentalis Pharmaceuticals, Inc.",10%,Walters Group,2026-08-14,2026-08-19,P - Purchase,3.5,4335000,17844973,15%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/ZNTL_d.png,reports/graphs/ZNTL_w.png
2026-08-24 05:27:11,GWRS,"Global Water Resources, Inc.",Dir,Levine Jonathan L,2026-08-20,2026-08-21,P - Purchase,8.85,651618,12833334,5%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/GWRS_d.png,reports/graphs/GWRS_w.png
2026-08-24 05:27:11,PAM,Pampa Energy Inc.,"Dir, 10%",Mindlin Marcos Marcelo,2026-08-18,2026-08-20,P - Purchase,3.34,1299925,21355592,4%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/PAM_d.png,reports/graphs/PAM_w.png
2026-08-24 05:27:11,SUJA,"Suja Life, Inc.",10%,"Paine Schwartz Food Chain Fund V Gp, Ltd.",2026-08-18,2026-08-20,P - Purchase,7.16,567900,9787457,4%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/SUJA_d.png,reports/graphs/SUJA_w.png
2026-08-24 05:27:11,COE,51Talk Online Education Group,"CEO, 10%",Huang Jack Jiajia,2026-04-10,2026-08-21,P - Purchase,21.02,187020,85795140,3%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/COE_d.png,reports/graphs/COE_w.png
2026-08-24 05:27:11,ENHA,Enhanced Group Inc.,"Dir, 10%",Apeiron Investment Group Ltd.,2026-08-18,2026-08-20,P - Purchase,1.66,1767316,36950951,2%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/ENHA_d.png,reports/graphs/ENHA_w.png
2026-08-24 05:27:11,AMR,"Alpha Metallurgical Resources, Inc.",Dir,Courtis Kenneth S.,2026-08-20,2026-08-20,P - Purchase,193.5,15000,1000394,2%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/AMR_d.png,reports/graphs/AMR_w.png
2026-08-24 05:27:11,BKKT,"Bakkt, Inc.",Dir,Alfred Michael,2026-08-18,2026-08-19,P - Purchase,7.12,296567,1201567,2%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/BKKT_d.png,reports/graphs/BKKT_w.png
2026-08-24 05:27:11,IAUX,I-80 Gold Corp.,"Pres, CEO",Young Richard Scott,2026-08-18,2026-08-20,P - Purchase,1.62,1000000,6337000,1%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/IAUX_d.png,reports/graphs/IAUX_w.png
2026-08-24 05:27:11,CCHH,Cch Holdings Ltd,"COB, CEO, COO",Goh Kok E,2026-07-24,2026-08-19,P - Purchase,0.28,5220000,347500,1%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/CCHH_d.png,reports/graphs/CCHH_w.png
2026-08-24 05:27:11,AAT,"American Assets Trust, Inc.","Exec COB, 10%",Rady Ernest S,2026-08-17,2026-08-19,P - Purchase,22.59,63586,13992035,1%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/AAT_d.png,reports/graphs/AAT_w.png
2026-08-24 05:27:11,GWRS,"Global Water Resources, Inc.",Dir,Cohn Andrew M.,2026-08-20,2026-08-21,P - Purchase,8.85,139343,2744300,1%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/GWRS_d.png,reports/graphs/GWRS_w.png
2026-08-24 05:27:11,AAT,"American Assets Trust, Inc.","Exec COB, 10%",Rady Ernest S,2026-08-21,2026-08-21,P - Purchase,22.75,50000,14042035,1%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/AAT_d.png,reports/graphs/AAT_w.png
2026-08-24 05:27:11,ATXG,Addentax Group Corp.,"Dir, 10%",Hong Zhiwang,2026-08-18,2026-08-19,P - Purchase,4.8,218750,225174,1%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/ATXG_d.png,reports/graphs/ATXG_w.png
2026-08-24 05:27:11,ALK,"Alaska Air Group, Inc.","CEO, Pres",Minicucci Benito,2026-08-20,2026-08-21,P - Purchase,40.06,25000,256582,1%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/ALK_d.png,reports/graphs/ALK_w.png
2026-08-24 05:27:11,ELAN,Elanco Animal Health Inc,Dir,Kurzius Lawrence Erik,2026-08-20,2026-08-21,P - Purchase,23.4,40000,188647,935%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/ELAN_d.png,reports/graphs/ELAN_w.png
2026-08-24 05:27:11,AUGO,Aura Minerals Inc.,Dir,Sousa Mauad Bruno,2026-08-17,2026-08-18,P - Purchase,78.93,11000,448765,868%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/AUGO_d.png,reports/graphs/AUGO_w.png
2026-08-24 05:27:11,MED,Medifast Inc,Dir,Kiai Parsa,2026-08-19,2026-08-21,P - Purchase,11.63,72487,18977,842%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/MED_d.png,reports/graphs/MED_w.png
2026-08-24 05:27:11,DXST,Decent Holding Inc.,"Dir, 10%",Sun Dingxin,2026-08-06,2026-08-21,P - Purchase,2.0,400000,600000,800%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/DXST_d.png,reports/graphs/DXST_w.png
2026-08-24 05:27:11,QVCG,"Qvc Group, Inc.",10%,Goldentree Asset Management LP,2026-08-17,2026-08-19,P - Purchase,15.18,44942,8628724,682%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/QVCG_d.png,reports/graphs/QVCG_w.png
2026-08-24 05:27:11,BWA,Borgwarner Inc,Dir,Kalathur Rajesh,2026-08-19,2026-08-20,P - Purchase,67.59,7407,7407,500%,OpenInsider.com,2026-08-24 05:27:11,reports/graphs/BWA_d.png,reports/graphs/BWA_w.png
