Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate
DJUSFR,Dow Jones U.S. Forestry & Paper Index,887.45,703.58,902.5,26.13348872907132,24.11502632644789,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAE,Dow Jones U.S. Aerospace & Defense Index,3201.8,1861.2,3291.4,72.02879862454331,50.76084487849192,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAF,Dow Jones U.S. Delivery Services Index,1472.5,916.9,1483.4,60.59548478569092,15.405723245785893,🔴,FUERTE,251,2026-02-10 08:13:24
DJUSAG,Dow Jones U.S. Asset Managers Index,382.45,273.77,426.58,39.69755634291559,61.53545868575147,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAI,Dow Jones U.S. Electronic Equipment Index,2203.17,913.78,2211.57,141.10507999737356,39.315761139201754,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAL,Dow Jones U.S. Aluminum Index,213.03,73.62,228.71,189.3643031784841,49.57862281603289,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAM,Dow Jones U.S. Medical Equipment Index,2796.0,2589.3,3151.1,7.9828525083999455,71.21687090339124,🟢,OPORTUNIDAD,252,2026-02-10 08:13:24
DJUSAP,Dow Jones U.S. Automobiles & Parts Index,1590.25,845.49,1853.16,88.08619853576033,49.53594614089927,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAR,Dow Jones U.S. Airlines Index,276.03,137.83,278.4,100.26844663716167,34.82206153409898,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAS,Dow Jones U.S. Aerospace Index,3459.3,1883.9,3572.2,83.62439619937363,51.95643404598625,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAT,Dow Jones U.S. Auto Parts Index,454.78,288.25,458.81,57.77276669557675,30.192962542565283,🔴,FUERTE,251,2026-02-10 08:13:24
DJUSAU,Dow Jones U.S. Automobiles Index,1445.06,758.25,1704.26,90.57830530827563,50.29283489096576,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSAV,Dow Jones U.S. Media Agencies Index,296.18,284.33,656.63,4.167692470017242,78.29641896087769,🟢,OPORTUNIDAD,252,2026-02-10 08:13:24
DJUSBC,Dow Jones U.S. Broadcasting & Entertainment Index,1174.4,962.0,1294.9,22.079002079002088,55.491329479768744,🟡,CERCA,252,2026-02-10 08:13:24
DJUSBD,Dow Jones U.S. Building Materials & Fixtures Index,2659.2,1876.9,2667.4,41.68043049709626,15.877862595419785,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSBE,Dow Jones U.S. Business Training & Employment Agencies Index,85.66,85.6,133.59,0.07009345794392789,73.50475125768583,🟢,OPORTUNIDAD,252,2026-02-10 08:13:24
DJUSBK,Dow Jones U.S. Banks Index,867.32,521.55,873.47,66.29661585658137,23.78551420568226,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSBS,Dow Jones U.S. Basic Resources Index,634.41,274.91,662.27,130.77007020479425,43.9677124873877,🔴,FUERTE,251,2026-02-10 08:13:24
DJUSBT,Dow Jones U.S. Biotechnology Index,3187.2,2297.4,3319.4,38.730739096369796,45.60415764400175,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSBV,Dow Jones U.S. Beverages Index,1059.5,890.07,1079.26,19.035581471120242,23.736263736263723,🟡,CERCA,252,2026-02-10 08:13:24
DJUSCA,Dow Jones U.S. Gambling Index,545.42,513.6,786.57,6.1954828660436005,70.94054623693691,🟢,OPORTUNIDAD,252,2026-02-10 08:13:24
DJUSCC,Dow Jones U.S. Commodity Chemicals Index,735.82,608.9,794.88,20.844145179832495,29.786112366320197,🟡,CERCA,251,2026-02-10 08:13:24
DJUSCH,Dow Jones U.S. Chemicals Index,1892.76,1497.87,2050.51,26.363436079232518,51.2188178356642,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSCM,Dow Jones U.S. Personal Products Index,385.77,341.42,452.45,12.989865854372903,62.13235294117649,🟡,CERCA,252,2026-02-10 08:13:24
DJUSCN,Dow Jones U.S. Construction & Materials Index,2330.5,1484.39,2339.03,57.00051873160018,13.148230228582321,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSCP,Dow Jones U.S. Containers & Packaging Index,479.13,388.62,497.5,23.29010344295198,22.898618590494024,🟡,CERCA,252,2026-02-10 08:13:24
DJUSCR,Dow Jones U.S. Computer Hardware Index,14148.9,8364.8,14404.8,69.14809678653405,13.584398117014118,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSCS,Dow Jones U.S. Specialized Consumer Services Index,2331.8,2282.1,3402.3,2.177818675781091,63.26623970722785,🟢,OPORTUNIDAD,252,2026-02-10 08:13:24
DJUSCT,Dow Jones U.S. Telecommunications Equipment Index,3092.85,1708.47,3103.81,81.0303956171311,22.262709691350565,🔴,FUERTE,251,2026-02-10 08:13:24
DJUSCX,Dow Jones U.S. Specialty Chemicals Index,1225.22,863.05,1228.84,41.96396500782111,26.145833333333286,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSDB,Dow Jones U.S. Brewers Index,519.31,438.36,659.78,18.466557167624767,45.01795332136448,🟡,CERCA,252,2026-02-10 08:13:24
DJUSDN,Dow Jones U.S. Defense Index,895.74,598.11,926.32,49.76174951095952,48.050357264375634,🔴,FUERTE,252,2026-02-10 08:13:24
DJUSDR,Dow Jones U.S. Food & Drug Retailers Index,1753.57,1341.74,1773.19,30.693726057209293,30.377190856958308,🔴,FUERTE,252,2026-02-10 08:13:24
