Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate
DJUSEN,Oil & Gas,736.39,623.85,813.7,18.039592850845548,25.055099178521345,🟡,CERCA,251,2025-06-20 11:29:56
DJUSTC,Technology,7121.5,5115.5,7284.1,39.214153064216596,31.965473326730006,🟢,FUERTE,251,2025-06-20 11:29:56
DJUSBK,Banks,682.35,520.01,728.96,31.21863041095364,41.822245595582395,🟢,FUERTE,251,2025-06-20 11:29:56
DJUSRE,Real Estate,361.82,311.91,396.67,16.00141066333236,48.53107344632773,🟡,CERCA,251,2025-06-20 11:29:56
DJUSHC,Healthcare,1405.22,1344.15,1663.54,4.54339173455343,45.24256823958442,🔴,OPORTUNIDAD,251,2025-06-20 11:29:56
DJUSCH,Chemicals,824.23,703.58,952.75,17.148014440433208,51.42103369708598,🟡,CERCA,251,2025-06-20 11:29:56
DJUSUT,Utilities,398.67,335.51,411.37,18.825072278024507,54.34103685196748,🟡,CERCA,251,2025-06-20 11:29:56
DJUSFN,Financials,2302.6,1812.0,2384.8,27.075055187637965,60.442678774120324,🟢,FUERTE,251,2025-06-20 11:29:56
DJUSRT,Retail,2972.5,2288.1,3175.9,29.911280101394176,47.295485024586526,🟢,FUERTE,251,2025-06-20 11:29:56
DJUSIG,Industrial Goods,1367.47,1094.74,1429.37,24.912764674717288,48.3810003779766,🟡,CERCA,251,2025-06-20 11:29:56
DJUSME,Media,841.86,662.35,936.97,27.101985355174758,41.18104982206406,🟢,FUERTE,251,2025-06-20 11:29:56
DJUSTL,Telecommunications,180.42,142.12,199.75,26.949057134815636,61.211057481351496,🟢,FUERTE,251,2025-06-20 11:29:56
DJUSFB,Food & Beverage,692.96,668.77,816.7,3.6170880870852544,65.0293542074364,🔴,OPORTUNIDAD,251,2025-06-20 11:29:56
DJUSNG,Personal Goods,1014.79,909.61,1069.74,11.563197414276443,64.2934488359503,🟡,CERCA,251,2025-06-20 11:29:56
DJUSBS,Basic Resources,371.39,274.91,393.0,35.09512203994032,25.704809286898836,🟢,FUERTE,251,2025-06-20 11:29:56
DJUSCN,Construction,1862.31,1484.39,2065.78,25.45961640808681,59.059447570994216,🟢,FUERTE,251,2025-06-20 11:29:56
