Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSFB,Dow Jones U.S. Food & Beverage Index,717.2,668.77,783.54,7.2416525860908925,27.73656320968955,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,97,97,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFO,Dow Jones U.S. Food Producers Index,378.53,367.79,436.28,2.9201446477609374,48.35880022637242,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,87,87,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSBV,Dow Jones U.S. Beverages Index,969.4,875.4,1029.92,10.737948366461046,25.323412530650216,🟡,CERCA,251,2025-10-23 07:44:00,2025-10-23,0,87,87,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSHN,Dow Jones U.S. Nondurable Household Products Index,1177.68,1140.99,1420.24,3.215628533115983,49.84251363601441,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,87,87,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSSD,Dow Jones U.S. Soft Drinks Index,948.17,835.84,975.53,13.439174961715151,24.595005062436726,🟡,CERCA,251,2025-10-23 07:44:00,2025-10-23,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSVN,Dow Jones U.S. Distillers & Vintners Index,285.27,268.56,494.0,6.222073279714023,49.50819672131149,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSRN,Dow Jones U.S. Residential REITs Index,221.08,212.75,264.7,3.915393654524095,48.86943836615609,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSDB,Dow Jones U.S. Brewers Index,475.62,447.85,659.78,6.200736853857314,46.23287671232875,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSCM,Dow Jones U.S. Personal Products Index,371.5,345.1,458.91,7.649956534337867,48.21945976259463,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSMT,Dow Jones U.S. Marine Transportation Index,280.89,261.01,433.97,7.616566415079881,43.406000431685705,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSCP,Dow Jones U.S. Containers & Packaging Index,435.83,397.01,541.01,9.778091231958893,48.132701421800974,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,84,84,False,0,0,[],[],ALTA,BAJO,0
DJUSMS,Dow Jones U.S. Medical Supplies Index,1752.14,1472.69,1756.33,18.9754802436358,29.235801367826284,🟡,CERCA,251,2025-10-23 07:44:00,2025-10-23,0,83,83,False,0,0,[],[],ALTA,BAJO,0
DJUSWU,Dow Jones U.S. Water Index,2977.1,2432.7,3135.8,22.378427261890085,28.554832713754664,🟡,CERCA,251,2025-10-23 07:44:00,2025-10-23,0,82,82,False,0,0,[],[],ALTA,BAJO,0
DJUSBE,Dow Jones U.S. Business Training & Employment Agencies Index,106.67,104.12,152.72,2.449097195543601,54.16116248348741,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSFP,Dow Jones U.S. Food Products Index,529.2,518.27,630.31,2.108939355934178,53.930700447093805,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSFA,Dow Jones U.S. Financial Administration Index,549.08,532.41,685.16,3.131045622734373,52.78619724877593,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSCS,Dow Jones U.S. Specialized Consumer Services Index,2706.4,2651.3,3402.3,2.0782257760343947,52.014250479583424,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSHG,Dow Jones U.S. Household Goods & Home Construction Index,1033.49,999.49,1216.79,3.401734884791244,56.12182116488927,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSMC,Dow Jones U.S. Health Care Equipment & Services Index,2367.9,2083.0,2553.7,13.677388382141148,34.93681206685693,🟡,CERCA,251,2025-10-23 07:44:00,2025-10-23,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSIV,Dow Jones U.S. Business Support Services Index,1116.81,1072.64,1443.42,4.11787738663483,52.82018782047587,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSHC,Dow Jones U.S. Health Care Index,1556.06,1344.15,1597.65,15.765353569170095,35.71875000000004,🟡,CERCA,251,2025-10-23 07:44:00,2025-10-23,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSIS,Dow Jones U.S. Support Services Index,828.1,764.29,981.89,8.34892514621414,54.227838691693,🟢,OPORTUNIDAD,251,2025-10-23 07:44:00,2025-10-23,0,79,79,False,0,0,[],[],ALTA,BAJO,0
