ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon,fecha_scan
FTV,61.91999816894531,91.79411764705883,Excellent,17,11.2% → 21.1% → 11.5% → 7.0% → 7.7% → 5.4% → 10.1% → 9.2% → 12.3% → 6.0% → 4.1% → 4.9% → 6.2% → 12.3% → 4.9% → 6.3% → 6.1%,21.106606270962978,Stage 2 Strong,85.0,81.47058823529412,100.0,True,Technology,19666511872,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.1% | Stage 2 Strong,2026-02-10 23:15:56
LII,548.5599975585938,91.525,Excellent,20,11.8% → 5.5% → 10.8% → 13.7% → 5.7% → 11.0% → 3.1% → 7.4% → 6.8% → 4.9% → 5.8% → 17.2% → 3.6% → 12.9% → 12.4% → 13.3% → 14.7% → 8.6% → 11.1% → 7.4%,17.161751337200855,Stage 2 Strong,85.0,80.125,100.0,True,Industrials,19239526400,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 17.2% | Stage 2 Strong,2026-02-10 23:15:56
OKE,83.45999908447266,91.26086956521739,Excellent,23,13.9% → 6.1% → 25.0% → 8.2% → 9.8% → 10.1% → 4.3% → 6.9% → 5.2% → 4.6% → 4.8% → 11.5% → 4.4% → 7.6% → 4.6% → 11.5% → 5.8% → 7.7% → 3.8% → 8.0% → 6.7% → 5.6% → 4.2%,24.957741495288893,Stage 2 Strong,85.0,78.80434782608695,100.0,True,Energy,52559433728,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 25.0% | Stage 2 Strong,2026-02-10 23:15:56
XOM,151.58999633789062,91.09375,Excellent,16,18.4% → 4.7% → 5.4% → 7.0% → 3.1% → 8.4% → 7.3% → 6.6% → 6.0% → 3.4% → 6.2% → 4.2% → 3.9% → 4.4% → 3.4% → 4.9%,18.438835539694235,Stage 2 Strong,85.0,77.96875,100.0,True,Energy,639280087040,VCP 16 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 18.4% | Stage 2 Strong,2026-02-10 23:15:56
IBKR,77.19999694824219,90.57142857142857,Excellent,7,12.5% → 7.7% → 16.0% → 12.4% → 7.5% → 3.2% → 5.0%,16.0454915037051,Stage 2 Strong,85.0,75.35714285714286,100.0,True,Financial Services,131235176448,VCP 7 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.0% | Stage 2 Strong,2026-02-10 23:15:56
PKG,241.77999877929688,90.45238095238095,Excellent,21,11.2% → 4.4% → 14.7% → 8.8% → 8.2% → 5.1% → 4.1% → 6.3% → 7.0% → 5.2% → 11.0% → 4.1% → 3.4% → 3.8% → 4.2% → 3.2% → 9.3% → 10.6% → 6.2% → 6.8% → 3.8%,14.693542031373907,Stage 2 Strong,85.0,74.76190476190476,100.0,True,Consumer Cyclical,21755070464,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 14.7% | Stage 2 Strong,2026-02-10 23:15:56
EQIX,856.739990234375,90.34210526315789,Excellent,19,11.3% → 7.9% → 15.9% → 12.2% → 5.7% → 3.1% → 4.6% → 22.0% → 7.1% → 6.1% → 3.7% → 5.4% → 3.8% → 4.9% → 4.5% → 6.1% → 13.1% → 3.2% → 3.9%,21.97232367312992,Stage 2 Strong,85.0,74.21052631578948,100.0,True,Real Estate,84119945216,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 22.0% | Stage 2 Strong,2026-02-10 23:15:56
DLR,172.52999877929688,90.30555555555556,Excellent,18,10.5% → 12.9% → 5.0% → 3.6% → 8.5% → 3.8% → 4.0% → 10.0% → 6.6% → 3.5% → 3.9% → 5.5% → 4.6% → 9.6% → 8.7% → 5.8% → 11.2% → 4.9%,12.942987590000318,Stage 2 Strong,85.0,74.02777777777777,100.0,True,Real Estate,60344090624,VCP 18 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 12.9% | Stage 2 Strong,2026-02-10 23:15:56
CPAY,356.3800048828125,90.29166666666667,Excellent,24,15.3% → 6.4% → 25.4% → 15.6% → 6.6% → 5.0% → 6.0% → 10.6% → 5.6% → 11.7% → 6.7% → 3.3% → 14.2% → 4.5% → 5.5% → 7.6% → 9.9% → 5.5% → 7.9% → 13.3% → 7.9% → 4.7% → 5.7% → 8.8%,25.396565596162063,Stage 2 Strong,85.0,73.95833333333333,100.0,True,Technology,25165553664,VCP 24 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 25.4% | Stage 2 Strong,2026-02-10 23:15:56
HOLX,75.1500015258789,90.22727272727273,Excellent,11,20.1% → 3.1% → 4.4% → 5.7% → 3.3% → 3.3% → 5.8% → 6.5% → 10.3% → 3.2% → 5.8%,20.117215446500115,Stage 2 Strong,85.0,73.63636363636364,100.0,True,Healthcare,16776855552,VCP 11 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 20.1% | Stage 2 Strong,2026-02-10 23:15:56
CF,96.30999755859375,90.17647058823529,Excellent,17,13.8% → 9.0% → 16.2% → 3.3% → 4.6% → 6.7% → 4.9% → 7.2% → 11.1% → 6.4% → 7.8% → 10.5% → 3.9% → 6.4% → 3.2% → 4.2% → 6.3%,16.221329937030756,Stage 2 Strong,85.0,73.38235294117646,100.0,True,Basic Materials,15599614976,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.2% | Stage 2 Strong,2026-02-10 23:15:56
