ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon
META,673.8250122070312,82.92105263157895,Excellent,19,16.5% → 24.0% → 18.4% → 4.3% → 5.5% → 3.7% → 4.2% → 4.7% → 6.3% → 5.0% → 8.2% → 4.9% → 12.6% → 4.9% → 23.4% → 5.6% → 10.2% → 4.3% → 9.8%,23.976157229643917,Stage 2 Strong,75.0,62.10526315789474,80.0,True,Communication Services,1704477720576,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 24.0% | Stage 2 Strong
TSLA,433.0,71.25,Excellent,8,12.6% → 8.0% → 5.9% → 19.3% → 10.5% → 5.1% → 14.9% → 8.1%,19.256651366786045,Stage 1-2 Transition,30.0,61.25,100.0,False,Consumer Cyclical,1624802983936,VCP 8 contracciones (Excellent) | Base: 19.3% | Stage 1-2 Transition
BNTX,107.70999908447266,68.4090909090909,Excellent,22,17.9% → 20.1% → 6.8% → 22.8% → 13.8% → 7.9% → 10.6% → 15.4% → 6.2% → 4.6% → 3.6% → 9.4% → 6.0% → 13.3% → 21.6% → 3.9% → 8.0% → 5.9% → 8.2% → 17.1% → 8.5% → 8.5%,22.757423273574382,Stage 1-2 Transition,30.0,67.04545454545455,60.0,False,Healthcare,27027748864,VCP 22 contracciones (Excellent) | Base: 22.8% | Stage 1-2 Transition
OKTA,88.54000091552734,66.65,Excellent,20,10.3% → 5.3% → 25.5% → 12.8% → 5.1% → 23.7% → 5.8% → 4.1% → 10.1% → 13.4% → 11.3% → 4.8% → 10.8% → 5.8% → 5.8% → 10.5% → 18.9% → 10.2% → 4.4% → 10.6%,25.52533789699933,Stage Unknown,15.0,71.75,78.0,False,Technology,15691964416,VCP 20 contracciones (Excellent) | Base: 25.5% | Stage Unknown
NFLX,81.7249984741211,60.65714285714286,Excellent,21,14.2% → 17.8% → 10.2% → 5.2% → 6.5% → 8.2% → 9.0% → 4.4% → 4.7% → 4.5% → 7.4% → 3.8% → 7.4% → 5.7% → 12.9% → 5.4% → 11.5% → 15.8% → 6.2% → 7.4% → 10.5%,17.78311970341694,Stage Unknown,0.0,74.28571428571429,58.0,False,Communication Services,346692583424,VCP 21 contracciones (Excellent) | Base: 17.8% | Stage Unknown
ROKU,89.54000091552734,60.13333333333334,Excellent,9,15.1% → 6.6% → 4.5% → 17.0% → 16.2% → 6.1% → 5.6% → 8.1% → 13.6%,17.04955116978378,Stage Unknown,5.0,66.66666666666667,53.0,False,Communication Services,13229693952,VCP 9 contracciones (Excellent) | Base: 17.0% | Stage Unknown
TWLO,115.88249969482422,59.75,Excellent,14,12.0% → 30.6% → 8.3% → 6.1% → 5.2% → 9.5% → 9.4% → 9.7% → 11.0% → 13.4% → 7.0% → 5.0% → 3.5% → 20.4%,30.630779110674478,Stage Unknown,5.0,63.75,55.0,False,Technology,17780269056,VCP 14 contracciones (Excellent) | Base: 30.6% | Stage Unknown
ADBE,259.4049987792969,58.65909090909091,Excellent,22,17.4% → 17.9% → 8.8% → 3.7% → 5.1% → 11.3% → 8.6% → 12.3% → 4.7% → 9.1% → 6.8% → 6.2% → 6.4% → 8.4% → 3.2% → 11.2% → 8.4% → 4.9% → 5.4% → 5.2% → 9.0% → 16.2%,17.920887573393077,Stage Unknown,0.0,70.79545454545455,45.0,False,Technology,108586934272,VCP 22 contracciones (Excellent) | Base: 17.9% | Stage Unknown
SNOW,184.2100067138672,58.56363636363636,Excellent,11,14.0% → 7.7% → 6.3% → 7.2% → 6.3% → 9.3% → 11.8% → 12.8% → 21.0% → 5.7% → 13.6%,20.99101062101868,Stage Unknown,0.0,61.31818181818181,63.0,False,Technology,63036665856,VCP 11 contracciones (Excellent) | Base: 21.0% | Stage Unknown
SOFI,20.704999923706055,58.388888888888886,Excellent,9,18.0% → 13.6% → 21.2% → 24.4% → 17.7% → 17.3% → 6.6% → 13.2% → 8.7%,24.396574441434723,Stage Unknown,0.0,69.44444444444444,45.0,False,Financial Services,26189307904,VCP 9 contracciones (Excellent) | Base: 24.4% | Stage Unknown
LCID,10.649999618530273,58.040000000000006,Excellent,25,12.7% → 12.5% → 12.1% → 22.6% → 14.3% → 14.9% → 30.7% → 7.5% → 7.4% → 11.2% → 6.3% → 18.4% → 35.6% → 15.7% → 30.4% → 6.2% → 18.1% → 21.0% → 17.0% → 36.7% → 9.5% → 22.3% → 17.0% → 21.9% → 13.2%,36.68508399657605,Stage Unknown,0.0,61.2,58.0,False,Consumer Cyclical,3452393728,VCP 25 contracciones (Excellent) | Base: 36.7% | Stage Unknown
PLTR,137.1199951171875,56.738461538461536,Excellent,13,25.1% → 8.1% → 6.2% → 9.3% → 9.0% → 8.3% → 18.6% → 20.8% → 15.5% → 7.3% → 16.4% → 9.2% → 11.7%,25.084212453741777,Stage Unknown,0.0,64.6923076923077,38.0,False,Technology,326769115136,VCP 13 contracciones (Excellent) | Base: 25.1% | Stage Unknown
COIN,153.968994140625,55.96153846153846,Excellent,13,12.6% → 34.0% → 15.6% → 7.4% → 13.8% → 10.5% → 21.0% → 12.3% → 24.0% → 28.8% → 9.9% → 20.8% → 8.4%,34.03575810531169,Stage Unknown,0.0,64.8076923076923,30.0,False,Financial Services,41518907392,VCP 13 contracciones (Excellent) | Base: 34.0% | Stage Unknown
SHOP,124.27999877929688,55.9,Excellent,10,14.1% → 7.5% → 4.9% → 12.3% → 14.5% → 19.4% → 15.1% → 10.3% → 5.2% → 21.2%,21.211235397677626,Stage Unknown,0.0,59.5,40.0,False,Technology,162195800064,VCP 10 contracciones (Excellent) | Base: 21.2% | Stage Unknown
DOCU,46.400001525878906,55.45454545454545,Excellent,22,12.4% → 9.0% → 25.9% → 12.2% → 9.3% → 4.9% → 9.3% → 22.3% → 8.2% → 18.8% → 5.8% → 5.0% → 6.5% → 21.5% → 9.9% → 8.9% → 14.5% → 12.4% → 6.1% → 3.3% → 9.3% → 21.8%,25.897375822614983,Stage Unknown,0.0,62.27272727272727,30.0,False,Technology,9292655616,VCP 22 contracciones (Excellent) | Base: 25.9% | Stage Unknown
