sector,dj_ticker,status,signal,strength,velocity,relative_strength,momentum_change,recent_return_30d,current_price,timestamp
Technology,XLK,LAGGING,AVOID,WEAK,-4.25,0.0,stable,-2.01,142.93,2026-02-10T20:58:42.545832
Financials,XLF,IMPROVING,ACCUMULATE,MODERATE,0.29,100.0,accelerating,-3.43,53.42,2026-02-10T20:58:42.834378
Healthcare,XLV,IMPROVING,ACCUMULATE,MODERATE,1.72,100.0,accelerating,0.17,156.07,2026-02-10T20:58:43.144883
Consumer Discretionary,XLY,LAGGING,AVOID,WEAK,-3.12,0.0,accelerating,-1.82,118.64,2026-02-10T20:58:43.451888
Industrials,XLI,NEUTRAL,HOLD,NEUTRAL,-7.61,100.0,accelerating,11.09,174.27,2026-02-10T20:58:43.737240
Energy,XLE,NEUTRAL,HOLD,NEUTRAL,-12.45,100.0,decelerating,20.25,53.65,2026-02-10T20:58:44.016222
Materials,XLB,NEUTRAL,HOLD,NEUTRAL,-13.06,100.0,stable,15.79,52.96,2026-02-10T20:58:44.375572
Real Estate,XLRE,IMPROVING,ACCUMULATE,MODERATE,0.94,100.0,accelerating,5.56,42.89,2026-02-10T20:58:44.678667
Utilities,XLU,LEADING,BUY,STRONG,3.76,65.1,stable,3.79,44.49,2026-02-10T20:58:45.042725
Communication Services,XLC,NEUTRAL,HOLD,NEUTRAL,-1.52,100.0,stable,-0.09,117.79,2026-02-10T20:58:45.308782
Consumer Staples,XLP,NEUTRAL,HOLD,NEUTRAL,-4.83,100.0,accelerating,11.59,87.36,2026-02-10T20:58:45.631903
