ticker,super_score_4d,tier,description,dimensions,weights
NCLH,61.9,⭐ BUENA,Señales positivas,"{'vcp': np.float64(89.56818181818181), 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
INTC,59.1,⭐ BUENA,Señales positivas,"{'vcp': np.float64(88.575), 'insiders': 90, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
WRB,56.4,⭐ BUENA,Señales positivas,"{'vcp': np.float64(71.375), 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
CRM,54.9,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(66.33333333333334), 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
CVS,54.9,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(74.78571428571429), 'insiders': 90, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
BA,54.6,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(90.20588235294116), 'insiders': 70, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
BEN,54.4,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(89.56521739130434), 'insiders': 70, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
OXY,54.2,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(88.97619047619048), 'insiders': 70, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
GPN,50.1,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(92.02380952380952), 'insiders': 50, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
CAT,49.6,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(90.40625), 'insiders': 50, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
IEX,49.4,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(72.89473684210526), 'insiders': 70, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
APTV,49.4,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(89.65789473684211), 'insiders': 50, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
MGM,48.9,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(87.875), 'insiders': 50, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
DASH,48.9,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(87.91666666666667), 'insiders': 50, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
ECL,46.3,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(79.42857142857143), 'insiders': 50, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
PODD,43.6,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(70.16666666666667), 'insiders': 50, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
TPL,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
