ticker,super_score_4d,tier,description,dimensions,weights,timing_convergence,timing_bonus,timing_reason,sector_momentum,tier_boost,sector_name,dj_ticker,institutional_details,price_target,upside_percent,fundamental_score,current_price
INTC,77.0,⭐ BUENA,Señales positivas,"{'vcp': np.float64(88.575), 'insiders': 90, 'sector': 74.76, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (5 días),improving,3,Technology,DJUSTC,"{'ticker': 'INTC', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
NCLH,71.9,⭐ BUENA,Señales positivas,"{'vcp': np.float64(89.56818181818181), 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 7 compras de insiders durante VCP base (15 días),stable,0,,,"{'ticker': 'NCLH', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
WRB,69.3,⭐ BUENA,Señales positivas,"{'vcp': np.float64(71.375), 'insiders': 100, 'sector': 64.45, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 43 compras de insiders durante VCP base (44 días),improving,0,Financial Services,DJUSFI,"{'ticker': 'WRB', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
BA,67.4,⭐ BUENA,Señales positivas,"{'vcp': np.float64(90.20588235294116), 'insiders': 70, 'sector': 64.1, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (2 días),stable,0,Industrials,DJUSIG,"{'ticker': 'BA', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
BEN,67.3,⭐ BUENA,Señales positivas,"{'vcp': np.float64(89.56521739130434), 'insiders': 70, 'sector': 64.45, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (4 días),improving,0,Financial Services,DJUSFI,"{'ticker': 'BEN', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
ECL,64.8,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(79.42857142857143), 'insiders': 50, 'sector': 77.47, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),stable,3,Basic Materials,DJUSBS,"{'ticker': 'ECL', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
CVS,63.6,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(74.78571428571429), 'insiders': 90, 'sector': 43.54, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (5 días),stable,0,Healthcare,DJUSHC,"{'ticker': 'CVS', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
CRM,62.9,⭐ BUENA,Señales positivas,"{'vcp': np.float64(66.33333333333334), 'insiders': 100, 'sector': 74.76, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",False,0,,improving,3,Technology,DJUSTC,"{'ticker': 'CRM', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
GPN,62.9,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(92.02380952380952), 'insiders': 50, 'sector': 64.1, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (2 días),stable,0,Industrials,DJUSIG,"{'ticker': 'GPN', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
APTV,62.7,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(89.65789473684211), 'insiders': 50, 'sector': 66.67, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),improving,0,Consumer Cyclical,DJUSGT,"{'ticker': 'APTV', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
OXY,62.4,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(88.97619047619048), 'insiders': 70, 'sector': 41.07, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (4 días),improving,0,Energy,DJUSEN,"{'ticker': 'OXY', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
CAT,62.4,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(90.40625), 'insiders': 50, 'sector': 64.1, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),stable,0,Industrials,DJUSIG,"{'ticker': 'CAT', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
MGM,62.2,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(87.875), 'insiders': 50, 'sector': 66.67, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),improving,0,Consumer Cyclical,DJUSGT,"{'ticker': 'MGM', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
DASH,62.2,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(87.91666666666667), 'insiders': 50, 'sector': 66.67, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),improving,0,Consumer Cyclical,DJUSGT,"{'ticker': 'DASH', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
ALIT,58.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 74.76, 'institutional': 60}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",False,0,,improving,3,Technology,DJUSTC,"{'ticker': 'ALIT', 'whales_holding': [{'whale_name': 'Appaloosa Management (David Tepper)', 'tier': 'hedge', 'value': 30639675000, 'shares': 3591990, 'company_name': 'ALIGHT INC'}, {'whale_name': 'Appaloosa Management (David Tepper)', 'tier': 'hedge', 'value': 3166933000, 'shares': 371270, 'company_name': 'ALIGHT INC'}, {'whale_name': 'Appaloosa Management (David Tepper)', 'tier': 'hedge', 'value': 44565156000, 'shares': 5224520, 'company_name': 'ALIGHT INC'}, {'whale_name': 'Appaloosa Management (David Tepper)', 'tier': 'hedge', 'value': 459682000, 'shares': 53890, 'company_name': 'ALIGHT INC'}], 'num_whales': 4, 'total_value': 78831446000, 'total_shares': 9241670, 'whale_score': 60}",,,50,
PODD,52.3,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(70.16666666666667), 'insiders': 50, 'sector': 43.54, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),stable,0,Healthcare,DJUSHC,"{'ticker': 'PODD', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
IEX,52.2,🔵 MODERADA,Seguimiento recomendado,"{'vcp': np.float64(72.89473684210526), 'insiders': 70, 'sector': 64.1, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}",False,0,,stable,0,Industrials,DJUSIG,"{'ticker': 'IEX', 'whales_holding': [], 'num_whales': 0, 'total_value': 0, 'total_shares': 0, 'whale_score': 0}",,,50,
