ticker,company_name,source,signal_name,direction,timeframe,triggered_date,days_ago,description,strength,generated_at
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Morning Star,BULLISH,DAILY,2026-04-21,0,Patrón Morning Star (3 velas) — reversión alcista de alta fiabilidad,3,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Precio sobre MA50,BULLISH,DAILY,2026-04-21,0,Precio +14.4% sobre MA50 — soporte dinámico activo,2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Extendido sobre MA200,BEARISH,DAILY,2026-04-21,0,"Precio +84.0% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Pullback Volumen Seco,BULLISH,DAILY,2026-04-21,0,"Retroceso reciente con volumen <70% de la media — presión vendedora débil, consolidación saludable",2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Tendencia Alcista HH/HL,BULLISH,DAILY,2026-04-21,0,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Cerca de Máximo 52s,BULLISH,DAILY,2026-04-21,0,Precio a 0.0% del máximo de 52 semanas — fuerza relativa excepcional,2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Doji en Subida,BEARISH,DAILY,2026-04-20,1,"Doji después de subida — indecisión, posible agotamiento comprador",1,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-04-20,1,Precio +92.9% sobre MA50 — soporte dinámico activo,2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-04-20,1,"Precio +190.1% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Tendencia Alcista HH/HL,BULLISH,WEEKLY,2026-04-20,1,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-04-21 07:41
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Cerca de Máximo 52s,BULLISH,WEEKLY,2026-04-20,1,Precio a 0.0% del máximo de 52 semanas — fuerza relativa excepcional,2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Precio sobre MA50,BULLISH,DAILY,2026-04-21,0,Precio +6.7% sobre MA50 — soporte dinámico activo,2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Extendido sobre MA200,BEARISH,DAILY,2026-04-21,0,"Precio +27.9% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Rebote MA50,BULLISH,DAILY,2026-04-16,5,Precio testó MA50 y rebotó con mecha inferior — soporte validado,2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Tendencia Alcista HH/HL,BULLISH,DAILY,2026-04-21,0,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,MACD Histograma Creciente,BULLISH,DAILY,2026-04-21,0,Histograma MACD positivo y en expansión — momentum alcista acelerando,1,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Toque Banda Superior BB,BEARISH,DAILY,2026-04-21,0,Precio en banda superior de Bollinger — posible sobreextensión,1,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Doji en Subida,BEARISH,DAILY,2026-04-16,5,"Doji después de subida — indecisión, posible agotamiento comprador",1,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-04-20,1,Precio +31.2% sobre MA50 — soporte dinámico activo,2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-04-20,1,"Precio +79.7% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Pullback Volumen Seco,BULLISH,WEEKLY,2026-04-20,1,"Retroceso reciente con volumen <70% de la media — presión vendedora débil, consolidación saludable",2,2026-04-21 07:41
012330.KS,"Hyundai Mobis Co.,Ltd",value_global,Tendencia Alcista HH/HL,BULLISH,WEEKLY,2026-04-20,1,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-04-21 07:41
035420.KS,NAVER Corporation,value_global,Hammer,BULLISH,DAILY,2026-04-16,5,"Vela Hammer: mecha inferior larga, cuerpo pequeño — rechazo bajista, posible suelo",2,2026-04-21 07:41
035420.KS,NAVER Corporation,value_global,Hammer,BULLISH,DAILY,2026-04-21,0,"Vela Hammer: mecha inferior larga, cuerpo pequeño — rechazo bajista, posible suelo",2,2026-04-21 07:41
035420.KS,NAVER Corporation,value_global,Precio bajo MA50,BEARISH,WEEKLY,2026-04-20,1,Precio -8.6% bajo MA50 — tendencia deteriorada,2,2026-04-21 07:41
035420.KS,NAVER Corporation,value_global,Tendencia Bajista LH/LL,BEARISH,WEEKLY,2026-04-20,1,Máximos y mínimos decrecientes en las últimas 20 velas — downtrend confirmado,2,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,Rebote MA50,BULLISH,DAILY,2026-04-16,5,Precio testó MA50 y rebotó con mecha inferior — soporte validado,2,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,Tendencia Alcista HH/HL,BULLISH,DAILY,2026-04-21,0,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,Precio sobre MA50,BULLISH,DAILY,2026-04-21,0,Precio +3.1% sobre MA50 — soporte dinámico activo,1,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-04-20,1,"Precio +34.9% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,MACD Cruce Alcista,BULLISH,WEEKLY,2026-04-20,1,Línea MACD cruzó por encima de la señal — momentum alcista activado,2,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,Squeeze Bollinger,BULLISH,WEEKLY,2026-04-20,1,Bandas de Bollinger comprimidas (percentil 15%) — compresión previa a movimiento explosivo,2,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-04-20,1,Precio +1.5% sobre MA50 — soporte dinámico activo,1,2026-04-21 07:41
0388.HK,Hong Kong Exchanges and Clearing Limited,value_global,MACD Histograma Creciente,BULLISH,WEEKLY,2026-04-20,1,Histograma MACD positivo y en expansión — momentum alcista acelerando,1,2026-04-21 07:41
0700.HK,Tencent Holdings Limited,value_global,Bullish Engulfing,BULLISH,DAILY,2026-04-20,1,Vela alcista que envuelve la bajista anterior — fuerte reversión compradora,3,2026-04-21 07:41
0700.HK,Tencent Holdings Limited,value_global,Morning Star,BULLISH,DAILY,2026-04-16,5,Patrón Morning Star (3 velas) — reversión alcista de alta fiabilidad,3,2026-04-21 07:41
0700.HK,Tencent Holdings Limited,value_global,Pullback Volumen Seco,BULLISH,DAILY,2026-04-21,0,"Retroceso reciente con volumen <70% de la media — presión vendedora débil, consolidación saludable",2,2026-04-21 07:41
0700.HK,Tencent Holdings Limited,value_global,Doji en Caída,BULLISH,DAILY,2026-04-15,6,"Doji después de tendencia bajista — indecisión, posible agotamiento vendedor",1,2026-04-21 07:41
