ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,ai_verdict,ai_confidence,ai_reasoning,ai_verified,data_warning,verified_by,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,tesis_deterioro,tesis_ingresos_yoy,tesis_margen_op,tesis_margen_op_delta,tesis_op_yoy,tesis_eps_limpio,tesis_pe_hoy,tesis_extraordinarios_pct,tesis_pe_hist,tesis_compresion,tesis_crec_usado,tesis_ret_2a_sin_reversion,tesis_ret_2a_con_reversion,tesis_compresion_con_bpa_creciendo,tesis_bpa_crecio_pct,tesis_multiplo_vario_pct,tesis_pe_antes,tesis_pe_ahora,tesis_base,conviction_score,conviction_grade,conviction_reasons,conviction_positives,conviction_red_flags
DSGX,0.0,,,,35.6,The Descartes Systems Group Inc.,74.5,Technology,Software - Application,95.0,70.0,42.3,90.0,65.0,79.78,6825063424.0,15.0,24.2,False,up,31.6,False,0.0,11.8,True,1.0,,7.5,False,104.44,-23.6,4.0,False,"{'roe_pct': 11.9, 'debt_to_equity': 0.0, 'current_ratio': 2.02, 'operating_margin_pct': 33.2}","{'eps_growth_yoy': 31.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 24.3}",101.23,126.0,82.0,13.0,buy,26.9,149.64,87.6,64.5,-19.2,4.42,3.53,,,,True,-0.66,264.0,32.6,77.0,2026-12-02,False,False,6.0,NEUTRAL,3.39,77.7,0.74,,,,,,17.0,0.0,10.7,22.3,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.0x ratio, 49% up volume)",HIGH_FLOAT,85.2,20.0,33.0,15.0,False,up,24.2,2.0,False,0.0,True,1.0,2.0,16.0,27.0,44.4,Bajo 50%,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,47.38,5.0,0.0,3.0,0.0,3.0,5.0,1.0,1.45,1.0,0.0,1.5,26.9,-7.3,,3.36,0.0,2.0,79.0,0,,0,UNRELIABLE/INSUFFICIENT (0),,0.0,42,0.3561,BAJA,7.45,⚪ WEAK,🟡 Average,,,,,,,,,,,BUY,85,"Upside is realistic, fundamentals exceed thresholds, strong analyst coverage, no red flags.",True,,claude,78.18,71.93,106.59,8.0,36.33,BUY ON PULLBACK - Wait for 2-5% dip,False,11.841614993187433,33.181176283390016,3.538487964840396,25.19230047652996,2.185577351673103,36.424013974641014,1.6547605429350205,,,10.920807496593717,23.034255356964017,,True,58.474576271186464,-39.363421888683156,64.78406788454217,39.28284192649894,,76.3,A,Sin deterioro: ingresos +11.8% y margen +3.5 pts — la caída no tiene motivo real | +23% a 2 años sin necesitar reversión de múltiplo | El beneficio subio +58% y el multiplo cayo -39% (65x → 39x) | Deuda minima (0.00),9,0
CBOE,61.400000000000006,Excellent,Stage Unknown,27.11734691997296,48.7,"Cboe Global Markets, Inc.",78.3,Financial Services,Financial Data & Stock Exchanges,100.0,90.0,26.7,100.0,55.0,270.44,28242323456.0,15.0,24.8,False,up,50.2,False,0.0,22.9,True,2.0,3.0,2.9,False,371.18,-27.1,2.0,False,"{'roe_pct': 26.3, 'debt_to_equity': 0.28, 'current_ratio': 1.56, 'operating_margin_pct': 34.6}","{'eps_growth_yoy': 50.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 26.7}",315.64,356.0,258.0,14.0,hold,16.7,275.43,1.8,384.9,42.3,2.4,6.49,1.21,22.4,1.29,True,-0.27,36.6,20.1,44.0,2026-10-30,False,False,8.0,STRONG,5.89,70.3,0.35,,,,,,41.7,24.6,14.6,23.5,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,104.0,20.0,62.7,15.0,False,up,24.8,2.0,False,0.0,True,2.0,2.0,12.0,27.0,59.3,Medio,32.7,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,66.755,0.0,0.0,0.0,0.0,3.0,5.0,0.16,-0.65,0.0,0.0,0.0,16.7,-5.3,,2.09,2.0,10.0,29.0,0,,0,UNRELIABLE/INSUFFICIENT (0),WATCH,0.0,44,0.487,MEDIA,31.030000000000005,⭐ GOOD,🟢 Excellent,,,,,,,,SIN_DATOS,,,BUY,85,"Strong ROE (26.3%), healthy margin (26.7%), low debt/equity (0.28) and solid growth (22.9%) support the target price; 16.7% upside is realistic and validated by 14 analysts, with no red flags.",True,,claude,270.44,264.65,368.06,2.14,36.1,BUY NOW - At target entry price,False,22.948444823178527,32.99140560022179,2.637762651776967,33.63279056709714,13.041558139534883,21.874686824052624,1.5697674418604652,,,16.474222411589263,35.662444863843646,,True,375.7990867579909,-57.59312847787057,51.63493416759528,21.896760192988243,,75.4,A,Sin deterioro: ingresos +22.9% y margen +2.6 pts — la caída no tiene motivo real | Gana +36% a 2 años AUNQUE el múltiplo no revierta | El beneficio subio +376% y el multiplo cayo -58% (52x → 22x) | ROE 26% (excelente),10,0
SAP,0.0,,,,7.7,SAP SE,74.3,Technology,Software - Application,95.0,60.0,56.6,90.0,60.0,215.67,248927240192.0,35.0,40.1,False,up,28.5,False,0.0,9.4,True,1.0,0.4,2.0,False,281.37,-23.4,4.0,False,"{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'eps_growth_yoy': 28.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}",247.25,319.0,177.0,12.0,buy,14.6,385.69,78.8,229.8,6.6,4.22,9.09,1.34,37.5,1.48,True,-1.17,20.7,30.6,35.0,2026-10-21,False,False,8.0,STRONG,0.31,146.7,0.73,,,,,,5.600000000000001,0.0,2.3,22.3,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,14500.7,23.0,24.6,35.0,False,up,40.1,2.0,False,0.0,True,1.0,2.0,16.0,27.0,44.4,Bajo 50%,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,37.30499999999999,5.0,0.0,3.0,0.0,3.0,5.0,0.0,1.78,1.0,0.0,0.0,14.6,-28.1,,1.82,2.0,10.0,77.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,-11.0,43,0.0774,BAJA,7.43,⚪ WEAK,🟡 Average,,,,,,,,,,,BUY,85,"Upside is modest and realistic, ROE (18.3%), margin (20.4%) and low debt (0.22) indicate strong fundamentals, and the target is supported by 12 analysts, with no red flags present.",True,,claude,211.36,199.67,285.6,5.53,35.13,BUY ON PULLBACK - Wait for 2-5% dip,False,9.427273734352504,26.83741648106904,-0.5692524011731201,7.154405820533549,7.7628589770230265,26.94110515456033,0.03684248741013841,,,9.713636867176252,20.37082114622615,,,,,,,,74.6,B,"Negocio sano: ingresos +9.4% y beneficio operativo al alza (margen -0.6 pts, absorbido por el crecimiento) | +20% a 2 años sin necesitar reversión de múltiplo | ROE 18% (bueno) | Deuda minima (0.22)",9,0
AXP,0.0,,,,36.1,American Express Company,62.5,Financial Services,Credit Services,70.0,60.0,36.0,85.0,65.0,324.43,219090763776.0,15.0,18.3,False,down,7.8,False,0.0,10.0,True,1.0,2.0,4.5,False,387.49,-16.3,2.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",375.96,450.0,315.0,25.0,buy,15.9,486.59,50.0,179.52,-44.7,7.3,23.7,1.16,21.5,1.1,True,-3.41,,7.7,37.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.46,,,,,,0.0,0.0,10.8,18.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 44% up volume)",MEGA_FLOAT,522.2,30.0,29.6,15.0,False,down,18.3,0.0,False,0.0,True,1.0,2.0,11.0,27.0,63.0,Medio,35.2,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,57.80500000000001,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.02,0.0,0.0,0.0,15.9,13.3,,1.99,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),EXIT,-2.0,44,0.3613,BAJA,0.0,🔵 DECENT,🟡 Good,,,,,,,,SIN_DATOS,,,BUY,85,"Upside is modest and realistic, fundamentals (ROE 34.4%, margin 16.1%, debt/equity 1.72) are strong, and the target is supported by 25 analysts. No red flags detected.",True,,claude,324.43,311.98,415.69,3.84,28.13,BUY NOW - At target entry price,,,,,,,,,,,,,,,,,,,,74.0,B,ROE 34% (excelente) | FCF Yield 7.3% (bueno) | DCF dice +50% infravalorada | Buy (25 analistas),6,0
INTU,0.0,,,,21.1,Intuit Inc.,56.8,Technology,Software - Application,55.0,60.0,30.3,85.0,65.0,329.27,87992795136.0,15.0,12.7,False,up,-4.7,False,0.0,13.7,False,0.0,3.4,2.0,False,705.08,-53.3,2.0,False,"{'roe_pct': 23.6, 'debt_to_equity': 0.44, 'current_ratio': 1.51, 'operating_margin_pct': 17.6}","{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.3}",405.6,732.0,290.0,31.0,buy,23.2,349.84,6.2,159.7,-51.5,7.22,23.78,1.63,29.2,0.68,True,-6.15,24.5,-1.0,64.0,2026-11-19,False,False,8.0,STRONG,7.03,92.5,,BULLISH,0.43,100.0,11.0,3.0,5.0,0.0,6.3,17.0,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,260.9,23.0,23.4,15.0,False,up,12.7,2.0,False,0.0,False,0.0,0.0,16.0,27.0,44.4,Bajo 50%,26.9,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,74.775,5.0,0.0,6.0,3.0,3.0,0.0,0.0,-10.13,0.0,4.0,0.0,6.2,45.8,ALTA,2.9,2.0,10.0,14.0,0,,0,UNRELIABLE/INSUFFICIENT (0),CAUTION,8.0,33,0.2108,BAJA,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,,SIN_DATOS,,,BUY,85,"The 23% upside is realistic, fundamentals are strong (ROE 23.6%, margin 21.3%, debt/equity 0.44), and the target is supported by 31 analysts, with no red flags.",True,,claude,322.68,303.6,557.03,5.91,72.62,BUY ON PULLBACK - Wait for 2-5% dip,False,13.651788044896884,17.638952687184197,8.76398531574071,125.88235294117646,17.188117001828154,18.196874036099086,4.86953631377763,,,-0.4,-0.7983999999999991,,True,95.48693586698337,-57.883813577203405,55.28006691830741,23.281856037961056,,71.2,B,Sin deterioro: ingresos +13.7% y margen +8.8 pts — la caída no tiene motivo real | El beneficio subio +95% y el multiplo cayo -58% (55x → 23x) | ROE 24% (bueno) | FCF Yield 7.2% (bueno) || RED FLAGS: Sin reversión de múltiplo pierde -1% — la tesis depende de que el mercado cambie de opinión,9,1
ROP,0.0,,,,35.8,"Roper Technologies, Inc.",66.5,Technology,Software - Application,100.0,50.0,42.3,60.0,65.0,383.94,37972000768.0,15.0,23.7,False,up,208.9,True,2.0,8.5,False,0.0,6.5,7.9,False,521.28,-26.3,2.0,False,"{'roe_pct': 13.1, 'debt_to_equity': 0.61, 'current_ratio': 0.55, 'operating_margin_pct': 27.7}","{'eps_growth_yoy': 208.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 30.2}",445.2,550.0,335.0,15.0,buy,16.0,971.52,153.0,700.2,82.4,5.97,22.91,0.92,14.5,0.61,True,-7.18,8.6,163.1,36.0,2026-10-22,False,False,6.0,NEUTRAL,4.62,1441.1,0.07,,,,,,12.7,0.0,10.7,19.9,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,98.4,20.0,30.7,15.0,False,up,23.7,2.0,True,2.0,False,0.0,5.0,16.0,27.0,44.4,Bajo 50%,26.9,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,41.89,5.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,82.4,-101.7,,2.0,2.0,2.0,13.0,0,,-8,RELIABLE/AVOID (-8),,0.0,44,0.3577,BAJA,0.0,⚪ WEAK,🟡 Average,,,,,,,,,,,BUY,85,"Upside is modest and realistic; ROE, margin, and low debt indicate strong fundamentals; ample analyst coverage supports the target price.",True,,claude,383.94,374.54,519.54,2.45,35.32,BUY NOW - At target entry price,False,8.504836386087678,27.7253544501873,-0.4851826973739257,6.638701440817063,24.01,16.44648063306955,0.0,,,9.252418193043841,19.360908810277344,,,,,,,,70.3,B,"Negocio sano: ingresos +8.5% y beneficio operativo al alza (margen -0.5 pts, absorbido por el crecimiento) | +19% a 2 años sin necesitar reversión de múltiplo | FCF Yield 6.0% (bueno) | DCF dice +153% infravalorada",8,0
SPGI,0.0,,,,44.5,S&P Global Inc.,64.0,Financial Services,Financial Data & Stock Exchanges,85.0,60.0,36.0,65.0,65.0,412.52,121610895360.0,15.0,13.4,False,down,13.5,False,0.0,10.4,False,0.0,2.4,3.9,False,522.46924,-21.0,1.0,False,"{'roe_pct': 14.3, 'debt_to_equity': 0.43, 'current_ratio': 0.95, 'operating_margin_pct': 44.8}","{'eps_growth_yoy': 13.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 30.5}",520.3,553.0,485.0,20.0,strong_buy,26.1,495.13,20.0,286.92,-30.4,4.48,18.48,0.93,23.5,0.82,True,-4.28,22.7,17.7,43.0,2026-10-29,False,False,7.0,NEUTRAL,4.71,942.7,1.15,BEARISH,999.0,50.0,0.0,1.0,0.0,0.0,13.3,19.2,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 42% up volume)",MEGA_FLOAT,294.1,30.0,32.5,15.0,False,down,13.4,0.0,False,0.0,False,0.0,0.0,12.0,27.0,59.3,Medio,32.7,0.0,0.0,0.0,-5.0,-8.0,0.0,0.0,0.0,False,1/3,49.825,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.65,0.0,0.0,0.0,20.0,31.3,MEDIA,3.26,0.0,5.0,12.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,44,0.4452,BAJA,0.0,⚪ WEAK,🟡 Average,,,,,,,,,,,BUY,85,"Upside of 26% is realistic, fundamentals are solid (ROE 14.3%, margin 30.5%, debt/equity 0.43) and 20 analysts support the target, with no red flags.",True,,claude,412.52,399.29,541.82,3.21,31.34,BUY NOW - At target entry price,False,10.412782956058585,43.439459720212255,2.5073691742735065,17.176317501626535,14.87087593904467,28.132841785167646,7.17305905714938,33.84193254936589,-16.869872179640698,8.85,18.483225000000036,42.527418285747466,,,,,,,65.4,B,Sin deterioro: ingresos +10.4% y margen +2.5 pts — la caída no tiene motivo real | +18% a 2 años sin necesitar reversión de múltiplo | Cotiza 17% por debajo de su múltiplo histórico | DCF: +20% margen || RED FLAGS: 7% del BPA son extraordinarios (múltiplo real peor),9,1
FHN,0.0,,,,36.1,First Horizon Corporation,69.3,Financial Services,Banks - Regional,95.0,60.0,47.6,65.0,65.0,24.47,11593326592.0,35.0,34.5,False,down,12.0,True,1.0,6.7,True,1.0,0.0,0.0,False,26.56,-7.9,5.0,False,"{'roe_pct': 11.5, 'operating_margin_pct': 41.3}","{'eps_growth_yoy': 12.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 30.2}",28.2,31.0,25.0,20.0,buy,15.2,36.77,50.3,41.8,70.8,5.13,1.26,2.8,30.8,3.28,True,-8.09,,14.0,28.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.53,,,,,,40.6,0.0,10.8,20.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,468.3,5.0,31.6,35.0,False,down,34.5,0.0,True,1.0,True,1.0,5.0,7.0,27.0,77.8,Top 25%,42.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,60.525000000000006,0.0,0.0,6.0,3.0,3.0,3.0,0.34,0.34,0.0,0.0,0.0,50.3,-45.3,,1.9,2.0,0.0,,1,Appaloosa (Tepper),0,UNRELIABLE/INSUFFICIENT (0),,0.0,44,0.3613,BAJA,20.43,⭐ GOOD,🟡 Good,,,,,,,,,,,BUY,85,"Upside is modest and realistic, ROE and margin exceed quality thresholds, growth is positive, and there is strong analyst coverage with no red flags.",True,,claude,24.16,23.21,30.15,3.92,24.78,BUY NOW - At target entry price,,,,,,,,,,,,,,,,,,,,64.0,B,FCF Yield 5.1% (bueno) | DCF dice +50% infravalorada | Buy (20 analistas) | Buyback activo,6,0
PEP,0.0,,,,50.0,"PepsiCo, Inc.",61.5,Consumer Defensive,Beverages - Non-Alcoholic,100.0,60.0,24.0,45.0,50.0,135.5,185092997120.0,15.0,3.9,False,down,136.0,True,1.0,6.4,True,1.0,1.7,3.2,False,171.48,-21.0,2.0,False,"{'roe_pct': 51.5, 'debt_to_equity': 2.39, 'current_ratio': 0.93, 'operating_margin_pct': 16.8}","{'eps_growth_yoy': 136.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}",155.0,183.0,124.0,22.0,hold,14.4,243.14,79.4,229.2,69.2,4.23,5.73,4.34,75.3,3.03,True,-0.53,12.7,54.8,22.0,2026-10-08,False,False,5.0,NEUTRAL,4.99,33.8,0.11,,,,,,3.0,0.0,,18.4,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.6x ratio, 38% up volume)",MEGA_FLOAT,1361.8,30.0,26.4,15.0,False,down,3.9,0.0,True,1.0,True,1.0,5.0,5.0,27.0,85.2,Top 25%,43.4,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,34.6,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,69.2,-59.9,,1.8,2.0,0.0,66.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,-8.0,44,,,0.0,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,78,"Upside is modest and realistic, ROE is exceptional, margin meets the threshold, growth is positive, and there is strong analyst coverage. Debt is slightly above the ideal <2x level but not a major concern, so the overall profile supports a buy recommendation.",True,,claude,135.5,132.06,176.2,2.54,30.04,BUY NOW - At target entry price,False,6.402358532077801,16.637029072412226,0.5805299084590452,10.249383392710332,7.707625210000759,17.729196253950516,1.0173684141646038,22.936663717024526,-22.70368318304643,8.201179266038901,17.074951945614856,51.46252339922175,,,,,,,63.8,B,Sin deterioro: ingresos +6.4% y margen +0.6 pts — la caída no tiene motivo real | +17% a 2 años sin necesitar reversión de múltiplo | Cotiza 23% por debajo de su múltiplo histórico | ROE 52% (excelente),8,0
EQIX,0.0,,,,7.2,"Equinix, Inc.",72.3,Real Estate,REIT - Specialty,90.0,70.0,54.0,70.0,65.0,1006.98,99360415744.0,60.0,54.2,False,down,30.2,False,0.0,16.4,True,1.0,1.9,2.8,False,1128.68,-10.8,5.0,False,"{'roe_pct': 10.7, 'debt_to_equity': 1.62, 'current_ratio': 1.13, 'operating_margin_pct': 27.0}","{'eps_growth_yoy': 30.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.5}",1233.23,1400.0,1060.0,30.0,buy,22.5,1554.22,54.3,452.45,-55.1,3.8,38.27,2.07,126.8,1.86,False,,4.0,28.8,42.0,2026-10-28,False,False,6.0,NEUTRAL,1.67,7.8,1.87,,,,,,9.8,0.0,2.2,21.7,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,83,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 48% up volume)",HIGH_FLOAT,98.3,22.0,23.8,60.0,False,down,54.2,0.0,False,0.0,True,1.0,2.0,,27.0,,Sin datos suficientes,54.2,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,1/3,33.28,0.0,0.0,3.0,-2.0,0.0,5.0,-0.12,-0.02,0.0,0.0,0.0,22.5,22.9,MEDIA,2.81,2.0,2.0,120.0,0,,0,UNRELIABLE/INSUFFICIENT (0),,0.0,44,0.0719,BAJA,20.73,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,85,"Upside is realistic, fundamentals meet quality thresholds (ROE 10.7%, margin 15.5%, Debt/Equity 1.62), and strong analyst coverage (30 analysts) with no red flags.",True,,claude,1007.55,968.03,1257.51,3.92,24.81,BUY NOW - At target entry price,False,16.356382978723396,26.438095238095237,4.274974670719349,38.79999999999999,16.663691284411566,59.93389957567659,7.024349931994651,,,13.178191489361698,28.093030288026256,,True,79.40026075619295,-27.009966443719303,80.09975179342928,58.46483571252158,,63.6,B,Sin deterioro: ingresos +16.4% y margen +4.3 pts — la caída no tiene motivo real | +28% a 2 años sin necesitar reversión de múltiplo | El beneficio subio +79% y el multiplo cayo -27% (80x → 58x) | DCF dice +54% infravalorada || RED FLAGS: 7% del BPA son extraordinarios (múltiplo real peor),6,1
