Rank,Ticker,CompanyName,FinalScore,ConfidenceLevel,NumTransactions,TotalValue,UniqueInsiders,AvgPrice,FirstFilingDate,LastFilingDate,FirstPurchaseDate,LastPurchaseDate,DaysSinceLastActivity,FundamentalScore
1,STGW,Stagwell Inc,77.4,Alta,3,"$125,007",2,4.37,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
2,GRNT,"Granite Ridge Resources, Inc.",73.6,Alta,3,"$58,600",2,5.8,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
3,STRZ,Starz Entertainment Corp /Cn/,65.4,Alta,2,"$5,098,566",2,16.07,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
4,IMUX,"Immunic, Inc.",65.4,Alta,2,"$132,102",2,0.7,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
5,PATK,Patrick Industries Inc,52.9,Media,2,"$253,724",1,82.6,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
6,SWPR,"Complete Solaria, Inc.",52.9,Media,2,"$445,554",1,1.44,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
7,BUSE,First Busey Corp /Nv/,47.3,Media,2,"$31,538",1,21.75,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
8,ACDC,Profrac Holding Corp.,40.9,Media,1,"$2,347,579",1,6.93,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
9,PETS,Petmed Express Inc,40.9,Media,1,"$98,500",1,3.94,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
10,SDHC,Smith Douglas Homes Corp.,40.9,Media,1,"$361,745",1,18.79,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
11,SGHT,"Sight Sciences, Inc.",40.9,Media,1,"$376,359",1,3.81,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
12,SHEN,Shenandoah Telecommunications Co/Va/,40.9,Media,1,"$798,335",1,12.7,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
13,SUNS,"Sunrise Realty Trust, Inc.",40.9,Media,1,"$400,571",1,10.66,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
14,JRVR,"James River Group Holdings, Ltd.",40.9,Media,1,"$99,790",1,5.87,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
15,TCBI,Texas Capital Bancshares Inc/Tx,40.9,Media,1,"$138,460",1,19.78,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
16,TISI,Team Inc,40.9,Media,1,"$184,549",1,18.87,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
17,TKO,"Tko Group Holdings, Inc.",40.9,Media,1,"$249,999,946",1,158.32,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
18,TLYS,"Tilly'S, Inc.",40.9,Media,1,"$111,534",1,1.23,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
19,TSHA,"Taysha Gene Therapies, Inc.",40.9,Media,1,"$2,062,500",1,2.75,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
20,TTSH,"Tile Shop Holdings, Inc.",40.9,Media,1,"$150,340",1,6.26,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
21,VRM,"Vroom, Inc.",40.9,Media,1,"$172,551",1,25.42,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
22,MMLP,Martin Midstream Partners L.P.,40.9,Media,1,"$902,631",1,3.0,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
23,ABR,Arbor Realty Trust Inc,40.9,Media,1,"$130,608",1,9.45,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
24,CTKB,"Cytek Biosciences, Inc.",40.9,Media,1,"$97,300",1,2.78,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
25,ITW,Illinois Tool Works Inc,40.9,Media,1,"$210,292",1,241.16,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
26,AFBI,"Affinity Bancshares, Inc.",40.9,Media,1,"$100,179",1,18.49,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
27,FLWS,1 800 Flowers Com Inc,40.9,Media,1,"$388,331",1,4.88,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
28,CC,Chemours Co,40.9,Media,1,"$201,397",1,9.49,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
29,CCO,"Clear Channel Outdoor Holdings, Inc.",40.9,Media,1,"$650,760",1,1.07,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
30,RGLS,Regulus Therapeutics Inc.,40.8,Media,1,"$95,880",1,7.99,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
31,BBSI,Barrett Business Services Inc,40.5,Media,1,"$83,560",1,41.78,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
32,CDTX,"Cidara Therapeutics, Inc.",40.3,Media,1,"$73,903",1,22.26,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
33,VREO,Vireo Growth Inc.,40.2,Media,1,"$73,080",1,0.4,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
34,WEN,Wendy'S Co,39.8,Baja,1,"$58,984",1,11.68,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
35,UEIC,Universal Electronics Inc,39.8,Baja,1,"$59,118",1,6.65,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
36,MATV,"Mativ Holdings, Inc.",39.7,Baja,1,"$57,800",1,5.78,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
37,MLP,Maui Land & Pineapple Co Inc,39.6,Baja,1,"$53,630",1,15.82,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
38,CREX,"Creative Realities, Inc.",39.5,Baja,1,"$52,160",1,3.26,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
39,ADV,Advantage Solutions Inc.,39.4,Baja,1,"$48,960",1,1.23,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
40,IMNM,Immunome Inc.,39.3,Baja,1,"$46,900",1,9.38,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
41,SEVN,Seven Hills Realty Trust,39.2,Baja,1,"$45,144",1,11.88,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
42,BSAI,Blusky Ai Inc.,39.2,Baja,1,"$45,356",1,0.03,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
43,MDV,"Modiv Industrial, Inc.",39.1,Baja,1,"$44,006",1,14.1,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
44,DLHC,Dlh Holdings Corp.,38.4,Baja,1,"$38,245",1,5.0,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
45,VFF,"Village Farms International, Inc.",37.0,Baja,1,"$30,250",1,1.21,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
46,RBCAA,Republic Bancorp Inc /Ky/,36.9,Baja,1,"$30,035",1,68.73,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
47,ANIX,Anixa Biosciences Inc,36.6,Baja,1,"$28,500",1,2.85,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
48,SRBK,"Sr Bancorp, Inc.",36.0,Baja,1,"$25,460",1,12.73,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
49,EML,Eastern Co,35.7,Baja,1,"$23,796",1,22.75,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
50,SCWO,374Water Inc.,35.0,Baja,1,"$21,000",1,0.42,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
51,NBTB,Nbt Bancorp Inc,33.4,Baja,1,"$14,385",1,41.1,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
52,CMCO,Columbus McKinnon Corp,33.3,Baja,1,"$13,890",1,13.89,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
53,UUU,Universal Security Instruments Inc,32.7,Baja,1,"$11,950",1,2.39,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
54,TPL,Texas Pacific Land Corp,32.5,Baja,1,"$11,103",1,1110.29,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
55,VNRX,Volitionrx Ltd,32.4,Baja,1,"$10,800",1,0.54,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
56,ANTX,"An2 Therapeutics, Inc.",32.3,Baja,1,"$10,700",1,1.07,2025-06-05,2025-06-05,2025-06-05,2025-06-05,3,0
