Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate
DJUSFR,Dow Jones U.S. Forestry & Paper Index,845.14,703.58,952.75,20.119957929446535,54.93058027767891,🟡,CERCA,251,2025-08-14 07:46:33
DJUSAE,Dow Jones U.S. Aerospace & Defense Index,2723.2,1861.2,2775.1,46.31420588867396,49.713958810068654,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAF,Dow Jones U.S. Delivery Services Index,1023.9,916.9,1383.0,11.669756789180937,62.073220896750286,🟡,CERCA,251,2025-08-14 07:46:33
DJUSAG,Dow Jones U.S. Asset Managers Index,416.51,273.77,419.77,52.138656536508755,45.509893455098954,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAI,Dow Jones U.S. Electronic Equipment Index,1572.4,913.78,1587.95,72.07642977521942,28.430580935786807,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAL,Dow Jones U.S. Aluminum Index,108.39,73.62,163.19,47.22901385493072,50.76504590275416,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAM,Dow Jones U.S. Medical Equipment Index,2979.0,2589.3,3151.1,15.05039972193256,46.78526048284623,🟡,CERCA,251,2025-08-14 07:46:33
DJUSAP,Dow Jones U.S. Automobiles & Parts Index,1296.85,829.29,1748.7,56.38075944482629,29.300156628221558,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAR,Dow Jones U.S. Airlines Index,230.98,133.85,259.72,72.56630556593201,36.63713547434478,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAS,Dow Jones U.S. Aerospace Index,2931.9,1883.9,3039.2,55.62927968575826,55.83953413134904,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAT,Dow Jones U.S. Auto Parts Index,417.67,288.25,418.83,44.89852558542932,32.482561826252365,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAU,Dow Jones U.S. Automobiles Index,1170.15,724.85,1613.6,61.43340001379597,29.545022615834867,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSAV,Dow Jones U.S. Media Agencies Index,441.44,346.44,702.93,27.421775776469232,73.1545351590652,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSBC,Dow Jones U.S. Broadcasting & Entertainment Index,1196.1,962.0,1294.9,24.334719334719328,67.83831282952552,🟡,CERCA,251,2025-08-14 07:46:33
DJUSBD,Dow Jones U.S. Building Materials & Fixtures Index,2502.4,1876.9,2557.1,33.32622942085353,43.28729281767956,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSBE,Dow Jones U.S. Business Training & Employment Agencies Index,108.18,104.12,152.72,3.8993469074145235,72.99488054607505,🟢,OPORTUNIDAD,251,2025-08-14 07:46:33
DJUSBK,Dow Jones U.S. Banks Index,735.35,521.55,761.58,40.9931933659285,60.14105335001701,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSBS,Dow Jones U.S. Basic Resources Index,409.27,274.91,409.9,48.874177003382904,38.817275747508326,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSBT,Dow Jones U.S. Biotechnology Index,2734.2,2297.4,3119.9,19.012797074954282,45.942373777425345,🟡,CERCA,251,2025-08-14 07:46:33
DJUSBV,Dow Jones U.S. Beverages Index,976.89,875.4,1070.16,11.593557230980124,38.76072291163484,🟡,CERCA,251,2025-08-14 07:46:33
DJUSCA,Dow Jones U.S. Gambling Index,735.4,513.6,765.64,43.1853582554517,54.552942938445405,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSCC,Dow Jones U.S. Commodity Chemicals Index,742.52,647.09,855.73,14.74756216291396,52.42827868852459,🟡,CERCA,251,2025-08-14 07:46:33
DJUSCH,Dow Jones U.S. Chemicals Index,1988.64,1497.87,2050.51,32.76452562638949,51.31861912846633,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSCM,Dow Jones U.S. Personal Products Index,445.13,345.1,483.97,28.98580121703853,47.05491291051721,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSCN,Dow Jones U.S. Construction & Materials Index,2084.71,1484.39,2096.84,40.44220184722343,43.343998274436494,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSCP,Dow Jones U.S. Containers & Packaging Index,463.21,397.01,541.01,16.67464295609682,65.30664286625019,🟡,CERCA,251,2025-08-14 07:46:33
DJUSCR,Dow Jones U.S. Computer Hardware Index,11674.4,8364.8,12829.5,39.56579954093344,30.03548676728377,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSCS,Dow Jones U.S. Specialized Consumer Services Index,2803.5,2625.1,3402.3,6.795931583558726,45.00965872504829,🟢,OPORTUNIDAD,251,2025-08-14 07:46:33
DJUSCT,Dow Jones U.S. Telecommunications Equipment Index,2547.51,1708.47,2589.69,49.11060773674693,28.886946511181733,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSCX,Dow Jones U.S. Specialty Chemicals Index,1094.78,863.05,1218.81,26.850124558252713,56.62031085660865,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSDB,Dow Jones U.S. Brewers Index,527.89,479.19,659.78,10.162983367766437,45.95130237825593,🟡,CERCA,251,2025-08-14 07:46:33
DJUSDN,Dow Jones U.S. Defense Index,768.0,598.11,788.84,28.40447409339419,32.2805952019435,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSDR,Dow Jones U.S. Food & Drug Retailers Index,1564.7,1221.74,1615.62,28.071439095061145,61.94625998547575,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSDS,Dow Jones U.S. Industrial Suppliers Index,967.51,683.22,967.7,41.610315857264126,40.19134556306502,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSDT,Dow Jones U.S. Diversified REITs Index,56.51,45.49,57.29,24.22510441855352,41.826215022091304,🟡,CERCA,251,2025-08-14 07:46:33
DJUSDV,Dow Jones U.S. Computer Services Index,246.14,228.45,304.29,7.7434887283869545,75.66494640730453,🟢,OPORTUNIDAD,251,2025-08-14 07:46:33
DJUSEC,Dow Jones U.S. Electrical Components & Equipment Index,1003.26,562.61,1055.56,78.32246138532909,51.87106335679881,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSEE,Dow Jones U.S. Electronic & Electrical Equipment Index,1135.94,643.85,1171.37,76.42929253708162,43.701057837615046,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSEH,Dow Jones U.S. Real Estate Holding & Development Index,61.67,50.8,72.61,21.3976377952756,32.50414593698177,🟡,CERCA,251,2025-08-14 07:46:33
DJUSEN,Dow Jones U.S. Oil & Gas Index,720.23,623.85,813.7,15.449226576901498,59.30000000000001,🟡,CERCA,251,2025-08-14 07:46:33
DJUSES,Dow Jones U.S. Real Estate Services Index,372.1,268.15,381.33,38.76561625955624,36.004390779363355,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSEU,Dow Jones U.S. Electricity Index,425.43,340.99,433.59,24.76318953635004,37.78920308483289,🟡,CERCA,251,2025-08-14 07:46:33
DJUSFA,Dow Jones U.S. Financial Administration Index,588.45,532.41,685.16,10.525722657350553,61.42640717865043,🟡,CERCA,251,2025-08-14 07:46:33
DJUSFB,Dow Jones U.S. Food & Beverage Index,723.63,668.77,816.7,8.20311915905319,45.80850218514099,🟢,OPORTUNIDAD,251,2025-08-14 07:46:33
DJUSFC,Dow Jones U.S. Fixed Line Telecommunications Index,168.03,112.81,172.38,48.949561209112666,40.93567251461992,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSFD,Dow Jones U.S. Food Retailers & Wholesalers Index,1297.59,1012.93,1346.72,28.102632955880463,61.2689044632978,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSFE,Dow Jones U.S. Industrial Machinery Index,1268.31,969.18,1325.15,30.864235745681917,41.96831270961027,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSFH,Dow Jones U.S. Furnishings Index,469.73,319.67,470.64,46.942159101573495,22.817925856405438,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSFI,Dow Jones U.S. Financial Services Index,2465.8,1895.9,2486.0,30.059602299699357,48.9601386481802,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSFO,Dow Jones U.S. Food Producers Index,383.11,367.79,460.77,4.165420484515618,63.92969569779644,🟢,OPORTUNIDAD,251,2025-08-14 07:46:33
DJUSFP,Dow Jones U.S. Food Products Index,541.17,528.55,667.01,2.387664364771546,68.68567572127567,🟢,OPORTUNIDAD,251,2025-08-14 07:46:33
DJUSFT,Dow Jones U.S. Footwear Index,1631.9,1186.7,2012.4,37.515800117974216,48.060150375939834,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSGF,Dow Jones U.S. Financial Services Index,2763.8,2125.0,2786.5,30.06117647058824,48.97406116918309,🔴,FUERTE,251,2025-08-14 07:46:33
DJUSGI,Dow Jones U.S. General Industrials Index,743.54,613.23,783.86,21.249775777440753,56.10526315789479,🟡,CERCA,251,2025-08-14 07:46:33
DJUSGT,Dow Jones U.S. General Retailers Index,3523.3,2702.7,3560.4,30.36223036223038,42.41200230813614,🔴,FUERTE,251,2025-08-14 07:46:33
